date,open,high,low,close,volume,preClose,changeRatio,thscode
2000-01-03,-0.26000000000001,-0.26000000000001,-7.385,-7.322,22918400,-10.2,4.7918747918748,AMGN
2000-01-04,-8.26,-6.135,-12.572,-12.135,15046800,-7.322,-7.6472083637866,AMGN
2000-01-05,-11.072,-9.572,-12.01,-10.135,15071400,-12.135,3.4408602150538,AMGN
2000-01-06,-9.51,-8.322,-10.01,-9.135,11118200,-10.135,1.6632016632017,AMGN
2000-01-07,-7.51,-1.76,-7.635,-2.26,15953900,-9.135,11.247443762781,AMGN
2000-01-10,-0.572,2.428,-0.76000000000001,1.865,10555600,-2.26,6.0661764705882,AMGN
2000-01-11,1.803,2.115,-6.135,-3.822,14103100,1.865,-7.8849220103986,AMGN
2000-01-12,-2.635,-2.51,-7.697,-6.697,11577400,-3.822,-4.3273427857551,AMGN
2000-01-13,-5.51,-2.51,-6.447,-3.447,10552600,-6.697,5.113037458899,AMGN
2000-01-14,-1.385,-0.26000000000001,-2.885,-1.947,8971200,-3.447,2.2450720668133,AMGN
2000-01-18,-0.26000000000001,-0.13500000000001,-2.01,-1.197,8658100,-1.947,1.0978876641342,AMGN
2000-01-19,-0.26000000000001,2.678,-0.38500000000001,1.74,12070900,-1.197,4.252638894922,AMGN
2000-01-20,4.115,4.24,-0.63500000000001,1.553,9460900,1.74,-0.25972222222222,AMGN
2000-01-21,3.115,4.74,1.74,4.428,8154100,1.553,4.0034534137273,AMGN
2000-01-24,5.615,6.24,-1.135,-1.01,9853800,4.428,-7.2809554413025,AMGN
2000-01-25,0.48999999999999,0.553,-4.26,-0.88500000000001,11251900,-1.01,0.18050541516245,AMGN
2000-01-26,-2.385,-1.385,-6.197,-6.135,16000600,-0.88500000000001,-7.5675675675676,AMGN
2000-01-27,-5.26,-5.197,-11.135,-8.885,14797900,-6.135,-4.2884990253411,AMGN
2000-01-28,-8.822,-8.822,-10.885,-10.572,10899900,-8.885,-2.7486761710794,AMGN
2000-01-31,-9.26,-6.385,-10.385,-6.572,12602800,-10.572,6.7015145422866,AMGN
2000-02-01,-5.51,-4.26,-7.51,-4.947,9902700,-6.572,2.5515010677051,AMGN
2000-02-02,-5.135,-5.135,-8.385,-6.572,9976900,-4.947,-2.4880192304748,AMGN
2000-02-03,-5.51,-5.26,-7.885,-6.26,7613000,-6.572,0.48988820499937,AMGN
2000-02-04,-5.51,-3.76,-6.135,-5.635,8069600,-6.26,0.9765625,AMGN
2000-02-07,-3.76,-0.697,-5.135,-1.072,9190900,-5.635,7.0607350096712,AMGN
2000-02-08,0.11499999999999,1.928,-1.072,0.23999999999999,11110400,-1.072,1.8962825923571,AMGN
2000-02-09,0.98999999999999,1.24,-3.635,-3.447,7774100,0.23999999999999,-5.2297872340425,AMGN
2000-02-10,-2.885,-2.76,-5.76,-5.072,8880100,-3.447,-2.4321614057145,AMGN
2000-02-11,-4.947,-3.947,-8.322,-7.635,8105000,-5.072,-3.93170522182,AMGN
2000-02-14,-6.697,-4.385,-8.76,-5.197,8794600,-7.635,3.8930139720559,AMGN
2000-02-15,-5.01,-4.51,-6.072,-5.197,8358400,-5.197,0.0,AMGN
2000-02-16,-5.135,-0.26000000000001,-5.51,-0.38500000000001,11655100,-5.197,7.3959085809139,AMGN
2000-02-17,-0.072000000000004,3.74,-0.322,2.49,14842700,-0.38500000000001,4.1144901610018,AMGN
2000-02-18,4.24,4.74,-0.322,1.053,14959600,2.49,-1.9752577319588,AMGN
2000-02-22,1.428,1.678,-3.885,-2.76,8657100,1.053,-5.3468512052501,AMGN
2000-02-23,-1.572,1.865,-3.135,1.178,9098100,-2.76,5.8340740740741,AMGN
2000-02-24,1.865,2.928,-1.807,2.303,9630100,1.178,1.5747921274392,AMGN
2000-02-25,2.74,3.74,-0.13500000000001,3.303,8556500,2.303,1.3781128123148,AMGN
2000-02-28,2.615,2.615,-3.76,-1.822,13264800,3.303,-6.9668175577396,AMGN
2000-02-29,-0.010000000000006,0.23999999999999,-3.135,-2.072,8593500,-1.822,-0.36529413483737,AMGN
2000-03-01,-3.26,-3.01,-5.447,-5.197,10212300,-2.072,-4.5829178154514,AMGN
2000-03-02,-4.947,-2.385,-7.26,-4.947,12075000,-5.197,0.38424296451132,AMGN
