date,open,high,low,close,volume,preClose,changeRatio,thscode
2000-01-03,4.075,4.47815,3.95235,4.46875,16128600,3.8065,17.397872060948,AMZN
2000-01-04,4.26875,4.575,4.0875,4.0969,17484200,4.46875,-8.3211188811189,AMZN
2000-01-05,3.53125,3.75625,3.4,3.4875,38449200,4.0969,-14.874661329298,AMZN
2000-01-06,3.56565,3.6344,3.2,3.27815,18746200,3.4875,-6.0028673835125,AMZN
2000-01-07,3.35,3.525,3.3094,3.47815,10505400,3.27815,6.1010020895932,AMZN
2000-01-10,3.6297,3.63125,3.27815,3.4594,14758400,3.47815,-0.5390796831649,AMZN
2000-01-11,3.34375,3.5,3.25,3.3375,10533600,3.4594,-3.5237324391513,AMZN
2000-01-12,3.39375,3.4,3.15,3.17815,10805000,3.3375,-4.774531835206,AMZN
2000-01-13,3.2469,3.3594,3.15625,3.2969,10448100,3.17815,3.7364504507339,AMZN
2000-01-14,3.3375,3.43125,3.2,3.2125,6854100,3.2969,-2.5599805878249,AMZN
2000-01-18,3.1719,3.2594,3.15,3.20625,5384900,3.2125,-0.19455252918288,AMZN
2000-01-19,3.20625,3.375,3.15,3.34065,8245500,3.20625,4.1918128654971,AMZN
2000-01-20,3.3469,3.35,3.1969,3.2375,5978000,3.34065,-3.087722449224,AMZN
2000-01-21,3.23125,3.23125,3.0,3.10315,11461800,3.2375,-4.1498069498069,AMZN
2000-01-24,3.37815,3.66875,3.375,3.50625,29172000,3.10315,12.990026263635,AMZN
2000-01-25,3.5,3.5625,3.3,3.4625,9434400,3.50625,-1.2477718360071,AMZN
2000-01-26,3.43125,3.5,3.2375,3.24065,6558000,3.4625,-6.4072202166065,AMZN
2000-01-27,3.2594,3.3875,3.23125,3.3469,6784100,3.24065,3.2786632311419,AMZN
2000-01-28,3.25,3.3219,3.0,3.0844,13777900,3.3469,-7.8430786698139,AMZN
2000-01-31,3.01875,3.2375,2.9219,3.22815,10674300,3.0844,4.6605498638309,AMZN
2000-02-01,3.375,3.53125,3.21875,3.3719,13404400,3.22815,4.4530148846863,AMZN
2000-02-02,3.3969,3.6125,3.3875,3.4719,14018600,3.3719,2.9656870013939,AMZN
2000-02-03,4.0625,4.2969,3.86875,4.2094,43746800,3.4719,21.241971254932,AMZN
2000-02-04,4.1375,4.1375,3.89375,3.92815,11023900,4.2094,-6.6814747945075,AMZN
2000-02-07,3.8094,3.84375,3.65625,3.75,10129000,3.92815,-4.535213777478,AMZN
2000-02-08,3.7,4.2,3.6719,4.15625,19473800,3.75,10.833333333333,AMZN
2000-02-09,4.02735,4.1867,4.0008,4.0125,9581200,4.15625,-3.4586466165414,AMZN
2000-02-10,3.925,3.99375,3.775,3.8094,9979600,4.0125,-5.0616822429907,AMZN
2000-02-11,3.85625,3.95625,3.775,3.8094,8309000,3.8094,0.0,AMZN
2000-02-14,3.7844,3.7875,3.67815,3.7219,5169700,3.8094,-2.2969496508637,AMZN
2000-02-15,3.6719,3.8094,3.53125,3.69065,6424500,3.7219,-0.83962492275451,AMZN
2000-02-16,3.6375,3.6719,3.53125,3.5344,4260200,3.69065,-4.2336715754677,AMZN
2000-02-17,3.5625,3.56565,3.4,3.45,6129600,3.5344,-2.3879583521956,AMZN
2000-02-18,3.4219,3.45,3.19375,3.2375,8725900,3.45,-6.1594202898551,AMZN
2000-02-22,3.2469,3.325,3.15315,3.17815,5685800,3.2375,-1.8332046332046,AMZN
2000-02-23,3.24375,3.5875,3.2344,3.5219,8439200,3.17815,10.81604077844,AMZN
2000-02-24,3.52815,3.56875,3.28125,3.4219,5870300,3.5219,-2.8393764729265,AMZN
2000-02-25,3.3719,3.46875,3.2594,3.45625,4870500,3.4219,1.0038282825331,AMZN
2000-02-28,3.32815,3.3594,3.20625,3.2875,5057500,3.45625,-4.8824593128391,AMZN
2000-02-29,3.3,3.44845,3.29375,3.44375,7148500,3.2875,4.7528517110266,AMZN
2000-03-01,3.38125,3.425,3.25,3.29375,5576700,3.44375,-4.3557168784029,AMZN
2000-03-02,3.2469,3.25,3.1094,3.12815,7980100,3.29375,-5.0277039848197,AMZN
2000-03-03,3.1625,3.2375,3.10315,3.125,6059500,3.12815,-0.10069849591612,AMZN
2000-03-06,3.14375,3.3625,3.14065,3.1969,7662800,3.125,2.3008,AMZN
2000-03-07,3.24375,3.29065,3.10625,3.175,4178800,3.1969,-0.68503863117395,AMZN
