date,open,high,low,close,volume,preClose,changeRatio,thscode
2000-01-03,-36.5625,-36.531,-37.156,-36.6875,2027800,-37.47,3.3255418614535,CAT
2000-01-04,-36.9375,-36.1875,-37.0,-37.0,2669500,-36.6875,-1.2853470437018,CAT
2000-01-05,-36.9685,-35.906,-36.9685,-36.281,2810100,-37.0,2.9958333333333,CAT
2000-01-06,-35.5,-34.906,-35.7185,-35.1875,2078900,-36.281,4.4237226425017,CAT
2000-01-07,-34.5625,-33.4375,-34.5935,-34.3435,2734900,-35.1875,3.2697336561743,CAT
2000-01-10,-33.9685,-33.7185,-35.25,-35.2185,1472300,-34.3435,-3.2825014536792,CAT
2000-01-11,-35.1875,-34.406,-35.625,-35.625,1751400,-35.2185,-1.576711983399,CAT
2000-01-12,-35.25,-34.8435,-35.4375,-35.1875,1512000,-35.625,1.7241379310345,CAT
2000-01-13,-34.406,-34.3125,-34.9685,-34.906,1382200,-35.1875,1.0905569007264,CAT
2000-01-14,-34.9685,-34.5935,-35.0625,-35.031,1348000,-34.906,-0.47903732658849,CAT
2000-01-18,-35.13725,-35.04375,-35.98125,-35.94975,1753800,-35.031,-3.8507451191806,CAT
2000-01-19,-35.94975,-35.57475,-36.26225,-36.26225,1512700,-35.94975,-1.2515519243862,CAT
2000-01-20,-36.13725,-35.98125,-37.38725,-37.35625,1891500,-36.26225,-4.4369638837629,CAT
2000-01-21,-37.32475,-36.94975,-38.10625,-37.23125,2159000,-37.35625,0.53050397877984,CAT
2000-01-24,-37.41875,-37.38725,-38.38725,-38.26225,2295700,-37.23125,-4.3525065963061,CAT
2000-01-25,-38.51225,-38.41875,-39.63725,-39.10625,2479400,-38.26225,-3.7252002736522,CAT
2000-01-26,-39.23125,-38.07475,-39.23125,-38.44975,1711200,-39.10625,3.0097421203438,CAT
2000-01-27,-38.44975,-38.13725,-38.91875,-38.63725,1362100,-38.44975,-0.83448306555699,CAT
2000-01-28,-38.85625,-38.35625,-39.16875,-39.16875,2271300,-38.63725,-2.3853869802302,CAT
2000-01-31,-39.35625,-38.94975,-39.69975,-39.69975,1513800,-39.16875,-2.4413793103448,CAT
2000-02-01,-39.54375,-38.91875,-39.54375,-39.32475,1127700,-39.69975,1.7672840378906,CAT
2000-02-02,-38.66875,-38.57475,-39.48125,-39.19975,1279800,-39.32475,0.57886449939798,CAT
2000-02-03,-39.32475,-39.29375,-39.85625,-39.79375,1757700,-39.19975,-2.734932547539,CAT
