date,open,high,low,close,volume,preClose,changeRatio,thscode
2004-06-23,1.734,2.309,1.6715,2.284,10896000,0.734,56.363636363636,CRM
2004-06-24,2.3715,2.4065,2.109,2.174,2221800,2.284,-2.5581395348837,CRM
2004-06-25,2.1115,2.1715,1.9315,1.934,1677500,2.174,-5.727923627685,CRM
2004-06-28,1.984,2.0365,1.843,1.984,567700,1.934,1.2658227848101,CRM
2004-06-29,1.984,2.159,1.9415,2.084,528000,1.984,2.5,CRM
2004-06-30,2.084,2.219,1.9915,2.0015,521900,2.084,-2.0121951219512,CRM
2004-07-01,2.004,2.034,1.959,1.9915,438700,2.0015,-0.24891101431238,CRM
2004-07-02,2.009,2.229,1.9965,2.229,248300,1.9915,5.9263880224579,CRM
2004-07-06,2.2165,2.234,2.104,2.234,304200,2.229,0.11778563015312,CRM
2004-07-07,2.209,2.209,1.9965,2.0615,446900,2.234,-4.0588235294118,CRM
2004-07-08,2.0615,2.0615,1.899,1.919,544800,2.0615,-3.4947884733292,CRM
2004-07-09,1.969,2.1265,1.959,2.084,149200,1.919,4.1931385006353,CRM
2004-07-12,2.134,2.1915,2.0215,2.1715,195200,2.084,2.1341463414634,CRM
2004-07-13,2.169,2.169,2.004,2.004,418500,2.1715,-4.0,CRM
2004-07-14,1.9965,1.9965,1.879,1.8965,591500,2.004,-2.6741293532338,CRM
2004-07-15,1.9215,1.934,1.719,1.819,451500,1.8965,-1.9808306709265,CRM
2004-07-16,1.834,2.084,1.724,1.984,819700,1.819,4.3024771838331,CRM
2004-07-19,1.9965,2.0265,1.9415,1.9865,238700,1.984,0.06250000000001,CRM
2004-07-20,1.9865,2.029,1.8665,1.999,561300,1.9865,0.31230480949405,CRM
2004-07-21,2.009,2.009,0.7465,0.909,6359400,1.999,-27.148194271482,CRM
2004-07-22,0.8715,1.279,0.809,1.229,2456200,0.909,10.940170940171,CRM
2004-07-23,1.2215,1.359,1.1715,1.244,418600,1.229,0.46224961479198,CRM
2004-07-26,1.3715,1.3715,1.204,1.304,321500,1.244,1.840490797546,CRM
2004-07-27,1.329,1.3415,1.259,1.269,187800,1.304,-1.0542168674699,CRM
2004-07-28,1.2465,1.289,1.134,1.2315,383700,1.269,-1.1415525114155,CRM
2004-07-29,1.234,1.3215,1.2215,1.224,227000,1.2315,-0.23094688221709,CRM
2004-07-30,1.224,1.284,1.1215,1.2365,203800,1.224,0.38580246913579,CRM
2004-08-02,1.229,1.254,1.1265,1.1865,324400,1.2365,-1.5372790161414,CRM
2004-08-03,1.184,1.2565,0.9815,1.0165,736100,1.1865,-5.3083528493365,CRM
2004-08-04,1.0165,1.0215,0.9715,0.979,686700,1.0165,-1.2366034624897,CRM
2004-08-05,0.9815,0.9815,0.654,0.709,757600,0.979,-9.0150250417362,CRM
2004-08-06,0.709,0.734,0.6615,0.6765,449300,0.709,-1.1926605504587,CRM
2004-08-09,0.7215,0.7465,0.699,0.7315,280400,0.6765,2.0427112349118,CRM
2004-08-10,0.734,0.744,0.704,0.734,183300,0.7315,0.090991810737032,CRM
2004-08-11,0.7215,0.7215,0.6315,0.639,156100,0.734,-3.4545454545455,CRM
2004-08-12,0.664,0.6665,0.464,0.4815,394500,0.639,-5.9322033898305,CRM
2004-08-13,0.4815,0.4965,0.3515,0.3815,624000,0.4815,-4.004004004004,CRM
2004-08-16,0.384,0.4465,0.234,0.414,542800,0.3815,1.3555787278415,CRM
2004-08-17,0.454,0.7315,0.454,0.7265,742000,0.414,12.860082304527,CRM
2004-08-18,0.709,1.0215,0.654,0.9715,424400,0.7265,8.9334548769371,CRM
2004-08-19,0.9715,1.0465,0.909,1.0265,327600,0.9715,1.8410041841004,CRM
2004-08-20,1.109,1.284,0.9565,1.134,1008700,1.0265,3.5332785538209,CRM
2004-08-23,1.159,1.2215,1.074,1.109,281900,1.134,-0.79365079365079,CRM
2004-08-24,1.134,1.179,1.089,1.1765,268100,1.109,2.16,CRM
2004-08-25,1.184,1.2465,1.109,1.224,300200,1.1765,1.4878621769773,CRM
2004-08-26,1.2265,1.234,1.1865,1.209,117800,1.224,-0.46296296296297,CRM
2004-08-27,1.234,1.2865,1.209,1.2715,115900,1.209,1.937984496124,CRM
2004-08-30,1.289,1.299,1.249,1.2765,151500,1.2715,0.15209125475285,CRM
2004-08-31,1.284,1.2965,1.159,1.234,218600,1.2765,-1.2908124525437,CRM
2004-09-01,1.284,1.3165,1.274,1.3165,128200,1.234,2.5384615384615,CRM
2004-09-02,1.304,1.4765,1.304,1.4565,249700,1.3165,4.2010502625656,CRM
2004-09-03,1.459,1.469,1.389,1.4215,231000,1.4565,-1.0079193664507,CRM
2004-09-07,1.424,1.424,1.334,1.3415,298300,1.4215,-2.3272727272727,CRM
2004-09-08,1.3165,1.3165,1.2715,1.294,137500,1.3415,-1.4147431124348,CRM
2004-09-09,1.294,1.309,1.2265,1.2765,632300,1.294,-0.52870090634441,CRM
2004-09-10,1.2715,1.559,1.2715,1.5465,698800,1.2765,8.2004555808656,CRM
2004-09-13,1.584,1.859,1.584,1.784,1086300,1.5465,6.6666666666667,CRM
2004-09-14,1.784,2.0065,1.734,1.9615,513000,1.784,4.671052631579,CRM
2004-09-15,1.964,2.269,1.909,2.069,1036800,1.9615,2.7027027027027,CRM
2004-09-16,2.0715,2.1065,1.999,2.049,629600,2.069,-0.48959608323132,CRM
2004-09-17,2.034,2.0365,1.694,1.9015,1121900,2.049,-3.6285362853629,CRM
2004-09-20,1.9215,2.009,1.9065,1.9865,149300,1.9015,2.1697511167837,CRM
2004-09-21,1.9965,2.209,1.9965,2.074,581800,1.9865,2.1861336664585,CRM
2004-09-22,2.059,2.059,1.9365,2.0015,519200,2.074,-1.7726161369193,CRM
2004-09-23,2.0015,2.0015,1.8965,1.9115,279400,2.0015,-2.2401991288114,CRM
2004-09-24,1.974,2.1965,1.934,1.994,699000,1.9115,2.1005728835137,CRM
2004-09-27,1.984,2.0015,1.8615,1.8815,345000,1.994,-2.8054862842893,CRM
2004-09-28,1.864,1.869,1.6765,1.734,465700,1.8815,-3.7844772289929,CRM
2004-09-29,1.7465,1.9515,1.7465,1.9215,425100,1.734,5.0,CRM
2004-09-30,1.9215,1.9615,1.889,1.8915,1130300,1.9215,-0.76190476190476,CRM
2004-10-01,1.8915,2.179,1.864,2.1465,653700,1.8915,6.5259117082533,CRM
2004-10-04,2.2715,2.444,2.124,2.2015,788300,2.1465,1.3213213213213,CRM
2004-10-05,2.204,2.264,2.134,2.209,340200,2.2015,0.17783046828689,CRM
2004-10-06,2.209,2.2965,2.1065,2.2965,358400,2.209,2.0710059171598,CRM
2004-10-07,2.459,2.689,2.3865,2.609,1471800,2.2965,7.2463768115942,CRM
2004-10-08,2.599,2.599,2.3515,2.389,632100,2.609,-4.7567567567568,CRM
2004-10-11,2.394,2.5715,2.384,2.529,266200,2.389,3.1782065834279,CRM
2004-10-12,2.484,2.5815,2.4015,2.5815,224300,2.529,1.1551155115512,CRM
2004-10-13,2.634,2.7915,2.5865,2.609,432000,2.5815,0.59815116911365,CRM
2004-10-14,2.609,2.6715,2.4465,2.4815,261800,2.609,-2.7567567567568,CRM
2004-10-15,2.499,2.544,2.384,2.479,236700,2.4815,-0.055586436909383,CRM
2004-10-18,2.459,2.559,2.3965,2.5565,173200,2.479,1.7241379310345,CRM
2004-10-19,2.5715,2.594,2.514,2.5415,155600,2.5565,-0.32804811372334,CRM
2004-10-20,2.5165,2.549,2.459,2.5215,190200,2.5415,-0.43883708173342,CRM
2004-10-21,2.5265,2.654,2.494,2.584,180400,2.5215,1.3774104683196,CRM
2004-10-22,2.609,2.629,2.2965,2.334,285300,2.584,-5.4347826086957,CRM
2004-10-25,2.3715,2.574,2.3715,2.5215,264000,2.334,4.3103448275862,CRM
2004-10-26,2.509,2.5965,2.4315,2.5965,119200,2.5215,1.6528925619835,CRM
2004-10-27,2.609,2.8815,2.5215,2.8015,480700,2.5965,4.4444444444444,CRM
2004-10-28,2.809,3.134,2.734,3.0215,625200,2.8015,4.566683964712,CRM
2004-10-29,3.009,3.064,2.8365,3.064,449900,3.0215,0.84367245657569,CRM
2004-11-01,3.109,3.484,3.084,3.409,803400,3.064,6.7913385826772,CRM
2004-11-02,3.609,3.609,3.4265,3.474,757400,3.409,1.1981566820277,CRM
2004-11-03,3.5365,3.659,3.359,3.4015,479800,3.474,-1.3205828779599,CRM
2004-11-04,3.384,3.4165,3.109,3.129,349600,3.4015,-5.0299953853253,CRM
2004-11-05,3.1915,3.324,3.1215,3.199,393700,3.129,1.3605442176871,CRM
2004-11-08,3.199,3.199,3.049,3.084,253600,3.199,-2.2051773729626,CRM
2004-11-09,2.909,2.9965,2.7615,2.8665,483900,3.084,-4.2647058823529,CRM
2004-11-10,2.8965,2.8965,2.799,2.8665,194800,2.8665,0.0,CRM
2004-11-11,2.8665,3.019,2.8465,2.989,251800,2.8665,2.5089605734767,CRM
2004-11-12,3.034,3.0465,2.859,2.984,139100,2.989,-0.099900099900098,CRM
2004-11-15,3.004,3.184,2.984,3.184,530500,2.984,4.0,CRM
