date,open,high,low,close,volume,preClose,changeRatio,thscode
2000-01-03,39.08,39.235,35.89,38.14,26539300,37.675,0.86810417250071,CSCO
2000-01-04,36.86,37.61,34.985,35.11,25401500,38.14,-5.6079955580233,CSCO
2000-01-05,34.14,36.36,32.735,34.955,34262000,35.11,-0.30392156862745,CSCO
2000-01-06,34.515,35.05,33.425,34.11,24124600,34.955,-1.6619136591602,CSCO
2000-01-07,33.8,37.11,33.8,37.05,31130300,34.11,5.88,CSCO
2000-01-10,38.36,39.11,37.175,39.015,25291500,37.05,3.7117491499811,CSCO
2000-01-11,38.175,38.925,36.61,37.36,21606200,39.015,-3.0142974228212,CSCO
2000-01-12,37.55,37.86,35.86,36.015,20379900,37.36,-2.5258215962441,CSCO
2000-01-13,37.11,37.36,35.985,37.205,17247200,36.015,2.2926500337154,CSCO
2000-01-14,38.235,38.735,36.61,37.89,21811500,37.205,1.2901403145306,CSCO
2000-01-18,37.86,40.36,37.735,40.11,29784400,37.89,4.1279285979918,CSCO
2000-01-19,39.955,40.61,38.64,40.265,22798500,40.11,0.27678571428572,CSCO
2000-01-20,40.8,41.675,39.83,40.3,20865600,40.265,0.062327486421506,CSCO
2000-01-21,41.55,41.8,40.33,41.735,22487300,40.3,2.5538352019932,CSCO
2000-01-24,41.985,41.985,38.36,38.64,21895300,41.735,-5.3709327548807,CSCO
2000-01-25,38.36,40.55,37.64,40.175,27691100,38.64,2.814964239868,CSCO
2000-01-26,39.83,39.985,37.61,37.705,17654400,40.175,-4.4056006421118,CSCO
2000-01-27,38.515,39.425,35.985,37.425,23952300,37.705,-0.5224367944771,CSCO
2000-01-28,37.39,38.8,35.61,36.05,24784700,37.425,-2.5790115352152,CSCO
2000-01-31,35.58,38.925,34.11,38.86,33457300,36.05,5.4100885637274,CSCO
2000-02-01,39.0,43.175,38.89,43.015,43631500,38.86,7.5890410958904,CSCO
2000-02-02,42.175,42.985,40.61,41.05,34224600,43.015,-3.335879806468,CSCO
2000-02-03,41.55,43.425,41.36,43.015,24337600,41.05,3.4510010537408,CSCO
2000-02-04,43.89,45.36,43.425,44.675,26485000,43.015,2.818096935744,CSCO
2000-02-07,46.14,46.8,45.39,46.705,24466900,44.675,3.3517708247338,CSCO
2000-02-08,48.05,48.11,45.955,47.015,36051800,46.705,0.49524722421919,CSCO
2000-02-09,50.735,51.61,47.33,48.515,53907600,47.015,2.3845481281297,CSCO
2000-02-10,49.425,52.235,48.39,52.08,32158300,48.515,5.5352845275988,CSCO
2000-02-11,50.675,50.925,48.175,49.58,37735500,52.08,-3.6780932764455,CSCO
2000-02-14,50.58,50.58,47.58,49.36,24551900,49.58,-0.33603177027646,CSCO
2000-02-15,48.985,49.175,46.765,48.11,30683600,49.36,-1.9157088122605,CSCO
2000-02-16,48.0475,48.86,47.485,47.69595,23137000,48.11,-0.646953125,CSCO
2000-02-17,48.57875,49.4225,47.9225,49.36,19828300,47.69595,2.6170089461587,CSCO
2000-02-18,49.455,49.515,46.89,47.015,20800000,49.36,-3.5938697318008,CSCO
2000-02-22,47.39,47.64,44.735,46.08,30572200,47.015,-1.4863683332009,CSCO
2000-02-23,47.61,53.61,47.265,53.425,52853900,46.08,11.852509278683,CSCO
2000-02-24,52.735,52.985,50.36,52.735,37489000,53.425,-0.99545552910625,CSCO
2000-02-25,52.425,52.735,49.64,50.485,23225600,52.735,-3.2786885245902,CSCO
2000-02-28,49.495,50.705,47.925,49.39,26024200,50.485,-1.6497175141243,CSCO
2000-02-29,50.29,51.08,48.745,50.205,20845500,49.39,1.2484681372549,CSCO
2000-03-01,50.455,51.8,49.11,49.955,19734700,50.205,-0.37824343747636,CSCO
2000-03-02,49.675,50.86,49.08,50.485,15969600,49.955,0.80492064697396,CSCO
2000-03-03,51.36,53.58,51.05,52.83,19027100,50.485,3.5329566854991,CSCO
2000-03-06,52.705,53.11,51.33,52.175,16894800,52.83,-0.95314318975553,CSCO
2000-03-07,52.985,53.015,49.485,50.14,21154800,52.175,-2.9897891721149,CSCO
2000-03-08,50.735,51.61,49.11,50.3,24021200,50.14,0.24231409965167,CSCO
2000-03-09,51.05,54.1,50.175,53.765,33624300,50.3,5.234929747696,CSCO
2000-03-10,53.675,55.05,52.14,52.3,24006800,53.765,-2.1032230277798,CSCO
2000-03-13,51.61,54.125,51.11,52.205,23778600,52.3,-0.13931661533949,CSCO
2000-03-14,52.58,53.175,49.955,49.985,29308700,52.205,-3.2601512592701,CSCO
2000-03-15,50.86,51.61,47.425,48.425,31431800,49.985,-2.3681214421252,CSCO
2000-03-16,48.985,50.8,46.265,49.945,37743100,48.425,2.3633677991137,CSCO
2000-03-17,49.61,52.08,49.61,51.61,26523800,49.945,2.529049897471,CSCO
2000-03-20,51.61,52.485,50.39,51.175,19621100,51.61,-0.64444444444445,CSCO
2000-03-21,51.36,54.8,50.58,54.54,28678700,51.175,5.0175203161112,CSCO
2000-03-22,54.925,57.485,53.55,56.3,29555800,54.54,2.498935112878,CSCO
2000-03-23,57.24,63.05,56.11,61.92,76941900,56.3,-46.107494112758,CSCO
2000-03-24,64.24,65.42,62.36,63.49,64910400,61.92,2.0177355095746,CSCO
2000-03-27,65.55,66.11,63.17,64.17,47360000,63.49,0.85663895187706,CSCO
2000-03-28,63.67,64.61,61.61,61.99,42658000,64.17,-2.7229577816638,CSCO
2000-03-29,62.05,62.84,59.11,60.17,54777000,61.99,-2.336928608115,CSCO
2000-03-30,58.99,60.86,54.86,57.74,67081600,60.17,-3.1948461740731,CSCO
2000-03-31,58.47,61.92,56.36,61.42,53212600,57.74,4.9979627869075,CSCO
2000-04-03,60.99,61.11,56.11,57.05,61770300,61.42,-5.6525675850472,CSCO
2000-04-04,58.11,58.61,48.11,57.24,115699000,57.05,0.26048807238826,CSCO
2000-04-05,54.36,58.99,54.24,56.24,64975400,57.24,-1.36742786818,CSCO
2000-04-06,57.99,58.36,54.86,55.92,43814900,56.24,-0.44364342159988,CSCO
2000-04-07,57.11,59.11,55.74,59.05,44891400,55.92,4.3587244116418,CSCO
2000-04-10,59.55,60.11,56.61,56.67,42264200,59.05,-3.1758740325594,CSCO
2000-04-11,56.24,56.24,52.61,54.11,58865700,56.67,-3.5281146637266,CSCO
2000-04-12,53.86,54.8,48.86,49.11,94254500,54.11,-7.1428571428571,CSCO
2000-04-13,50.22,50.61,45.24,45.24,104047300,49.11,-5.9538461538461,CSCO
2000-04-14,44.99,45.17,39.17,41.11,119434500,45.24,-6.756093571078,CSCO
2000-04-17,41.05,50.74,40.78,50.61,116951100,41.11,16.666666666667,CSCO
2000-04-18,52.24,53.61,51.11,53.36,80727100,50.61,4.1353383458647,CSCO
2000-04-19,53.86,54.11,49.99,50.24,51863900,53.36,-4.5054151624549,CSCO
2000-04-20,50.86,51.8,48.67,49.24,36551700,50.24,-1.5121729925904,CSCO
2000-04-24,45.67,47.86,43.36,47.55,58933700,49.24,-2.5948103792415,CSCO
2000-04-25,49.24,50.17,47.17,50.11,54357600,47.55,4.0353089533417,CSCO
2000-04-26,50.42,53.11,49.99,50.86,51055200,50.11,1.1363636363636,CSCO
2000-04-27,48.36,53.24,48.11,53.11,51540300,50.86,3.3707865168539,CSCO
2000-04-28,53.49,54.11,52.17,53.44,34352200,53.11,0.47826086956521,CSCO
2000-05-01,53.99,55.99,53.61,55.55,40694200,53.44,3.0434155488245,CSCO
2000-05-02,55.11,55.8,51.74,52.11,31282300,55.55,-4.8152295632699,CSCO
2000-05-03,51.67,51.74,47.74,50.17,47312400,52.11,-2.8529411764706,CSCO
2000-05-04,49.55,50.61,47.61,47.74,40026500,50.17,-3.6784741144414,CSCO
2000-05-05,47.92,52.09,47.61,51.86,45085600,47.74,6.4749332076065,CSCO
2000-05-08,48.17,49.08,46.24,46.86,67640000,51.86,-7.380073800738,CSCO
2000-05-09,47.64,48.55,44.92,46.86,70496100,46.86,0.0,CSCO
2000-05-10,44.61,45.61,42.24,42.61,91957600,46.86,-6.7729083665339,CSCO
2000-05-11,43.99,45.24,42.17,44.36,53912000,42.61,2.991452991453,CSCO
2000-05-12,44.24,47.11,42.86,44.05,43915500,44.36,-0.51452282157677,CSCO
2000-05-15,43.55,44.24,41.11,44.11,50519100,44.05,0.1001001001001,CSCO
2000-05-16,45.24,46.38,42.86,44.67,50845600,44.11,0.93333333333334,CSCO
2000-05-17,43.36,43.74,42.11,42.11,43334300,44.67,-4.227212681638,CSCO
2000-05-18,42.11,42.42,39.24,39.49,75639200,42.11,-4.5172413793103,CSCO
2000-05-19,38.09,39.17,36.55,37.55,82841000,39.49,-3.5030697002528,CSCO
2000-05-22,37.3,39.61,34.11,39.36,92297900,37.55,3.3869760479042,CSCO
2000-05-23,39.24,39.74,34.36,34.66,67684700,39.36,-8.5067873303167,CSCO
2000-05-24,34.61,39.61,34.3,39.24,97111500,34.66,9.0603363006924,CSCO
2000-05-25,40.17,42.55,38.17,38.61,76771500,39.24,-1.1427534917468,CSCO
2000-05-26,38.74,40.05,36.74,39.05,36022200,38.61,0.80733944954128,CSCO
2000-05-30,41.59,44.11,41.11,43.99,51328600,39.05,8.9916272297051,CSCO
2000-05-31,43.05,44.36,40.49,41.05,49611300,43.99,-4.9098196392786,CSCO
2000-06-01,42.69,45.24,41.99,45.05,52127600,41.05,7.0249385317878,CSCO
2000-06-02,48.67,49.86,47.55,48.49,61997000,45.05,5.6448966196259,CSCO
2000-06-05,47.8,49.17,46.55,47.36,36758700,48.49,-1.7552034793414,CSCO
2000-06-06,46.86,47.92,45.24,45.42,30704100,47.36,-3.0671936758893,CSCO
2000-06-07,45.74,47.61,45.24,46.99,32483900,45.42,2.5607568096558,CSCO
2000-06-08,47.92,49.11,46.86,47.8,36633200,46.99,1.2881679389313,CSCO
2000-06-09,48.61,49.11,48.11,48.49,23956400,47.8,1.0833725859633,CSCO
2000-06-12,48.61,48.86,46.24,46.24,22663400,48.49,-3.4948741845293,CSCO
2000-06-13,46.49,49.11,45.61,49.11,33430700,46.24,4.6193465314663,CSCO
2000-06-14,48.92,50.61,48.24,49.3,33894400,49.11,0.29230769230769,CSCO
2000-06-15,49.61,50.74,48.74,50.61,38430500,49.3,2.0095106611444,CSCO
2000-06-16,50.86,52.05,49.91,51.92,49657300,50.61,1.9699248120301,CSCO
2000-06-19,51.11,53.36,50.36,53.05,34616900,51.92,1.6664208818758,CSCO
2000-06-20,52.8,53.67,50.74,51.24,34001500,53.05,-2.625471424427,CSCO
2000-06-21,49.92,51.86,49.86,51.55,27600800,51.24,0.46179055563832,CSCO
2000-06-22,51.17,51.24,48.55,48.67,27506900,51.55,-4.270462633452,CSCO
2000-06-23,48.67,50.05,46.61,46.74,25132300,48.67,-2.9894671623296,CSCO
2000-06-26,47.19,47.74,45.17,46.92,40313100,46.74,0.28740220341689,CSCO
2000-06-27,46.67,49.36,46.24,46.36,31635200,46.92,-0.89157777423977,CSCO
2000-06-28,46.92,48.55,46.24,47.67,29624000,46.36,2.1044176706827,CSCO
2000-06-29,46.8,47.63,44.61,45.3,36168100,47.67,-3.7287602265576,CSCO
2000-06-30,44.92,47.8,44.24,47.67,34402600,45.3,3.8731818924661,CSCO
2000-07-03,47.49,48.99,47.24,48.74,14879800,47.67,1.6834487098804,CSCO
2000-07-05,47.92,48.86,45.55,45.99,27383000,48.74,-4.254989942751,CSCO
2000-07-06,46.36,48.99,44.99,48.86,34561900,45.99,4.6380090497738,CSCO
2000-07-07,48.74,50.05,47.74,49.49,30196900,48.86,0.97297297297297,CSCO
2000-07-10,48.36,49.74,47.11,47.24,29138500,49.49,-3.4414193943102,CSCO
2000-07-11,47.11,48.67,45.74,46.24,33011500,47.24,-1.5840329478853,CSCO
2000-07-12,47.49,48.74,46.2,47.99,32863700,46.24,2.8166747143087,CSCO
2000-07-13,48.17,51.22,47.99,49.36,58366200,47.99,2.1446462116468,CSCO
2000-07-14,50.67,52.86,50.17,52.36,58353300,49.36,4.5977011494253,CSCO
2000-07-17,51.74,53.86,51.49,53.74,41995400,52.36,2.021978021978,CSCO
2000-07-18,52.36,53.24,51.17,51.36,29673200,53.74,-3.4180669251759,CSCO
2000-07-19,51.24,52.05,50.36,50.92,24010200,51.36,-0.6542750929368,CSCO
2000-07-20,51.36,53.86,51.3,53.61,43828700,50.92,4.0263433617722,CSCO
2000-07-21,53.61,53.74,51.84,52.24,29126500,53.61,-1.9712230215827,CSCO
2000-07-24,52.05,52.99,49.99,50.17,29325800,52.24,-3.0383091149273,CSCO
2000-07-25,50.74,52.99,50.05,52.24,32776100,50.17,3.133514986376,CSCO
2000-07-26,51.17,53.24,50.49,52.67,44805400,52.24,0.63114633788347,CSCO
2000-07-27,51.97,53.11,50.86,52.11,34568500,52.67,-0.81680280046675,CSCO
2000-07-28,51.36,53.11,46.05,46.92,56398300,52.11,-7.6323529411765,CSCO
2000-07-31,47.0,50.11,46.67,49.55,51109200,46.92,4.1872313325903,CSCO
2000-08-01,48.86,49.74,46.42,47.3,34942900,49.55,-3.4382640586797,CSCO
2000-08-02,47.36,48.61,44.86,45.05,45361900,47.3,-3.5606899825922,CSCO
2000-08-03,43.74,48.99,42.61,48.49,61286400,45.05,5.6448966196259,CSCO
2000-08-04,49.64,50.99,48.67,49.67,41593000,48.49,1.8328673501087,CSCO
2000-08-07,50.31,51.36,49.36,50.36,39458000,49.67,1.052471018914,CSCO
2000-08-08,50.11,51.05,48.99,49.61,46360200,50.36,-1.1320754716981,CSCO
2000-08-09,52.99,54.11,51.36,51.92,94337400,49.61,3.5267175572519,CSCO
2000-08-10,50.74,50.74,47.24,47.49,59673700,51.92,-6.5329597404513,CSCO
2000-08-11,46.92,48.99,46.11,48.42,48999400,47.49,1.4673398548438,CSCO
2000-08-14,48.11,48.67,46.49,48.61,29087500,48.42,0.29544394339916,CSCO
2000-08-15,48.3,48.92,47.05,47.3,33757400,48.61,-2.031007751938,CSCO
2000-08-16,47.61,48.36,46.42,47.17,35194700,47.3,-0.20572875454976,CSCO
2000-08-17,46.99,48.61,46.38,47.55,34739500,47.17,0.60260069774817,CSCO
2000-08-18,47.67,48.42,47.11,47.61,41693400,47.55,0.094577553593951,CSCO
2000-08-21,48.24,49.61,48.13,49.61,41785800,47.61,3.1496062992126,CSCO
2000-08-22,49.67,50.55,48.61,48.92,40985800,49.61,-1.0534351145038,CSCO
2000-08-23,48.61,51.36,48.3,51.3,43615700,48.92,3.6722727974078,CSCO
2000-08-24,51.42,51.61,49.74,50.61,26958500,51.3,-1.0269385325197,CSCO
2000-08-25,50.49,51.11,49.61,49.61,21182500,50.61,-1.5037593984962,CSCO
2000-08-28,49.86,51.14,49.74,50.17,25397800,49.61,0.85496183206107,CSCO
2000-08-29,50.17,51.49,49.86,50.67,25801900,50.17,0.7568876778686,CSCO
2000-08-30,50.49,51.05,50.3,50.67,24561800,50.67,0.0,CSCO
2000-08-31,51.05,53.05,50.92,52.74,46822900,50.67,3.1099759615385,CSCO
2000-09-01,52.99,53.74,52.24,52.67,33141800,52.74,-0.10199621156927,CSCO
2000-09-05,51.67,52.42,49.74,50.11,32365000,52.67,-3.7339556592765,CSCO
2000-09-06,50.49,51.05,47.61,48.36,37317100,50.11,-2.6515151515152,CSCO
2000-09-07,49.11,50.8,48.36,50.36,30305800,48.36,3.1128404669261,CSCO
2000-09-08,49.86,50.05,47.42,47.99,35967600,50.36,-3.577358490566,CSCO
2000-09-11,47.61,47.99,44.99,45.3,53535500,47.99,-4.2110206637445,CSCO
2000-09-12,45.63,46.99,42.24,42.99,76982100,45.3,-3.7751266546821,CSCO
2000-09-13,42.36,45.97,42.11,45.42,75426600,42.99,4.1270380434783,CSCO
2000-09-14,46.74,47.42,44.66,45.36,48069600,45.42,-0.097863317566469,CSCO
2000-09-15,45.49,47.24,43.92,46.86,75803700,45.36,2.4489795918367,CSCO
2000-09-18,45.67,46.67,42.61,44.17,59433800,46.86,-4.2868525896414,CSCO
2000-09-19,44.05,46.17,43.17,46.11,51168400,44.17,3.2301032301032,CSCO
2000-09-20,45.42,47.74,45.11,47.24,61998200,46.11,1.8225806451613,CSCO
2000-09-21,45.67,46.99,44.17,45.24,48728100,47.24,-3.1680658957706,CSCO
2000-09-22,42.61,44.61,42.49,44.42,55306000,45.24,-1.3414035661705,CSCO
2000-09-25,44.83,45.47,40.99,41.3,59634900,44.42,-5.1732714309401,CSCO
2000-09-26,42.3,43.3,39.24,39.3,72577600,41.3,-3.4971148802238,CSCO
2000-09-27,40.61,41.74,39.42,41.42,56557200,39.3,3.8412755934046,CSCO
2000-09-28,40.49,43.86,38.74,43.55,90509300,41.42,3.7166288605828,CSCO
2000-09-29,42.97,43.42,39.3,39.36,44248700,43.55,-7.0491251682369,CSCO
2000-10-02,41.49,43.08,38.7,39.61,76637400,39.36,0.45248868778281,CSCO
2000-10-03,41.11,43.49,40.05,40.36,65208200,39.61,1.3513513513514,CSCO
2000-10-04,40.67,43.17,39.36,42.67,56872400,40.36,4.1066666666667,CSCO
2000-10-05,41.92,42.99,40.36,41.67,47457200,42.67,-1.707650273224,CSCO
2000-10-06,41.42,42.36,38.74,40.3,54804800,41.67,-2.3801250868659,CSCO
2000-10-09,39.55,39.67,36.99,37.8,45975900,40.3,-4.449190247375,CSCO
2000-10-10,37.11,38.49,34.8,35.24,61859800,37.8,-4.7681132426895,CSCO
2000-10-11,32.86,37.49,32.33,35.3,93506600,35.24,0.1173479366321,CSCO
2000-10-12,36.74,37.74,33.36,33.92,78351400,35.3,-2.6958390310607,CSCO
2000-10-13,33.17,40.3,33.17,40.17,73930200,33.92,12.547681188516,CSCO
2000-10-16,39.3,39.86,37.99,38.61,51407200,40.17,-2.7827327863004,CSCO
2000-10-17,39.55,40.11,37.49,38.67,52349400,38.61,0.11009174311927,CSCO
2000-10-18,36.86,38.88,34.11,36.36,66281300,38.67,-4.2338709677419,CSCO
2000-10-19,39.17,43.24,38.36,42.36,72023700,36.36,11.483253588517,CSCO
2000-10-20,41.74,43.55,40.86,41.42,51194000,42.36,-1.6137339055794,CSCO
2000-10-23,40.36,41.86,39.05,39.99,45486800,41.42,-2.4952015355086,CSCO
2000-10-24,40.67,41.36,38.17,38.99,46524900,39.99,-1.7895490336435,CSCO
2000-10-25,35.67,37.67,34.61,34.74,68795000,38.99,-7.7441690962099,CSCO
2000-10-26,35.49,38.24,34.11,37.67,83354900,34.74,5.7870827572585,CSCO
2000-10-27,38.74,38.99,34.42,34.8,71875100,37.67,-5.3584764749813,CSCO
2000-10-30,33.3,33.8,29.36,32.17,112222400,34.8,-5.188400078911,CSCO
2000-10-31,32.49,38.61,32.3,37.99,87884100,32.17,12.10986267166,CSCO
