date,open,high,low,close,volume,preClose,changeRatio,thscode
2000-01-03,-45.355,-45.355,-47.015,-46.48,2193800,-44.98,-3.463003578437,CVX
2000-01-04,-46.825,-46.23,-47.045,-46.48,1851200,-46.48,0.0,CVX
2000-01-05,-46.765,-45.015,-46.765,-45.73,2783800,-46.48,1.7936147315557,CVX
2000-01-06,-45.64,-43.7,-45.64,-43.92,2176700,-45.73,4.2523199812052,CVX
2000-01-07,-43.295,-42.855,-43.795,-43.14,2243700,-43.92,1.7577464788732,CVX
2000-01-10,-43.265,-43.265,-44.45,-44.355,1052400,-43.14,-2.690731923375,CVX
2000-01-11,-44.355,-43.855,-44.825,-44.765,1395600,-44.355,-0.93309057806098,CVX
2000-01-12,-44.765,-44.48,-45.355,-44.92,1496300,-44.765,-0.35607626923961,CVX
2000-01-13,-45.045,-43.67,-45.23,-44.515,1626700,-44.92,0.93371757925072,CVX
2000-01-14,-45.39,-44.575,-45.515,-44.795,1836500,-44.515,-0.63956144358155,CVX
2000-01-18,-44.545,-43.545,-44.825,-43.64,2158700,-44.795,2.6551724137931,CVX
2000-01-19,-43.795,-43.795,-44.42,-44.325,2513500,-43.64,-1.5339827566902,CVX
2000-01-20,-44.2,-44.2,-44.89,-44.545,1709900,-44.325,-0.50034114168751,CVX
2000-01-21,-44.355,-43.355,-44.39,-44.015,1973900,-44.545,1.2114285714286,CVX
2000-01-24,-43.545,-43.105,-44.325,-43.89,1768300,-44.015,0.28229448961156,CVX
2000-01-25,-43.89,-43.045,-44.48,-44.015,1927300,-43.89,-0.2814998311001,CVX
2000-01-26,-43.67,-43.42,-45.045,-44.42,1340500,-44.015,-0.91463414634147,CVX
2000-01-27,-44.64,-44.48,-46.515,-46.14,1775400,-44.42,-3.9202279202279,CVX
2000-01-28,-46.515,-46.45,-47.355,-47.015,2033000,-46.14,-2.0756731111375,CVX
2000-01-31,-47.265,-46.325,-47.92,-46.48,1830300,-47.015,1.2960271317829,CVX
2000-02-01,-46.605,-46.075,-47.045,-46.7,1305800,-46.48,-0.52612698792299,CVX
2000-02-02,-46.95,-46.325,-47.075,-46.98,1709400,-46.7,-0.67315783147013,CVX
2000-02-03,-47.23,-47.045,-47.98,-47.575,1756400,-46.98,-1.4401549074186,CVX
2000-02-04,-47.67,-47.67,-49.105,-49.015,2112100,-47.575,-3.5363457760314,CVX
2000-02-07,-48.73,-48.295,-49.075,-48.765,1567800,-49.015,0.63645621181263,CVX
2000-02-08,-48.23,-47.95,-49.14,-49.14,1783700,-48.765,-0.94864659752087,CVX
2000-02-09,-49.075,-48.95,-50.825,-50.795,2401200,-49.14,-4.2267909590091,CVX
2000-02-10,-50.515,-49.575,-50.855,-49.89,1916300,-50.795,2.4133333333333,CVX
2000-02-11,-49.605,-49.48,-52.2,-51.295,2509900,-49.89,-3.6583778153886,CVX
2000-02-14,-51.2,-50.575,-51.48,-51.39,2519900,-51.295,-0.25675675675675,CVX
2000-02-15,-51.075,-49.45,-51.075,-49.545,3071700,-51.39,4.9993225850156,CVX
2000-02-16,-49.095,-48.5,-49.315,-49.065,2374600,-49.545,0.4,CVX
2000-02-17,-48.905,-48.875,-49.69,-49.095,1867900,-49.065,-0.077110911193937,CVX
2000-02-18,-49.22,-49.095,-50.065,-49.875,1785200,-49.095,-2.0064308681672,CVX
2000-02-22,-50.44,-49.875,-50.845,-50.125,1763200,-49.875,-0.65625410158813,CVX
2000-02-23,-50.47,-50.44,-51.565,-51.345,1885000,-50.125,-3.2236755185626,CVX
2000-02-24,-51.315,-51.19,-52.28,-52.25,2707800,-51.345,-2.4709897610922,CVX
2000-02-25,-51.97,-51.595,-53.0,-52.44,3226700,-52.25,-0.53191489361701,CVX
2000-02-28,-52.44,-50.5,-52.53,-50.69,2548900,-52.44,4.9254151421334,CVX
2000-02-29,-50.69,-50.25,-51.25,-50.625,2148300,-50.69,0.17435622317596,CVX
2000-03-01,-50.69,-50.155,-51.655,-50.345,2316700,-50.625,0.74976569821931,CVX
2000-03-02,-50.28,-49.25,-50.5,-50.125,2025200,-50.345,0.58471760797342,CVX
2000-03-03,-50.69,-50.28,-51.19,-50.69,2318800,-50.125,-1.492931695072,CVX
2000-03-06,-50.75,-50.595,-51.125,-50.97,1407200,-50.69,-0.75107296137339,CVX
2000-03-07,-50.69,-46.97,-50.72,-47.47,2802400,-50.97,9.4594594594595,CVX
2000-03-08,-47.905,-45.78,-48.095,-47.44,3631400,-47.47,0.074074074074077,CVX
2000-03-09,-47.815,-45.97,-48.095,-46.345,2153800,-47.44,2.7017024426351,CVX
2000-03-10,-46.19,-45.565,-48.25,-47.78,2692300,-46.345,-3.4474474474475,CVX
2000-03-13,-47.5,-46.095,-48.095,-48.065,2085400,-47.78,-0.70913162478228,CVX
2000-03-14,-47.97,-46.405,-48.315,-46.53,2104700,-48.065,3.8466357599298,CVX
2000-03-15,-46.53,-45.97,-47.53,-46.0,1878100,-46.53,1.2789575289575,CVX
2000-03-16,-46.375,-44.47,-47.125,-45.905,2597200,-46.0,0.22635215630212,CVX
2000-03-17,-46.00125,-45.97,-46.81375,-46.31375,2125500,-45.905,-0.97171044811601,CVX
2000-03-20,-46.19,-45.94,-47.125,-46.5,1140200,-45.905,-1.4144775941995,CVX
2000-03-21,-46.47,-44.72,-46.47,-44.97,1773000,-46.5,3.6894140342416,CVX
2000-03-22,-45.72,-45.095,-46.75,-45.97,1397100,-44.97,-2.3255813953488,CVX
2000-03-23,-46.47,-45.065,-46.845,-45.655,2098900,-45.97,0.74999999999999,CVX
2000-03-24,-45.595,-45.0,-45.595,-45.155,1407600,-45.655,1.1816140848399,CVX
2000-03-27,-45.875,-45.03,-46.75,-45.69,1887100,-45.155,-1.2495620693682,CVX
2000-03-28,-46.19,-45.095,-46.345,-45.53,1630400,-45.69,0.37842951750236,CVX
2000-03-29,-45.565,-43.47,-45.625,-43.72,2653100,-45.53,4.2648444863337,CVX
2000-03-30,-43.375,-41.845,-43.44,-41.875,3911600,-43.72,4.1694915254237,CVX
2000-03-31,-41.845,-40.845,-42.03,-41.75,3141000,-41.875,0.27117908666884,CVX
2000-04-03,-41.655,-41.095,-42.22,-41.815,1788600,-41.75,-0.14063176114236,CVX
2000-04-04,-41.69,-41.345,-43.28,-43.065,3821700,-41.815,-2.7082656266927,CVX
2000-04-05,-43.155,-42.625,-44.28,-44.22,1438000,-43.065,-2.5720966484801,CVX
2000-04-06,-43.97,-43.065,-44.315,-43.5,1149500,-44.22,1.6457142857143,CVX
2000-04-07,-43.5,-43.5,-44.815,-44.75,1438000,-43.5,-2.8108837418484,CVX
2000-04-10,-45.25,-44.25,-45.405,-44.94,1208800,-44.75,-0.43961129106894,CVX
2000-04-11,-44.69,-43.22,-44.69,-43.625,1721700,-44.94,3.0560074366721,CVX
2000-04-12,-43.315,-42.75,-43.75,-43.47,1397700,-43.625,0.34953207802458,CVX
2000-04-13,-43.5,-43.5,-44.5,-44.5,2506600,-43.47,-2.314606741573,CVX
2000-04-14,-44.47,-44.44,-45.25,-45.125,1884700,-44.5,-1.4377731769036,CVX
2000-04-17,-45.47,-45.125,-46.815,-46.5,1991500,-45.125,-3.209242618742,CVX
2000-04-18,-46.595,-45.5,-46.815,-45.69,1505200,-46.5,1.9532191945985,CVX
2000-04-19,-45.815,-44.905,-46.0,-45.595,1513500,-45.69,0.22469252601703,CVX
2000-04-20,-46.405,-44.815,-46.405,-44.815,1112600,-45.595,1.8407079646018,CVX
2000-04-24,-45.315,-44.315,-45.5,-45.345,1499200,-44.815,-1.2281311551385,CVX
2000-04-25,-45.28,-44.875,-45.94,-45.565,1603000,-45.345,-0.51612903225806,CVX
2000-04-26,-44.875,-44.69,-45.25,-44.815,1027800,-45.565,1.768659356208,CVX
2000-04-27,-44.815,-43.47,-44.815,-43.75,1447800,-44.815,2.4678484532499,CVX
2000-04-28,-44.25,-43.75,-45.405,-45.405,1405100,-43.75,-3.7426503844414,CVX
2000-05-01,-45.22,-43.72,-45.22,-44.815,1480600,-45.405,1.3861153529896,CVX
2000-05-02,-44.375,-43.0,-44.405,-43.315,1778900,-44.815,3.4758428919013,CVX
2000-05-03,-43.25,-43.25,-44.315,-44.315,1396900,-43.315,-2.2393908856791,CVX
2000-05-04,-44.19,-43.405,-44.19,-43.78,964100,-44.315,1.2255182682396,CVX
2000-05-05,-43.655,-42.595,-43.94,-42.595,1204800,-43.78,2.6816021724372,CVX
2000-05-08,-42.44,-41.5,-42.595,-42.065,1646000,-42.595,1.168044077135,CVX
2000-05-09,-42.125,-42.095,-43.53,-42.905,996000,-42.065,-1.8298660276658,CVX
2000-05-10,-43.25,-42.03,-43.25,-42.53,1337800,-42.905,0.83213136580495,CVX
2000-05-11,-42.53,-41.25,-42.53,-41.28,1697500,-42.53,2.7508802816901,CVX
2000-05-12,-41.47,-40.815,-41.655,-40.835,1660200,-41.28,0.95309488113086,CVX
2000-05-15,-41.065,-40.595,-41.25,-40.97,1668800,-40.835,-0.28641137159223,CVX
2000-05-16,-40.97,-40.97,-41.94,-41.5,1539900,-40.97,-1.1276595744681,CVX
2000-05-17,-42.27,-41.8,-42.615,-41.99,1501600,-41.5,-1.7538196686034,CVX
2000-05-18,-41.865,-41.615,-42.455,-42.205,884200,-41.99,-0.47092322856205,CVX
2000-05-19,-42.145,-40.675,-42.3,-40.99,1383900,-42.205,2.6738556338028,CVX
2000-05-22,-40.74,-40.205,-40.99,-40.615,1679800,-40.99,0.80377237166434,CVX
2000-05-23,-40.8,-40.8,-41.865,-41.02,1218100,-40.615,-0.86115245587923,CVX
2000-05-24,-40.955,-40.425,-41.27,-40.52,1715300,-41.02,1.0723860589812,CVX
2000-05-25,-40.705,-40.705,-41.925,-41.05,1472400,-40.52,-1.1246684350133,CVX
2000-05-26,-40.74,-40.645,-42.08,-41.955,1149900,-41.05,-1.9422684837429,CVX
2000-05-30,-41.925,-41.8,-42.365,-41.99,1027200,-41.955,-0.076603195447574,CVX
2000-05-31,-41.74,-40.925,-41.865,-41.425,1288900,-41.99,1.2375424378491,CVX
2000-06-01,-41.425,-41.425,-42.925,-42.145,1227600,-41.425,-1.5577672003462,CVX
2000-06-02,-42.645,-42.365,-43.24,-42.365,2274200,-42.145,-0.48351648351648,CVX
2000-06-05,-42.27,-42.02,-42.52,-42.425,1351600,-42.365,-0.13250883392227,CVX
2000-06-06,-42.395,-41.05,-42.425,-41.205,1291000,-42.425,2.6979212737727,CVX
2000-06-07,-40.705,-40.675,-41.8,-41.455,1513100,-41.205,-0.53832902670112,CVX
2000-06-08,-41.425,-41.145,-41.74,-41.365,1044900,-41.455,0.19484736956052,CVX
2000-06-09,-41.145,-41.05,-41.895,-41.645,1623900,-41.365,-0.60501296456353,CVX
2000-06-12,-41.24,-40.395,-41.27,-41.205,2201700,-41.645,0.95652173913043,CVX
2000-06-13,-41.645,-41.49,-41.925,-41.77,1863300,-41.205,-1.2166236003445,CVX
2000-06-14,-41.615,-40.425,-41.615,-41.02,2068000,-41.77,1.6348773841962,CVX
2000-06-15,-41.115,-40.675,-41.645,-41.08,1470900,-41.02,-0.12868632707775,CVX
2000-06-16,-41.33,-40.3,-41.33,-41.27,2445100,-41.08,-0.4080317835284,CVX
2000-06-19,-40.99,-40.925,-42.425,-41.955,1527700,-41.27,-1.4770889487871,CVX
2000-06-20,-41.955,-41.955,-42.8,-42.52,1769400,-41.955,-1.2365944407967,CVX
2000-06-21,-42.58,-41.705,-42.895,-42.01,1755700,-42.52,1.1301939058172,CVX
2000-06-22,-41.74,-41.365,-42.955,-42.865,1261400,-42.01,-1.8735619590227,CVX
2000-06-23,-42.865,-42.395,-42.925,-42.77,1031300,-42.865,0.21214828048236,CVX
2000-06-26,-42.8,-42.395,-43.3,-43.28,1096600,-42.77,-1.1364902506964,CVX
2000-06-27,-43.205,-43.205,-43.52,-43.425,1544400,-43.28,-0.3268342161614,CVX
2000-06-28,-43.52,-43.455,-44.115,-43.86,1449100,-43.425,-0.98371777476256,CVX
2000-06-29,-44.205,-43.675,-44.395,-44.325,1191600,-43.86,-1.0620075368277,CVX
2000-06-30,-44.33,-44.08,-45.365,-45.24,2605300,-44.325,-2.112188365651,CVX
2000-07-03,-45.205,-44.33,-45.205,-44.685,852200,-45.24,1.3088079235939,CVX
2000-07-05,-45.115,-45.115,-46.615,-46.395,2260100,-44.685,-3.9804469273743,CVX
2000-07-06,-46.24,-44.955,-46.24,-45.865,1710800,-46.395,1.2848484848485,CVX
2000-07-07,-45.645,-45.05,-45.77,-45.67,1422800,-45.865,0.46673049305888,CVX
2000-07-10,-45.615,-45.05,-45.645,-45.645,946100,-45.67,0.059559261465154,CVX
2000-07-11,-45.58,-43.865,-45.58,-44.145,1339400,-45.645,3.5714285714286,CVX
2000-07-12,-44.115,-44.115,-44.81,-44.81,1639700,-44.145,-1.5287356321839,CVX
2000-07-13,-44.74,-44.675,-46.02,-45.67,1876600,-44.81,-2.0077039803899,CVX
2000-07-14,-45.8,-45.77,-46.3,-45.77,1354500,-45.67,-0.23823704586063,CVX
2000-07-17,-45.645,-45.395,-46.33,-46.31,1430900,-45.77,-1.289552238806,CVX
2000-07-18,-46.615,-45.925,-47.175,-46.925,1896800,-46.31,-1.4878432321277,CVX
2000-07-19,-46.705,-46.52,-46.83,-46.675,1245900,-46.925,0.6139489194499,CVX
2000-07-20,-46.645,-46.645,-47.645,-47.645,1363300,-46.675,-2.3675860385648,CVX
2000-07-21,-47.645,-47.52,-48.395,-48.395,1683500,-47.645,-1.875,CVX
2000-07-24,-48.3,-48.175,-48.99,-48.955,2236000,-48.395,-1.4267515923567,CVX
2000-07-25,-48.645,-48.58,-49.205,-48.99,2034300,-48.955,-0.090462651848014,CVX
2000-07-26,-48.395,-48.145,-48.99,-48.99,2702100,-48.99,0.0,CVX
2000-07-27,-48.645,-47.08,-48.675,-47.175,2450900,-48.99,4.6953822273962,CVX
2000-07-28,-47.02,-46.455,-47.52,-47.355,1436600,-47.175,-0.44477390659748,CVX
2000-07-31,-47.645,-46.74,-48.3,-48.155,1559300,-47.355,-1.9856043683296,CVX
2000-08-01,-48.395,-47.55,-48.395,-48.205,1445800,-48.155,-0.12661433274248,CVX
2000-08-02,-47.955,-47.52,-47.955,-47.74,1869600,-48.205,1.1790060851927,CVX
2000-08-03,-47.52,-47.145,-48.205,-47.645,1556900,-47.74,0.23806540533767,CVX
2000-08-04,-48.3,-47.52,-48.83,-47.98,1641500,-47.645,-0.8375,CVX
2000-08-07,-47.8,-46.865,-47.83,-47.295,1103300,-47.98,1.7269633177865,CVX
2000-08-08,-47.645,-47.27,-47.8,-47.465,1054100,-47.295,-0.42131350681537,CVX
2000-08-09,-46.895,-46.02,-47.115,-46.35,2030300,-47.465,2.775012444002,CVX
2000-08-10,-46.33,-45.49,-46.33,-45.705,1274400,-46.35,1.5619324373411,CVX
2000-08-11,-45.74,-45.365,-46.08,-45.645,1547300,-45.705,0.14306151645208,CVX
2000-08-14,-46.02,-45.3,-46.02,-45.455,1253800,-45.645,0.45238095238095,CVX
2000-08-15,-45.395,-45.02,-45.895,-45.895,1059000,-45.455,-1.0429011614127,CVX
2000-08-16,-45.505,-44.505,-45.505,-44.59,1775000,-45.895,2.3473053892215,CVX
2000-08-17,-44.6,-43.445,-44.755,-43.725,1540100,-44.59,2.0243388719869,CVX
2000-08-18,-44.475,-43.88,-44.475,-44.305,1553400,-43.725,-1.3304278013534,CVX
2000-08-21,-44.225,-43.725,-44.57,-43.945,749400,-44.305,0.83691735441125,CVX
2000-08-22,-43.82,-43.475,-44.195,-44.005,951800,-43.945,-0.13832853025937,CVX
2000-08-23,-43.505,-42.475,-43.725,-42.88,2339000,-44.005,2.5972526838278,CVX
2000-08-24,-44.005,-43.85,-44.38,-44.225,1537800,-42.88,-3.0265526552655,CVX
2000-08-25,-44.04,-43.57,-44.475,-43.88,1258200,-44.225,0.80055690915419,CVX
2000-08-28,-44.255,-43.29,-44.38,-43.85,918800,-43.88,0.069060773480666,CVX
2000-08-29,-43.88,-43.63,-44.35,-44.32,862200,-43.85,-1.0812054290315,CVX
2000-08-30,-44.415,-44.35,-44.85,-44.765,943200,-44.32,-1.0348837209302,CVX
2000-08-31,-44.505,-44.35,-45.13,-45.06,1304900,-44.765,-0.69322053812713,CVX
2000-09-01,-44.975,-44.04,-44.975,-44.585,1600500,-45.06,1.1239943208708,CVX
2000-09-05,-44.165,-43.725,-44.6,-44.35,860800,-44.585,0.54990054990055,CVX
2000-09-06,-44.04,-42.975,-44.04,-43.255,1397000,-44.35,2.5482895043053,CVX
2000-09-07,-42.57,-42.57,-43.225,-43.165,1725000,-43.255,0.20424373085216,CVX
