date,open,high,low,close,volume,preClose,changeRatio,thscode
2000-01-03,13.065,13.86,12.69,13.805,8400500,13.18,2.1656271656272,DIS
2000-01-04,13.98,15.775,13.92,15.53,16047900,13.805,5.8504324232661,DIS
2000-01-05,16.025,17.01,15.53,16.82,19819800,15.53,4.1332906119833,DIS
2000-01-06,16.88,17.01,15.53,15.53,7901600,16.82,-3.9692307692308,DIS
2000-01-07,15.895,16.025,14.72,15.035,6772200,15.53,-1.5860301185517,DIS
2000-01-10,18.855,19.78,17.87,19.725,33960000,15.035,15.269412339248,DIS
2000-01-11,19.405,20.58,19.1,20.09,20130700,19.725,1.0309278350516,DIS
2000-01-12,19.725,19.78,17.185,17.56,13098300,20.09,-7.0729661727705,DIS
2000-01-13,18.3,18.855,17.68,18.665,8730600,17.56,3.3243080625752,DIS
2000-01-14,18.665,18.855,17.315,17.435,8149900,18.665,-3.5813073227544,DIS
2000-01-18,17.62,18.665,16.94,18.36,8100100,17.435,2.7932960893855,DIS
2000-01-19,18.175,18.795,17.925,18.61,6550000,18.36,0.73443008225617,DIS
2000-01-20,18.855,19.29,17.315,17.505,7210600,18.61,-3.2225138524351,DIS
2000-01-21,17.435,17.505,16.575,16.635,8282500,17.505,-2.6216664155492,DIS
2000-01-24,16.88,17.87,16.27,17.185,8341300,16.635,1.7019959771004,DIS
2000-01-25,21.815,21.815,20.335,21.32,29905200,17.185,12.581773923627,DIS
2000-01-26,21.26,21.26,20.215,20.465,10398600,21.32,-2.3108108108108,DIS
2000-01-27,20.71,21.45,20.465,20.955,9816500,20.465,1.3556508507401,DIS
2000-01-28,20.64,21.32,20.275,20.58,7499400,20.955,-1.0236113006688,DIS
2000-01-31,19.9,20.275,19.655,20.145,7907500,20.58,-1.1996690568119,DIS
2000-02-01,19.84,20.275,19.78,19.84,7235700,20.145,-0.85136078157711,DIS
2000-02-02,19.78,21.815,19.655,21.075,9409400,19.84,3.4769144144144,DIS
2000-02-03,21.45,22.31,21.38,21.695,10907200,21.075,1.6868453271664,DIS
2000-02-04,21.815,22.06,20.83,21.945,6271700,21.695,0.66889632107023,DIS
2000-02-07,21.815,22.25,21.38,21.815,6152300,21.945,-0.34551495016612,DIS
2000-02-08,21.45,21.755,20.83,21.38,5779300,21.815,-1.1601546872916,DIS
2000-02-09,21.135,22.8,20.955,21.51,6162400,21.38,0.35078251484079,DIS
