date,open,high,low,close,volume,preClose,changeRatio,thscode
2019-04-02,38.32,40.59,37.5,39.45,17414153,36.7,5.1401869158878,DOW
2019-04-03,40.28,40.4,38.71,40.08,15066169,39.45,1.12,DOW
2019-04-04,40.4,43.72,40.3,42.91,13311868,40.08,4.9753867791842,DOW
2019-04-05,41.59,42.18,39.47,40.44,17000788,42.91,-4.1366605258751,DOW
2019-04-08,39.7,41.59,39.47,40.35,10764569,40.44,-0.15723270440252,DOW
2019-04-09,40.0,40.4,39.28,39.47,9179922,40.35,-1.5398075240595,DOW
2019-04-10,39.19,39.61,38.3,38.91,9081860,39.47,-0.99520170606007,DOW
2019-04-11,38.9,39.41,38.03,38.09,7346094,38.91,-1.4719080954945,DOW
2019-04-12,39.13,41.53,39.13,41.5,9281662,38.09,6.2124248496994,DOW
2019-04-15,41.77,42.05,40.49,40.98,5727269,41.5,-0.89193825042881,DOW
2019-04-16,41.91,42.19,41.04,41.7,6681567,40.98,1.2461059190031,DOW
2019-04-17,42.15,42.25,41.4,41.52,6420663,41.7,-0.30769230769231,DOW
2019-04-18,41.56,41.81,40.75,40.97,5178855,41.52,-0.94307270233196,DOW
2019-04-22,40.68,41.61,40.46,41.09,4401749,40.97,0.20772027003635,DOW
2019-04-23,40.49,41.04,40.2,40.84,5687232,41.09,-0.43185351528761,DOW
2019-04-24,40.69,41.09,39.065,39.18,5431323,40.84,-2.8799444829979,DOW
2019-04-25,38.96,39.18,38.02,38.53,6260460,39.18,-1.1611289746338,DOW
2019-04-26,38.5,38.8,38.15,38.45,4009795,38.53,-0.14458702331465,DOW
2019-04-29,38.25,38.885,38.0,38.7,5935245,38.45,0.45248868778281,DOW
2019-04-30,38.96,40.405,38.8,39.93,6454064,38.7,2.2162162162162,DOW
2019-05-01,40.02,40.68,39.08,39.33,7644453,39.93,-1.0576414595452,DOW
2019-05-02,38.74,39.69,35.23,35.9,13932682,39.33,-6.1108141813647,DOW
2019-05-03,36.4,36.55,34.92,36.5,7401851,35.9,1.1385199240987,DOW
2019-05-06,35.35,37.23,34.9,36.66,6089501,36.5,0.30018761726079,DOW
2019-05-07,36.06,36.525,35.85,36.15,7330785,36.66,-0.95398428731762,DOW
2019-05-08,36.53,36.595,35.51,35.68,5390685,36.15,-0.88762983947121,DOW
2019-05-09,35.46,36.34,34.75,36.13,4579758,35.68,0.85746951219513,DOW
2019-05-10,36.14,36.914,35.69,36.27,4758371,36.13,0.26450028339316,DOW
2019-05-13,35.48,35.75,33.96,34.15,4213102,36.27,-3.9947239495007,DOW
2019-05-14,34.53,36.2,34.04,35.68,4204519,34.15,3.0029440628067,DOW
2019-05-15,35.18,36.525,34.87,36.15,2928861,35.68,0.89557926829269,DOW
2019-05-16,36.49,36.75,35.93,36.18,3689745,36.15,0.056657223796023,DOW
2019-05-17,35.54,35.72,33.86,34.0,4440775,36.18,-4.1147602869007,DOW
2019-05-20,33.6,33.74,33.12,33.28,5168422,34.0,-1.4173228346457,DOW
2019-05-21,33.48,34.39,33.22,33.83,4968460,33.28,1.0982428115016,DOW
2019-05-22,33.66,33.81,33.165,33.41,3019120,33.83,-0.8295476989927,DOW
2019-05-23,32.7,33.06,31.41,31.91,4919173,33.41,-2.9874526986656,DOW
2019-05-24,32.59,32.775,31.64,32.4,2918936,31.91,1.0059536029563,DOW
2019-05-28,32.57,32.63,31.3,31.76,6613184,32.4,-1.3008130081301,DOW
2019-05-29,31.4,32.63,31.21,31.91,3525856,31.76,0.30889621087314,DOW
2019-05-30,32.02,32.49,31.92,32.37,3777607,31.91,-0.49271196879491,DOW
2019-05-31,31.86,31.9,30.65,30.66,3396850,32.37,-3.5279554363524,DOW
2019-06-03,30.75,31.86,30.75,31.86,5905198,30.66,2.5662959794696,DOW
2019-06-04,32.58,33.83,32.54,33.83,7043092,31.86,4.1075896580484,DOW
2019-06-05,34.39,34.47,32.95,34.24,6413509,33.83,0.82114960945324,DOW
2019-06-06,34.18,35.21,34.05,34.96,6228075,34.24,1.430274135876,DOW
2019-06-07,35.03,35.59,34.77,35.2,5391099,34.96,0.47003525264394,DOW
2019-06-10,35.62,36.0,35.48,35.52,5434387,35.2,0.62378167641326,DOW
2019-06-11,35.9,36.07,35.46,35.94,5144357,35.52,0.81363812475785,DOW
2019-06-12,35.96,36.54,35.58,36.39,3103878,35.94,0.86471944657956,DOW
2019-06-13,36.58,36.85,35.94,36.78,4179766,36.39,0.74299866641265,DOW
2019-06-14,36.53,36.59,34.9,35.05,3919484,36.78,-3.2715582450832,DOW
2019-06-17,33.96,34.23,32.95,33.25,5787336,35.05,-3.5190615835777,DOW
2019-06-18,33.65,34.47,33.3,33.51,5014237,33.25,0.52684903748733,DOW
2019-06-19,33.85,34.14,32.23,32.4,5404141,33.51,-2.2374521265874,DOW
2019-06-20,32.995,33.49,32.52,32.83,4228328,32.4,0.88659793814433,DOW
2019-06-21,32.72,33.17,32.21,32.26,9478466,32.83,-1.1649294911097,DOW
2019-06-24,32.41,33.6,32.22,33.48,4602352,32.26,2.5227460711332,DOW
2019-06-25,33.39,34.123,32.95,33.59,4005218,33.48,0.22186365469947,DOW
2019-06-26,33.75,35.12,33.71,34.35,5244396,33.59,1.5294827933186,DOW
2019-06-27,34.51,35.04,34.431,34.81,4097246,34.35,0.91179385530227,DOW
2019-06-28,34.94,35.1,32.98,33.21,6507386,34.81,-3.1428010214103,DOW
2019-07-01,33.9,34.1,33.42,34.06,4659633,33.21,1.7237882782397,DOW
2019-07-02,33.9,33.96,32.66,33.3,4726195,34.06,-1.5151515151515,DOW
2019-07-03,33.36,33.55,33.1,33.23,2479359,33.3,-0.1417004048583,DOW
2019-07-05,32.91,33.27,32.86,33.21,2529919,33.23,-0.04054327995134,DOW
2019-07-08,33.24,33.4,32.285,32.42,5936049,33.21,-1.6021091056581,DOW
2019-07-09,32.2,32.33,31.4,31.77,4967429,32.42,-1.3396537510305,DOW
2019-07-10,32.24,32.32,31.42,31.45,3507432,31.77,-0.66847712554836,DOW
2019-07-11,31.63,31.96,31.08,31.68,4202113,31.45,0.48370136698213,DOW
