date,open,high,low,close,volume,preClose,changeRatio,thscode
2000-01-03,-0.95999999999992,-0.3969999999999,-5.772,-4.397,8694100,-0.83499999999991,-5.1810909090909,HD
2000-01-04,-5.585,-5.272,-8.335,-7.835,6405400,-4.397,-5.273976805547,HD
2000-01-05,-7.835,-6.585,-8.585,-8.147,4866100,-7.835,-0.50526315789473,HD
2000-01-06,-7.96,-7.585,-9.46,-9.46,5102300,-8.147,-2.1371138383411,HD
2000-01-07,-7.835,-6.772,-8.835,-6.772,4785200,-9.46,4.4706860706861,HD
2000-01-10,-7.585,-6.022,-7.585,-6.397,4106200,-6.772,0.59701017305335,HD
2000-01-11,-6.147,-5.96,-8.335,-8.022,3258300,-6.397,-2.5716908273723,HD
2000-01-12,-8.022,-7.585,-8.897,-8.522,3618600,-8.022,-0.81217614476228,HD
2000-01-13,-7.46,-7.147,-8.085,-7.46,3119400,-8.522,1.7391873966232,HD
2000-01-14,-7.21,-7.21,-8.335,-7.647,3685800,-7.46,-0.3010060362173,HD
2000-01-18,-8.335,-8.335,-9.46,-9.272,4002700,-7.647,-2.6235913332688,HD
2000-01-19,-9.46,-7.147,-9.46,-7.897,4001000,-9.272,2.2797738464344,HD
2000-01-20,-8.022,-7.835,-9.71,-8.772,5648400,-7.897,-1.4184282194268,HD
2000-01-21,-8.085,-8.085,-10.147,-9.835,5482300,-8.772,-1.7479815171098,HD
2000-01-24,-8.647,-8.647,-12.897,-12.46,5245900,-9.835,-4.3933054393305,HD
2000-01-25,-12.585,-12.46,-14.71,-13.71,7719700,-12.46,-2.1881838074398,HD
2000-01-26,-13.647,-11.897,-14.522,-12.21,6702400,-13.71,2.6845637583893,HD
2000-01-27,-11.71,-11.647,-13.397,-11.71,5676600,-12.21,0.87145969498911,HD
2000-01-28,-12.585,-12.147,-14.085,-13.96,6388900,-11.71,-3.8876889848812,HD
2000-01-31,-13.085,-12.96,-14.522,-12.96,4858800,-13.96,1.7977528089888,HD
2000-02-01,-12.647,-8.272,-12.647,-8.71,8764200,-12.96,7.5055187637969,HD
2000-02-02,-8.585,-8.585,-9.96,-9.585,4871800,-8.71,-1.4373716632444,HD
2000-02-03,-9.085,-8.96,-10.585,-9.46,3073600,-9.585,0.20833333333333,HD
2000-02-04,-8.585,-8.085,-9.272,-8.71,3084700,-9.46,1.2474012474012,HD
2000-02-07,-8.585,-8.585,-10.46,-10.085,3063400,-8.71,-2.258726899384,HD
2000-02-08,-9.835,-8.147,-10.022,-8.21,3447800,-10.085,3.1512605042017,HD
2000-02-09,-8.272,-8.272,-10.71,-10.585,3839300,-8.21,-3.8696537678208,HD
2000-02-10,-10.585,-9.647,-11.21,-10.022,2676300,-10.585,0.9542372881356,HD
2000-02-11,-10.085,-9.085,-10.397,-9.647,3759200,-10.022,0.62958548091936,HD
2000-02-14,-10.085,-9.147,-10.147,-9.272,2473800,-9.647,0.62564650138476,HD
2000-02-15,-9.522,-9.397,-10.522,-10.022,2824100,-9.272,-1.2435130071461,HD
2000-02-16,-10.835,-10.272,-13.835,-13.147,5187100,-10.022,-5.246545674328,HD
2000-02-17,-12.335,-12.147,-16.022,-14.96,7907600,-13.147,-3.2123746411992,HD
2000-02-18,-15.022,-13.772,-16.71,-15.522,8090900,-14.96,-1.0288329519451,HD
2000-02-22,-15.46,-14.022,-16.46,-15.772,6173400,-15.522,-0.46242346891589,HD
2000-02-23,-15.397,-14.71,-16.71,-14.772,6533700,-15.772,1.8582870310148,HD
2000-02-24,-14.647,-14.46,-16.96,-16.522,7763600,-14.772,-3.1926732709394,HD
2000-02-25,-16.085,-15.335,-16.835,-16.522,6155600,-16.522,0.0,HD
2000-02-28,-15.835,-12.71,-16.647,-13.147,8119800,-16.522,6.3603640955091,HD
2000-02-29,-12.147,-11.147,-12.772,-11.772,7119900,-13.147,2.436301782487,HD
2000-03-01,-11.772,-11.335,-15.272,-13.96,6504000,-11.772,-3.7846159168353,HD
2000-03-02,-14.022,-13.397,-15.397,-14.71,5352000,-13.96,-1.3483146067416,HD
2000-03-03,-14.085,-13.772,-15.21,-14.897,5835400,-14.71,-0.34077448747152,HD
2000-03-06,-15.21,-14.96,-16.46,-16.085,4819800,-14.897,-2.172322995904,HD
2000-03-07,-14.545,-14.545,-17.732,-17.732,8491900,-16.085,-3.1532710280374,HD
2000-03-08,-17.232,-15.795,-17.857,-16.607,6630500,-17.732,2.1712697585548,HD
2000-03-09,-16.232,-14.045,-17.795,-14.17,5736400,-16.607,4.6034984321281,HD
2000-03-10,-13.92,-13.732,-16.17,-15.857,4456000,-14.17,-3.0465011286682,HD
2000-03-13,-16.92,-16.357,-17.732,-16.545,4412500,-15.857,-1.2814781701684,HD
2000-03-14,-16.795,-16.232,-17.607,-17.357,5094600,-16.545,-1.5320754716981,HD
2000-03-15,-16.92,-12.295,-17.607,-12.295,8097100,-17.357,9.6995477887637,HD
2000-03-16,-10.545,-7.67,-10.795,-7.67,12165000,-12.295,8.0786026200873,HD
2000-03-17,-8.045,-4.982,-8.045,-6.17,13587500,-7.67,2.4242424242424,HD
2000-03-20,-6.107,-5.607,-7.607,-5.607,5350300,-6.17,0.88836291913215,HD
2000-03-21,-5.92,-4.857,-7.67,-6.107,5552300,-5.607,-0.78200756983328,HD
2000-03-22,-7.17,-5.607,-8.42,-6.482,4746500,-6.107,-0.59112834578644,HD
2000-03-23,-6.482,-5.232,-7.357,-5.42,5540300,-6.482,1.6840302554588,HD
2000-03-24,-5.545,-4.232,-6.045,-5.17,5903600,-5.42,0.38986354775828,HD
2000-03-27,-5.17,-4.92,-6.545,-5.607,3828000,-5.17,-0.67883495145631,HD
2000-03-28,-6.482,-3.795,-6.482,-4.982,4848400,-5.607,0.97750946229159,HD
2000-03-29,-4.67,-1.3569999999999,-4.67,-1.5449999999999,6945100,-4.982,5.323482489971,HD
2000-03-30,-1.5449999999999,-0.044999999999898,-3.545,-2.545,7934300,-1.5449999999999,-1.4705882352941,HD
2000-03-31,-2.545,-2.2319999999999,-5.045,-5.045,5169700,-2.545,-3.7313432835821,HD
2000-04-03,-4.045,-1.4819999999999,-4.045,-1.7949999999999,5898500,-5.045,5.0387596899225,HD
2000-04-04,-1.7949999999999,-0.91999999999991,-6.045,-5.545,8330200,-1.7949999999999,-5.5350553505535,HD
2000-04-05,-6.045,-4.92,-6.545,-6.482,5246300,-5.545,-1.4640625,HD
2000-04-06,-5.607,-2.67,-6.295,-3.545,4234800,-6.482,4.6572475143904,HD
2000-04-07,-3.42,-2.295,-4.795,-4.67,3425600,-3.545,-1.7045454545455,HD
2000-04-10,-4.42,-2.295,-5.232,-2.857,3992300,-4.67,2.7946050096339,HD
2000-04-11,-3.857,-2.1699999999999,-3.92,-2.1699999999999,3714600,-2.857,1.0301703454894,HD
2000-04-12,-1.3569999999999,0.4550000000001,-3.232,-3.232,7081600,-2.1699999999999,-1.5762523191095,HD
2000-04-13,-3.232,-3.232,-9.482,-8.795,7953100,-3.232,-8.3890036644399,HD
2000-04-14,-9.545,-9.295,-12.545,-11.982,7695600,-8.795,-5.2460905349794,HD
2000-04-17,-13.17,-11.357,-14.232,-12.795,8667000,-11.982,-1.4123655820579,HD
2000-04-18,-12.545,-10.295,-13.482,-10.857,7233700,-12.795,3.4149779735683,HD
2000-04-19,-10.857,-9.545,-11.92,-10.732,5078400,-10.857,0.2129907306434,HD
2000-04-20,-11.42,-10.42,-12.295,-10.92,4111100,-10.732,-0.31965721864214,HD
2000-04-24,-11.545,-7.795,-11.67,-9.982,4850200,-10.92,1.6,HD
2000-04-25,-9.295,-9.232,-10.857,-10.545,5227700,-9.982,-0.94521766868694,HD
2000-04-26,-10.045,-8.67,-10.107,-9.045,4469400,-10.545,2.5423728813559,HD
2000-04-27,-9.545,-9.545,-11.295,-10.732,4940000,-9.045,-2.7884297520661,HD
2000-04-28,-11.295,-10.67,-14.045,-13.482,6476300,-10.732,-4.6758369748185,HD
2000-05-01,-13.045,-11.67,-13.42,-12.92,4360000,-13.482,1.0024436794321,HD
2000-05-02,-12.295,-11.607,-13.482,-12.92,3961700,-12.92,0.0,HD
2000-05-03,-14.045,-14.045,-16.982,-15.67,6666000,-12.92,-4.8565121412804,HD
2000-05-04,-15.795,-15.795,-17.732,-17.545,6863800,-15.67,-3.4802784222738,HD
2000-05-05,-17.732,-16.045,-17.982,-16.232,6344100,-17.545,2.525,HD
2000-05-08,-16.42,-15.42,-17.545,-15.982,5133800,-16.232,0.46892877909703,HD
2000-05-09,-15.982,-14.982,-17.795,-17.045,4821700,-15.982,-1.9845789070814,HD
2000-05-10,-17.045,-15.295,-17.857,-15.545,6547300,-17.045,2.8571428571429,HD
2000-05-11,-15.045,-14.295,-16.482,-16.107,4413300,-15.545,-1.0407407407407,HD
2000-05-12,-15.795,-14.295,-15.92,-15.67,3683400,-16.107,0.81777012612747,HD
2000-05-15,-16.045,-12.67,-16.045,-13.045,5611300,-15.67,4.8723897911833,HD
2000-05-16,-13.045,-13.045,-17.545,-16.545,13052500,-13.045,-6.1946902654867,HD
2000-05-17,-16.795,-16.107,-18.045,-17.67,7027500,-16.545,-2.122641509434,HD
2000-05-18,-17.67,-16.17,-18.232,-17.92,6951400,-17.67,-0.48192771084337,HD
2000-05-19,-18.357,-17.295,-18.482,-17.982,5682600,-17.92,-0.12009685230024,HD
2000-05-22,-17.857,-17.607,-19.545,-19.17,5313500,-17.982,-2.3039776583985,HD
2000-05-23,-18.92,-18.42,-21.295,-20.857,6293100,-19.17,-3.3488833746898,HD
2000-05-24,-21.545,-21.545,-25.42,-23.17,17769300,-20.857,-4.7506572461387,HD
2000-05-25,-21.545,-19.732,-21.982,-21.357,8604400,-23.17,3.9094339622642,HD
2000-05-26,-21.045,-20.795,-23.295,-22.92,4711400,-21.357,-3.243546111065,HD
2000-05-30,-22.045,-21.732,-22.92,-22.795,4767600,-22.92,0.26809651474531,HD
2000-05-31,-22.795,-20.42,-22.857,-20.732,6583700,-22.795,4.4128342245989,HD
2000-06-01,-20.545,-19.482,-21.045,-19.67,6049000,-20.732,2.1756499293221,HD
2000-06-02,-16.795,-15.607,-17.545,-15.92,8388800,-19.67,7.5187969924812,HD
2000-06-05,-16.045,-15.982,-17.295,-17.17,3858000,-15.92,-2.3310023310023,HD
2000-06-06,-17.482,-17.482,-19.357,-19.17,6753000,-17.17,-3.81861575179,HD
2000-06-07,-18.295,-17.795,-19.67,-18.732,4581800,-19.17,0.86947890818859,HD
2000-06-08,-18.107,-18.107,-20.045,-19.17,5036400,-18.732,-0.86198413791747,HD
2000-06-09,-19.17,-18.357,-21.545,-21.482,5466100,-19.17,-4.5895781637717,HD
2000-06-12,-21.982,-21.982,-24.545,-23.482,12584100,-21.482,-4.1612050849926,HD
2000-06-13,-23.38,-19.817,-23.567,-20.63,9177000,-23.482,6.1046827171482,HD
2000-06-14,-19.755,-18.567,-20.442,-18.942,8827700,-20.63,3.4537084398977,HD
2000-06-15,-18.567,-18.255,-19.192,-18.63,5048400,-18.942,0.61705199454146,HD
2000-06-16,-18.63,-18.505,-19.942,-19.692,7158700,-18.63,-2.0874692874693,HD
2000-06-19,-20.13,-19.505,-20.755,-19.755,5058600,-19.692,-0.12647300905387,HD
2000-06-20,-20.38,-19.755,-21.13,-20.63,5080900,-19.755,-1.7587939698492,HD
2000-06-21,-20.63,-20.63,-21.817,-21.192,3773900,-20.63,-1.1498721227621,HD
