date,open,high,low,close,volume,preClose,changeRatio,thscode
2000-01-03,21.718,25.093,21.28,24.843,7938400,17.16,7.1218020022247,IBM
2000-01-04,23.28,23.718,20.155,21.343,6493000,24.843,-3.0286510388273,IBM
2000-01-05,22.218,28.905,21.468,27.53,9977000,21.343,5.5210015794687,IBM
2000-01-06,27.28,28.218,24.093,26.53,6563900,27.53,-0.84566596194503,IBM
2000-01-07,26.53,27.218,19.905,22.78,9926300,26.53,-3.1982942430704,IBM
2000-01-10,25.843,28.655,24.78,27.718,6797900,22.78,4.3506607929515,IBM
2000-01-11,27.155,30.343,25.905,28.155,6110600,27.718,0.36896941859876,IBM
2000-01-12,28.905,31.28,27.78,29.155,5374600,28.155,0.84121976866456,IBM
2000-01-13,29.218,30.28,25.28,27.53,7233800,29.155,-1.3555787278415,IBM
2000-01-14,30.218,32.593,26.843,28.968,8659900,27.53,1.216067653277,IBM
2000-01-18,28.968,29.03,24.843,24.843,5743100,28.968,-3.446460798075,IBM
2000-01-19,24.843,25.905,21.968,24.78,6580400,24.843,-0.054515718698894,IBM
2000-01-20,33.03,34.03,29.593,31.155,14509800,24.78,5.5194805194805,IBM
2000-01-21,31.155,32.28,29.218,30.53,6714300,31.155,-0.51282051282051,IBM
2000-01-24,31.155,32.155,25.843,27.343,5052800,30.53,-2.6284536082474,IBM
2000-01-25,26.03,28.78,25.28,28.78,5734800,27.343,1.2171467775679,IBM
2000-01-26,28.343,29.218,25.905,26.155,4032100,28.78,-2.1966527196653,IBM
2000-01-27,27.28,27.718,20.968,22.843,7122300,26.155,-2.8337967914438,IBM
2000-01-28,22.03,23.468,19.343,20.843,5507400,22.843,-1.7611369900408,IBM
2000-01-31,20.655,22.093,18.905,21.468,4976000,20.843,0.56022157883886,IBM
2000-02-01,21.655,22.718,18.405,18.905,5780700,21.468,-2.284558063251,IBM
2000-02-02,21.28,25.093,19.655,22.843,6289900,18.905,3.5922462941847,IBM
2000-02-03,24.28,26.78,23.343,26.53,5116400,22.843,3.2466560411402,IBM
2000-02-04,27.468,27.718,24.155,24.905,4425200,26.53,-1.3859275053305,IBM
2000-02-07,25.28,26.155,22.468,23.405,4656800,24.905,-1.2972972972973,IBM
2000-02-08,26.338,28.4,25.588,28.4,4365200,23.405,4.2716319824754,IBM
2000-02-09,28.4,29.15,26.525,26.525,4460500,28.4,-1.5756302521008,IBM
2000-02-10,27.088,28.525,26.275,28.525,3654900,26.525,1.7075773745998,IBM
2000-02-11,28.463,28.838,23.963,24.713,4961500,28.525,-3.2,IBM
2000-02-14,25.4,25.775,23.9,25.4,3805400,24.713,0.59576977444,IBM
2000-02-15,25.275,26.838,23.275,26.275,4450800,25.4,0.75431034482759,IBM
2000-02-16,25.9,26.713,24.65,25.025,3408300,26.275,-1.0695187165775,IBM
2000-02-17,25.9,28.275,25.213,26.4,4360300,25.025,1.1891891891892,IBM
2000-02-18,24.65,25.338,21.713,22.025,6700400,26.4,-3.7393162393162,IBM
2000-02-22,21.4,22.838,18.213,20.463,6459200,22.025,-1.3869034406215,IBM
2000-02-23,19.9,19.9,17.9,18.15,7435300,20.463,-2.0826017665649,IBM
2000-02-24,18.213,20.4,17.588,20.275,9112000,18.15,1.9540229885057,IBM
2000-02-25,19.275,19.275,14.4,15.025,10312200,20.275,-4.7350620067644,IBM
2000-02-28,14.025,15.775,13.338,13.838,8479900,15.025,-1.1237869822485,IBM
2000-02-29,14.963,14.963,10.338,11.4,10484900,13.838,-2.334399356556,IBM
2000-03-01,11.4,14.9,9.463,9.838,10807800,11.4,-1.5313725490196,IBM
2000-03-02,9.9,14.838,8.963,12.775,11192900,9.838,2.9241920388697,IBM
2000-03-03,16.65,19.4,15.463,18.4,10162500,12.775,5.4413542926239,IBM
2000-03-06,19.338,20.4,10.4,12.463,10747400,18.4,-5.4467889908257,IBM
2000-03-07,15.4,16.4,11.088,12.15,10035100,12.463,-0.30369773827659,IBM
2000-03-08,12.4,16.275,12.15,15.275,8320500,12.15,3.0413625304136,IBM
2000-03-09,15.9,17.025,13.588,17.025,6334100,15.275,1.6528925619835,IBM
2000-03-10,17.025,18.4,14.463,14.463,7093200,17.025,-2.380487804878,IBM
2000-03-13,13.4,18.4,11.963,17.088,7871000,14.463,2.4985008994603,IBM
2000-03-14,17.15,19.4,16.775,18.4,7973700,17.088,1.2183344476636,IBM
2000-03-15,16.9,17.65,15.525,15.9,5665900,18.4,-2.2935779816514,IBM
2000-03-16,18.4,19.213,17.275,18.463,6622500,15.9,2.4065727699531,IBM
2000-03-17,17.65,21.088,17.088,19.338,8857300,18.463,0.80228858549646,IBM
2000-03-20,19.4,22.775,19.338,22.213,6563500,19.338,2.615110334916,IBM
2000-03-21,22.213,24.088,21.338,22.838,6771600,22.213,0.55401416503417,IBM
2000-03-22,23.9,24.775,23.275,23.775,6137800,22.838,0.82600186886228,IBM
2000-03-23,25.275,25.275,21.025,24.338,6492400,23.775,0.49224043715847,IBM
2000-03-24,24.775,31.4,24.463,30.4,12125600,24.338,5.2741478014234,IBM
2000-03-27,34.4,37.4,34.025,35.963,11862900,30.4,4.597520661157,IBM
2000-03-28,35.15,36.4,31.65,31.65,8149600,35.963,-3.4077890062657,IBM
2000-03-29,31.713,31.838,27.963,28.65,7312200,31.65,-2.4539877300613,IBM
2000-03-30,28.275,32.4,28.15,31.9,9158000,28.65,2.7253668763103,IBM
2000-03-31,32.025,33.15,26.463,27.4,8015200,31.9,-3.6734693877551,IBM
2000-04-03,29.4,31.775,28.838,31.275,7715600,27.4,3.2838983050847,IBM
2000-04-04,30.9,36.338,24.525,30.4,16667700,31.275,-0.71794871794872,IBM
2000-04-05,29.9,35.088,29.15,32.838,8445000,30.4,2.0148760330579,IBM
2000-04-06,32.9,37.4,32.025,32.525,8887400,32.838,-0.25356859313988,IBM
2000-04-07,32.9,35.088,30.9,32.463,5380300,32.525,-0.050355329949237,IBM
2000-04-10,34.15,34.713,30.963,31.588,5507300,32.463,-0.71101793390377,IBM
2000-04-11,31.025,31.025,27.213,28.4,7738700,31.588,-2.6090941827348,IBM
2000-04-12,29.025,29.025,21.275,21.838,8888600,28.4,-5.5142857142857,IBM
2000-04-13,21.9,23.588,19.4,19.9,8236400,21.838,-1.7236165709102,IBM
2000-04-14,19.213,22.025,12.275,13.4,11782000,19.9,-5.8823529411765,IBM
2000-04-17,13.275,21.65,12.9,21.65,9969400,13.4,7.9326923076923,IBM
2000-04-18,21.65,24.525,19.463,24.525,8205500,21.65,2.5612472160356,IBM
2000-04-19,19.15,19.15,12.4,13.9,14674600,24.525,-9.229098805646,IBM
2000-04-20,14.4,14.65,11.463,13.4,10633300,13.9,-0.47846889952153,IBM
2000-04-24,11.4,16.525,10.65,15.4,8523100,13.4,1.9230769230769,IBM
2000-04-25,15.9,22.15,15.9,21.525,9576400,15.4,5.7783018867925,IBM
2000-04-26,21.9,23.15,18.65,20.213,6182800,21.525,-1.1701226309922,IBM
2000-04-27,18.9,22.525,18.213,19.838,6317500,20.213,-0.33840794852589,IBM
2000-04-28,21.4,22.088,19.525,21.025,4888600,19.838,1.0748112062877,IBM
2000-05-01,21.9,22.588,19.9,21.338,4196100,21.025,0.28040313549832,IBM
2000-05-02,20.4,23.025,20.15,20.775,4085000,21.338,-0.50295699405028,IBM
2000-05-03,19.9,20.525,16.025,17.4,5543800,20.775,-3.030303030303,IBM
