date,open,high,low,close,volume,preClose,changeRatio,thscode
2000-01-03,23.9826,26.0376,23.9726,25.8476,28854500,23.5026,5.6979710849228,INTC
2000-01-04,25.0676,26.2876,23.4726,23.8176,25506700,25.8476,-4.6666666666667,INTC
2000-01-05,23.8476,25.2876,22.5976,24.1626,26194500,23.8176,0.83192669399566,INTC
2000-01-06,23.2226,24.0376,21.4426,21.7226,27587200,24.1626,-5.8352265933277,INTC
2000-01-07,21.0976,23.3476,21.0376,23.3476,20548200,21.7226,4.1269841269841,INTC
2000-01-10,25.2226,25.9726,24.4126,25.2226,26811500,23.3476,4.5731707317073,INTC
2000-01-11,26.6276,28.5376,26.4876,27.1926,52752700,25.2226,4.5947521865889,INTC
2000-01-12,27.7876,29.7226,26.9726,27.9726,48666000,27.1926,1.7393243393912,INTC
2000-01-13,28.6926,28.8476,27.0026,27.8776,38052100,27.9726,-0.20821917808219,INTC
2000-01-14,31.5976,35.6626,31.4726,33.8776,92202600,27.8776,13.178124313639,INTC
2000-01-18,32.4976,35.2226,32.4726,33.4126,51050300,33.8776,-0.90238695905299,INTC
2000-01-19,32.8476,33.4126,32.2876,32.3776,22784000,33.4126,-2.0268285518457,INTC
2000-01-20,32.2226,32.7526,30.0676,30.1626,35001000,32.3776,-4.4273435938437,INTC
2000-01-21,30.3476,31.4726,30.1626,31.3176,27779100,30.1626,2.4155599707205,INTC
2000-01-24,33.4626,34.7876,31.4726,31.7526,37419100,31.3176,0.88829895854605,INTC
2000-01-25,32.0376,33.2526,31.0676,33.1276,25692200,31.7526,2.7831191174982,INTC
2000-01-26,32.7226,32.9426,30.5376,30.5976,24653100,33.1276,-4.9822764868058,INTC
2000-01-27,32.0376,32.9126,30.0976,31.4126,30739600,30.5976,1.6891191709845,INTC
2000-01-28,30.9726,31.7226,28.8776,29.3476,26961600,31.4126,-4.2087027412616,INTC
2000-01-31,29.1626,31.8776,28.7876,31.8176,34226600,29.3476,5.2553191489362,INTC
2000-02-01,31.5376,33.0976,30.6626,33.0676,24025700,31.8176,2.5267839094401,INTC
2000-02-02,32.8476,33.8176,32.1926,32.3776,26040300,33.0676,-1.3604100946372,INTC
2000-02-03,33.2076,34.6776,32.7376,34.4576,28063000,32.3776,4.1275234859085,INTC
2000-02-04,34.5526,36.4876,34.4876,34.7376,27976900,34.4576,0.53747960456858,INTC
2000-02-07,34.8326,36.4276,34.4276,36.3326,21399500,34.7376,3.0453460620525,INTC
2000-02-08,36.7676,37.3926,36.3626,36.7676,19017300,36.3326,0.80600333518622,INTC
2000-02-09,36.4276,36.8026,34.6126,34.6776,19307600,36.7676,-3.8415586802684,INTC
2000-02-10,34.5526,36.4276,33.9576,36.1776,21769700,34.6776,2.8672464876231,INTC
2000-02-11,35.9876,36.7376,34.9876,35.3026,18878000,36.1776,-1.6259407228468,INTC
2000-02-14,35.5176,37.3326,35.1826,37.3026,17187100,35.3026,3.7778617302607,INTC
2000-02-15,37.3326,38.8026,34.9876,38.3626,31385700,37.3026,1.9293775027303,INTC
2000-02-16,38.0526,38.8026,35.8626,35.9576,23025000,38.3626,-4.2946428571429,INTC
2000-02-17,36.8026,38.5526,36.3026,37.3626,24334800,35.9576,2.6215132008583,INTC
2000-02-18,37.3626,37.6126,34.9576,35.0526,25185000,37.3626,-4.2,INTC
2000-02-22,34.8026,35.7676,33.1426,35.7376,22896800,35.0526,1.3000569368002,INTC
2000-02-23,35.0176,37.9276,34.5176,36.8926,20421000,35.7376,2.1639344262295,INTC
2000-02-24,38.5826,40.6126,37.4876,39.4876,42675100,36.8926,4.7588483403631,INTC
2000-02-25,39.3026,40.0526,38.7676,38.9876,23149500,39.4876,-0.87527352297593,INTC
2000-02-28,38.1776,39.6426,36.4876,38.5526,23711100,38.9876,-0.76821192052981,INTC
