date,open,high,low,close,volume,preClose,changeRatio,thscode
2000-01-03,1.2665,1.4225,0.6725,0.735,4415300,1.735,-3.4334763948498,KO
2000-01-04,0.48499999999999,1.0165,0.42249999999999,0.48499999999999,2823100,0.735,-0.88888888888889,KO
2000-01-05,0.829,1.329,0.6415,1.079,3700600,0.48499999999999,2.1309417040359,KO
2000-01-06,1.1415,1.454,0.8915,1.11,3000900,1.079,0.10889037198356,KO
2000-01-07,1.86,2.954,1.5475,2.9225,4695700,1.11,6.359649122807,KO
2000-01-10,2.7975,3.079,1.985,2.0165,3511100,2.9225,-2.9888659793814,KO
2000-01-11,3.079,3.235,2.6725,3.0165,3889300,2.0165,3.4006087089589,KO
2000-01-12,3.0165,3.5165,2.829,3.3915,3647300,3.0165,1.2332889349317,KO
2000-01-13,3.329,3.329,2.829,2.8915,2620700,3.3915,-1.6243522895246,KO
2000-01-14,3.579,3.579,2.954,3.1415,3068900,2.8915,0.82558657926457,KO
2000-01-18,3.2665,5.11,3.1415,5.11,8001500,3.1415,6.4474395296661,KO
2000-01-19,5.11,5.204,4.485,5.204,5238000,5.11,0.28923076923077,KO
2000-01-20,5.2665,5.579,5.235,5.5475,5131700,5.204,1.0538749463091,KO
2000-01-21,5.985,6.0475,5.5165,6.0475,4902200,5.5475,1.5180265654649,KO
2000-01-24,5.61,5.985,4.3915,5.11,4837300,6.0475,-2.803738317757,KO
2000-01-25,4.61,5.6415,4.0475,5.5475,4240700,5.11,1.3461538461538,KO
2000-01-26,4.735,5.36,3.985,4.1415,10238700,5.5475,-4.2686907020873,KO
2000-01-27,3.9225,3.954,1.829,2.329,7579900,4.1415,-5.7482200339343,KO
2000-01-28,2.329,2.3915,1.1415,1.1415,4631900,2.329,-3.9957602880312,KO
2000-01-31,1.1415,1.985,0.8915,1.329,4596900,1.1415,0.65716839282898,KO
2000-02-01,1.485,1.7975,0.7665,1.704,3532300,1.329,1.3057557714405,KO
2000-02-02,1.3915,1.5475,0.6415,0.8915,2970000,1.704,-2.792672028597,KO
2000-02-03,0.86,0.98499999999999,0.14149999999999,0.23499999999999,3946700,0.8915,-2.3213054470237,KO
2000-02-04,0.23499999999999,1.485,0.14149999999999,0.7975,5008000,0.23499999999999,2.0361990950226,KO
2000-02-07,0.6415,1.4225,0.42249999999999,1.0165,3242200,0.7975,0.7769401330377,KO
2000-02-08,1.329,1.5475,0.98499999999999,1.204,3097300,1.0165,0.66006019749001,KO
2000-02-09,1.11,1.485,0.98499999999999,1.1725,3171100,1.204,-0.11016297125271,KO
2000-02-10,1.235,1.2665,0.735,0.954,3490900,1.1725,-0.76498905908096,KO
2000-02-11,0.48499999999999,0.579,0.047499999999992,0.26649999999999,3177100,0.954,-2.4255574372001,KO
2000-02-14,0.14149999999999,0.23499999999999,-0.48350000000001,-0.32750000000001,2908200,0.26649999999999,-2.1477771952344,KO
2000-02-15,-0.70250000000001,0.48499999999999,-0.76500000000001,0.45399999999999,3300900,-0.32750000000001,2.8877598152425,KO
2000-02-16,0.14149999999999,0.32899999999999,-0.76500000000001,-0.51500000000001,2839100,0.45399999999999,-3.4801034334147,KO
2000-02-17,-0.64000000000001,-0.60850000000001,-1.796,-1.2335,4951200,-0.51500000000001,-2.673488372093,KO
2000-02-18,-1.64,-1.2335,-2.015,-1.7335,5003500,-1.2335,-1.9115707376751,KO
2000-02-22,-1.9835,-1.0775,-2.14,-1.515,4519600,-1.7335,0.85163603765127,KO
2000-02-23,-1.7025,-1.671,-2.39,-1.9525,5510800,-1.515,-1.6908212560386,KO
2000-02-24,-2.2025,-2.171,-3.2335,-2.4835,7725800,-1.9525,-2.0874692874693,KO
2000-02-25,-2.515,-2.046,-3.3585,-2.9835,5452600,-2.4835,-2.00750808022,KO
2000-02-28,-3.3585,-2.546,-3.6085,-2.7335,5395400,-2.9835,1.0243172925245,KO
2000-02-29,-3.3275,-2.9835,-3.546,-3.171,5173100,-2.7335,-1.7743799809381,KO
2000-03-01,-2.796,-1.7025,-2.796,-1.7335,7806100,-3.171,5.9354226020893,KO
2000-03-02,-1.796,-1.4835,-2.7025,-2.4525,5679300,-1.7335,-2.8024087463216,KO
2000-03-03,-2.3275,-2.2025,-2.8585,-2.421,4505300,-2.4525,0.12631578947369,KO
2000-03-06,-2.796,-2.64,-3.2335,-2.9525,3933000,-2.421,-2.1286395129961,KO
2000-03-07,-3.2025,-3.2025,-4.9835,-4.046,11720100,-2.9525,-4.4746803069054,KO
2000-03-08,-4.39,-3.3585,-4.4525,-3.64,7220800,-4.046,1.7392049348869,KO
2000-03-09,-3.6085,-3.6085,-4.421,-4.015,6194700,-3.64,-1.5789473684211,KO
2000-03-10,-4.3585,-4.265,-5.3585,-5.046,7029600,-4.015,-4.4106951871658,KO
2000-03-13,-5.68,-5.1485,-5.7425,-5.4925,7823200,-5.046,-2.3787146437522,KO
2000-03-14,-5.1485,-5.1485,-5.836,-5.7425,5581000,-5.4925,-1.1461318051576,KO
2000-03-15,-5.461,-3.43,-5.5235,-3.5235,11069100,-5.7425,10.291014492754,KO
2000-03-16,-2.6485,-2.43,-3.0235,-2.43,8805100,-3.5235,4.5981119777979,KO
2000-03-17,-2.6175,-2.336,-2.93,-2.805,7265400,-2.43,-1.5075376884422,KO
2000-03-20,-2.805,-2.805,-3.2735,-2.93,3377600,-2.805,-0.51020408163265,KO
2000-03-21,-3.6175,-2.4925,-3.6175,-2.586,4287900,-2.93,1.4112820512821,KO
2000-03-22,-2.805,-2.805,-4.211,-3.7735,5942100,-2.586,-4.803996925442,KO
2000-03-23,-3.805,-3.1175,-4.086,-3.4925,5166900,-3.7735,1.1941440197182,KO
2000-03-24,-3.93,-3.7735,-4.1175,-3.805,4384600,-3.4925,-1.3123359580052,KO
2000-03-27,-3.8985,-3.7425,-4.4925,-4.3985,5267700,-3.805,-2.5255319148936,KO
2000-03-28,-4.43,-4.055,-4.7735,-4.7735,6836500,-4.3985,-1.6370899089778,KO
2000-03-29,-4.6175,-3.7735,-4.6485,-3.8675,8145400,-4.7735,4.0210372145663,KO
2000-03-30,-3.7425,-2.336,-3.7425,-3.0235,9397600,-3.8675,3.6010666666667,KO
2000-03-31,-2.961,-2.961,-3.836,-3.836,4428500,-3.0235,-3.346168894014,KO
2000-04-03,-3.586,-2.336,-3.68,-2.3675,7093400,-3.836,6.2571903361882,KO
