date,open,high,low,close,volume,preClose,changeRatio,thscode
2000-01-03,21.135,21.135,19.01,20.135,4743200,19.7,0.64741777050157,MRK
2000-01-04,19.51,20.323,17.26,17.76,6111600,20.135,-3.5120147874307,MRK
2000-01-05,17.573,21.385,17.573,20.26,6053800,17.76,3.8314176245211,MRK
2000-01-06,20.323,21.698,20.198,21.198,3883800,20.26,1.3845018450185,MRK
2000-01-07,22.323,27.51,22.26,27.51,8644800,21.198,9.1893780573026,MRK
2000-01-10,27.073,27.135,24.635,25.26,4803700,27.51,-3.0,MRK
2000-01-11,24.573,26.198,23.885,25.323,4123400,25.26,0.086597938144333,MRK
2000-01-12,26.135,27.698,25.948,26.948,4280200,25.323,2.2317443313694,MRK
2000-01-13,27.323,28.51,26.323,27.26,4595200,26.948,0.41914076143905,MRK
2000-01-14,27.76,28.448,25.198,26.26,4958800,27.26,-1.3377926421405,MRK
2000-01-18,25.635,26.073,23.135,23.448,4500500,26.26,-3.8128813559322,MRK
2000-01-19,24.26,25.135,23.885,24.198,4049000,23.448,1.0572612704051,MRK
2000-01-20,24.448,25.635,23.948,25.448,4439500,24.198,1.7436670014507,MRK
2000-01-21,27.01,27.01,24.073,25.01,7131500,25.448,-0.60051002221065,MRK
2000-01-24,25.51,25.51,21.573,22.76,4451100,25.01,-3.1034482758621,MRK
2000-01-25,23.635,24.51,23.135,23.198,4707700,22.76,0.62348754448399,MRK
2000-01-26,23.51,25.448,23.135,25.323,4907700,23.198,3.0061679492983,MRK
2000-01-27,25.635,27.948,25.51,26.885,6878800,25.323,2.1452213203686,MRK
2000-01-28,28.01,30.948,27.823,28.885,8312000,26.885,2.6890756302521,MRK
2000-01-31,28.198,31.51,27.135,31.323,7228100,28.885,3.1921440261866,MRK
2000-02-01,29.885,30.448,28.073,29.323,4448400,31.323,-2.5376524177483,MRK
2000-02-02,29.823,30.885,28.448,29.385,4098900,29.323,0.080715503886058,MRK
2000-02-03,28.823,29.198,27.948,28.76,3390400,29.385,-0.8130081300813,MRK
2000-02-04,29.385,29.385,27.448,27.573,3807700,28.76,-1.5567213114754,MRK
2000-02-07,26.76,27.948,26.26,27.76,3735700,27.573,0.24912406911527,MRK
2000-02-08,28.01,28.385,27.573,27.948,3435100,27.76,0.24983388704319,MRK
2000-02-09,26.635,26.698,23.385,23.635,5887500,27.948,-5.7172777645219,MRK
2000-02-10,22.51,22.76,20.51,21.51,5435200,23.635,-2.98769771529,MRK
2000-02-11,20.135,20.573,16.823,17.698,7182400,21.51,-5.5246376811594,MRK
2000-02-14,18.01,18.948,16.51,18.51,7438500,17.698,1.2456280296987,MRK
2000-02-15,18.26,19.135,17.698,18.135,5556700,18.51,-0.56818181818182,MRK
2000-02-16,18.01,19.635,17.76,18.135,4399300,18.135,0.0,MRK
2000-02-17,18.885,19.135,15.635,16.01,5857900,18.135,-3.2380952380952,MRK
2000-02-18,15.948,16.76,14.135,14.698,5521200,16.01,-2.0661417322835,MRK
2000-02-22,15.01,18.01,14.323,18.01,7665100,14.698,5.3257863253361,MRK
2000-02-23,17.01,17.385,15.698,15.823,7728500,18.01,-3.3389312977099,MRK
2000-02-24,15.823,15.823,13.198,13.885,9066800,15.823,-3.0609827365628,MRK
2000-02-25,13.573,13.948,11.698,12.698,7701300,13.885,-1.9340122199593,MRK
2000-02-28,12.698,14.448,12.573,13.948,8488200,12.698,2.0768259453712,MRK
2000-02-29,14.948,15.635,13.885,14.073,7866200,13.948,0.20345714378723,MRK
2000-03-01,14.3,14.488,12.55,12.863,6955700,14.073,-2.4365284342868,MRK
2000-03-02,12.863,13.55,12.05,12.113,5884600,12.863,-1.2486888766795,MRK
2000-03-03,12.863,12.863,9.9249999999999,10.175,10216500,12.113,-3.2674118658641,MRK
2000-03-06,10.238,10.55,9.0499999999999,9.2999999999999,8686200,10.175,-1.5250544662309,MRK
2000-03-07,8.7999999999999,8.7999999999999,4.7999999999999,6.7379999999999,12923800,9.2999999999999,-4.5345132743363,MRK
2000-03-08,6.7379999999999,10.238,6.7379999999999,9.4249999999999,11978800,6.7379999999999,4.9816455930884,MRK
2000-03-09,11.3,14.425,10.488,13.55,12280200,9.4249999999999,7.2847682119205,MRK
2000-03-10,14.55,14.675,11.8,12.363,8314000,13.55,-1.9539094650206,MRK
2000-03-13,9.1749999999999,10.425,9.0499999999999,9.7999999999999,8876900,12.363,-4.3030069002569,MRK
2000-03-14,8.6749999999999,9.5499999999999,8.1749999999999,8.8629999999999,7141300,9.7999999999999,-1.6438596491228,MRK
2000-03-15,9.0499999999999,12.738,8.8629999999999,12.613,9185600,8.8629999999999,6.6889035549293,MRK
2000-03-16,13.238,17.863,12.988,17.738,15120800,12.613,8.5683714242723,MRK
2000-03-17,17.738,17.738,15.488,15.488,8515400,17.738,-3.4648433890788,MRK
2000-03-20,14.425,14.988,13.113,14.425,6118700,15.488,-1.6956993363961,MRK
2000-03-21,14.425,16.738,14.425,16.738,5143400,14.425,3.7533468559838,MRK
2000-03-22,15.863,17.738,15.8,17.238,5274200,16.738,0.78200756983328,MRK
2000-03-23,16.363,17.55,15.363,15.675,4828100,17.238,-2.4255873863248,MRK
2000-03-24,15.675,15.8,13.175,14.55,6695600,15.675,-1.7892644135189,MRK
2000-03-27,13.675,14.363,12.675,13.925,5578500,14.55,-1.0121457489879,MRK
2000-03-28,12.55,15.3,12.55,14.363,7592000,13.925,0.71656441717792,MRK
2000-03-29,15.738,17.8,15.3,16.738,7047200,14.363,3.8578366876208,MRK
2000-03-30,16.8,18.675,16.675,16.8,6303600,16.738,0.096968938659322,MRK
2000-03-31,16.613,17.738,14.925,14.925,5662600,16.8,-2.9296875,MRK
2000-04-03,15.175,19.8,15.175,19.55,7647200,14.925,7.4446680080483,MRK
2000-04-04,21.113,22.55,18.175,20.488,12027800,19.55,1.4052434456929,MRK
2000-04-05,20.738,21.3,19.738,20.238,6075900,20.488,-0.36934168537998,MRK
2000-04-06,19.8,19.863,17.425,18.363,6228000,20.238,-2.7803315638068,MRK
2000-04-07,18.175,19.488,17.863,18.3,3322400,18.363,-0.096090782911097,MRK
2000-04-10,17.863,20.988,17.863,19.175,4710800,18.3,1.3358778625954,MRK
2000-04-11,19.238,20.8,19.175,20.113,5705900,19.175,1.4131826741996,MRK
2000-04-12,20.363,20.55,17.8,17.8,5840400,20.113,-3.4361861750331,MRK
2000-04-13,18.175,19.675,17.925,18.613,4871700,17.8,1.2507692307692,MRK
2000-04-14,17.738,18.425,15.363,16.363,6155600,18.613,-3.4187774451856,MRK
2000-04-17,16.55,17.55,14.675,17.238,6261100,16.363,1.3765870081651,MRK
2000-04-18,17.05,19.175,16.8,19.05,4600800,17.238,2.8120053384649,MRK
2000-04-19,18.8,22.238,18.425,21.3,8176700,19.05,3.3962264150943,MRK
2000-04-20,21.8,22.925,21.8,22.675,6542000,21.3,2.007299270073,MRK
2000-04-24,22.675,24.988,22.675,24.738,7415800,22.675,2.9524150268336,MRK
2000-04-25,24.738,25.613,22.675,25.3,6689100,24.738,0.78122827990769,MRK
2000-04-26,24.8,24.988,23.05,24.55,4619400,25.3,-1.0344827586207,MRK
2000-04-27,24.05,25.425,23.675,24.3,5645300,24.55,-0.34843205574913,MRK
2000-04-28,22.425,23.05,20.425,22.3,8069000,24.3,-2.7972027972028,MRK
2000-05-01,22.3,22.363,20.363,20.363,5159000,22.3,-2.7870503597122,MRK
2000-05-02,19.863,22.863,19.738,22.05,4490200,20.363,2.4969287923864,MRK
2000-05-03,21.8,22.675,21.113,21.113,4003800,22.05,-1.3530685920578,MRK
2000-05-04,21.363,21.425,19.863,19.988,3406500,21.113,-1.6468314962013,MRK
2000-05-05,19.675,22.738,19.613,22.675,3657300,19.988,3.9992260522712,MRK
2000-05-08,22.738,23.238,21.8,22.675,4279300,22.675,0.0,MRK
2000-05-09,22.8,22.863,21.488,21.863,3683400,22.675,-1.1620751341682,MRK
2000-05-10,21.488,21.55,19.55,20.8,4246100,21.863,-1.5391743770181,MRK
2000-05-11,21.05,21.488,19.863,21.05,4024700,20.8,0.36764705882353,MRK
2000-05-12,21.113,21.738,20.113,21.238,3040900,21.05,0.27545787545788,MRK
2000-05-15,21.05,22.738,20.3,22.425,3196300,21.238,1.7344165522078,MRK
2000-05-16,22.425,24.3,21.8,23.8,5115600,22.425,1.9748653500898,MRK
2000-05-17,23.3,24.113,22.425,22.613,3357300,23.8,-1.6718309859155,MRK
2000-05-18,22.55,23.488,22.55,22.738,2850500,22.613,0.17904974718176,MRK
2000-05-19,21.988,25.738,21.988,25.238,7055400,22.738,3.5745946409677,MRK
2000-05-22,24.8,26.425,24.488,25.113,6292200,25.238,-0.17256136282062,MRK
2000-05-23,26.3,26.613,25.425,26.613,4847300,25.113,2.0743158214982,MRK
2000-05-24,26.8,27.8,26.113,27.488,7152900,26.613,1.185428041131,MRK
2000-05-25,26.988,27.863,26.3,27.488,4494300,27.488,0.0,MRK
2000-05-26,27.425,28.175,26.8,27.363,3418700,27.488,-0.16736289631534,MRK
2000-05-30,26.925,27.925,26.488,27.8,4346300,27.363,0.58608156860641,MRK
2000-05-31,27.278,27.965,26.903,27.715,2828500,27.8,-0.5,MRK
2000-06-01,27.153,28.278,25.403,25.528,3847700,27.715,-2.9306532663317,MRK
2000-06-02,25.403,25.403,21.903,22.153,6217900,25.528,-4.6591567961567,MRK
2000-06-05,22.09,23.528,21.778,22.278,4437200,22.153,0.18099416474813,MRK
2000-06-06,22.465,23.278,21.903,22.778,3271900,22.278,0.72266867086778,MRK
2000-06-07,23.028,24.59,22.965,23.59,2676800,22.778,1.1651934335897,MRK
2000-06-08,23.59,23.653,22.34,22.403,2422000,23.59,-1.6836879432624,MRK
2000-06-09,22.403,23.34,21.965,23.153,2714100,22.403,1.0820481006449,MRK
2000-06-12,23.215,24.84,22.903,23.028,2606800,23.153,-0.17841085879851,MRK
2000-06-13,23.715,26.965,23.715,26.528,4218500,23.028,5.0044324973548,MRK
2000-06-14,26.778,27.278,25.09,26.153,5639500,26.528,-0.51063482120973,MRK
2000-06-15,26.09,26.84,25.59,25.903,3750800,26.153,-0.34217045563418,MRK
2000-06-16,25.653,26.403,24.09,24.09,10571300,25.903,-2.4899399832448,MRK
2000-06-19,24.59,25.84,23.965,25.153,3294600,24.09,1.4971830985916,MRK
2000-06-20,25.153,25.153,23.403,23.84,3474700,25.153,-1.8220168463705,MRK
2000-06-21,23.84,25.465,23.403,25.403,3946900,23.84,2.2091872791519,MRK
2000-06-22,24.715,25.403,24.09,24.34,3637800,25.403,-1.4699984788351,MRK
2000-06-23,25.465,25.715,24.653,25.715,4486300,24.34,1.9298245614035,MRK
2000-06-26,26.34,27.34,26.028,27.34,5238800,25.715,2.2375215146299,MRK
2000-06-27,27.715,27.965,26.528,27.34,5985400,27.34,0.0,MRK
2000-06-28,27.028,27.465,26.653,27.028,3165400,27.34,-0.42020202020202,MRK
2000-06-29,27.903,28.34,27.09,27.215,5105100,27.028,0.25291460412778,MRK
2000-06-30,27.215,29.715,26.34,29.715,6916100,27.215,3.3726812816189,MRK
2000-07-03,29.153,29.59,28.465,29.59,2938400,29.715,-0.163132137031,MRK
2000-07-05,29.965,30.465,29.403,30.278,4719900,29.59,0.89934640522876,MRK
2000-07-06,29.59,29.653,28.028,28.465,4545700,30.278,-2.3488106959631,MRK
2000-07-07,28.465,28.59,27.028,27.465,3898600,28.465,-1.3266998341625,MRK
2000-07-10,27.34,27.965,26.965,27.965,3827600,27.465,0.67226890756303,MRK
2000-07-11,27.965,28.903,26.59,27.778,4470900,27.965,-0.24974958263773,MRK
2000-07-12,27.34,27.465,25.403,26.465,3692500,27.778,-1.7579798628963,MRK
2000-07-13,26.403,26.403,22.153,22.153,8088900,26.465,-5.876660988075,MRK
2000-07-14,22.153,22.153,20.09,20.34,8259600,22.153,-2.6251393655069,MRK
2000-07-17,20.09,21.528,19.84,20.465,10377900,20.34,0.18587360594796,MRK
2000-07-18,20.34,20.715,19.153,19.403,6626900,20.465,-1.5762523191095,MRK
2000-07-19,19.278,19.84,18.153,18.153,6582000,19.403,-1.8849999246,MRK
2000-07-20,18.153,18.153,16.965,17.153,5513400,18.153,-1.5369718580453,MRK
2000-07-21,17.278,17.778,16.09,16.715,7748900,17.153,-0.68370198086259,MRK
