date,open,high,low,close,volume,preClose,changeRatio,thscode
2020-01-02,238.7500,239.9100,236.7200,239.9100,"5,941,969",235.3000,1.9592,NVDA
2020-01-03,235.1000,237.8300,234.1000,236.0700,"5,144,308",239.9100,-1.6006,NVDA
2020-01-06,232.3200,237.2700,231.2700,237.0600,"6,572,812",236.0700,0.4194,NVDA
2020-01-07,238.2000,241.7700,236.3900,239.9300,"7,980,144",237.0600,1.2107,NVDA
2020-01-08,239.7600,242.0400,238.1490,240.3800,"6,931,017",239.9300,0.1876,NVDA
2020-01-09,243.8500,245.9300,240.8550,243.0200,"6,386,053",240.3800,1.0983,NVDA
2020-01-10,247.3300,248.5500,243.7500,244.3200,"7,911,560",243.0200,0.5349,NVDA
2020-01-13,247.6600,252.9880,246.7500,251.9800,"8,008,451",244.3200,3.1352,NVDA
2020-01-14,250.2600,251.2800,246.7500,247.2800,"8,989,483",251.9800,-1.8652,NVDA
2020-01-15,247.7900,248.6890,244.5300,245.5700,"6,577,636",247.2800,-0.6915,NVDA
2020-01-16,247.7200,249.1700,246.7750,248.9300,"7,104,791",245.5700,1.3682,NVDA
2020-01-17,249.7000,250.0000,247.3700,249.2800,"6,344,764",248.9300,0.1406,NVDA
2020-01-21,247.8050,249.2900,246.5700,247.9400,"5,447,925",249.2800,-0.5375,NVDA
2020-01-22,249.7600,253.5900,249.0000,250.0500,"5,980,967",247.9400,0.851,NVDA
2020-01-23,251.7200,253.2000,248.1500,252.8600,"6,112,861",250.0500,1.1238,NVDA
2020-01-24,257.5000,259.5000,248.3000,250.4800,"9,337,839",252.8600,-0.9412,NVDA
2020-01-27,238.2400,242.2500,232.2300,240.2000,"11,763,354",250.4800,-4.1041,NVDA
2020-01-28,242.8500,249.2700,240.7140,247.9700,"7,774,401",240.2000,3.2348,NVDA
2020-01-29,247.3900,248.8400,243.9400,245.5400,"6,486,279",247.9700,-0.98,NVDA
2020-01-30,241.6100,246.3500,239.4000,245.8100,"7,262,590",245.5400,0.11,NVDA
2020-01-31,243.9700,244.4500,234.7500,236.4300,"9,260,493",245.8100,-3.816,NVDA
2020-02-03,235.7000,241.1110,235.4500,240.3300,"6,398,205",236.4300,1.6495,NVDA
2020-02-04,246.0300,247.9000,244.0200,247.1300,"6,788,589",240.3300,2.8294,NVDA
2020-02-05,251.9900,252.4000,247.4100,250.7600,"5,205,502",247.1300,1.4689,NVDA
2020-02-06,252.1400,254.2500,248.8800,254.2450,"5,457,051",250.7600,1.3898,NVDA
2020-02-07,252.6400,253.5300,250.5720,251.5900,"4,743,803",254.2450,-1.0443,NVDA
2020-02-10,252.5000,263.0000,252.3000,262.9700,"13,240,194",251.5900,4.5232,NVDA
2020-02-11,267.3200,272.5000,264.8300,267.8900,"15,963,922",262.9700,1.8709,NVDA
2020-02-12,270.0100,272.8000,268.4470,272.5400,"9,366,118",267.8900,1.7358,NVDA
2020-02-13,270.2100,273.4800,269.1100,270.7800,"13,200,384",272.5400,-0.6458,NVDA
2020-02-14,287.2600,294.9700,286.0000,289.7900,"26,048,093",270.7800,7.0205,NVDA
2020-02-18,285.6440,297.3100,284.8600,296.5700,"15,547,025",289.7900,2.3396,NVDA
2020-02-19,301.4900,315.4100,301.4860,314.7000,"17,358,281",296.5700,6.1132,NVDA
2020-02-20,312.7650,316.3200,296.3500,308.7000,"20,251,259",314.7000,-1.9066,NVDA
2020-02-21,304.1900,305.2000,290.6600,294.0700,"19,232,331",308.7000,-4.7392,NVDA
2020-02-24,270.1900,281.8720,268.0000,273.2800,"21,422,873",294.0700,-7.0697,NVDA
2020-02-25,276.3040,278.7900,257.9600,262.0500,"26,387,442",273.2800,-4.1093,NVDA
2020-02-26,262.0600,275.4500,262.0000,267.6500,"18,741,536",262.0500,2.137,NVDA
2020-02-27,254.9000,267.0000,248.8900,252.6000,"22,660,373",267.6500,-5.623,NVDA
2020-02-28,242.4550,272.4600,241.7900,270.0700,"28,366,882",252.6000,6.9161,NVDA
2020-03-02,276.9000,277.5900,261.0000,276.4300,"22,268,639",270.0700,2.3549,NVDA
2020-03-03,278.6670,281.0700,262.4600,265.8900,"16,319,828",276.4300,-3.8129,NVDA
2020-03-04,270.2000,284.8900,267.2000,284.5100,"14,935,184",265.8900,7.0029,NVDA
2020-03-05,276.5000,283.2000,271.5000,273.2900,"13,508,187",284.5100,-3.9436,NVDA
2020-03-06,266.0800,268.3900,258.0000,266.0400,"12,885,307",273.2900,-2.6529,NVDA
2020-03-09,239.9000,259.4000,238.1800,245.4400,"15,353,960",266.0400,-7.7432,NVDA
2020-03-10,256.5400,261.0800,245.9900,261.0800,"14,516,218",245.4400,6.3722,NVDA
2020-03-11,255.4550,256.6000,242.5700,246.4700,"12,551,693",261.0800,-5.596,NVDA
2020-03-12,225.4600,236.1190,215.8000,216.3100,"20,413,535",246.4700,-12.2368,NVDA
