date,open,high,low,close,volume,preClose,changeRatio,thscode
2020-01-02,585.0500,585.1200,568.7400,571.8500,"602,289",583.5400,-2.0033,SHW
2020-01-03,565.3400,571.5300,564.2900,564.4500,"545,247",571.8500,-1.294,SHW
2020-01-06,562.2300,565.7160,560.9200,563.4100,"642,196",564.4500,-0.1843,SHW
2020-01-07,565.7000,566.1400,559.3950,560.3600,"601,379",563.4100,-0.5413,SHW
2020-01-08,562.0400,570.3300,561.0000,569.2800,"628,828",560.3600,1.5918,SHW
2020-01-09,571.6100,573.1400,562.7550,565.6300,"748,399",569.2800,-0.6412,SHW
2020-01-10,567.8500,571.1900,566.2600,567.0900,"333,958",565.6300,0.2581,SHW
2020-01-13,567.4700,575.2500,566.3300,574.8600,"435,450",567.0900,1.3702,SHW
2020-01-14,574.7400,578.9700,572.5600,574.4700,"603,387",574.8600,-0.0678,SHW
2020-01-15,576.1300,587.7950,573.9600,584.5600,"486,827",574.4700,1.7564,SHW
2020-01-16,589.8200,589.8200,581.7900,584.9800,"498,306",584.5600,0.0718,SHW
2020-01-17,586.3400,595.0700,583.8300,594.4700,"714,452",584.9800,1.6223,SHW
2020-01-21,594.4500,598.2450,590.3500,593.0600,"532,013",594.4700,-0.2372,SHW
2020-01-22,596.0800,596.6050,590.8900,592.9300,"364,610",593.0600,-0.0219,SHW
2020-01-23,594.1600,596.6300,589.4520,596.5400,"432,378",592.9300,0.6088,SHW
2020-01-24,599.0000,599.9500,591.9350,594.8400,"466,835",596.5400,-0.285,SHW
2020-01-27,587.8900,589.9500,582.5500,584.2700,"411,115",594.8400,-1.7769,SHW
2020-01-28,584.5000,592.9600,584.5000,591.0500,"396,519",584.2700,1.1604,SHW
2020-01-29,593.0000,598.0000,590.2600,590.2600,"635,629",591.0500,-0.1337,SHW
2020-01-30,562.4000,570.7700,555.5000,568.9000,"1,074,259",590.2600,-3.6187,SHW
2020-01-31,560.3700,564.0000,551.2000,556.9900,"901,194",568.9000,-2.0935,SHW
2020-02-03,559.3200,578.0800,557.8600,574.9100,"839,331",556.9900,3.2173,SHW
2020-02-04,578.8400,589.9900,576.4000,586.9700,"640,815",574.9100,2.0977,SHW
2020-02-05,586.9600,587.4800,570.9300,582.4400,"813,288",586.9700,-0.7718,SHW
2020-02-06,584.0600,585.5800,579.3000,581.9000,"661,751",582.4400,-0.0927,SHW
2020-02-07,581.3200,581.3200,571.6300,572.5500,"568,166",581.9000,-1.6068,SHW
2020-02-10,571.1100,574.7600,568.8600,572.2800,"506,192",572.5500,-0.0472,SHW
2020-02-11,573.2500,581.1500,572.6700,577.0400,"407,948",572.2800,0.8318,SHW
2020-02-12,577.1500,581.9850,575.6480,580.1400,"369,780",577.0400,0.5372,SHW
2020-02-13,577.2300,582.5700,576.1000,579.7600,"279,455",580.1400,-0.0655,SHW
2020-02-14,580.3700,585.4500,579.1690,585.4500,"305,432",579.7600,0.9814,SHW
