date,open,high,low,close,volume,preClose,changeRatio,thscode
2000-01-03,-20.55,-20.55,-21.17,-20.8,336400,-20.11,-2.0480854853072,TRV
2000-01-04,-21.3,-20.8,-21.61,-21.24,494400,-20.8,-1.3333333333333,TRV
2000-01-05,-21.24,-20.49,-21.55,-21.49,736000,-21.24,-0.76781326781327,TRV
2000-01-06,-21.49,-20.42,-21.99,-20.86,660400,-21.49,1.949860724234,TRV
2000-01-07,-20.36,-19.05,-20.49,-19.55,594700,-20.86,3.9769277474196,TRV
2000-01-10,-19.05,-19.05,-20.67,-20.17,389900,-19.55,-1.8102189781022,TRV
2000-01-11,-20.42,-20.05,-20.92,-20.55,812900,-20.17,-1.1299435028249,TRV
2000-01-12,-20.8,-20.17,-21.05,-20.49,561500,-20.55,0.18045112781956,TRV
2000-01-13,-20.49,-19.61,-20.49,-19.8,589600,-20.49,2.0714500150105,TRV
2000-01-14,-19.86,-19.11,-20.17,-19.8,599300,-19.8,0.0,TRV
2000-01-18,-20.05,-20.05,-21.3,-21.05,945900,-19.8,-3.6764705882353,TRV
2000-01-19,-21.3,-20.55,-21.42,-20.99,988100,-21.05,0.18320610687024,TRV
2000-01-20,-21.05,-20.99,-21.55,-21.17,943400,-20.99,-0.54861322767449,TRV
2000-01-21,-21.8,-21.74,-22.8,-22.3,1000300,-21.17,-3.4630707937481,TRV
2000-01-24,-22.17,-21.36,-22.49,-21.67,586500,-22.3,2.0,TRV
2000-01-25,-21.67,-20.99,-22.55,-22.42,609700,-21.67,-2.3342670401494,TRV
2000-01-26,-22.36,-21.36,-22.61,-21.42,503300,-22.42,3.1867431485022,TRV
2000-01-27,-21.8,-21.42,-23.99,-23.24,1316500,-21.42,-5.6207535515751,TRV
2000-01-28,-23.74,-23.61,-24.49,-23.8,814900,-23.24,-1.8324607329843,TRV
2000-01-31,-23.99,-23.61,-24.67,-23.61,612200,-23.8,0.63333333333334,TRV
2000-02-01,-23.8,-23.8,-26.3,-24.49,1023000,-23.61,-2.9148724743293,TRV
