date,open,high,low,close,volume,preClose,changeRatio,thscode
2000-01-03,2.294038,3.189038,1.399038,1.674038,4679400,3.129038,-2.6368249365712,VZ
2000-01-04,1.449038,2.124038,-0.73596199999998,-0.065961999999981,5022600,1.674038,-3.2387156817124,VZ
2000-01-05,0.83403800000002,2.454038,0.38403800000002,1.674038,6390000,-0.065961999999981,3.3471193613542,VZ
2000-01-06,1.834038,1.834038,0.66403800000002,1.444038,4721500,1.674038,-1.1447184737087,VZ
2000-01-07,1.109038,1.274038,0.14903800000001,1.049038,5060800,1.444038,-0.74373940877423,VZ
2000-01-10,1.049038,1.494038,0.14903800000001,0.76903800000002,4503000,1.049038,-0.5311581143887,VZ
2000-01-11,0.099038000000018,0.66403800000002,-0.35096199999998,0.27903800000002,3713700,0.76903800000002,-0.93449032135025,VZ
2000-01-12,-1.130962,-0.010961999999981,-1.470962,-1.470962,4302500,0.27903800000002,-3.3689479256906,VZ
2000-01-13,-0.57596199999998,-0.40596199999998,-1.865962,-1.865962,3796400,-1.470962,-0.78693096922005,VZ
2000-01-14,-1.525962,-0.90596199999999,-1.865962,-1.190962,3191200,-1.865962,1.355421686747,VZ
2000-01-18,-0.57596199999998,2.059038,-0.74596199999998,0.99403800000001,4878100,-1.190962,4.3288756810302,VZ
2000-01-19,-0.12596199999998,0.76903800000002,-0.12596199999998,-0.010961999999981,2972400,0.99403800000001,-1.9084694265097,VZ
2000-01-20,0.37403800000002,1.444038,0.14903800000001,0.14903800000001,2720200,-0.010961999999981,0.30974736230761,VZ
2000-01-21,2.009038,3.289038,1.219038,2.169038,5725700,0.14903800000001,3.8984849946927,VZ
2000-01-24,2.394038,2.839038,2.059038,2.229038,3921600,2.169038,0.11145165784341,VZ
2000-01-25,2.169038,2.339038,0.49403800000001,0.76903800000002,4435100,2.229038,-2.7089711476018,VZ
2000-01-26,0.99403800000001,1.164038,-0.070961999999983,0.099038000000018,4067600,0.76903800000002,-1.2777724802136,VZ
2000-01-27,0.31903800000002,0.99403800000001,-0.45596199999998,0.54403800000002,3135600,0.099038000000018,0.85965420651019,VZ
2000-01-28,0.26903800000002,1.109038,-0.52096199999998,-0.010961999999981,3368800,0.54403800000002,-1.0630147481325,VZ
2000-01-31,-0.070961999999983,4.804038,-0.52096199999998,3.854038,5447000,-0.010961999999981,7.4823347207434,VZ
2000-02-01,2.784038,3.349038,1.444038,1.719038,4689700,3.854038,-3.8454610951009,VZ
2000-02-02,2.169038,2.229038,1.334038,1.494038,2966100,1.719038,-0.42146670413038,VZ
2000-02-03,1.889038,2.229038,0.31903800000002,0.71403800000002,2598700,1.494038,-1.4672686230248,VZ
2000-02-04,0.99403800000001,1.834038,0.59903800000002,0.82403800000002,3413400,0.71403800000002,0.21000381825124,VZ
2000-02-07,0.82403800000002,2.059038,0.26903800000002,1.889038,3325100,0.82403800000002,2.0289578967422,VZ
2000-02-08,1.944038,2.564038,0.93903800000001,1.219038,3080100,1.889038,-1.2510503220988,VZ
2000-02-09,1.219038,1.389038,-0.12596199999998,0.14903800000001,3235600,1.219038,-2.023258012669,VZ
2000-02-10,0.044038000000019,0.099038000000018,-0.68096199999999,-0.52096199999998,2861300,0.14903800000001,-1.2930618546753,VZ
2000-02-11,-0.63096199999999,-0.57596199999998,-2.870962,-1.470962,3448300,-0.52096199999998,-1.8574640727344,VZ
2000-02-14,-1.470962,-1.190962,-2.475962,-2.090962,2915200,-1.470962,-1.2351827871302,VZ
2000-02-15,-2.250962,-2.250962,-3.265962,-3.040962,4009200,-2.090962,-1.9162884518407,VZ
2000-02-16,-3.210962,-2.090962,-3.210962,-2.315962,3759800,-3.040962,1.4910025706941,VZ
2000-02-17,-1.640962,-1.525962,-3.710962,-3.485962,3369900,-2.315962,-2.370820668693,VZ
2000-02-18,-3.655962,-3.435962,-5.450962,-5.165962,4305500,-3.485962,-3.4869240348692,VZ
2000-02-22,-4.605962,-4.330962,-5.780962,-4.830962,3601600,-5.165962,0.72043010752688,VZ
2000-02-23,-5.835962,-5.000962,-6.795962,-6.625962,4027200,-4.830962,-3.832603821928,VZ
2000-02-24,-6.795962,-6.400962,-8.750962,-8.640962,6287600,-6.625962,-4.4738010657194,VZ
2000-02-25,-9.090962,-7.405962,-9.195962,-9.035962,5287000,-8.640962,-0.918070889018,VZ
2000-02-28,-8.810962,-6.005962,-8.920962,-6.955962,4336900,-9.035962,4.879193056533,VZ
2000-02-29,-6.850962,-6.730962,-8.470962,-7.800962,5216700,-6.955962,-1.8899575039141,VZ
2000-03-01,-4.045962,-2.365962,-4.940962,-2.420962,7963200,-7.800962,12.264903681751,VZ
2000-03-02,-3.145962,-2.025962,-3.210962,-2.140962,4768000,-2.420962,0.56858564321251,VZ
2000-03-03,-2.025962,-1.355962,-2.250962,-2.090962,4426300,-2.140962,0.10095911155983,VZ
2000-03-06,-1.300962,-0.57596199999998,-2.645962,-0.57596199999998,4425100,-2.090962,3.0559757942511,VZ
2000-03-07,-0.57596199999998,0.099038000000018,-1.865962,-1.800962,3903600,-0.57596199999998,-2.3977294969661,VZ
2000-03-08,-2.535962,-0.52096199999998,-2.535962,-1.020962,3489700,-1.800962,1.5642234031886,VZ
2000-03-09,-1.130962,0.88403800000001,-1.640962,0.88403800000001,4067900,-1.020962,3.7614769473788,VZ
2000-03-10,0.71403800000002,0.71403800000002,-0.74596199999998,-0.29596199999998,3997300,0.88403800000001,-2.2454804947669,VZ
2000-03-13,-0.90596199999999,-0.29596199999998,-1.525962,-0.40596199999998,3750300,-0.29596199999998,-0.21413276231263,VZ
2000-03-14,-1.130962,-0.85096199999999,-1.580962,-1.415962,3706700,-0.40596199999998,-1.9703472493172,VZ
2000-03-15,-1.355962,-0.97096199999998,-2.365962,-1.415962,4253900,-1.415962,0.0,VZ
2000-03-16,-1.415962,0.43903800000001,-2.090962,0.21403800000002,5240600,-1.415962,3.2437810945274,VZ
2000-03-17,0.37403800000002,1.944038,0.099038000000018,1.389038,5055500,0.21403800000002,2.2648419429453,VZ
2000-03-20,1.219038,2.059038,0.54403800000002,1.334038,3391200,1.389038,-0.10366600697389,VZ
2000-03-21,1.334038,1.834038,0.54403800000002,1.109038,3251700,1.334038,-0.4245283018868,VZ
2000-03-22,0.66403800000002,1.049038,-0.35096199999998,0.21403800000002,4356700,1.109038,-1.6958787304595,VZ
2000-03-23,0.99403800000001,2.229038,0.54403800000002,1.784038,6187900,0.21403800000002,3.0262143407864,VZ
2000-03-24,1.889038,2.509038,1.274038,1.664038,3614300,1.784038,-0.22450888681011,VZ
2000-03-27,1.664038,2.904038,1.334038,2.679038,3875700,1.664038,1.903243952747,VZ
2000-03-28,2.614038,2.959038,1.834038,2.564038,3673600,2.679038,-0.2116110037722,VZ
2000-03-29,2.564038,3.909038,2.339038,3.909038,3701400,2.564038,2.4801770237876,VZ
2000-03-30,3.799038,4.249038,3.234038,3.234038,4371300,3.909038,-1.2145748987854,VZ
2000-03-31,4.354038,4.974038,3.129038,3.129038,5158300,3.234038,-0.19125683060109,VZ
2000-04-03,3.684038,4.859038,3.064038,4.859038,3696100,3.129038,3.1572223743042,VZ
2000-04-04,6.544038,7.494038,4.299038,5.474038,7847400,4.859038,1.0880141530296,VZ
2000-04-05,5.594038,6.374038,4.804038,4.974038,3491900,5.474038,-0.87504375218761,VZ
2000-04-06,5.634038,7.204038,5.464038,7.149038,3078600,4.974038,3.1603107344633,VZ
2000-04-07,6.534038,6.929038,6.199038,6.649038,4922600,7.149038,-0.85572479890467,VZ
2000-04-10,5.754038,6.254038,4.964038,5.359038,3746600,6.649038,-2.2268254790264,VZ
2000-04-11,6.084038,6.704038,5.859038,6.139038,3100900,5.359038,1.3771186440678,VZ
2000-04-12,6.309038,7.204038,5.914038,6.424038,4566000,6.139038,0.49634273772204,VZ
