Date,FinGPT_Original,DeepSeek_Original,FinGPT_TopK,DeepSeek_TopK,Buy_Hold
2020-03-31,300000.0,300000.0,284889.1773598127,284889.1773598127,231344.92322735648
2020-06-30,300000.0,300000.0,310106.1823854537,310106.1823854537,298594.14157913974
2020-09-30,312026.83691533166,311448.2315459541,330224.6341181578,327749.04576068604,323801.61820442806
2020-12-31,317019.32508387533,316707.9103779604,349122.13465643587,344988.30626882974,366650.36931786325
2021-03-31,328636.3342394911,328242.2278303971,372348.80872864625,356687.9082821733,400026.7122220094
2021-06-30,330720.16728644446,341686.4936092602,373494.91642284096,387473.14148191654,416417.4232540069
2021-09-30,314747.237050747,334275.16555211507,353572.00735483615,387438.14026306424,406664.329947576
2021-12-31,337823.1043229844,358476.1125820721,392607.98879638966,448125.96396601875,428324.52727310586
2022-03-31,331914.66386705195,355605.8925674821,382986.70583527116,429870.63274926925,423383.14079704846
2022-06-30,304766.48768936686,326054.32188807626,327486.553645349,358637.9747621353,367366.5113492963
2022-09-30,285634.7516108379,311438.3445046798,306837.0842170016,346611.4524267675,333864.0269550821
2022-12-31,291518.66290466615,325295.75826272205,390648.99273170595,391926.6741750174,390442.5621930339
2023-03-31,295359.33259518177,332868.32194771187,397175.66995918006,402228.61591357517,408156.0050267657
2023-06-30,302093.56896111846,344088.0539391044,414305.2988251156,426259.0271833023,424539.7759146113
2023-09-30,303621.5675571682,329094.1980868677,428819.41131165635,409996.1161573378,413277.6474234804
2023-12-31,307824.54325683054,339275.1399297466,457988.81570739957,462104.69250129873,470942.2001961048
2024-03-31,325514.0250948938,352209.419267218,512746.9222910372,514166.82550799655,506443.16160895297
2024-06-30,311553.0800577931,353388.6150005313,489967.0070785069,496334.71621651313,497403.3472368695
2024-09-30,335115.0495133621,380027.60219858424,542360.1342937428,544897.0282377903,537494.2825156184
2024-12-31,339552.7927112926,384407.55553848366,523777.4444259162,545627.3385046532,542939.0781109767
