period_start,period_end,quarter,return,cumulative_return,portfolio_value
2020-01-01,2020-03-31,2020_Q1,-0.22885025590881172,-0.22885025590881172,231344.92322735648
2020-04-01,2020-06-30,2020_Q2,0.29068810939798934,-0.004686194736200851,298594.14157913974
2020-07-01,2020-09-30,2020_Q3,0.08442053314233337,0.07933872734809352,323801.61820442806
2020-10-01,2020-12-31,2020_Q4,0.13233025625703687,0.22216789772621084,366650.36931786325
2021-01-01,2021-03-31,2021_Q1,0.09103043579702735,0.33342237407336456,400026.7122220094
2021-04-01,2021-06-30,2021_Q2,0.040974041310773514,0.3880580775133563,416417.4232540069
2021-07-01,2021-09-30,2021_Q3,-0.023421434267128872,0.35554776649191994,406664.329947576
2021-10-01,2021-12-31,2021_Q4,0.053263086360001384,0.4277484242436862,428324.52727310586
2022-01-01,2022-03-31,2022_Q1,-0.011536548017729426,0.4112771359901615,423383.14079704846
2022-04-01,2022-06-30,2022_Q2,-0.13230718006932662,0.2245550378309877,367366.5113492963
2022-07-01,2022-09-30,2022_Q3,-0.09119634849448671,0.1128800898502736,333864.0269550821
2022-10-01,2022-12-31,2022_Q4,0.16946580245245726,0.30147520731011307,390442.5621930339
2023-01-01,2023-03-31,2023_Q1,0.04536760217492463,0.36052001675588563,408156.0050267657
2023-04-01,2023-06-30,2023_Q2,0.04014095268982075,0.41513258638203765,424539.7759146113
2023-07-01,2023-09-30,2023_Q3,-0.026527852347564464,0.37759215807826785,413277.64742348035
2023-10-01,2023-12-31,2023_Q4,0.13952981278355078,0.5698073339870161,470942.2001961048
2024-01-01,2024-03-31,2024_Q1,0.0753828418817961,0.6881438720298433,506443.16160895297
2024-04-01,2024-06-30,2024_Q2,-0.0178496128634935,0.6580111574562317,497403.3472368695
2024-07-01,2024-09-30,2024_Q3,0.08060045333723308,0.7916476083853946,537494.2825156184
2024-10-01,2024-12-31,2024_Q4,0.010129960024644828,0.8097969270365891,542939.0781109767
