date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,thscode
2025-04-29,208.69,212.24,208.37,211.21,211.21,36827633,0.0,1.0,AAPL
2025-04-28,210.0,211.5,207.46,210.14,210.14,38743074,0.0,1.0,AAPL
2025-04-25,206.36,209.75,206.2,209.28,209.28,38222258,0.0,1.0,AAPL
2025-04-24,204.89,208.83,202.94,208.37,208.37,47310989,0.0,1.0,AAPL
2025-04-23,206.0,208.0,202.8,204.6,204.6,52929165,0.0,1.0,AAPL
2025-04-22,196.12,201.59,195.97,199.74,199.74,52976371,0.0,1.0,AAPL
2025-04-21,193.26,193.8,189.81,193.16,193.16,46742537,0.0,1.0,AAPL
2025-04-17,197.2,198.83,194.42,196.98,196.98,52164675,0.0,1.0,AAPL
2025-04-16,198.36,200.7,192.37,194.27,194.27,59732423,0.0,1.0,AAPL
2025-04-15,201.86,203.51,199.8,202.14,202.14,51343872,0.0,1.0,AAPL
2025-04-14,211.44,212.94,201.16,202.52,202.52,101352911,0.0,1.0,AAPL
2025-04-11,186.1,199.54,186.06,198.15,198.15,87435915,0.0,1.0,AAPL
2025-04-10,189.06,194.78,183.0,190.42,190.42,121879981,0.0,1.0,AAPL
2025-04-09,171.95,200.61,171.89,198.85,198.85,184395885,0.0,1.0,AAPL
2025-04-08,186.7,190.34,169.21,172.42,172.42,120859491,0.0,1.0,AAPL
2025-04-07,177.2,194.15,174.62,181.46,181.46,160466286,0.0,1.0,AAPL
2025-04-04,193.89,199.88,187.34,188.38,188.38,125910913,0.0,1.0,AAPL
2025-04-03,205.54,207.49,201.25,203.19,203.19,103419006,0.0,1.0,AAPL
2025-04-02,221.32,225.19,221.02,223.89,223.89,35905904,0.0,1.0,AAPL
2025-04-01,219.8,223.68,218.9,223.19,223.19,36412740,0.0,1.0,AAPL
2025-03-31,217.0,225.62,216.23,222.13,222.13,65299321,0.0,1.0,AAPL
2025-03-28,221.67,223.81,217.68,217.9,217.9,39818617,0.0,1.0,AAPL
2025-03-27,221.39,224.99,220.56,223.85,223.85,37094774,0.0,1.0,AAPL
2025-03-26,223.51,225.02,220.47,221.53,221.53,34532656,0.0,1.0,AAPL
2025-03-25,220.77,224.1,220.08,223.75,223.75,34493583,0.0,1.0,AAPL
2025-03-24,221.0,221.48,218.58,220.73,220.73,44299483,0.0,1.0,AAPL
2025-03-21,211.56,218.84,211.28,218.27,218.27,94127768,0.0,1.0,AAPL
2025-03-20,213.99,217.49,212.22,214.1,214.1,48862947,0.0,1.0,AAPL
2025-03-19,214.22,218.76,213.75,215.24,215.24,54385391,0.0,1.0,AAPL
2025-03-18,214.16,215.15,211.49,212.69,212.69,42432426,0.0,1.0,AAPL
2025-03-17,213.31,215.22,209.97,214.0,214.0,48073426,0.0,1.0,AAPL
2025-03-14,211.25,213.95,209.58,213.49,213.49,60107582,0.0,1.0,AAPL
2025-03-13,215.95,216.84,208.42,209.68,209.68,61368330,0.0,1.0,AAPL
2025-03-12,220.14,221.75,214.91,216.98,216.98,62547467,0.0,1.0,AAPL
2025-03-11,223.8,225.84,217.45,220.84,220.84,76137410,0.0,1.0,AAPL
2025-03-10,235.54,236.16,224.22,227.48,227.48,71451281,0.0,1.0,AAPL
2025-03-07,235.1,241.37,234.76,239.07,239.07,46273565,0.0,1.0,AAPL
2025-03-06,234.44,237.86,233.16,235.33,235.33,45170419,0.0,1.0,AAPL
2025-03-05,235.42,236.55,229.23,235.74,235.74,47227643,0.0,1.0,AAPL
2025-03-04,237.7,240.07,234.68,235.93,235.93,53798062,0.0,1.0,AAPL
2025-03-03,241.79,244.03,236.11,238.03,238.03,47183985,0.0,1.0,AAPL
2025-02-28,236.95,242.09,230.2,241.84,241.84,56833360,0.0,1.0,AAPL
2025-02-27,239.41,242.46,237.06,237.3,237.3,41153639,0.0,1.0,AAPL
2025-02-26,244.33,244.98,239.13,240.36,240.36,44433564,0.0,1.0,AAPL
2025-02-25,248.0,250.0,244.91,247.04,247.04,48013272,0.0,1.0,AAPL
2025-02-24,244.92,248.86,244.42,247.1,247.1,51326396,0.0,1.0,AAPL
2025-02-21,245.95,248.69,245.22,245.55,245.55,53197431,0.0,1.0,AAPL
2025-02-20,244.94,246.78,244.29,245.83,245.83,32316907,0.0,1.0,AAPL
2025-02-19,244.66,246.01,243.16,244.87,244.87,32204215,0.0,1.0,AAPL
2025-02-18,244.15,245.18,241.84,244.47,244.47,48822491,0.0,1.0,AAPL
2025-02-14,241.25,245.55,240.99,244.6,244.6,40896227,0.0,1.0,AAPL
2025-02-13,236.91,242.34,235.57,241.53,241.53,53614054,0.0,1.0,AAPL
2025-02-12,231.2,236.96,230.68,236.87,236.87,45243292,0.0,1.0,AAPL
2025-02-11,228.2,235.23,228.13,232.62,232.62,53718362,0.0,1.0,AAPL
2025-02-10,229.57,230.58,227.2,227.65,227.65,33115645,0.25,1.0,AAPL
2025-02-07,232.34,233.74,227.01,227.38,227.38,39707224,0.0,1.0,AAPL
2025-02-06,231.03,233.54,230.17,232.96,232.96,29925349,0.0,1.0,AAPL
2025-02-05,228.28,232.41,228.02,232.21,232.21,39664989,0.0,1.0,AAPL
2025-02-04,227.0,232.87,226.4,232.54,232.54,45067301,0.0,1.0,AAPL
2025-02-03,229.74,231.58,225.45,227.76,227.76,73063301,0.0,1.0,AAPL
2025-01-31,246.92,246.92,233.18,235.74,235.74,101075128,0.0,1.0,AAPL
2025-01-30,238.4,240.53,236.95,237.33,237.33,55658279,0.0,1.0,AAPL
2025-01-29,233.86,239.59,233.75,239.1,239.1,45486100,0.0,1.0,AAPL
2025-01-28,230.6,239.93,230.56,238.0,238.0,75707569,0.0,1.0,AAPL
2025-01-27,223.77,231.9,223.73,229.61,229.61,94863418,0.0,1.0,AAPL
2025-01-24,224.53,225.38,221.17,222.54,222.54,54697907,0.0,1.0,AAPL
2025-01-23,224.49,226.78,222.06,223.41,223.41,60234760,0.0,1.0,AAPL
2025-01-22,219.55,223.87,219.55,223.58,223.58,64126500,0.0,1.0,AAPL
2025-01-21,223.75,224.17,219.14,222.4,222.4,98070429,0.0,1.0,AAPL
2025-01-17,231.86,232.04,228.23,229.73,229.73,68488301,0.0,1.0,AAPL
2025-01-16,237.09,237.75,227.78,228.01,228.01,71759052,0.0,1.0,AAPL
2025-01-15,234.38,238.7,234.17,237.61,237.61,39831969,0.0,1.0,AAPL
2025-01-14,234.49,235.86,232.22,233.02,233.02,39435294,0.0,1.0,AAPL
2025-01-13,233.27,234.41,229.47,234.14,234.14,49630725,0.0,1.0,AAPL
2025-01-10,239.75,239.9,232.74,236.59,236.59,61710856,0.0,1.0,AAPL
2025-01-08,241.65,243.44,239.79,242.43,242.43,37628940,0.0,1.0,AAPL
2025-01-07,242.71,245.28,241.09,241.94,241.94,40855960,0.0,1.0,AAPL
2025-01-06,244.04,247.06,242.93,244.73,244.73,45045571,0.0,1.0,AAPL
2025-01-03,243.09,243.91,241.62,243.09,243.09,40244114,0.0,1.0,AAPL
2025-01-02,248.66,248.83,241.55,243.58,243.58,55740731,0.0,1.0,AAPL
2024-12-31,252.16,253.0,249.16,250.15,250.15,39480718,0.0,1.0,AAPL
2024-12-30,251.95,253.22,250.47,251.92,251.92,35557542,0.0,1.0,AAPL
2024-12-27,257.55,258.42,252.78,255.31,255.31,42355321,0.0,1.0,AAPL
2024-12-26,257.91,259.81,257.35,258.74,258.74,27262983,0.0,1.0,AAPL
2024-12-24,255.21,257.93,255.01,257.92,257.92,23234705,0.0,1.0,AAPL
2024-12-23,254.49,255.37,253.17,254.99,254.99,40858774,0.0,1.0,AAPL
2024-12-20,247.77,254.72,245.42,254.21,254.21,147495267,0.0,1.0,AAPL
2024-12-19,247.23,251.72,246.82,249.52,249.52,60882264,0.0,1.0,AAPL
2024-12-18,251.88,254.0,247.47,247.78,247.78,56774101,0.0,1.0,AAPL
2024-12-17,249.81,253.55,249.51,253.2,253.2,51356360,0.0,1.0,AAPL
2024-12-16,247.72,251.1,247.38,250.76,250.76,51694753,0.0,1.0,AAPL
2024-12-13,247.54,249.02,245.97,247.86,247.86,33155290,0.0,1.0,AAPL
2024-12-12,246.62,248.47,245.41,247.69,247.69,32777532,0.0,1.0,AAPL
2024-12-11,247.69,250.52,245.99,246.22,246.22,45205814,0.0,1.0,AAPL
2024-12-10,246.62,247.94,245.07,247.5,247.5,36914806,0.0,1.0,AAPL
2024-12-09,241.56,246.97,241.48,246.48,246.48,44649232,0.0,1.0,AAPL
2024-12-06,242.64,244.36,241.81,242.57,242.57,36870619,0.0,1.0,AAPL
2024-12-05,243.72,244.27,241.86,242.77,242.77,40033878,0.0,1.0,AAPL
2024-12-04,242.6,243.84,240.99,242.74,242.74,44383935,0.0,1.0,AAPL
2024-12-03,239.55,242.49,238.64,242.38,242.38,38861017,0.0,1.0,AAPL
2024-12-02,237.01,240.53,236.9,239.33,239.33,48137103,0.0,1.0,AAPL
2024-11-29,234.55,237.55,233.71,237.07,237.07,28481377,0.0,1.0,AAPL
2024-11-27,234.21,235.43,233.55,234.67,234.67,33498439,0.0,1.0,AAPL
2024-11-26,233.07,235.31,233.07,234.8,234.8,45986189,0.0,1.0,AAPL
2024-11-25,231.21,232.99,229.49,232.61,232.61,90152832,0.0,1.0,AAPL
2024-11-22,227.81,230.47,227.81,229.62,229.62,38168252,0.0,1.0,AAPL
2024-11-21,228.63,229.9,225.46,228.27,228.27,42108327,0.0,1.0,AAPL
2024-11-20,227.81,229.68,225.64,228.75,228.75,35169566,0.0,1.0,AAPL
2024-11-19,226.73,229.91,226.41,228.03,228.03,36211774,0.0,1.0,AAPL
2024-11-18,225.0,229.49,224.92,227.77,227.77,44686020,0.0,1.0,AAPL
2024-11-15,226.15,226.67,224.02,224.75,224.75,47923696,0.0,1.0,AAPL
2024-11-14,224.77,228.62,224.75,227.97,227.97,44923941,0.0,1.0,AAPL
2024-11-13,223.76,226.4,222.52,224.87,224.87,48566217,0.0,1.0,AAPL
2024-11-12,224.3,225.34,223.11,223.98,223.98,40398299,0.0,1.0,AAPL
2024-11-11,224.75,225.45,221.26,223.98,223.98,42005602,0.0,1.0,AAPL
2024-11-08,226.92,228.41,226.16,226.71,226.71,38328824,0.25,1.0,AAPL
2024-11-07,224.13,227.37,224.08,226.98,226.98,42137691,0.0,1.0,AAPL
2024-11-06,222.12,225.57,220.7,222.23,222.23,54561121,0.0,1.0,AAPL
2024-11-05,221.31,223.46,220.65,222.96,222.96,28111338,0.0,1.0,AAPL
2024-11-04,220.5,222.3,219.23,221.52,221.52,44944468,0.0,1.0,AAPL
2024-11-01,220.48,224.86,219.79,222.42,222.42,65276741,0.0,1.0,AAPL
2024-10-31,228.84,229.33,224.88,225.41,225.41,64370086,0.0,1.0,AAPL
2024-10-30,232.1,232.96,229.05,229.59,229.59,47070907,0.0,1.0,AAPL
2024-10-29,232.59,233.81,231.81,233.16,233.16,35417247,0.0,1.0,AAPL
2024-10-28,232.81,234.21,232.04,232.89,232.89,36087134,0.0,1.0,AAPL
2024-10-25,229.24,232.71,229.07,230.9,230.9,38802304,0.0,1.0,AAPL
2024-10-24,229.47,230.31,227.91,230.06,230.06,31109503,0.0,1.0,AAPL
2024-10-23,233.57,234.63,227.26,230.25,230.25,52286979,0.0,1.0,AAPL
2024-10-22,233.37,235.7,232.09,235.34,235.34,38846578,0.0,1.0,AAPL
2024-10-21,233.94,236.33,233.94,235.96,235.96,36254470,0.0,1.0,AAPL
2024-10-18,235.66,235.66,233.5,234.48,234.48,46431472,0.0,1.0,AAPL
2024-10-17,232.92,233.34,230.01,231.64,231.64,32993810,0.0,1.0,AAPL
2024-10-16,231.09,231.61,229.34,231.27,231.27,34082240,0.0,1.0,AAPL
2024-10-15,233.1,236.97,231.86,233.34,233.34,64751367,0.0,1.0,AAPL
2024-10-14,228.2,231.22,228.1,230.79,230.79,39882085,0.0,1.0,AAPL
2024-10-11,228.8,228.91,226.84,227.05,227.05,31759188,0.0,1.0,AAPL
2024-10-10,227.28,229.0,226.67,228.54,228.54,28183544,0.0,1.0,AAPL
2024-10-09,224.74,229.25,224.34,229.04,229.04,33591091,0.0,1.0,AAPL
2024-10-08,223.81,225.48,222.76,225.27,225.27,31855693,0.0,1.0,AAPL
2024-10-07,224.01,225.19,220.84,221.2,221.2,39505354,0.0,1.0,AAPL
2024-10-04,227.4,227.5,223.64,226.3,226.3,37345098,0.0,1.0,AAPL
2024-10-03,224.65,226.31,222.83,225.17,225.17,34044158,0.0,1.0,AAPL
2024-10-02,225.39,226.87,222.53,226.28,226.28,32880605,0.0,1.0,AAPL
2024-10-01,229.02,229.15,223.25,225.71,225.71,63285048,0.0,1.0,AAPL
2024-09-30,229.53,232.49,229.15,232.49,232.49,54793391,0.0,1.0,AAPL
2024-09-27,227.96,229.02,226.8,227.29,227.29,34025967,0.0,1.0,AAPL
2024-09-26,226.8,228.0,224.91,227.02,227.02,36636707,0.0,1.0,AAPL
2024-09-25,224.44,226.79,223.53,225.87,225.87,42308715,0.0,1.0,AAPL
2024-09-24,228.14,228.85,225.23,226.87,226.87,43556068,0.0,1.0,AAPL
2024-09-23,226.84,228.95,225.31,225.97,225.97,54146023,0.0,1.0,AAPL
2024-09-20,229.46,232.58,227.12,227.7,227.7,318679888,0.0,1.0,AAPL
2024-09-19,224.5,229.32,224.14,228.37,228.37,66781315,0.0,1.0,AAPL
2024-09-18,217.07,222.22,217.06,220.21,220.21,59894928,0.0,1.0,AAPL
2024-09-17,215.28,216.42,214.03,216.31,216.31,45519339,0.0,1.0,AAPL
2024-09-16,216.06,216.74,213.45,215.84,215.84,59357427,0.0,1.0,AAPL
2024-09-13,223.09,223.55,221.42,222.01,222.01,36766619,0.0,1.0,AAPL
2024-09-12,222.01,223.06,219.34,222.28,222.28,37498225,0.0,1.0,AAPL
2024-09-11,220.97,222.6,217.41,222.17,222.17,44587072,0.0,1.0,AAPL
2024-09-10,218.44,220.99,216.25,219.63,219.63,51591033,0.0,1.0,AAPL
2024-09-09,220.34,220.78,216.23,220.42,220.42,67179965,0.0,1.0,AAPL
2024-09-06,223.46,224.75,219.29,220.34,220.34,48423011,0.0,1.0,AAPL
2024-09-05,221.14,224.98,221.03,221.89,221.89,36615398,0.0,1.0,AAPL
2024-09-04,221.17,221.29,217.0,220.36,220.36,43262758,0.0,1.0,AAPL
2024-09-03,228.05,228.5,220.68,222.28,222.28,50190574,0.0,1.0,AAPL
2024-08-30,229.68,229.89,226.98,228.5,228.5,52990770,0.0,1.0,AAPL
