date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,thscode
2025-04-29,281.12,289.9,279.06,288.56,288.56,2147733,0.0,1.0,AMGN
2025-04-28,280.63,284.1,280.0,283.09,283.09,2082462,0.0,1.0,AMGN
2025-04-25,279.47,282.19,276.44,280.84,280.84,1994615,0.0,1.0,AMGN
2025-04-24,278.47,282.26,274.42,279.84,279.84,2260455,0.0,1.0,AMGN
2025-04-23,279.91,283.6,276.42,277.9,277.9,2679621,0.0,1.0,AMGN
2025-04-22,275.7,278.73,274.49,278.4,278.4,2080977,0.0,1.0,AMGN
2025-04-21,277.29,278.25,270.36,273.68,273.68,1803577,0.0,1.0,AMGN
2025-04-17,277.04,278.68,268.5,277.29,277.29,4371880,0.0,1.0,AMGN
2025-04-16,294.74,294.75,281.03,282.64,282.64,2656374,0.0,1.0,AMGN
2025-04-15,294.3,296.17,292.14,295.3,295.3,2593614,0.0,1.0,AMGN
2025-04-14,286.77,295.18,285.21,293.92,293.92,2492955,0.0,1.0,AMGN
2025-04-11,282.5,287.9,277.1,285.98,285.98,3467087,0.0,1.0,AMGN
2025-04-10,287.98,288.52,269.67,281.41,281.41,4679096,0.0,1.0,AMGN
2025-04-09,268.91,291.5,267.4,291.09,291.09,6055689,0.0,1.0,AMGN
2025-04-08,289.25,294.01,277.51,280.26,280.26,4097249,0.0,1.0,AMGN
2025-04-07,287.69,296.94,281.7,289.69,289.69,4922983,0.0,1.0,AMGN
2025-04-04,312.11,312.11,293.72,294.39,294.39,5253288,0.0,1.0,AMGN
2025-04-03,311.18,314.9,306.7,309.85,309.85,3280342,0.0,1.0,AMGN
2025-04-02,305.41,306.76,300.1,305.7,305.7,1912488,0.0,1.0,AMGN
2025-04-01,310.58,312.62,305.0,306.92,306.92,3042318,0.0,1.0,AMGN
2025-03-31,307.58,315.0,305.55,311.55,311.55,3336281,0.0,1.0,AMGN
2025-03-28,307.44,308.17,304.71,306.95,306.95,1768574,0.0,1.0,AMGN
2025-03-27,306.22,307.57,304.29,305.77,305.77,1736926,0.0,1.0,AMGN
2025-03-26,306.44,309.09,304.35,305.71,305.71,2375632,0.0,1.0,AMGN
2025-03-25,313.98,314.22,303.51,306.86,306.86,2565308,0.0,1.0,AMGN
2025-03-24,315.0,317.58,313.43,314.38,314.38,2439427,0.0,1.0,AMGN
2025-03-21,311.82,316.49,311.16,316.04,316.04,9995022,0.0,1.0,AMGN
2025-03-20,314.18,315.99,312.24,315.04,315.04,2049719,0.0,1.0,AMGN
2025-03-19,317.51,318.92,313.4,315.75,315.75,1834297,0.0,1.0,AMGN
2025-03-18,317.56,319.31,315.18,318.65,318.65,2549593,0.0,1.0,AMGN
2025-03-17,314.64,318.66,311.79,317.17,317.17,2292900,0.0,1.0,AMGN
2025-03-14,312.23,314.51,310.3,313.71,313.71,2396818,0.0,1.0,AMGN
2025-03-13,313.66,316.75,311.99,312.64,312.64,2062717,0.0,1.0,AMGN
2025-03-12,311.39,316.02,308.64,312.5,312.5,3182192,0.0,1.0,AMGN
2025-03-11,328.8,329.1,318.42,318.89,318.89,3080265,0.0,1.0,AMGN
2025-03-10,324.13,335.88,322.77,327.36,327.36,4109123,0.0,1.0,AMGN
2025-03-07,318.95,328.19,317.78,324.86,324.86,3944947,0.0,1.0,AMGN
2025-03-06,316.42,318.68,312.5,317.82,317.82,3076813,0.0,1.0,AMGN
2025-03-05,310.63,318.94,310.14,316.57,316.57,2629056,0.0,1.0,AMGN
2025-03-04,316.53,319.82,312.1,312.19,312.19,3819994,0.0,1.0,AMGN
2025-03-03,307.34,312.48,307.34,310.78,310.78,2970686,0.0,1.0,AMGN
2025-02-28,308.51,308.62,303.52,308.06,308.06,3173055,0.0,1.0,AMGN
2025-02-27,305.3,311.0,303.1,305.82,305.82,3249213,0.0,1.0,AMGN
2025-02-26,311.95,313.63,305.55,306.38,306.38,2787270,0.0,1.0,AMGN
2025-02-25,311.8,318.3,310.3,315.63,315.63,4365721,0.0,1.0,AMGN
2025-02-24,305.28,313.75,304.4,309.72,309.72,4286609,0.0,1.0,AMGN
2025-02-21,299.23,305.33,297.19,303.01,303.01,3261422,0.0,1.0,AMGN
2025-02-20,294.67,298.13,293.93,297.93,297.93,2319269,0.0,1.0,AMGN
2025-02-19,292.0,295.97,291.8,294.27,294.27,2806986,0.0,1.0,AMGN
2025-02-18,291.76,293.33,289.0,292.8,292.8,2162354,0.0,1.0,AMGN
2025-02-14,294.75,295.16,290.45,291.16,291.16,2189386,2.38,1.0,AMGN
2025-02-13,295.14,295.93,291.17,294.56,294.56,2061657,0.0,1.0,AMGN
2025-02-12,291.44,293.8,290.25,292.67,292.67,2629881,0.0,1.0,AMGN
