date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,thscode
2025-04-29,265.43,267.48,261.83,267.02,267.02,1730942,0.0,1.0,AXP
2025-04-28,264.94,268.0,262.53,264.95,264.95,1561627,0.0,1.0,AXP
2025-04-25,267.0,268.86,264.0,264.81,264.81,1940096,0.0,1.0,AXP
2025-04-24,258.07,268.0,258.0,267.32,267.32,2696315,0.0,1.0,AXP
2025-04-23,261.87,270.17,259.26,260.14,260.14,3872872,0.0,1.0,AXP
2025-04-22,247.12,253.24,246.37,252.42,252.42,2324093,0.0,1.0,AXP
2025-04-21,248.85,250.26,239.27,242.51,242.51,4302917,0.0,1.0,AXP
2025-04-17,252.95,255.62,247.1,251.31,251.31,3907488,0.0,1.0,AXP
2025-04-16,255.16,258.94,249.63,252.92,252.92,4244855,0.0,1.0,AXP
2025-04-15,256.0,260.63,255.3,257.86,257.86,3509063,0.0,1.0,AXP
2025-04-14,256.52,257.62,252.16,255.38,255.38,3067443,0.0,1.0,AXP
2025-04-11,246.89,252.77,243.14,251.13,251.13,4413488,0.0,1.0,AXP
2025-04-10,255.02,255.5,238.52,246.89,246.89,4799892,0.0,1.0,AXP
2025-04-09,226.96,264.77,226.26,262.36,262.36,8640614,0.0,1.0,AXP
2025-04-08,245.83,247.0,227.36,231.39,231.39,4782062,0.0,1.0,AXP
2025-04-07,225.28,241.94,220.43,234.28,234.28,6283581,0.0,1.0,AXP
2025-04-04,237.92,238.97,228.62,233.68,233.68,9097521,0.82,1.0,AXP
2025-04-03,259.29,260.09,246.31,246.95,246.95,7736239,0.0,1.0,AXP
2025-04-02,265.96,276.35,265.64,274.29,274.29,2473717,0.0,1.0,AXP
2025-04-01,264.81,269.93,264.19,269.53,269.53,2881391,0.0,1.0,AXP
2025-03-31,261.57,269.39,258.09,268.11,268.11,3945965,0.0,1.0,AXP
2025-03-28,269.68,271.69,262.09,264.55,264.55,3261477,0.0,1.0,AXP
2025-03-27,273.9,274.54,269.59,271.07,271.07,2312304,0.0,1.0,AXP
2025-03-26,279.02,281.14,273.63,275.03,275.03,2580005,0.0,1.0,AXP
2025-03-25,277.92,278.81,275.24,278.3,278.3,2767709,0.0,1.0,AXP
2025-03-24,274.27,277.28,273.27,276.89,276.89,2651382,0.0,1.0,AXP
2025-03-21,266.91,269.61,264.23,269.56,269.56,4229709,0.0,1.0,AXP
2025-03-20,268.09,273.59,267.28,269.88,269.88,2129461,0.0,1.0,AXP
2025-03-19,262.11,271.06,260.35,269.7,269.7,2894170,0.0,1.0,AXP
2025-03-18,263.67,264.57,259.55,261.8,261.8,3251729,0.0,1.0,AXP
2025-03-17,264.26,265.5,260.36,263.46,263.46,2975878,0.0,1.0,AXP
2025-03-14,259.24,265.73,258.09,264.7,264.7,4337169,0.0,1.0,AXP
2025-03-13,258.74,260.6,252.63,255.53,255.53,4194194,0.0,1.0,AXP
2025-03-12,259.27,261.9,254.11,259.84,259.84,5514889,0.0,1.0,AXP
