date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,thscode
2025-04-29,305.0,308.67,302.91,307.4,307.4,2651012,0.0,1.0,CAT
2025-04-28,306.45,311.43,303.85,307.06,307.06,2189801,0.0,1.0,CAT
2025-04-25,305.1,307.99,303.91,306.45,306.45,2162570,0.0,1.0,CAT
2025-04-24,297.43,308.21,297.07,306.86,306.86,2874396,0.0,1.0,CAT
2025-04-23,301.34,305.36,295.18,295.77,295.77,2458327,0.0,1.0,CAT
2025-04-22,287.5,293.23,287.0,291.17,291.17,2231223,0.0,1.0,CAT
2025-04-21,289.33,291.0,282.46,284.74,284.74,2978308,1.41,1.0,CAT
2025-04-17,290.73,296.23,290.46,292.8,292.8,2717624,0.0,1.0,CAT
2025-04-16,291.27,294.27,286.19,288.71,288.71,3017437,0.0,1.0,CAT
2025-04-15,295.37,300.24,290.95,291.98,291.98,3611291,0.0,1.0,CAT
2025-04-14,297.2,300.99,294.25,296.65,296.65,2758813,0.0,1.0,CAT
2025-04-11,287.53,293.95,282.74,292.0,292.0,3197931,0.0,1.0,CAT
2025-04-10,295.22,296.8,278.42,287.74,287.74,4116825,0.0,1.0,CAT
2025-04-09,269.43,300.37,267.8,299.53,299.53,6457333,0.0,1.0,CAT
2025-04-08,288.46,290.34,266.95,272.59,272.59,4989008,0.0,1.0,CAT
2025-04-07,274.64,292.9,265.98,278.68,278.68,7824699,0.0,1.0,CAT
2025-04-04,283.6,292.84,280.11,286.66,286.66,7216842,0.0,1.0,CAT
2025-04-03,318.09,323.1,303.5,304.25,304.25,4638692,0.0,1.0,CAT
2025-04-02,324.52,334.69,324.49,333.01,333.01,1747616,0.0,1.0,CAT
2025-04-01,325.4,330.57,322.29,328.94,328.94,1955410,0.0,1.0,CAT
2025-03-31,324.03,330.34,320.41,328.17,328.17,2837768,0.0,1.0,CAT
2025-03-28,335.34,336.58,326.43,328.07,328.07,1965493,0.0,1.0,CAT
2025-03-27,339.4,340.31,334.97,337.63,337.63,1481115,0.0,1.0,CAT
2025-03-26,341.67,345.56,337.12,339.43,339.43,1705089,0.0,1.0,CAT
2025-03-25,341.89,343.11,339.15,340.93,340.93,1678009,0.0,1.0,CAT
2025-03-24,338.87,341.46,337.62,339.99,339.99,2277496,0.0,1.0,CAT
2025-03-21,329.58,334.29,327.59,334.13,334.13,6766101,0.0,1.0,CAT
2025-03-20,332.92,338.11,331.97,334.59,334.59,2782873,0.0,1.0,CAT
2025-03-19,335.27,340.31,335.01,336.95,336.95,2407288,0.0,1.0,CAT
2025-03-18,340.31,340.31,333.7,335.05,335.05,3310243,0.0,1.0,CAT
2025-03-17,338.07,342.67,337.33,340.95,340.95,1684083,0.0,1.0,CAT
2025-03-14,336.06,340.3,335.29,337.97,337.97,1936119,0.0,1.0,CAT
2025-03-13,334.37,338.97,330.04,331.67,331.67,2490395,0.0,1.0,CAT
2025-03-12,341.34,343.21,333.8,336.46,336.46,1816667,0.0,1.0,CAT
2025-03-11,342.23,343.45,334.71,338.1,338.1,3191100,0.0,1.0,CAT
2025-03-10,343.3,350.67,340.17,343.51,343.51,2793024,0.0,1.0,CAT
2025-03-07,337.73,350.38,337.73,348.57,348.57,3063803,0.0,1.0,CAT
2025-03-06,333.62,340.23,330.88,339.33,339.33,2234096,0.0,1.0,CAT
2025-03-05,327.5,337.84,327.03,336.82,336.82,3189095,0.0,1.0,CAT
2025-03-04,325.78,330.28,317.11,325.14,325.14,3500232,0.0,1.0,CAT
2025-03-03,345.92,346.43,328.4,330.4,330.4,2569655,0.0,1.0,CAT
2025-02-28,340.29,343.2,337.07,342.26,342.26,3210269,0.0,1.0,CAT
2025-02-27,341.96,345.21,336.79,338.32,338.32,1971027,0.0,1.0,CAT
2025-02-26,343.75,347.06,338.44,340.89,340.89,2397754,0.0,1.0,CAT
2025-02-25,339.32,342.53,334.72,340.67,340.67,3323544,0.0,1.0,CAT
2025-02-24,341.7,343.75,334.57,337.25,337.25,2513291,0.0,1.0,CAT
2025-02-21,348.8,350.27,335.94,338.36,338.36,3225242,0.0,1.0,CAT
2025-02-20,353.25,355.09,345.74,347.43,347.43,2174066,0.0,1.0,CAT
2025-02-19,350.14,352.11,347.87,351.26,351.26,2211123,0.0,1.0,CAT
2025-02-18,353.72,355.17,349.38,352.26,352.26,3120367,0.0,1.0,CAT
2025-02-14,354.84,357.11,351.06,351.58,351.58,2045278,0.0,1.0,CAT
2025-02-13,350.83,355.83,348.69,351.96,351.96,3547192,0.0,1.0,CAT
2025-02-12,355.24,357.16,349.71,350.31,350.31,2833093,0.0,1.0,CAT
2025-02-11,359.96,362.62,359.2,360.45,360.45,1516854,0.0,1.0,CAT
2025-02-10,363.53,364.43,359.77,361.43,361.43,1944675,0.0,1.0,CAT
2025-02-07,367.43,367.71,360.79,362.09,362.09,1804954,0.0,1.0,CAT
2025-02-06,362.11,365.73,360.73,363.65,363.65,3007274,0.0,1.0,CAT
2025-02-05,361.08,361.21,355.44,357.08,357.08,2134445,0.0,1.0,CAT
2025-02-04,367.84,367.84,357.64,360.17,360.17,2709817,0.0,1.0,CAT
2025-02-03,362.35,366.73,357.92,359.77,359.77,3079283,0.0,1.0,CAT
2025-01-31,375.6,376.14,369.45,369.61,369.61,2859000,0.0,1.0,CAT
2025-01-30,371.66,378.93,371.32,373.13,373.13,4234597,0.0,1.0,CAT
2025-01-29,390.01,397.39,389.19,391.29,391.29,2675819,0.0,1.0,CAT
2025-01-28,392.1,394.92,384.58,388.37,388.37,1788939,0.0,1.0,CAT
2025-01-27,395.23,397.57,388.0,393.03,393.03,2964352,0.0,1.0,CAT
2025-01-24,403.73,407.38,403.28,405.62,405.62,1938183,0.0,1.0,CAT
2025-01-23,395.41,407.57,395.31,404.4,404.4,2587401,0.0,1.0,CAT
2025-01-22,396.72,398.51,393.16,395.65,395.65,1994791,0.0,1.0,CAT
2025-01-21,389.07,400.6,388.87,396.4,396.4,3144508,1.41,1.0,CAT
2025-01-17,381.45,383.58,378.78,382.76,382.76,2605870,0.0,1.0,CAT
2025-01-16,373.14,378.2,371.56,377.34,377.34,1974718,0.0,1.0,CAT
2025-01-15,375.94,376.73,371.17,371.73,371.73,1984512,0.0,1.0,CAT
2025-01-14,362.41,368.86,362.1,368.44,368.44,2331660,0.0,1.0,CAT
2025-01-13,349.98,360.13,348.83,359.44,359.44,2745954,0.0,1.0,CAT
2025-01-10,354.81,356.81,346.85,348.04,348.04,2774045,0.0,1.0,CAT
2025-01-08,359.39,359.82,354.68,358.02,358.02,1828830,0.0,1.0,CAT
2025-01-07,361.06,363.0,358.04,359.94,359.94,1607627,0.0,1.0,CAT
2025-01-06,363.9,367.71,359.52,361.13,361.13,1590975,0.0,1.0,CAT
2025-01-03,358.54,361.4,356.46,360.72,360.72,1391959,0.0,1.0,CAT
2025-01-02,362.43,365.74,355.07,356.73,356.73,1803731,0.0,1.0,CAT
2024-12-31,360.43,362.68,358.75,359.7,359.7,1168071,0.0,1.0,CAT
2024-12-30,357.39,361.74,355.71,359.95,359.95,1422636,0.0,1.0,CAT
2024-12-27,360.32,364.3,358.69,361.78,361.78,1245823,0.0,1.0,CAT
2024-12-26,361.97,364.39,360.8,364.02,364.02,1098408,0.0,1.0,CAT
2024-12-24,361.38,364.47,359.6,364.47,364.47,886018,0.0,1.0,CAT
2024-12-23,361.79,363.26,358.45,362.31,362.31,1804875,0.0,1.0,CAT
2024-12-20,355.48,368.36,354.23,362.95,362.95,5141960,0.0,1.0,CAT
2024-12-19,365.33,366.45,356.97,357.33,357.33,2619200,0.0,1.0,CAT
2024-12-18,375.5,377.94,359.97,360.82,360.82,2820729,0.0,1.0,CAT
2024-12-17,372.86,375.69,370.68,372.63,372.63,2138650,0.0,1.0,CAT
2024-12-16,378.55,379.09,374.57,375.72,375.72,1311206,0.0,1.0,CAT
2024-12-13,377.39,379.66,375.69,377.3,377.3,2035063,0.0,1.0,CAT
2024-12-12,385.77,386.58,376.94,377.57,377.57,1804628,0.0,1.0,CAT
2024-12-11,387.19,388.05,384.16,385.59,385.59,1651616,0.0,1.0,CAT
2024-12-10,387.42,392.13,382.36,385.11,385.11,2250982,0.0,1.0,CAT
2024-12-09,399.14,406.25,395.08,395.89,395.89,1739787,0.0,1.0,CAT
2024-12-06,394.79,396.37,389.43,391.7,391.7,1331099,0.0,1.0,CAT
2024-12-05,397.12,398.04,390.88,391.65,391.65,1291385,0.0,1.0,CAT
2024-12-04,395.21,398.08,392.79,396.14,396.14,1193925,0.0,1.0,CAT
2024-12-03,400.12,402.11,393.25,395.89,395.89,1716152,0.0,1.0,CAT
2024-12-02,404.02,404.7,397.41,399.11,399.11,1548651,0.0,1.0,CAT
2024-11-29,403.89,407.72,401.58,402.68,402.68,1962112,0.0,1.0,CAT
2024-11-27,404.95,408.64,399.84,400.29,400.29,1371922,0.0,1.0,CAT
2024-11-26,400.24,404.96,398.37,404.39,404.39,1796714,0.0,1.0,CAT
2024-11-25,396.63,403.71,396.63,402.23,402.23,4398020,0.0,1.0,CAT
2024-11-22,387.07,394.8,384.62,394.14,394.14,1893407,0.0,1.0,CAT
2024-11-21,380.68,388.71,375.8,386.3,386.3,1833547,0.0,1.0,CAT
2024-11-20,380.77,382.94,375.28,378.28,378.28,1859725,0.0,1.0,CAT
2024-11-19,374.84,380.02,374.84,379.1,379.1,1793407,0.0,1.0,CAT
2024-11-18,382.74,383.04,379.69,381.22,381.22,1626303,0.0,1.0,CAT
2024-11-15,382.73,385.21,378.98,380.83,380.83,2165453,0.0,1.0,CAT
2024-11-14,385.22,386.88,382.95,384.09,384.09,1372462,0.0,1.0,CAT
2024-11-13,385.67,387.9,382.42,383.8,383.8,2002200,0.0,1.0,CAT
2024-11-12,394.43,395.37,387.85,389.69,389.69,1737372,0.0,1.0,CAT
2024-11-11,394.55,398.69,391.68,393.19,393.19,1859182,0.0,1.0,CAT
2024-11-08,397.58,399.66,389.09,390.05,390.05,3345862,0.0,1.0,CAT
2024-11-07,411.42,414.97,404.1,404.77,404.77,3211102,0.0,1.0,CAT
2024-11-06,401.75,414.77,400.6,413.36,413.36,4720049,0.0,1.0,CAT
2024-11-05,373.95,382.81,372.48,380.14,380.14,1724115,0.0,1.0,CAT
2024-11-04,374.91,378.27,372.13,373.34,373.34,1793751,0.0,1.0,CAT
2024-11-01,374.88,380.03,373.76,376.43,376.43,1633361,0.0,1.0,CAT
2024-10-31,374.17,375.72,369.61,373.03,373.03,2394488,0.0,1.0,CAT
2024-10-30,370.84,384.98,364.1,376.04,376.04,4037464,0.0,1.0,CAT
2024-10-29,386.21,386.31,382.3,384.24,384.24,2186415,0.0,1.0,CAT
2024-10-28,385.11,388.27,384.1,387.31,387.31,3213934,0.0,1.0,CAT
2024-10-25,386.32,388.72,381.07,382.71,382.71,1606883,0.0,1.0,CAT
2024-10-24,383.69,385.08,378.99,383.79,383.79,1844245,0.0,1.0,CAT
2024-10-23,383.69,386.74,379.46,382.48,382.48,1501236,0.0,1.0,CAT
2024-10-22,386.44,387.99,382.47,385.18,385.18,1523872,0.0,1.0,CAT
2024-10-21,388.98,389.83,385.96,387.19,387.19,2376089,1.41,1.0,CAT
2024-10-18,391.49,391.69,385.04,389.13,389.13,3024091,0.0,1.0,CAT
2024-10-17,390.41,392.35,388.44,389.75,389.75,1561648,0.0,1.0,CAT
2024-10-16,382.75,389.86,382.28,388.89,388.89,1551797,0.0,1.0,CAT
2024-10-15,385.94,387.76,382.94,383.33,383.33,2715320,0.0,1.0,CAT
2024-10-14,388.67,391.53,382.23,389.22,389.22,3006132,0.0,1.0,CAT
2024-10-11,391.88,398.75,391.88,397.19,397.19,2110351,0.0,1.0,CAT
2024-10-10,390.44,392.19,385.81,391.88,391.88,1331845,0.0,1.0,CAT
2024-10-09,383.51,391.84,382.85,391.43,391.43,1757882,0.0,1.0,CAT
