date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,thscode
2025-05-02,0.46,0.48,0.41,0.45,0.45,729295,0.0,1.0,COSM
2025-05-01,0.43,0.49,0.43,0.46,0.46,2760607,0.0,1.0,COSM
2025-04-30,0.42,0.44,0.36,0.42,0.42,1605198,0.0,1.0,COSM
2025-04-29,0.41,0.44,0.4,0.41,0.41,180821,0.0,1.0,COSM
2025-04-28,0.41,0.45,0.4,0.42,0.42,520461,0.0,1.0,COSM
2025-04-25,0.41,0.43,0.4,0.42,0.42,484147,0.0,1.0,COSM
2025-04-24,0.38,0.45,0.38,0.4,0.4,918956,0.0,1.0,COSM
2025-04-23,0.36,0.43,0.33,0.4,0.4,1287998,0.0,1.0,COSM
2025-04-22,0.33,0.38,0.31,0.36,0.36,530460,0.0,1.0,COSM
2025-04-21,0.35,0.35,0.28,0.32,0.32,193074,0.0,1.0,COSM
2025-04-17,0.33,0.36,0.33,0.34,0.34,43655,0.0,1.0,COSM
2025-04-16,0.36,0.39,0.33,0.34,0.34,404861,0.0,1.0,COSM
2025-04-15,0.33,0.36,0.33,0.35,0.35,115082,0.0,1.0,COSM
2025-04-14,0.36,0.36,0.34,0.34,0.34,157327,0.0,1.0,COSM
2025-04-11,0.35,0.37,0.33,0.37,0.37,117780,0.0,1.0,COSM
2025-04-10,0.35,0.37,0.32,0.35,0.35,259391,0.0,1.0,COSM
2025-04-09,0.32,0.4,0.31,0.35,0.35,1072603,0.0,1.0,COSM
2025-04-08,0.35,0.39,0.32,0.33,0.33,280713,0.0,1.0,COSM
2025-04-07,0.34,0.37,0.32,0.34,0.34,189240,0.0,1.0,COSM
2025-04-04,0.38,0.38,0.34,0.35,0.35,256945,0.0,1.0,COSM
2025-04-03,0.42,0.43,0.39,0.39,0.39,353400,0.0,1.0,COSM
2025-04-02,0.43,0.44,0.42,0.44,0.44,117820,0.0,1.0,COSM
2025-04-01,0.43,0.43,0.42,0.43,0.43,62063,0.0,1.0,COSM
2025-03-31,0.45,0.45,0.4,0.44,0.44,65154,0.0,1.0,COSM
2025-03-28,0.48,0.49,0.35,0.45,0.45,269295,0.0,1.0,COSM
2025-03-27,0.48,0.49,0.47,0.48,0.48,94369,0.0,1.0,COSM
2025-03-26,0.5,0.5,0.47,0.49,0.49,41438,0.0,1.0,COSM
2025-03-25,0.51,0.51,0.49,0.5,0.5,53194,0.0,1.0,COSM
2025-03-24,0.5,0.51,0.48,0.5,0.5,113399,0.0,1.0,COSM
2025-03-21,0.51,0.51,0.47,0.49,0.49,50314,0.0,1.0,COSM
2025-03-20,0.51,0.52,0.48,0.51,0.51,129401,0.0,1.0,COSM
2025-03-19,0.48,0.5,0.48,0.5,0.5,76281,0.0,1.0,COSM
2025-03-18,0.52,0.52,0.47,0.48,0.48,178432,0.0,1.0,COSM
2025-03-17,0.51,0.52,0.47,0.5,0.5,151641,0.0,1.0,COSM
2025-03-14,0.47,0.5,0.46,0.48,0.48,63233,0.0,1.0,COSM
2025-03-13,0.51,0.51,0.48,0.49,0.49,116499,0.0,1.0,COSM
2025-03-12,0.48,0.5,0.48,0.5,0.5,92284,0.0,1.0,COSM
2025-03-11,0.47,0.49,0.45,0.48,0.48,112751,0.0,1.0,COSM
2025-03-10,0.51,0.53,0.47,0.47,0.47,217694,0.0,1.0,COSM
2025-03-07,0.48,0.52,0.48,0.51,0.51,80692,0.0,1.0,COSM
2025-03-06,0.5,0.51,0.48,0.48,0.48,117202,0.0,1.0,COSM
2025-03-05,0.52,0.54,0.5,0.51,0.51,177431,0.0,1.0,COSM
2025-03-04,0.49,0.53,0.44,0.52,0.52,323292,0.0,1.0,COSM
2025-03-03,0.54,0.56,0.49,0.49,0.49,208154,0.0,1.0,COSM
2025-02-28,0.54,0.56,0.51,0.55,0.55,285142,0.0,1.0,COSM
2025-02-27,0.56,0.59,0.53,0.54,0.54,226139,0.0,1.0,COSM
2025-02-26,0.6,0.62,0.54,0.56,0.56,571385,0.0,1.0,COSM
2025-02-25,0.57,0.63,0.56,0.59,0.59,739033,0.0,1.0,COSM
2025-02-24,0.62,0.62,0.56,0.56,0.56,350708,0.0,1.0,COSM
2025-02-21,0.62,0.64,0.6,0.62,0.62,129029,0.0,1.0,COSM
2025-02-20,0.64,0.65,0.61,0.63,0.63,121292,0.0,1.0,COSM
2025-02-19,0.61,0.67,0.61,0.64,0.64,341979,0.0,1.0,COSM
2025-02-18,0.61,0.63,0.6,0.62,0.62,376214,0.0,1.0,COSM
2025-02-14,0.63,0.65,0.61,0.62,0.62,414304,0.0,1.0,COSM
2025-02-13,0.68,0.68,0.63,0.64,0.64,253164,0.0,1.0,COSM
2025-02-12,0.65,0.67,0.64,0.65,0.65,135474,0.0,1.0,COSM
2025-02-11,0.69,0.74,0.63,0.65,0.65,638012,0.0,1.0,COSM
2025-02-10,0.72,0.77,0.69,0.72,0.72,908499,0.0,1.0,COSM
2025-02-07,0.71,0.83,0.68,0.7,0.7,631867,0.0,1.0,COSM
2025-02-06,0.69,0.76,0.67,0.72,0.72,430637,0.0,1.0,COSM
2025-02-05,0.68,0.79,0.68,0.71,0.71,846616,0.0,1.0,COSM
2025-02-04,0.71,0.72,0.66,0.7,0.7,332322,0.0,1.0,COSM
2025-02-03,0.69,0.72,0.66,0.72,0.72,138971,0.0,1.0,COSM
2025-01-31,0.65,0.72,0.65,0.71,0.71,204722,0.0,1.0,COSM
2025-01-30,0.7,0.72,0.64,0.66,0.66,320481,0.0,1.0,COSM
2025-01-29,0.71,0.73,0.68,0.73,0.73,208215,0.0,1.0,COSM
2025-01-28,0.79,0.82,0.64,0.7,0.7,589270,0.0,1.0,COSM
2025-01-27,0.77,0.8,0.74,0.79,0.79,518965,0.0,1.0,COSM
2025-01-24,0.78,0.82,0.75,0.78,0.78,411730,0.0,1.0,COSM
2025-01-23,0.79,0.9,0.76,0.79,0.79,976274,0.0,1.0,COSM
2025-01-22,0.9,0.95,0.67,0.77,0.77,5344371,0.0,1.0,COSM
2025-01-21,0.87,1.05,0.84,0.93,0.93,1818339,0.0,1.0,COSM
2025-01-17,0.91,0.93,0.83,0.86,0.86,453878,0.0,1.0,COSM
2025-01-16,0.8,0.95,0.75,0.84,0.84,1392345,0.0,1.0,COSM
2025-01-15,0.73,0.8,0.7,0.8,0.8,821626,0.0,1.0,COSM
2025-01-14,0.62,0.69,0.62,0.69,0.69,968629,0.0,1.0,COSM
2025-01-13,0.63,0.66,0.51,0.61,0.61,792339,0.0,1.0,COSM
2025-01-10,0.63,0.63,0.6,0.62,0.62,134318,0.0,1.0,COSM
2025-01-08,0.65,0.66,0.63,0.64,0.64,79553,0.0,1.0,COSM
2025-01-07,0.69,0.7,0.64,0.68,0.68,111870,0.0,1.0,COSM
2025-01-06,0.72,0.72,0.67,0.7,0.7,166744,0.0,1.0,COSM
2025-01-03,0.7,0.72,0.65,0.7,0.7,101187,0.0,1.0,COSM
2025-01-02,0.67,0.71,0.65,0.69,0.69,84344,0.0,1.0,COSM
2024-12-31,0.67,0.69,0.63,0.67,0.67,105417,0.0,1.0,COSM
2024-12-30,0.66,0.68,0.64,0.67,0.67,111130,0.0,1.0,COSM
2024-12-27,0.68,0.68,0.63,0.68,0.68,208492,0.0,1.0,COSM
2024-12-26,0.64,0.66,0.61,0.63,0.63,235823,0.0,1.0,COSM
2024-12-24,0.61,0.66,0.61,0.66,0.66,33346,0.0,1.0,COSM
2024-12-23,0.6,0.69,0.6,0.62,0.62,164409,0.0,1.0,COSM
2024-12-20,0.64,0.65,0.58,0.58,0.58,160457,0.0,1.0,COSM
2024-12-19,0.65,0.69,0.6,0.62,0.62,156349,0.0,1.0,COSM
2024-12-18,0.7,0.72,0.66,0.66,0.66,125411,0.0,1.0,COSM
2024-12-17,0.7,0.73,0.67,0.7,0.7,69522,0.0,1.0,COSM
2024-12-16,0.7,0.73,0.69,0.7,0.7,109752,0.0,1.0,COSM
2024-12-13,0.75,0.76,0.69,0.72,0.72,87490,0.0,1.0,COSM
2024-12-12,0.77,0.8,0.73,0.77,0.77,70245,0.0,1.0,COSM
2024-12-11,0.78,0.78,0.74,0.77,0.77,61875,0.0,1.0,COSM
2024-12-10,0.76,0.8,0.75,0.78,0.78,175552,0.0,1.0,COSM
2024-12-09,0.77,0.8,0.75,0.75,0.75,68803,0.0,1.0,COSM
2024-12-06,0.74,0.76,0.73,0.76,0.76,61300,0.0,1.0,COSM
2024-12-05,0.75,0.76,0.68,0.76,0.76,105184,0.0,1.0,COSM
2024-12-04,0.79,0.8,0.74,0.77,0.77,103071,0.0,1.0,COSM
2024-12-03,0.79,0.81,0.76,0.79,0.79,44736,0.0,1.0,COSM
2024-12-02,0.8,0.81,0.78,0.8,0.8,144481,0.0,1.0,COSM
2024-11-29,0.81,0.81,0.78,0.8,0.8,48939,0.0,1.0,COSM
2024-11-27,0.78,0.81,0.76,0.81,0.81,84320,0.0,1.0,COSM
2024-11-26,0.77,0.81,0.75,0.78,0.78,608048,0.0,1.0,COSM
2024-11-25,0.76,0.76,0.71,0.75,0.75,203662,0.0,1.0,COSM
2024-11-22,0.77,0.77,0.74,0.74,0.74,159782,0.0,1.0,COSM
2024-11-21,0.73,0.78,0.7,0.76,0.76,438980,0.0,1.0,COSM
2024-11-20,0.74,0.75,0.69,0.72,0.72,472955,0.0,1.0,COSM
2024-11-19,0.79,0.79,0.7,0.74,0.74,1067346,0.0,1.0,COSM
2024-11-18,0.63,0.76,0.61,0.7,0.7,2881087,0.0,1.0,COSM
2024-11-15,0.64,0.65,0.61,0.63,0.63,132921,0.0,1.0,COSM
2024-11-14,0.69,0.69,0.54,0.65,0.65,237653,0.0,1.0,COSM
2024-11-13,0.75,0.75,0.69,0.7,0.7,273398,0.0,1.0,COSM
2024-11-12,0.71,0.76,0.69,0.76,0.76,859857,0.0,1.0,COSM
2024-11-11,0.68,0.72,0.67,0.7,0.7,268065,0.0,1.0,COSM
2024-11-08,0.68,0.69,0.67,0.69,0.69,51790,0.0,1.0,COSM
2024-11-07,0.68,0.71,0.68,0.7,0.7,84237,0.0,1.0,COSM
2024-11-06,0.71,0.71,0.67,0.68,0.68,97808,0.0,1.0,COSM
2024-11-05,0.71,0.71,0.67,0.68,0.68,113917,0.0,1.0,COSM
2024-11-04,0.72,0.73,0.7,0.7,0.7,96406,0.0,1.0,COSM
2024-11-01,0.77,0.79,0.71,0.72,0.72,655862,0.0,1.0,COSM
2024-10-31,0.77,0.77,0.76,0.76,0.76,58946,0.0,1.0,COSM
2024-10-30,0.73,0.79,0.72,0.77,0.77,319174,0.0,1.0,COSM
2024-10-29,0.75,0.75,0.73,0.73,0.73,147961,0.0,1.0,COSM
2024-10-28,0.73,0.78,0.73,0.78,0.78,106004,0.0,1.0,COSM
2024-10-25,0.75,0.81,0.75,0.77,0.77,219581,0.0,1.0,COSM
2024-10-24,0.75,0.75,0.74,0.75,0.75,42560,0.0,1.0,COSM
2024-10-23,0.75,0.76,0.73,0.74,0.74,72094,0.0,1.0,COSM
2024-10-22,0.73,0.76,0.73,0.75,0.75,124800,0.0,1.0,COSM
