date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,thscode
2025-04-29,265.4,268.58,265.17,267.76,267.76,3140601,0.0,1.0,CRM
2025-04-28,268.14,269.5,263.33,265.64,265.64,4977724,0.0,1.0,CRM
2025-04-25,264.72,269.03,264.2,267.85,267.85,5651651,0.0,1.0,CRM
2025-04-24,258.2,264.98,257.0,264.7,264.7,7857563,0.0,1.0,CRM
2025-04-23,252.61,257.79,249.5,250.48,250.48,5818895,0.0,1.0,CRM
2025-04-22,238.23,244.22,235.6,243.39,243.39,7145288,0.0,1.0,CRM
2025-04-21,240.43,242.48,232.77,236.26,236.26,9240009,0.0,1.0,CRM
2025-04-17,249.77,251.56,246.8,247.26,247.26,5566857,0.0,1.0,CRM
2025-04-16,251.93,256.61,246.69,249.84,249.84,7190940,0.0,1.0,CRM
2025-04-15,254.37,256.72,253.8,254.93,254.93,5227671,0.0,1.0,CRM
2025-04-14,260.0,260.0,253.14,254.55,254.55,6038546,0.0,1.0,CRM
2025-04-11,254.27,256.41,247.68,255.0,255.0,6089003,0.0,1.0,CRM
2025-04-10,260.0,261.24,248.13,255.12,255.12,9692344,0.416,1.0,CRM
2025-04-09,240.51,267.73,240.51,264.74,264.74,12491148,0.0,1.0,CRM
2025-04-08,253.54,256.97,239.87,243.59,243.59,9340310,0.0,1.0,CRM
2025-04-07,229.63,252.54,229.63,243.81,243.81,11965180,0.0,1.0,CRM
2025-04-04,247.3,249.88,239.14,240.37,240.37,9704996,0.0,1.0,CRM
2025-04-03,259.72,262.14,254.04,254.81,254.81,8872602,0.0,1.0,CRM
2025-04-02,265.53,273.18,265.32,271.1,271.1,5396853,0.0,1.0,CRM
2025-04-01,268.42,270.38,265.39,269.76,269.76,4598153,0.0,1.0,CRM
2025-03-31,264.12,268.01,258.77,267.92,267.92,7585804,0.0,1.0,CRM
2025-03-28,276.26,276.75,268.75,269.53,269.53,4973419,0.0,1.0,CRM
2025-03-27,280.08,280.44,275.56,277.36,277.36,3757245,0.0,1.0,CRM
2025-03-26,287.87,288.57,279.12,280.53,280.53,5073391,0.0,1.0,CRM
2025-03-25,285.15,289.98,285.15,288.14,288.14,4301704,0.0,1.0,CRM
2025-03-24,283.28,286.29,282.76,285.49,285.49,6763802,0.0,1.0,CRM
2025-03-21,275.76,281.39,273.6,280.16,280.16,9804132,0.0,1.0,CRM
2025-03-20,276.61,282.42,276.61,278.58,278.58,5504720,0.0,1.0,CRM
2025-03-19,277.05,281.76,276.84,278.94,278.94,5245412,0.0,1.0,CRM
2025-03-18,279.56,280.04,275.49,278.28,278.28,5882123,0.0,1.0,CRM
2025-03-17,276.92,282.27,275.63,280.29,280.29,4484727,0.0,1.0,CRM
2025-03-14,274.55,279.43,272.24,278.95,278.95,6976916,0.0,1.0,CRM
2025-03-13,281.59,282.1,269.31,271.3,271.3,9494522,0.0,1.0,CRM
2025-03-12,281.39,285.46,278.64,284.12,284.12,7463894,0.0,1.0,CRM
2025-03-11,273.27,279.99,271.56,276.6,276.6,8313375,0.0,1.0,CRM
2025-03-10,276.52,277.9,270.28,272.46,272.46,9928915,0.0,1.0,CRM
2025-03-07,282.72,287.84,274.72,282.43,282.43,8248082,0.0,1.0,CRM
2025-03-06,287.76,297.59,284.37,285.58,285.58,10396805,0.0,1.0,CRM
2025-03-05,286.75,292.21,285.16,291.49,291.49,6612561,0.0,1.0,CRM
2025-03-04,289.53,291.18,281.78,286.87,286.87,9096260,0.0,1.0,CRM
2025-03-03,300.51,302.58,290.59,292.58,292.58,6298208,0.0,1.0,CRM
2025-02-28,295.47,301.49,291.68,297.37,297.37,10863109,0.0,1.0,CRM
2025-02-27,295.86,304.42,292.19,294.42,294.42,16691436,0.0,1.0,CRM
2025-02-26,312.15,313.19,305.95,306.83,306.83,12638452,0.0,1.0,CRM
2025-02-25,305.75,307.92,300.13,305.38,305.38,7360070,0.0,1.0,CRM
2025-02-24,311.0,312.22,303.03,307.82,307.82,6652863,0.0,1.0,CRM
2025-02-21,318.45,318.45,306.36,309.3,309.3,7353214,0.0,1.0,CRM
2025-02-20,321.72,323.92,317.69,317.91,317.91,6393050,0.0,1.0,CRM
2025-02-19,329.2,329.2,322.34,324.0,324.0,5012019,0.0,1.0,CRM
2025-02-18,328.06,328.62,322.47,328.42,328.42,5262109,0.0,1.0,CRM
2025-02-14,327.5,327.97,322.09,326.01,326.01,5879716,0.0,1.0,CRM
2025-02-13,325.67,329.81,322.69,329.31,329.31,4312066,0.0,1.0,CRM
2025-02-12,319.03,326.47,316.45,325.59,325.59,5643373,0.0,1.0,CRM
2025-02-11,323.49,325.91,320.74,323.87,323.87,5455939,0.0,1.0,CRM
2025-02-10,327.39,331.21,326.12,326.67,326.67,5981915,0.0,1.0,CRM
2025-02-07,331.46,333.28,323.19,325.3,325.3,7626090,0.0,1.0,CRM
2025-02-06,336.93,336.93,328.56,330.27,330.27,13240635,0.0,1.0,CRM
2025-02-05,345.16,347.47,338.32,347.36,347.36,4521009,0.0,1.0,CRM
2025-02-04,345.06,346.37,338.12,343.58,343.58,4965602,0.0,1.0,CRM
2025-02-03,335.42,340.9,330.72,338.69,338.69,4549415,0.0,1.0,CRM
2025-01-31,347.43,348.93,339.55,341.14,341.14,5781541,0.0,1.0,CRM
2025-01-30,340.35,347.43,339.45,343.01,343.01,7591129,0.0,1.0,CRM
2025-01-29,358.18,359.59,350.93,353.42,353.42,6266724,0.0,1.0,CRM
2025-01-28,354.19,366.49,349.88,359.36,359.36,12099293,0.0,1.0,CRM
2025-01-27,331.82,352.58,329.96,346.53,346.53,15661109,0.0,1.0,CRM
2025-01-24,335.75,338.1,331.24,333.34,333.34,3299074,0.0,1.0,CRM
2025-01-23,331.79,334.91,329.06,334.12,334.12,4355877,0.0,1.0,CRM
2025-01-22,330.71,334.68,326.75,332.08,332.08,7259285,0.0,1.0,CRM
2025-01-21,328.86,328.98,321.93,326.31,326.31,6397166,0.0,1.0,CRM
2025-01-17,328.18,329.03,322.54,324.03,324.03,6303558,0.0,1.0,CRM
2025-01-16,322.41,327.19,319.03,319.48,319.48,5051487,0.0,1.0,CRM
2025-01-15,329.34,330.99,320.26,320.64,320.64,6042674,0.0,1.0,CRM
2025-01-14,324.47,329.4,320.98,323.01,323.01,5935221,0.0,1.0,CRM
2025-01-13,314.09,320.03,313.29,318.55,318.55,4583023,0.0,1.0,CRM
2025-01-10,322.24,322.24,315.51,317.33,317.33,6539973,0.0,1.0,CRM
2025-01-08,327.21,328.26,322.58,326.37,326.37,3788206,0.0,1.0,CRM
2025-01-07,329.96,330.96,322.38,324.4,324.4,4643133,0.0,1.0,CRM
2025-01-06,333.48,336.05,326.75,329.99,329.99,5785333,0.0,1.0,CRM
2025-01-03,331.56,332.9,328.73,332.36,332.36,4102503,0.0,1.0,CRM
2025-01-02,335.76,338.37,327.28,330.12,330.12,4807138,0.0,1.0,CRM
2024-12-31,335.72,336.6,331.87,333.79,333.79,3026017,0.0,1.0,CRM
2024-12-30,332.93,337.56,331.07,335.19,335.19,3411528,0.0,1.0,CRM
2024-12-27,339.8,341.71,334.72,337.9,337.9,3220402,0.0,1.0,CRM
2024-12-26,344.32,344.32,340.48,341.16,341.16,3484545,0.0,1.0,CRM
2024-12-24,342.44,344.39,340.28,343.87,343.87,1810961,0.0,1.0,CRM
2024-12-23,341.69,343.29,336.13,342.34,342.34,5330267,0.0,1.0,CRM
2024-12-20,332.2,345.89,330.6,343.09,343.09,14932307,0.0,1.0,CRM
2024-12-19,341.14,342.97,334.88,335.68,335.68,7423351,0.0,1.0,CRM
2024-12-18,353.92,354.19,334.69,336.68,336.68,8400030,0.4,1.0,CRM
2024-12-17,355.9,356.23,348.13,349.98,349.98,6910983,0.0,1.0,CRM
2024-12-16,349.79,357.06,349.57,356.23,356.23,5482323,0.0,1.0,CRM
2024-12-13,362.98,363.77,351.51,353.31,353.31,5538020,0.0,1.0,CRM
2024-12-12,354.0,358.99,351.93,357.02,357.02,5422002,0.0,1.0,CRM
2024-12-11,352.5,359.19,350.89,353.85,353.85,7546604,0.0,1.0,CRM
2024-12-10,350.36,354.49,346.45,347.84,347.84,6032962,0.0,1.0,CRM
2024-12-09,360.68,360.68,349.8,350.58,350.58,6475001,0.0,1.0,CRM
2024-12-06,363.96,366.12,360.08,360.97,360.97,5738864,0.0,1.0,CRM
2024-12-05,359.77,364.42,355.67,360.36,360.36,10942124,0.0,1.0,CRM
2024-12-04,365.78,367.96,355.65,366.84,366.84,24733140,0.0,1.0,CRM
2024-12-03,326.48,331.86,322.74,330.5,330.5,12632360,0.0,1.0,CRM
2024-12-02,331.07,333.56,329.18,330.08,330.08,6063387,0.0,1.0,CRM
2024-11-29,328.41,331.06,326.33,329.06,329.06,3517586,0.0,1.0,CRM
2024-11-27,335.51,336.43,327.96,329.08,329.08,7471475,0.0,1.0,CRM
2024-11-26,341.02,342.84,338.19,342.22,342.22,4492772,0.0,1.0,CRM
2024-11-25,344.03,346.87,337.34,338.16,338.16,7117192,0.0,1.0,CRM
2024-11-22,338.0,341.85,334.84,341.06,341.06,5649365,0.0,1.0,CRM
2024-11-21,330.42,341.98,327.68,334.84,334.84,8364165,0.0,1.0,CRM
2024-11-20,324.38,326.34,321.1,324.78,324.78,3763500,0.0,1.0,CRM
2024-11-19,318.1,323.79,315.11,322.52,322.52,5469892,0.0,1.0,CRM
2024-11-18,326.08,326.08,319.3,321.34,321.34,4251074,0.0,1.0,CRM
2024-11-15,326.01,329.33,323.27,324.35,324.35,7093003,0.0,1.0,CRM
2024-11-14,341.48,345.03,329.89,330.72,330.72,7630619,0.0,1.0,CRM
2024-11-13,344.53,347.21,337.82,340.76,340.76,6902936,0.0,1.0,CRM
2024-11-12,338.34,347.88,337.56,340.19,340.19,7659675,0.0,1.0,CRM
2024-11-11,324.34,343.91,324.34,340.77,340.77,13954199,0.0,1.0,CRM
2024-11-08,309.16,321.9,308.57,321.05,321.05,8484970,0.0,1.0,CRM
2024-11-07,306.64,311.31,305.14,309.91,309.91,5722636,0.0,1.0,CRM
2024-11-06,304.14,307.69,302.22,306.04,306.04,5874885,0.0,1.0,CRM
2024-11-05,296.6,297.97,293.91,296.65,296.65,4456064,0.0,1.0,CRM
2024-11-04,297.15,299.34,292.1,297.17,297.17,5108329,0.0,1.0,CRM
2024-11-01,289.41,296.16,289.18,293.89,293.89,3527502,0.0,1.0,CRM
2024-10-31,291.78,295.26,288.74,290.55,290.55,4301838,0.0,1.0,CRM
2024-10-30,296.24,298.7,295.52,295.57,295.57,2826545,0.0,1.0,CRM
2024-10-29,293.17,299.75,291.99,298.05,298.05,4280743,0.0,1.0,CRM
2024-10-28,292.77,295.24,291.67,292.94,292.94,3867816,0.0,1.0,CRM
2024-10-25,289.18,293.55,288.02,289.64,289.64,3351560,0.0,1.0,CRM
2024-10-24,285.75,288.1,284.38,285.95,285.95,3210656,0.0,1.0,CRM
2024-10-23,286.92,287.49,281.82,283.63,283.63,3227071,0.0,1.0,CRM
2024-10-22,288.94,291.12,286.84,287.52,287.52,3100125,0.0,1.0,CRM
2024-10-21,288.19,292.1,287.23,290.47,290.47,2712571,0.0,1.0,CRM
2024-10-18,291.22,293.88,289.33,292.12,292.12,3087902,0.0,1.0,CRM
2024-10-17,291.14,292.52,289.28,290.29,290.29,2830025,0.0,1.0,CRM
2024-10-16,286.74,290.1,283.43,290.04,290.04,3496969,0.0,1.0,CRM
2024-10-15,292.64,292.75,287.19,287.54,287.54,3850782,0.0,1.0,CRM
2024-10-14,289.11,291.63,287.44,290.82,290.82,3642540,0.0,1.0,CRM
2024-10-11,288.4,289.42,285.5,287.29,287.29,3597035,0.0,1.0,CRM
2024-10-10,287.11,289.41,283.82,289.35,289.35,3965512,0.0,1.0,CRM
2024-10-09,290.0,290.75,286.27,287.11,287.11,4850952,0.0,1.0,CRM
2024-10-08,285.2,291.81,283.3,290.75,290.75,5211209,0.0,1.0,CRM
2024-10-07,285.77,287.36,282.58,283.77,283.77,4794652,0.0,1.0,CRM
2024-10-04,283.06,287.08,280.68,286.94,286.94,6131284,0.0,1.0,CRM
2024-10-03,278.21,280.33,276.95,280.12,280.12,3868447,0.0,1.0,CRM
2024-10-02,272.95,281.21,270.09,278.69,278.69,8512272,0.0,1.0,CRM
2024-10-01,273.37,273.93,268.93,270.11,270.11,4369918,0.0,1.0,CRM
2024-09-30,273.18,274.96,268.38,272.94,272.94,5062226,0.0,1.0,CRM
