date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,thscode
2025-04-29,56.69,57.49,56.63,57.34,57.34,13466087,0.0,1.0,CSCO
2025-04-28,56.52,57.33,56.42,56.84,56.84,23140581,0.0,1.0,CSCO
2025-04-25,56.21,56.78,56.07,56.71,56.71,16493787,0.0,1.0,CSCO
2025-04-24,55.3,56.56,55.16,56.29,56.29,22782315,0.0,1.0,CSCO
2025-04-23,56.15,56.98,55.5,55.63,55.63,30231456,0.0,1.0,CSCO
2025-04-22,55.22,55.28,54.58,55.04,55.04,19961797,0.0,1.0,CSCO
2025-04-21,55.16,55.33,53.83,54.37,54.37,15578781,0.0,1.0,CSCO
2025-04-17,56.2,56.4,55.68,55.76,55.76,15910364,0.0,1.0,CSCO
2025-04-16,56.57,57.08,55.42,55.76,55.76,20551318,0.0,1.0,CSCO
2025-04-15,57.87,57.91,57.06,57.2,57.2,18543575,0.0,1.0,CSCO
2025-04-14,57.89,58.21,57.1,57.41,57.41,15657742,0.0,1.0,CSCO
2025-04-11,56.67,57.8,56.28,57.33,57.33,23036936,0.0,1.0,CSCO
2025-04-10,57.82,57.94,55.0,56.59,56.59,31964574,0.0,1.0,CSCO
2025-04-09,53.08,58.43,52.67,58.13,58.13,53380792,0.0,1.0,CSCO
2025-04-08,54.74,55.86,52.72,53.19,53.19,37376985,0.0,1.0,CSCO
2025-04-07,53.38,56.12,52.11,54.41,54.41,46816197,0.0,1.0,CSCO
2025-04-04,56.66,57.47,54.44,54.54,54.54,42924448,0.0,1.0,CSCO
2025-04-03,59.38,59.92,57.26,57.31,57.31,40006321,0.41,1.0,CSCO
2025-04-02,60.76,61.43,60.67,61.38,61.38,18610686,0.0,1.0,CSCO
2025-04-01,60.94,61.6,60.63,61.36,61.36,17381449,0.0,1.0,CSCO
2025-03-31,60.2,61.46,59.81,61.27,61.27,29335721,0.0,1.0,CSCO
2025-03-28,61.22,61.34,60.08,60.43,60.43,24931721,0.0,1.0,CSCO
2025-03-27,61.45,61.54,60.89,60.96,60.96,25720164,0.0,1.0,CSCO
2025-03-26,60.6,61.4,60.57,61.36,61.36,30628526,0.0,1.0,CSCO
2025-03-25,60.41,60.78,60.27,60.56,60.56,20877635,0.0,1.0,CSCO
2025-03-24,60.6,60.94,60.45,60.54,60.54,28335642,0.0,1.0,CSCO
2025-03-21,59.74,59.97,59.0,59.87,59.87,65935195,0.0,1.0,CSCO
2025-03-20,60.05,60.59,59.91,60.19,60.19,16528566,0.0,1.0,CSCO
2025-03-19,60.2,61.14,60.07,60.69,60.69,15488782,0.0,1.0,CSCO
2025-03-18,60.23,60.37,59.25,59.87,59.87,16668982,0.0,1.0,CSCO
2025-03-17,59.97,60.78,59.91,60.46,60.46,15335820,0.0,1.0,CSCO
2025-03-14,59.89,60.19,59.49,60.07,60.07,16250727,0.0,1.0,CSCO
2025-03-13,59.98,60.06,58.81,59.25,59.25,16463327,0.0,1.0,CSCO
2025-03-12,60.53,60.75,59.82,60.03,60.03,18935337,0.0,1.0,CSCO
2025-03-11,61.84,61.94,60.1,60.24,60.24,25787410,0.0,1.0,CSCO
2025-03-10,63.03,63.24,61.24,61.62,61.62,27289608,0.0,1.0,CSCO
2025-03-07,62.45,63.71,61.75,63.49,63.49,21154785,0.0,1.0,CSCO
2025-03-06,63.35,63.57,62.31,62.96,62.96,23155124,0.0,1.0,CSCO
2025-03-05,62.78,63.72,62.35,63.51,63.51,14931472,0.0,1.0,CSCO
2025-03-04,63.29,63.46,62.17,62.81,62.81,24588330,0.0,1.0,CSCO
2025-03-03,63.93,64.42,62.74,63.03,63.03,21810686,0.0,1.0,CSCO
2025-02-28,63.47,63.7,62.38,63.65,63.65,26711832,0.0,1.0,CSCO
2025-02-27,64.3,64.83,63.3,63.36,63.36,24695609,0.0,1.0,CSCO
2025-02-26,63.59,64.31,63.49,63.62,63.62,13452344,0.0,1.0,CSCO
2025-02-25,64.14,64.18,62.87,63.81,63.81,22100075,0.0,1.0,CSCO
2025-02-24,63.97,64.12,62.7,62.79,62.79,17287523,0.0,1.0,CSCO
2025-02-21,64.22,64.5,63.43,63.53,63.53,18905792,0.0,1.0,CSCO
2025-02-20,64.5,64.77,63.81,64.21,64.21,14836588,0.0,1.0,CSCO
2025-02-19,64.06,64.5,63.83,64.38,64.38,14164064,0.0,1.0,CSCO
2025-02-18,64.84,65.78,63.97,64.13,64.13,22047470,0.0,1.0,CSCO
2025-02-14,63.34,64.61,62.99,64.41,64.41,23693320,0.0,1.0,CSCO
2025-02-13,65.63,66.03,62.27,63.39,63.39,43257663,0.0,1.0,CSCO
2025-02-12,61.0,62.12,60.77,62.09,62.09,30116284,0.0,1.0,CSCO
2025-02-11,62.09,62.35,61.73,61.99,61.99,17702464,0.0,1.0,CSCO
2025-02-10,62.67,62.71,61.94,62.36,62.36,15816237,0.0,1.0,CSCO
2025-02-07,62.29,62.8,61.77,61.83,61.83,23861029,0.0,1.0,CSCO
2025-02-06,62.37,62.46,61.63,61.83,61.83,15521841,0.0,1.0,CSCO
2025-02-05,61.01,62.26,60.86,62.13,62.13,19008323,0.0,1.0,CSCO
2025-02-04,60.41,61.16,60.3,60.9,60.9,12742713,0.0,1.0,CSCO
2025-02-03,59.76,60.82,59.13,60.61,60.61,20375707,0.0,1.0,CSCO
2025-01-31,60.1,60.76,60.03,60.17,60.17,16555695,0.0,1.0,CSCO
2025-01-30,60.04,60.64,59.82,60.04,60.04,17079036,0.0,1.0,CSCO
2025-01-29,59.52,60.11,59.09,59.13,59.13,17925289,0.0,1.0,CSCO
2025-01-28,58.6,59.14,58.5,59.01,59.01,25473316,0.0,1.0,CSCO
2025-01-27,60.95,61.02,58.34,58.66,58.66,33730340,0.0,1.0,CSCO
2025-01-24,61.62,61.85,61.42,61.79,61.79,17232945,0.0,1.0,CSCO
2025-01-23,61.36,61.87,60.94,61.79,61.79,14212046,0.0,1.0,CSCO
2025-01-22,60.61,61.32,60.56,61.19,61.19,19436629,0.0,1.0,CSCO
2025-01-21,60.04,60.89,59.85,60.6,60.6,18623768,0.0,1.0,CSCO
2025-01-17,60.33,60.52,59.77,59.8,59.8,23876379,0.0,1.0,CSCO
2025-01-16,59.75,60.02,59.36,59.4,59.4,18445709,0.0,1.0,CSCO
2025-01-15,59.43,59.91,59.17,59.55,59.55,19185137,0.0,1.0,CSCO
2025-01-14,58.55,58.92,58.33,58.91,58.91,16715456,0.0,1.0,CSCO
2025-01-13,58.5,58.51,57.76,58.34,58.34,19340695,0.0,1.0,CSCO
2025-01-10,58.37,58.64,58.12,58.32,58.32,17274459,0.0,1.0,CSCO
2025-01-08,58.47,58.82,57.86,58.78,58.78,14400335,0.0,1.0,CSCO
2025-01-07,58.55,58.82,58.23,58.51,58.51,16863781,0.0,1.0,CSCO
2025-01-06,58.49,59.16,58.17,58.35,58.35,18543298,0.0,1.0,CSCO
2025-01-03,58.42,58.75,57.95,58.44,58.44,18859541,0.4,1.0,CSCO
2025-01-02,58.45,58.86,57.76,58.28,58.28,16144281,0.0,1.0,CSCO
2024-12-31,58.4,58.56,57.95,58.38,58.38,14173022,0.0,1.0,CSCO
2024-12-30,58.27,58.57,57.6,58.37,58.37,12948052,0.0,1.0,CSCO
2024-12-27,58.75,59.19,58.32,58.79,58.79,13021411,0.0,1.0,CSCO
2024-12-26,58.8,59.23,58.58,59.15,59.15,8526942,0.0,1.0,CSCO
2024-12-24,57.99,59.02,57.99,59.02,59.02,9922346,0.0,1.0,CSCO
2024-12-23,57.33,58.2,57.32,58.17,58.17,18671217,0.0,1.0,CSCO
2024-12-20,56.77,57.97,56.48,57.71,57.71,69544629,0.0,1.0,CSCO
2024-12-19,56.6,57.34,56.55,56.83,56.83,21947824,0.0,1.0,CSCO
2024-12-18,57.9,57.9,56.69,56.74,56.74,24195146,0.0,1.0,CSCO
2024-12-17,57.57,58.25,57.37,57.71,57.71,24912522,0.0,1.0,CSCO
2024-12-16,57.66,57.68,57.05,57.54,57.54,26883236,0.0,1.0,CSCO
2024-12-13,57.81,58.12,57.57,57.81,57.81,14129777,0.0,1.0,CSCO
2024-12-12,57.88,58.92,57.82,58.04,58.04,17704609,0.0,1.0,CSCO
2024-12-11,58.07,58.15,57.51,57.78,57.78,26842940,0.0,1.0,CSCO
2024-12-10,57.69,58.05,57.33,57.91,57.91,14480185,0.0,1.0,CSCO
2024-12-09,59.0,59.05,58.05,58.14,58.14,16517459,0.0,1.0,CSCO
2024-12-06,59.17,59.25,58.94,59.06,59.06,14623064,0.0,1.0,CSCO
2024-12-05,58.96,59.4,58.88,59.19,59.19,19121697,0.0,1.0,CSCO
2024-12-04,58.82,59.01,58.45,58.8,58.8,16872103,0.0,1.0,CSCO
2024-12-03,58.61,58.7,58.35,58.66,58.66,11746006,0.0,1.0,CSCO
2024-12-02,58.43,58.88,58.32,58.61,58.61,15977739,0.0,1.0,CSCO
2024-11-29,58.25,58.77,58.22,58.39,58.39,11618360,0.0,1.0,CSCO
2024-11-27,58.79,59.04,58.12,58.47,58.47,12703322,0.0,1.0,CSCO
2024-11-26,58.19,58.82,58.13,58.77,58.77,14209693,0.0,1.0,CSCO
2024-11-25,57.84,58.15,57.46,57.93,57.93,52408187,0.0,1.0,CSCO
2024-11-22,56.79,57.89,56.66,57.74,57.74,14952324,0.0,1.0,CSCO
2024-11-21,56.5,57.13,56.31,56.77,56.77,16162444,0.0,1.0,CSCO
2024-11-20,56.06,56.71,55.83,56.71,56.71,15344952,0.0,1.0,CSCO
2024-11-19,55.9,56.25,55.57,56.22,56.22,17476186,0.0,1.0,CSCO
2024-11-18,56.76,57.19,56.44,56.52,56.52,23770462,0.0,1.0,CSCO
2024-11-15,56.66,57.3,56.44,56.67,56.67,28173705,0.0,1.0,CSCO
2024-11-14,58.18,58.18,56.73,57.12,57.12,33747654,0.0,1.0,CSCO
2024-11-13,57.35,58.46,57.04,58.36,58.36,36350607,0.0,1.0,CSCO
2024-11-12,57.95,58.22,57.62,57.9,57.9,16609357,0.0,1.0,CSCO
2024-11-11,58.19,58.56,57.55,57.82,57.82,17826977,0.0,1.0,CSCO
2024-11-08,57.29,57.4,56.86,57.26,57.26,17517686,0.0,1.0,CSCO
2024-11-07,57.0,57.5,56.75,57.28,57.28,17880234,0.0,1.0,CSCO
2024-11-06,56.4,57.28,56.17,57.07,57.07,20506037,0.0,1.0,CSCO
2024-11-05,55.13,55.49,54.73,55.38,55.38,10183605,0.0,1.0,CSCO
2024-11-04,54.68,55.14,54.36,55.06,55.06,13269890,0.0,1.0,CSCO
2024-11-01,53.98,55.04,53.78,54.73,54.73,19235612,0.0,1.0,CSCO
2024-10-31,54.66,54.74,53.95,54.01,54.01,22023370,0.0,1.0,CSCO
2024-10-30,54.8,55.27,54.61,54.82,54.82,13284261,0.0,1.0,CSCO
2024-10-29,54.61,55.33,54.51,54.91,54.91,18810078,0.0,1.0,CSCO
2024-10-28,55.13,55.21,54.45,54.52,54.52,12912311,0.0,1.0,CSCO
2024-10-25,55.47,55.84,54.9,54.97,54.97,14680466,0.0,1.0,CSCO
2024-10-24,55.6,55.77,55.04,55.19,55.19,14699588,0.0,1.0,CSCO
2024-10-23,55.38,55.81,55.22,55.5,55.5,18722973,0.0,1.0,CSCO
2024-10-22,55.23,56.11,55.09,55.82,55.82,14956301,0.0,1.0,CSCO
2024-10-21,55.91,56.27,55.73,55.81,55.81,14083608,0.0,1.0,CSCO
2024-10-18,55.63,56.08,55.43,55.98,55.98,17679841,0.0,1.0,CSCO
2024-10-17,55.6,55.79,55.08,55.62,55.62,18383351,0.0,1.0,CSCO
2024-10-16,54.24,55.63,54.07,55.6,55.6,32382277,0.0,1.0,CSCO
2024-10-15,53.67,53.86,53.18,53.33,53.33,20066281,0.0,1.0,CSCO
2024-10-14,53.56,53.65,53.05,53.52,53.52,11428687,0.0,1.0,CSCO
2024-10-11,52.78,53.58,52.78,53.5,53.5,12704525,0.0,1.0,CSCO
2024-10-10,52.96,53.07,52.68,52.8,52.8,9377463,0.0,1.0,CSCO
2024-10-09,51.92,52.93,51.81,52.82,52.82,10586120,0.0,1.0,CSCO
2024-10-08,51.91,52.04,51.47,52.0,52.0,12365166,0.0,1.0,CSCO
2024-10-07,51.85,52.12,51.65,51.79,51.79,10941700,0.0,1.0,CSCO
2024-10-04,52.07,52.18,51.69,52.02,52.02,11728606,0.0,1.0,CSCO
2024-10-03,51.47,51.93,51.44,51.71,51.71,11029127,0.0,1.0,CSCO
2024-10-02,51.67,52.11,51.41,51.89,51.89,11071270,0.4,1.0,CSCO
