date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,thscode
2025-04-29,138.69,140.01,138.57,139.3,139.3,7343820,0.0,1.0,CVX
2025-04-28,138.97,140.46,138.68,140.1,140.1,6715539,0.0,1.0,CVX
2025-04-25,138.33,139.05,137.25,138.73,138.73,6878491,0.0,1.0,CVX
2025-04-24,137.92,139.4,137.22,139.07,139.07,7745778,0.0,1.0,CVX
2025-04-23,137.21,138.55,135.15,136.68,136.68,10001966,0.0,1.0,CVX
2025-04-22,135.26,138.24,134.94,137.3,137.3,7984676,0.0,1.0,CVX
2025-04-21,136.02,136.29,132.33,133.73,133.73,9967487,0.0,1.0,CVX
2025-04-17,136.69,140.24,136.45,137.87,137.87,8434434,0.0,1.0,CVX
2025-04-16,135.4,137.55,134.8,135.36,135.36,8637220,0.0,1.0,CVX
2025-04-15,134.32,136.63,134.25,134.54,134.54,9334825,0.0,1.0,CVX
2025-04-14,138.48,138.54,134.1,135.32,135.32,9628152,0.0,1.0,CVX
2025-04-11,135.01,137.12,132.04,135.63,135.63,17224405,0.0,1.0,CVX
2025-04-10,143.22,143.63,133.45,134.98,134.98,20991216,0.0,1.0,CVX
2025-04-09,135.02,147.47,133.88,146.03,146.03,16846839,0.0,1.0,CVX
2025-04-08,144.15,144.49,134.87,136.93,136.93,12904424,0.0,1.0,CVX
2025-04-07,138.73,146.19,137.29,140.15,140.15,17816954,0.0,1.0,CVX
2025-04-04,151.76,152.46,142.75,143.28,143.28,20374716,0.0,1.0,CVX
2025-04-03,160.12,161.35,155.8,156.12,156.12,15500988,0.0,1.0,CVX
2025-04-02,167.4,167.98,165.85,166.47,166.47,7044869,0.0,1.0,CVX
2025-04-01,167.29,168.6,166.16,168.51,168.51,6378587,0.0,1.0,CVX
2025-03-31,166.19,168.92,166.13,167.29,167.29,10675731,0.0,1.0,CVX
2025-03-28,166.7,167.13,165.3,166.09,166.09,4923025,0.0,1.0,CVX
2025-03-27,167.25,168.22,165.85,166.65,166.65,6862691,0.0,1.0,CVX
2025-03-26,167.37,168.96,167.25,167.97,167.97,10077764,0.0,1.0,CVX
2025-03-25,166.08,167.82,165.11,165.94,165.94,7869159,0.0,1.0,CVX
2025-03-24,164.69,166.43,164.32,165.02,165.02,8068002,0.0,1.0,CVX
2025-03-21,164.49,164.88,163.11,164.75,164.75,21625460,0.0,1.0,CVX
2025-03-20,163.13,165.31,162.41,164.77,164.77,9545886,0.0,1.0,CVX
2025-03-19,160.96,164.54,160.9,164.05,164.05,11503859,0.0,1.0,CVX
2025-03-18,159.74,161.09,158.82,160.81,160.81,9289469,0.0,1.0,CVX
2025-03-17,157.22,159.45,156.76,158.72,158.72,7615153,0.0,1.0,CVX
2025-03-14,153.99,157.24,153.01,157.02,157.02,6671549,0.0,1.0,CVX
2025-03-13,152.26,154.43,151.92,153.61,153.61,9022758,0.0,1.0,CVX
2025-03-12,153.64,154.79,152.22,152.67,152.67,9710223,0.0,1.0,CVX
2025-03-11,158.43,158.84,153.79,154.08,154.08,10466294,0.0,1.0,CVX
2025-03-10,157.19,160.37,156.17,157.57,157.57,11729059,0.0,1.0,CVX
2025-03-07,153.95,157.45,153.71,156.34,156.34,8562635,0.0,1.0,CVX
2025-03-06,150.51,153.33,149.47,152.95,152.95,7314687,0.0,1.0,CVX
2025-03-05,150.15,151.36,147.74,150.81,150.81,9288538,0.0,1.0,CVX
2025-03-04,151.21,154.15,150.05,152.0,152.0,8826344,0.0,1.0,CVX
2025-03-03,159.46,160.09,151.76,153.09,153.09,9059814,0.0,1.0,CVX
2025-02-28,156.7,158.67,154.92,158.62,158.62,8828547,0.0,1.0,CVX
2025-02-27,155.69,158.29,154.81,156.67,156.67,7517237,0.0,1.0,CVX
2025-02-26,156.62,156.69,154.4,155.14,155.14,6005232,0.0,1.0,CVX
2025-02-25,157.99,158.99,155.46,156.42,156.42,6811293,0.0,1.0,CVX
2025-02-24,157.08,158.33,156.75,157.89,157.89,5925047,0.0,1.0,CVX
2025-02-21,158.13,158.95,156.82,156.92,156.92,6689815,0.0,1.0,CVX
2025-02-20,157.5,158.95,157.07,158.79,158.79,6256154,0.0,1.0,CVX
2025-02-19,156.52,158.36,156.0,157.23,157.23,4945813,0.0,1.0,CVX
2025-02-18,155.34,157.31,154.78,156.16,156.16,5981480,0.0,1.0,CVX
2025-02-14,155.08,157.45,154.88,155.34,155.34,5828805,1.71,1.0,CVX
2025-02-13,153.09,154.72,151.65,154.18,154.18,7836362,0.0,1.0,CVX
2025-02-12,155.04,155.75,152.89,153.21,153.21,6693461,0.0,1.0,CVX
2025-02-11,154.65,156.98,154.42,155.73,155.73,6011842,0.0,1.0,CVX
2025-02-10,152.61,154.1,152.38,154.07,154.07,5653770,0.0,1.0,CVX
2025-02-07,150.82,152.14,150.27,150.96,150.96,4724947,0.0,1.0,CVX
2025-02-06,152.54,153.56,149.42,150.25,150.25,6420525,0.0,1.0,CVX
2025-02-05,151.32,152.13,150.63,151.32,151.32,6533680,0.0,1.0,CVX
2025-02-04,147.1,151.71,147.1,151.55,151.55,8458070,0.0,1.0,CVX
2025-02-03,147.38,149.22,146.19,147.71,147.71,7604961,0.0,1.0,CVX
2025-01-31,152.09,152.69,147.03,147.57,147.57,16731592,0.0,1.0,CVX
2025-01-30,154.86,155.74,153.83,154.62,154.62,6931918,0.0,1.0,CVX
2025-01-29,154.02,154.88,153.12,153.99,153.99,5630563,0.0,1.0,CVX
2025-01-28,155.99,157.19,153.49,154.51,154.51,6425353,0.0,1.0,CVX
2025-01-27,154.63,156.17,153.83,155.52,155.52,7140991,0.0,1.0,CVX
2025-01-24,154.76,155.76,153.58,153.96,153.96,8003778,0.0,1.0,CVX
2025-01-23,155.91,156.22,153.93,154.31,154.31,5979808,0.0,1.0,CVX
2025-01-22,155.96,156.71,154.57,154.71,154.71,7232227,0.0,1.0,CVX
2025-01-21,159.4,159.64,155.78,156.52,156.52,10131372,0.0,1.0,CVX
2025-01-17,157.4,160.01,157.07,159.71,159.71,9260428,0.0,1.0,CVX
2025-01-16,156.31,158.15,156.31,157.64,157.64,5578902,0.0,1.0,CVX
2025-01-15,155.17,156.96,154.68,156.61,156.61,7899997,0.0,1.0,CVX
2025-01-14,153.52,155.2,152.78,155.19,155.19,6830219,0.0,1.0,CVX
2025-01-13,152.42,155.64,152.32,153.66,153.66,11774073,0.0,1.0,CVX
2025-01-10,151.74,152.66,149.23,151.47,151.47,11074716,0.0,1.0,CVX
2025-01-08,146.43,149.53,146.42,148.66,148.66,7640885,0.0,1.0,CVX
2025-01-07,146.89,148.86,146.02,147.96,147.96,7735997,0.0,1.0,CVX
2025-01-06,146.78,148.69,145.27,145.66,145.66,5888731,0.0,1.0,CVX
2025-01-03,145.93,146.88,145.7,146.24,146.24,5813935,0.0,1.0,CVX
2025-01-02,143.89,146.46,143.89,145.11,145.11,7170257,0.0,1.0,CVX
2024-12-31,141.96,143.76,141.76,143.26,143.26,6137843,0.0,1.0,CVX
2024-12-30,142.22,142.41,140.8,141.51,141.51,6194835,0.0,1.0,CVX
2024-12-27,142.72,144.12,141.83,142.43,142.43,5296875,0.0,1.0,CVX
2024-12-26,142.11,142.74,141.34,142.41,142.41,4494424,0.0,1.0,CVX
2024-12-24,141.54,142.48,140.71,142.27,142.27,3556081,0.0,1.0,CVX
2024-12-23,140.93,141.78,140.0,141.41,141.41,8156466,0.0,1.0,CVX
2024-12-20,139.29,141.29,139.02,141.29,141.29,32209195,0.0,1.0,CVX
2024-12-19,143.0,143.18,139.42,139.61,139.61,16544329,0.0,1.0,CVX
2024-12-18,146.15,147.05,142.41,142.51,142.51,10174494,0.0,1.0,CVX
2024-12-17,146.39,147.03,145.31,146.5,146.5,11909333,0.0,1.0,CVX
2024-12-16,152.21,152.21,147.62,147.73,147.73,11961219,0.0,1.0,CVX
2024-12-13,153.18,153.27,151.4,152.19,152.19,5816180,0.0,1.0,CVX
2024-12-12,154.17,154.82,152.59,153.03,153.03,7621522,0.0,1.0,CVX
2024-12-11,155.15,155.46,154.1,154.51,154.51,13764742,0.0,1.0,CVX
2024-12-10,157.33,157.78,154.99,155.29,155.29,9126158,0.0,1.0,CVX
2024-12-09,155.29,158.34,155.11,155.37,155.37,9404473,0.0,1.0,CVX
2024-12-06,157.02,157.1,153.48,153.55,153.55,9701694,0.0,1.0,CVX
2024-12-05,157.56,158.92,156.96,157.6,157.6,6358358,0.0,1.0,CVX
2024-12-04,160.07,160.08,156.14,156.6,156.6,7862728,0.0,1.0,CVX
2024-12-03,161.21,161.42,159.63,160.16,160.16,5900066,0.0,1.0,CVX
2024-12-02,160.52,161.18,158.37,160.44,160.44,6229596,0.0,1.0,CVX
2024-11-29,160.48,160.98,158.91,160.17,160.17,5076953,0.0,1.0,CVX
2024-11-27,160.99,162.89,159.85,160.34,160.34,7674474,0.0,1.0,CVX
2024-11-26,160.54,161.17,159.64,160.76,160.76,7369944,0.0,1.0,CVX
2024-11-25,160.38,161.39,158.09,158.61,158.61,10702395,0.0,1.0,CVX
2024-11-22,159.75,160.84,159.4,160.59,160.59,7006293,0.0,1.0,CVX
2024-11-21,160.26,160.88,159.53,159.87,159.87,7945531,0.0,1.0,CVX
2024-11-20,158.17,159.68,158.04,159.57,159.57,6391252,0.0,1.0,CVX
2024-11-19,158.24,158.68,157.02,157.86,157.86,4657409,0.0,1.0,CVX
2024-11-18,158.81,159.76,157.34,159.01,159.01,6092141,1.63,1.0,CVX
2024-11-15,158.16,159.0,157.41,158.06,158.06,9022753,0.0,1.0,CVX
2024-11-14,156.51,158.46,156.36,158.43,158.43,10111234,0.0,1.0,CVX
2024-11-13,152.82,155.71,151.31,155.42,155.42,8824013,0.0,1.0,CVX
2024-11-12,154.03,154.19,151.89,152.06,152.06,5681869,0.0,1.0,CVX
