date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,thscode
2025-05-07,409.86,412.8,408.15,411.05,411.05,2421805,0.0,1.0,DIA
2025-05-06,408.47,411.74,407.51,408.24,408.24,1745633,0.0,1.0,DIA
2025-05-05,410.82,414.44,410.46,412.26,412.26,3866016,0.0,1.0,DIA
2025-05-02,411.78,413.87,410.33,413.04,413.04,2277654,0.0,1.0,DIA
2025-05-01,408.55,410.93,407.02,407.42,407.42,1917616,0.0,1.0,DIA
2025-04-30,402.43,407.78,397.41,406.34,406.34,2487378,0.0,1.0,DIA
2025-04-29,402.4,406.32,402.2,405.21,405.21,1888093,0.0,1.0,DIA
2025-04-28,401.8,404.17,398.72,402.27,402.27,1534705,0.0,1.0,DIA
2025-04-25,399.88,401.36,397.14,401.02,401.02,1790787,0.0,1.0,DIA
2025-04-24,395.51,401.68,393.8,400.98,400.98,4010459,0.0,1.0,DIA
2025-04-23,399.29,403.75,394.9,395.91,395.91,4049198,0.0,1.0,DIA
2025-04-22,386.07,392.66,385.2,391.87,391.87,3308116,0.0,1.0,DIA
2025-04-21,388.46,388.7,378.35,381.62,381.62,2881801,0.0,1.0,DIA
2025-04-17,391.48,394.42,389.51,391.36,391.36,4537456,0.1969,1.0,DIA
2025-04-16,402.11,404.09,393.84,396.57,396.57,3004415,0.0,1.0,DIA
2025-04-15,405.59,407.81,403.33,403.51,403.51,2387293,0.0,1.0,DIA
2025-04-14,407.28,407.65,401.51,405.22,405.22,2286204,0.0,1.0,DIA
2025-04-11,394.24,403.89,392.49,401.71,401.71,3789884,0.0,1.0,DIA
2025-04-10,399.4,399.99,384.12,395.48,395.48,6624236,0.0,1.0,DIA
2025-04-09,371.85,407.58,371.85,405.88,405.88,9861130,0.0,1.0,DIA
2025-04-08,393.28,394.16,370.84,376.29,376.29,7282963,0.0,1.0,DIA
2025-04-07,371.19,392.01,366.14,379.38,379.38,12718199,0.0,1.0,DIA
2025-04-04,394.73,396.45,382.49,383.03,383.03,8667239,0.0,1.0,DIA
2025-04-03,410.71,411.4,404.79,405.02,405.02,7440084,0.0,1.0,DIA
2025-04-02,416.16,423.44,415.97,421.82,421.82,2299827,0.0,1.0,DIA
2025-04-01,418.2,421.07,414.79,419.38,419.38,2384809,0.0,1.0,DIA
2025-03-31,411.99,421.15,411.23,419.67,419.67,2985264,0.0,1.0,DIA
2025-03-28,421.77,422.17,414.99,415.41,415.41,2600579,0.0,1.0,DIA
2025-03-27,423.47,424.88,421.24,422.73,422.73,1645967,0.0,1.0,DIA
2025-03-26,426.12,427.92,422.93,424.02,424.02,2444349,0.0,1.0,DIA
2025-03-25,426.11,426.63,424.15,425.61,425.61,3997626,0.0,1.0,DIA
2025-03-24,423.14,426.02,422.57,425.28,425.28,2474881,0.0,1.0,DIA
2025-03-21,415.84,419.79,413.98,419.41,419.41,2486041,0.8007,1.0,DIA
2025-03-20,416.91,422.12,416.63,419.11,419.11,1646459,0.0,1.0,DIA
2025-03-19,416.61,421.48,415.8,419.41,419.41,1813839,0.0,1.0,DIA
2025-03-18,417.41,417.66,413.88,415.53,415.53,1844136,0.0,1.0,DIA
2025-03-17,413.94,419.77,413.84,418.2,418.2,2140987,0.0,1.0,DIA
2025-03-14,409.84,414.91,408.92,414.36,414.36,2422739,0.0,1.0,DIA
2025-03-13,412.36,413.19,406.27,407.8,407.8,2557224,0.0,1.0,DIA
2025-03-12,415.96,416.57,409.57,412.95,412.95,2960538,0.0,1.0,DIA
2025-03-11,417.46,418.02,411.26,413.74,413.74,3893357,0.0,1.0,DIA
2025-03-10,422.37,425.02,415.62,418.48,418.48,3352146,0.0,1.0,DIA
2025-03-07,423.08,428.29,420.96,427.23,427.23,3719528,0.0,1.0,DIA
2025-03-06,425.14,429.08,423.02,424.88,424.88,2824083,0.0,1.0,DIA
2025-03-05,424.19,430.56,423.43,429.43,429.43,3018256,0.0,1.0,DIA
2025-03-04,428.65,430.05,422.83,424.55,424.55,3586896,0.0,1.0,DIA
2025-03-03,438.48,439.63,428.44,431.05,431.05,3925156,0.0,1.0,DIA
2025-02-28,432.02,437.76,429.98,437.32,437.32,3249923,0.0,1.0,DIA
2025-02-27,433.39,437.69,431.06,431.31,431.31,3296871,0.0,1.0,DIA
2025-02-26,435.39,437.46,431.96,433.29,433.29,2427844,0.0,1.0,DIA
2025-02-25,434.49,436.49,431.61,435.08,435.08,2953060,0.0,1.0,DIA
2025-02-24,434.78,435.85,432.3,433.48,433.48,3629338,0.0,1.0,DIA
2025-02-21,438.04,438.33,432.31,433.11,433.11,3842204,0.6588,1.0,DIA
2025-02-20,443.53,443.81,438.24,440.66,440.66,2959978,0.0,1.0,DIA
2025-02-19,443.04,445.05,441.81,444.92,444.92,2239430,0.0,1.0,DIA
2025-02-18,443.54,444.25,441.89,444.17,444.17,2451246,0.0,1.0,DIA
2025-02-14,445.35,446.28,443.61,444.04,444.04,2005431,0.0,1.0,DIA
2025-02-13,443.59,446.1,441.96,445.51,445.51,2961542,0.0,1.0,DIA
2025-02-12,440.61,443.05,439.34,441.89,441.89,2444480,0.0,1.0,DIA
2025-02-11,441.6,444.79,441.5,444.36,444.36,1436190,0.0,1.0,DIA
2025-02-10,444.07,444.52,441.36,443.04,443.04,1858118,0.0,1.0,DIA
2025-02-07,446.03,446.73,441.07,441.38,441.38,2259216,0.0,1.0,DIA
2025-02-06,447.59,447.97,443.64,445.61,445.61,1867218,0.0,1.0,DIA
2025-02-05,443.97,447.09,441.67,446.91,446.91,2273413,0.0,1.0,DIA
2025-02-04,442.49,444.25,441.53,443.78,443.78,1890532,0.0,1.0,DIA
2025-02-03,437.89,444.15,436.98,442.53,442.53,4527691,0.0,1.0,DIA
2025-01-31,448.27,448.6,443.3,443.64,443.64,3087430,0.0,1.0,DIA
2025-01-30,444.79,448.35,444.6,447.06,447.06,2322567,0.0,1.0,DIA
2025-01-29,446.45,447.85,444.02,445.43,445.43,2225147,0.0,1.0,DIA
2025-01-28,445.45,447.98,444.43,446.65,446.65,2233472,0.0,1.0,DIA
2025-01-27,438.91,445.56,438.81,445.37,445.37,3822372,0.0,1.0,DIA
2025-01-24,443.06,443.73,441.6,442.38,442.38,2022306,0.0,1.0,DIA
2025-01-23,439.79,443.7,439.79,443.64,443.64,2352493,0.0,1.0,DIA
2025-01-22,439.76,440.27,438.62,439.55,439.55,3724065,0.0,1.0,DIA
2025-01-21,434.64,438.7,434.6,438.38,438.38,2113769,0.0,1.0,DIA
2025-01-17,432.84,434.68,432.27,433.02,433.02,2771044,0.1624,1.0,DIA
2025-01-16,430.24,431.05,428.91,429.71,429.71,2532462,0.0,1.0,DIA
2025-01-15,429.71,431.42,428.65,430.39,430.39,4059801,0.0,1.0,DIA
2025-01-14,423.06,423.68,419.74,423.33,423.33,2643309,0.0,1.0,DIA
2025-01-13,416.96,421.42,416.71,421.15,421.15,2608118,0.0,1.0,DIA
2025-01-10,422.46,422.51,417.0,417.53,417.53,3415503,0.0,1.0,DIA
2025-01-08,423.59,424.73,421.44,424.3,424.3,2020174,0.0,1.0,DIA
2025-01-07,427.06,427.48,422.04,423.51,423.51,2053905,0.0,1.0,DIA
2025-01-06,427.02,429.27,424.25,425.3,425.3,3463299,0.0,1.0,DIA
2025-01-03,424.02,425.93,422.38,425.33,425.33,2203508,0.0,1.0,DIA
2025-01-02,426.5,427.12,419.78,421.98,421.98,4234923,0.0,1.0,DIA
2024-12-31,425.08,425.9,422.22,423.67,423.67,2442722,0.0,1.0,DIA
2024-12-30,423.64,425.83,420.71,423.94,423.94,3858271,0.0,1.0,DIA
2024-12-27,428.73,430.44,425.6,428.16,428.16,2429126,0.0,1.0,DIA
2024-12-26,429.12,431.81,429.07,431.35,431.35,1869575,0.0,1.0,DIA
2024-12-24,427.05,430.77,426.44,430.64,430.64,1431692,0.0,1.0,DIA
2024-12-23,425.47,427.6,423.16,427.05,427.05,2602672,0.0,1.0,DIA
2024-12-20,420.25,430.23,419.91,426.7,426.7,6069637,1.2227,1.0,DIA
2024-12-19,424.46,425.91,421.43,421.51,421.51,4947992,0.0,1.0,DIA
2024-12-18,432.87,434.92,420.96,421.2,421.2,6135731,0.0,1.0,DIA
2024-12-17,433.07,433.71,431.34,432.47,432.47,3130266,0.0,1.0,DIA
2024-12-16,436.52,437.53,434.83,435.25,435.25,1987507,0.0,1.0,DIA
2024-12-13,437.72,438.39,435.79,436.24,436.24,2548412,0.0,1.0,DIA
2024-12-12,439.34,439.96,436.92,437.13,437.13,3585334,0.0,1.0,DIA
2024-12-11,440.95,441.57,439.23,439.36,439.36,2084329,0.0,1.0,DIA
2024-12-10,441.34,442.62,439.79,440.53,440.53,2460960,0.0,1.0,DIA
2024-12-09,444.46,445.09,441.63,441.91,441.91,1998597,0.0,1.0,DIA
2024-12-06,446.29,446.76,443.6,443.97,443.97,1974297,0.0,1.0,DIA
2024-12-05,447.27,448.26,445.16,445.47,445.47,1917595,0.0,1.0,DIA
2024-12-04,446.65,448.33,445.58,447.73,447.73,3694365,0.0,1.0,DIA
2024-12-03,445.95,446.4,443.43,444.7,444.7,1697433,0.0,1.0,DIA
2024-12-02,447.4,447.79,444.74,445.54,445.54,2661196,0.0,1.0,DIA
2024-11-29,445.11,448.07,445.05,446.88,446.88,3473411,0.0,1.0,DIA
