date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,thscode
2025-04-29,29.8,30.72,29.77,30.65,30.65,9498782,0.0,1.0,DOW
2025-04-28,30.25,30.94,29.71,29.95,29.95,9347169,0.0,1.0,DOW
2025-04-25,29.34,30.08,29.12,30.02,30.02,12991602,0.0,1.0,DOW
2025-04-24,28.52,30.18,28.05,29.76,29.76,13069318,0.0,1.0,DOW
2025-04-23,30.06,30.75,28.74,29.0,29.0,10727023,0.0,1.0,DOW
2025-04-22,28.54,29.35,28.5,29.0,29.0,8488251,0.0,1.0,DOW
2025-04-21,28.17,28.34,27.71,28.12,28.12,7745064,0.0,1.0,DOW
2025-04-17,27.73,28.41,27.73,28.15,28.15,8474932,0.0,1.0,DOW
2025-04-16,27.7,28.18,27.22,27.47,27.47,8672378,0.0,1.0,DOW
2025-04-15,28.07,28.76,27.68,27.7,27.7,12375836,0.0,1.0,DOW
2025-04-14,29.15,29.45,28.26,28.88,28.88,10448530,0.0,1.0,DOW
2025-04-11,27.01,28.51,26.47,28.43,28.43,11189063,0.0,1.0,DOW
2025-04-10,28.8,28.82,26.62,27.29,27.29,15213232,0.0,1.0,DOW
2025-04-09,25.35,30.14,25.06,29.86,29.86,19876891,0.0,1.0,DOW
2025-04-08,29.0,29.0,25.32,25.81,25.81,17050539,0.0,1.0,DOW
2025-04-07,27.22,29.29,26.33,27.52,27.52,19652880,0.0,1.0,DOW
2025-04-04,30.21,30.44,28.04,28.2,28.2,18677461,0.0,1.0,DOW
2025-04-03,33.48,33.64,31.38,31.46,31.46,18080863,0.0,1.0,DOW
2025-04-02,34.32,35.17,34.3,34.89,34.89,5146669,0.0,1.0,DOW
2025-04-01,34.48,34.76,34.09,34.61,34.61,6446040,0.0,1.0,DOW
2025-03-31,34.12,35.21,33.93,34.92,34.92,8477150,0.0,1.0,DOW
2025-03-28,35.06,35.22,34.12,34.36,34.36,6913670,0.0,1.0,DOW
2025-03-27,35.0,35.4,34.61,35.24,35.24,6911890,0.0,1.0,DOW
2025-03-26,35.27,35.78,35.13,35.58,35.58,5813549,0.0,1.0,DOW
2025-03-25,36.29,36.32,35.22,35.32,35.32,7217983,0.0,1.0,DOW
2025-03-24,36.53,36.86,35.97,36.29,36.29,6797417,0.0,1.0,DOW
2025-03-21,36.25,36.36,35.81,36.17,36.17,13257724,0.0,1.0,DOW
2025-03-20,36.76,37.0,36.5,36.61,36.61,5406614,0.0,1.0,DOW
2025-03-19,37.5,37.72,37.04,37.19,37.19,5525055,0.0,1.0,DOW
2025-03-18,37.77,37.8,37.32,37.61,37.61,4865955,0.0,1.0,DOW
2025-03-17,37.01,37.78,37.01,37.51,37.51,5097096,0.0,1.0,DOW
2025-03-14,36.78,37.18,36.66,36.97,36.97,5991563,0.0,1.0,DOW
2025-03-13,35.68,37.2,35.62,36.23,36.23,7958431,0.0,1.0,DOW
2025-03-12,36.8,36.8,35.73,35.75,35.75,6923877,0.0,1.0,DOW
2025-03-11,37.6,37.7,36.17,36.67,36.67,6997427,0.0,1.0,DOW
2025-03-10,37.36,38.36,37.16,37.4,37.4,6271688,0.0,1.0,DOW
2025-03-07,37.19,37.62,36.76,37.45,37.45,8667033,0.0,1.0,DOW
2025-03-06,37.33,37.69,36.72,37.44,37.44,9128453,0.0,1.0,DOW
2025-03-05,36.26,38.03,36.2,37.78,37.78,10393245,0.0,1.0,DOW
2025-03-04,35.89,36.21,35.48,35.62,35.62,8840482,0.0,1.0,DOW
2025-03-03,38.67,38.69,36.01,36.06,36.06,10954273,0.0,1.0,DOW
2025-02-28,37.8,38.31,37.62,38.11,38.11,10056886,0.7,1.0,DOW
2025-02-27,38.05,38.09,37.47,37.74,37.74,7949636,0.0,1.0,DOW
2025-02-26,38.83,38.86,37.84,38.15,38.15,6296757,0.0,1.0,DOW
2025-02-25,38.48,38.86,38.28,38.52,38.52,6180007,0.0,1.0,DOW
2025-02-24,38.7,38.73,38.19,38.35,38.35,7411660,0.0,1.0,DOW
2025-02-21,39.12,39.37,38.45,38.8,38.8,5962877,0.0,1.0,DOW
2025-02-20,38.3,38.9,38.23,38.88,38.88,5747143,0.0,1.0,DOW
2025-02-19,38.3,38.68,38.09,38.22,38.22,6219814,0.0,1.0,DOW
2025-02-18,38.02,39.3,37.99,39.0,39.0,7612272,0.0,1.0,DOW
2025-02-14,38.13,38.8,37.91,37.97,37.97,5387676,0.0,1.0,DOW
2025-02-13,37.68,37.97,37.36,37.65,37.65,6618988,0.0,1.0,DOW
2025-02-12,37.69,37.86,37.37,37.57,37.57,5607387,0.0,1.0,DOW
2025-02-11,37.95,38.13,37.74,37.93,37.93,5446481,0.0,1.0,DOW
2025-02-10,38.2,38.3,37.46,37.87,37.87,5911062,0.0,1.0,DOW
2025-02-07,38.2,38.32,37.64,37.88,37.88,5966185,0.0,1.0,DOW
2025-02-06,37.53,38.19,37.5,38.07,38.07,7610278,0.0,1.0,DOW
2025-02-05,37.53,37.76,37.04,37.27,37.27,6757382,0.0,1.0,DOW
2025-02-04,36.9,38.22,36.86,37.85,37.85,10017063,0.0,1.0,DOW
2025-02-03,37.51,37.61,36.0,36.71,36.71,14986938,0.0,1.0,DOW
2025-01-31,38.12,38.57,37.72,38.35,38.35,12726514,0.0,1.0,DOW
2025-01-30,38.61,38.77,36.81,37.85,37.85,18933247,0.0,1.0,DOW
2025-01-29,40.49,40.73,40.1,40.31,40.31,6765212,0.0,1.0,DOW
2025-01-28,41.25,41.41,40.54,40.67,40.67,6009633,0.0,1.0,DOW
