date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,thscode
2025-04-29,543.79,550.88,541.3,548.92,548.92,1695565,0.0,1.0,GS
2025-04-28,544.86,554.5,542.47,546.4,546.4,1459715,0.0,1.0,GS
2025-04-25,544.6,549.09,541.22,544.86,544.86,1612723,0.0,1.0,GS
2025-04-24,527.1,546.84,523.42,545.37,545.37,2223623,0.0,1.0,GS
2025-04-23,533.63,551.79,528.26,529.31,529.31,3048077,0.0,1.0,GS
2025-04-22,510.23,521.0,508.93,519.99,519.99,2514594,0.0,1.0,GS
2025-04-21,505.4,509.27,494.68,501.36,501.36,2859282,0.0,1.0,GS
2025-04-17,503.24,514.83,499.12,509.49,509.49,2593496,0.0,1.0,GS
2025-04-16,501.72,509.45,492.69,499.05,499.05,2765570,0.0,1.0,GS
2025-04-15,507.41,518.65,507.0,507.89,507.89,2501170,0.0,1.0,GS
2025-04-14,510.0,512.0,497.15,503.98,503.98,4392587,0.0,1.0,GS
2025-04-11,487.0,498.52,478.58,494.44,494.44,3770238,0.0,1.0,GS
2025-04-10,503.1,503.1,474.0,489.8,489.8,5374481,0.0,1.0,GS
2025-04-09,451.36,522.0,447.11,516.87,516.87,7024087,0.0,1.0,GS
2025-04-08,488.25,491.92,452.83,462.22,462.22,4240876,0.0,1.0,GS
2025-04-07,446.9,489.98,439.38,465.51,465.51,6353791,0.0,1.0,GS
2025-04-04,487.0,492.0,460.0,470.81,470.81,8105212,0.0,1.0,GS
2025-04-03,525.43,529.99,509.56,511.23,511.23,5193888,0.0,1.0,GS
2025-04-02,539.8,567.32,539.08,563.1,563.1,2560692,0.0,1.0,GS
2025-04-01,543.25,551.96,533.24,548.45,548.45,1869564,0.0,1.0,GS
2025-03-31,533.82,547.39,528.59,546.29,546.29,2455063,0.0,1.0,GS
2025-03-28,555.95,560.5,537.71,543.12,543.12,2773080,0.0,1.0,GS
2025-03-27,565.0,566.0,552.55,558.92,558.92,2100878,0.0,1.0,GS
2025-03-26,588.39,592.64,571.0,573.92,573.92,1952000,0.0,1.0,GS
2025-03-25,584.69,586.89,578.21,585.94,585.94,1875451,0.0,1.0,GS
2025-03-24,575.0,582.72,573.05,580.1,580.1,1877703,0.0,1.0,GS
2025-03-21,555.33,567.0,551.21,565.14,565.14,3565589,0.0,1.0,GS
2025-03-20,553.1,568.44,552.0,562.68,562.68,2531298,0.0,1.0,GS
2025-03-19,549.0,563.0,544.6,557.34,557.34,2770144,0.0,1.0,GS
2025-03-18,550.29,553.75,546.65,551.78,551.78,2641018,0.0,1.0,GS
2025-03-17,541.23,557.16,540.0,551.34,551.34,2695571,0.0,1.0,GS
2025-03-14,533.99,543.57,526.7,541.41,541.41,2808108,0.0,1.0,GS
2025-03-13,535.67,538.14,520.06,524.81,524.81,2529106,0.0,1.0,GS
2025-03-12,544.0,545.0,528.59,535.71,535.71,3078055,0.0,1.0,GS
2025-03-11,532.47,539.99,524.2,531.43,531.43,4190502,0.0,1.0,GS
2025-03-10,542.3,546.47,523.13,531.66,531.66,5211055,0.0,1.0,GS
