date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,thscode
2025-04-29,355.89,360.58,354.73,359.0,359.0,2837019,0.0,1.0,HD
2025-04-28,357.99,360.1,354.51,356.92,356.92,2412991,0.0,1.0,HD
2025-04-25,357.7,359.0,354.74,357.58,357.58,2811278,0.0,1.0,HD
2025-04-24,356.5,360.4,354.61,359.64,359.64,2749485,0.0,1.0,HD
2025-04-23,361.92,364.84,354.85,356.42,356.42,3283290,0.0,1.0,HD
2025-04-22,351.16,356.22,350.42,354.43,354.43,2802374,0.0,1.0,HD
2025-04-21,354.29,354.36,341.8,346.9,346.9,4015242,0.0,1.0,HD
2025-04-17,348.55,357.5,348.37,355.06,355.06,3232397,0.0,1.0,HD
2025-04-16,351.84,353.8,344.32,345.99,345.99,2637577,0.0,1.0,HD
2025-04-15,356.56,361.44,353.32,354.11,354.11,2883120,0.0,1.0,HD
2025-04-14,357.8,359.02,353.6,357.2,357.2,2842090,0.0,1.0,HD
2025-04-11,350.31,354.47,344.2,353.86,353.86,3576408,0.0,1.0,HD
2025-04-10,352.85,355.29,339.66,353.62,353.62,5574797,0.0,1.0,HD
2025-04-09,328.6,356.04,326.31,355.39,355.39,6792988,0.0,1.0,HD
2025-04-08,350.38,354.0,329.74,335.24,335.24,4868020,0.0,1.0,HD
2025-04-07,344.3,354.22,333.5,341.51,341.51,6950486,0.0,1.0,HD
2025-04-04,350.71,365.44,349.04,353.9,353.9,7531133,0.0,1.0,HD
2025-04-03,355.78,360.04,351.71,355.91,355.91,5407124,0.0,1.0,HD
2025-04-02,362.56,372.31,362.26,370.89,370.89,3189508,0.0,1.0,HD
2025-04-01,364.14,367.29,361.92,365.52,365.52,2801979,0.0,1.0,HD
2025-03-31,353.5,368.74,352.65,366.49,366.49,4498842,0.0,1.0,HD
2025-03-28,363.16,363.2,356.17,358.15,358.15,2980206,0.0,1.0,HD
2025-03-27,361.9,365.21,361.15,362.73,362.73,3036580,0.0,1.0,HD
2025-03-26,360.39,364.73,360.12,362.13,362.13,3141372,0.0,1.0,HD
2025-03-25,361.53,363.65,358.54,360.99,360.99,2799657,0.0,1.0,HD
2025-03-24,354.62,364.43,354.28,363.77,363.77,4023527,0.0,1.0,HD
2025-03-21,352.09,353.39,346.28,351.15,351.15,8205413,0.0,1.0,HD
2025-03-20,354.69,361.77,352.2,355.52,355.52,3391223,0.0,1.0,HD
2025-03-19,352.0,354.43,348.98,353.42,353.42,2990191,0.0,1.0,HD
2025-03-18,353.53,353.89,347.59,349.57,349.57,3008238,0.0,1.0,HD
2025-03-17,351.76,355.55,350.96,354.13,354.13,3681459,0.0,1.0,HD
2025-03-14,350.65,351.39,345.42,351.31,351.31,5510696,0.0,1.0,HD
2025-03-13,361.91,362.0,345.26,347.25,347.25,7062396,2.3,1.0,HD
2025-03-12,369.52,369.55,359.37,362.33,362.33,3368038,0.0,1.0,HD
2025-03-11,371.76,372.46,363.32,365.74,365.74,4013320,0.0,1.0,HD
2025-03-10,374.96,380.6,370.16,372.18,372.18,3702608,0.0,1.0,HD
2025-03-07,377.0,378.15,366.47,374.32,374.32,4574277,0.0,1.0,HD
2025-03-06,380.98,385.21,378.22,379.22,379.22,4221975,0.0,1.0,HD
2025-03-05,376.51,384.57,375.52,383.81,383.81,2780317,0.0,1.0,HD
2025-03-04,383.61,385.41,376.41,379.17,379.17,4384823,0.0,1.0,HD
2025-03-03,394.34,394.46,383.93,387.13,387.13,3397551,0.0,1.0,HD
2025-02-28,391.82,394.26,387.71,393.99,393.99,4263916,0.0,1.0,HD
2025-02-27,387.34,392.87,385.77,387.7,387.7,2825142,0.0,1.0,HD
2025-02-26,392.64,396.25,386.0,387.91,387.91,3871549,0.0,1.0,HD
