date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,thscode
2025-04-29,207.45,212.43,206.86,211.49,211.49,8744588,0.0,1.0,HON
2025-04-28,199.57,201.72,197.99,200.66,200.66,5690612,0.0,1.0,HON
2025-04-25,199.2,200.58,197.79,199.16,199.16,3639403,0.0,1.0,HON
2025-04-24,197.33,201.6,196.24,200.74,200.74,3239729,0.0,1.0,HON
2025-04-23,199.63,201.28,196.82,197.31,197.31,4157918,0.0,1.0,HON
2025-04-22,195.86,199.65,195.41,198.37,198.37,4346696,0.0,1.0,HON
2025-04-21,194.98,195.8,192.12,194.23,194.23,4948636,0.0,1.0,HON
2025-04-17,195.25,198.33,194.98,196.6,196.6,3215569,0.0,1.0,HON
2025-04-16,197.5,198.59,192.51,193.28,193.28,4129331,0.0,1.0,HON
2025-04-15,200.83,202.36,198.39,198.81,198.81,3019515,0.0,1.0,HON
2025-04-14,199.02,201.36,198.2,200.25,200.25,4492187,0.0,1.0,HON
2025-04-11,192.78,199.41,191.6,198.55,198.55,5102934,0.0,1.0,HON
2025-04-10,196.99,199.55,188.8,193.39,193.39,5821691,0.0,1.0,HON
2025-04-09,180.5,199.78,179.36,199.1,199.1,9141303,0.0,1.0,HON
2025-04-08,188.24,191.17,180.83,182.86,182.86,6952006,0.0,1.0,HON
2025-04-07,190.81,196.23,183.39,187.46,187.46,9352215,0.0,1.0,HON
2025-04-04,203.25,204.63,190.71,190.99,190.99,8445698,0.0,1.0,HON
2025-04-03,213.59,216.29,206.33,206.68,206.68,6510705,0.0,1.0,HON
2025-04-02,212.49,216.41,212.32,215.99,215.99,3423931,0.0,1.0,HON
2025-04-01,211.11,213.63,209.68,213.45,213.45,2563812,0.0,1.0,HON
2025-03-31,210.83,212.44,209.76,211.75,211.75,3968314,0.0,1.0,HON
2025-03-28,214.27,214.9,209.96,210.34,210.34,3253418,0.0,1.0,HON
2025-03-27,213.1,215.21,212.27,214.17,214.17,3584360,0.0,1.0,HON
2025-03-26,212.73,217.16,212.61,213.12,213.12,5251418,0.0,1.0,HON
2025-03-25,211.09,213.01,210.27,212.12,212.12,3810393,0.0,1.0,HON
2025-03-24,211.64,212.68,210.5,211.85,211.85,4248215,0.0,1.0,HON
2025-03-21,209.13,211.45,208.78,210.12,210.12,6545140,0.0,1.0,HON
2025-03-20,207.59,211.67,207.3,210.89,210.89,3583283,0.0,1.0,HON
2025-03-19,210.29,212.12,208.31,208.65,208.65,6408344,0.0,1.0,HON
2025-03-18,210.41,211.51,208.83,209.74,209.74,3811392,0.0,1.0,HON
2025-03-17,208.44,211.11,207.72,210.42,210.42,4415159,0.0,1.0,HON
2025-03-14,208.47,211.15,207.89,209.47,209.47,3884590,0.0,1.0,HON
2025-03-13,205.66,207.9,205.11,206.69,206.69,3530967,0.0,1.0,HON
2025-03-12,207.09,207.79,204.73,206.35,206.35,3812680,0.0,1.0,HON
2025-03-11,213.49,213.75,206.92,208.59,208.59,5243484,0.0,1.0,HON
2025-03-10,214.29,218.47,213.58,213.82,213.82,4169721,0.0,1.0,HON
2025-03-07,211.25,215.36,210.79,214.52,214.52,5682735,0.0,1.0,HON
2025-03-06,208.94,211.74,207.9,211.26,211.26,5042728,0.0,1.0,HON
2025-03-05,208.0,210.43,206.79,209.62,209.62,5295803,0.0,1.0,HON
2025-03-04,211.7,212.53,207.83,208.0,208.0,6961807,0.0,1.0,HON
2025-03-03,213.72,216.06,211.03,212.02,212.02,5333469,0.0,1.0,HON
2025-02-28,212.99,213.77,210.59,212.89,212.89,3976646,1.13,1.0,HON
2025-02-27,210.67,213.75,210.5,211.15,211.15,2755384,0.0,1.0,HON
2025-02-26,209.72,211.59,208.65,210.21,210.21,3126930,0.0,1.0,HON
2025-02-25,210.04,212.69,209.91,210.88,210.88,3798426,0.0,1.0,HON
2025-02-24,210.64,214.05,208.61,208.8,208.8,6742157,0.0,1.0,HON
2025-02-21,210.05,211.38,208.29,210.82,210.82,6222122,0.0,1.0,HON
2025-02-20,208.48,210.38,207.77,210.23,210.23,3635989,0.0,1.0,HON
2025-02-19,206.83,210.58,206.82,209.7,209.7,5064594,0.0,1.0,HON
2025-02-18,203.34,207.29,201.71,206.94,206.94,4897883,0.0,1.0,HON
2025-02-14,203.74,204.06,200.48,201.68,201.68,5351415,0.0,1.0,HON
