date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,thscode
2025-04-29,155.45,157.02,154.29,155.91,155.91,5246725,0.0,1.0,JNJ
2025-04-28,155.5,155.81,153.82,155.35,155.35,5815179,0.0,1.0,JNJ
2025-04-25,154.32,154.9,152.45,154.58,154.58,8643927,0.0,1.0,JNJ
2025-04-24,155.8,155.9,153.44,154.93,154.93,8310425,0.0,1.0,JNJ
2025-04-23,156.49,157.1,154.33,155.38,155.38,9099438,0.0,1.0,JNJ
2025-04-22,157.55,158.72,156.26,157.75,157.75,7136321,0.0,1.0,JNJ
2025-04-21,157.96,158.23,155.49,156.92,156.92,6285438,0.0,1.0,JNJ
2025-04-17,154.16,159.44,154.16,157.47,157.47,10981067,0.0,1.0,JNJ
2025-04-16,155.37,155.63,152.24,153.91,153.91,7987296,0.0,1.0,JNJ
2025-04-15,155.7,156.3,152.1,153.62,153.62,10847653,0.0,1.0,JNJ
2025-04-14,151.58,154.67,151.17,154.36,154.36,10685338,0.0,1.0,JNJ
2025-04-11,149.33,152.35,148.19,151.73,151.73,9943851,0.0,1.0,JNJ
2025-04-10,150.37,151.2,145.13,148.69,148.69,13830474,0.0,1.0,JNJ
2025-04-09,142.2,153.19,141.5,150.97,150.97,18773742,0.0,1.0,JNJ
2025-04-08,153.59,153.59,148.0,150.0,150.0,12018391,0.0,1.0,JNJ
2025-04-07,151.28,152.71,147.4,150.62,150.62,18083040,0.0,1.0,JNJ
2025-04-04,159.16,159.82,152.93,153.24,153.24,16601728,0.0,1.0,JNJ
2025-04-03,158.75,160.65,157.48,159.82,159.82,13249313,0.0,1.0,JNJ
2025-04-02,154.01,155.79,153.45,155.36,155.36,10356920,0.0,1.0,JNJ
2025-04-01,160.73,161.81,153.13,153.25,153.25,23303065,0.0,1.0,JNJ
2025-03-31,164.37,166.63,164.23,165.84,165.84,12481400,0.0,1.0,JNJ
2025-03-28,163.59,164.52,162.91,163.71,163.71,5760545,0.0,1.0,JNJ
2025-03-27,162.35,164.06,161.32,163.13,163.13,6752466,0.0,1.0,JNJ
2025-03-26,161.21,162.49,160.64,161.72,161.72,7223773,0.0,1.0,JNJ
2025-03-25,163.52,164.19,160.56,161.02,161.02,7456197,0.0,1.0,JNJ
2025-03-24,162.84,164.39,162.5,163.29,163.29,8046565,0.0,1.0,JNJ
2025-03-21,163.0,164.13,162.48,163.63,163.63,17047106,0.0,1.0,JNJ
2025-03-20,163.0,163.2,161.93,163.02,163.02,7485930,0.0,1.0,JNJ
2025-03-19,163.97,164.36,162.21,162.99,162.99,5936637,0.0,1.0,JNJ
2025-03-18,163.44,164.86,162.96,164.25,164.25,7348974,0.0,1.0,JNJ
2025-03-17,162.41,163.5,161.73,162.84,162.84,6669815,0.0,1.0,JNJ
2025-03-14,162.12,163.15,161.1,162.81,162.81,6235797,0.0,1.0,JNJ
2025-03-13,163.43,164.54,162.66,162.99,162.99,5286734,0.0,1.0,JNJ
2025-03-12,163.73,164.21,162.23,162.85,162.85,8010692,0.0,1.0,JNJ
2025-03-11,167.2,167.3,165.05,165.86,165.86,9890648,0.0,1.0,JNJ
2025-03-10,167.48,169.9,167.05,167.7,167.7,17523663,0.0,1.0,JNJ
2025-03-07,165.13,168.46,164.7,166.69,166.69,9637593,0.0,1.0,JNJ
2025-03-06,165.0,165.87,163.51,165.83,165.83,8037888,0.0,1.0,JNJ
2025-03-05,164.51,166.46,163.53,165.12,165.12,8745050,0.0,1.0,JNJ
2025-03-04,168.08,169.99,165.32,165.42,165.42,11999962,0.0,1.0,JNJ
2025-03-03,164.96,167.33,164.84,167.28,167.28,9191464,0.0,1.0,JNJ
2025-02-28,164.31,165.94,162.7,165.02,165.02,12037415,0.0,1.0,JNJ
2025-02-27,162.31,163.95,161.73,163.73,163.73,8364573,0.0,1.0,JNJ
2025-02-26,165.08,165.13,162.56,163.08,163.08,11396410,0.0,1.0,JNJ
2025-02-25,164.1,166.43,163.94,166.09,166.09,12303697,0.0,1.0,JNJ
2025-02-24,162.68,164.87,162.05,163.74,163.74,10201917,0.0,1.0,JNJ
2025-02-21,159.88,163.51,159.28,162.3,162.3,12546930,0.0,1.0,JNJ
2025-02-20,156.95,159.95,156.95,159.68,159.68,7224030,0.0,1.0,JNJ
2025-02-19,155.0,158.3,154.75,157.89,157.89,7974736,0.0,1.0,JNJ
2025-02-18,154.14,155.45,153.24,154.99,154.99,9670657,1.24,1.0,JNJ
2025-02-14,156.04,156.22,154.82,154.91,154.91,6411840,0.0,1.0,JNJ
2025-02-13,154.03,156.87,153.56,156.0,156.0,10705077,0.0,1.0,JNJ
2025-02-12,154.04,154.42,153.05,154.03,154.03,7746014,0.0,1.0,JNJ
2025-02-11,152.89,155.15,152.72,154.89,154.89,7554811,0.0,1.0,JNJ
2025-02-10,152.39,153.14,151.08,153.02,153.02,6936561,0.0,1.0,JNJ
2025-02-07,152.31,153.26,151.59,151.9,151.9,6204916,0.0,1.0,JNJ
2025-02-06,153.56,153.61,152.16,152.29,152.29,7418468,0.0,1.0,JNJ
2025-02-05,152.6,153.5,152.09,153.46,153.46,8946957,0.0,1.0,JNJ
2025-02-04,150.16,152.96,149.75,152.27,152.27,9645289,0.0,1.0,JNJ
2025-02-03,150.79,151.25,149.58,150.66,150.66,6687487,0.0,1.0,JNJ
2025-01-31,151.41,151.96,150.85,150.94,150.94,8458715,0.0,1.0,JNJ
2025-01-30,150.7,152.92,150.16,151.66,151.66,8910983,0.0,1.0,JNJ
2025-01-29,149.31,150.67,148.81,149.95,149.95,7156421,0.0,1.0,JNJ
2025-01-28,151.45,151.76,149.11,149.19,149.19,10320613,0.0,1.0,JNJ
2025-01-27,147.27,152.23,146.83,151.68,151.68,15152314,0.0,1.0,JNJ
2025-01-24,145.64,146.46,145.22,145.65,145.65,9887682,0.0,1.0,JNJ
2025-01-23,144.29,146.74,143.67,145.48,145.48,10506361,0.0,1.0,JNJ
2025-01-22,142.86,144.32,140.98,144.12,144.12,16834747,0.0,1.0,JNJ
2025-01-21,146.39,147.68,145.88,146.97,146.97,11111747,0.0,1.0,JNJ
2025-01-17,146.27,147.2,145.45,145.86,145.86,10773054,0.0,1.0,JNJ
2025-01-16,143.17,146.89,142.92,146.6,146.6,8964016,0.0,1.0,JNJ
2025-01-15,144.16,144.89,143.12,143.82,143.82,7434562,0.0,1.0,JNJ
2025-01-14,143.35,143.66,141.73,143.6,143.6,8681741,0.0,1.0,JNJ
2025-01-13,141.85,143.92,141.18,143.32,143.32,10376377,0.0,1.0,JNJ
2025-01-10,139.88,142.53,139.56,140.93,140.93,8821541,0.0,1.0,JNJ
2025-01-08,144.34,144.43,140.32,141.14,141.14,11175552,0.0,1.0,JNJ
2025-01-07,142.61,146.01,142.45,145.07,145.07,8422010,0.0,1.0,JNJ
2025-01-06,142.37,143.67,141.8,142.52,142.52,7910493,0.0,1.0,JNJ
2025-01-03,142.93,143.43,142.48,143.05,143.05,5879816,0.0,1.0,JNJ
2025-01-02,144.08,144.61,142.64,142.88,142.88,6051330,0.0,1.0,JNJ
2024-12-31,142.62,143.52,142.17,143.47,143.47,5811401,0.0,1.0,JNJ
2024-12-30,143.69,143.73,141.82,142.2,142.2,6268692,0.0,1.0,JNJ
2024-12-27,143.72,145.44,143.53,143.9,143.9,5588306,0.0,1.0,JNJ
2024-12-26,144.36,145.21,143.94,144.42,144.42,4656981,0.0,1.0,JNJ
2024-12-24,143.85,144.69,143.19,144.69,144.69,3164071,0.0,1.0,JNJ
2024-12-23,143.48,144.18,142.31,144.12,144.12,8720824,0.0,1.0,JNJ
2024-12-20,141.91,144.32,141.62,143.32,143.32,17702755,0.0,1.0,JNJ
2024-12-19,143.0,144.07,142.23,142.44,142.44,9516653,0.0,1.0,JNJ
2024-12-18,144.52,145.58,143.52,143.6,143.6,9336094,0.0,1.0,JNJ
2024-12-17,142.7,145.5,142.57,145.25,145.25,10342958,0.0,1.0,JNJ
2024-12-16,145.57,146.08,142.38,142.71,142.71,8732378,0.0,1.0,JNJ
2024-12-13,144.5,145.76,143.89,145.46,145.46,8324900,0.0,1.0,JNJ
2024-12-12,146.03,146.6,144.85,145.08,145.08,6176269,0.0,1.0,JNJ
2024-12-11,147.32,147.32,145.21,145.48,145.48,13446656,0.0,1.0,JNJ
2024-12-10,148.74,149.63,147.15,148.05,148.05,9398671,0.0,1.0,JNJ
2024-12-09,148.11,149.69,147.26,148.41,148.41,8410303,0.0,1.0,JNJ
2024-12-06,148.2,148.86,147.2,148.12,148.12,8389611,0.0,1.0,JNJ
2024-12-05,148.81,149.19,147.77,148.33,148.33,7898098,0.0,1.0,JNJ
2024-12-04,150.09,150.36,148.56,149.28,149.28,10333110,0.0,1.0,JNJ
2024-12-03,153.57,153.57,151.1,151.15,151.15,8674415,0.0,1.0,JNJ
2024-12-02,153.52,153.77,152.7,153.57,153.57,6946494,0.0,1.0,JNJ
2024-11-29,153.66,154.43,152.95,153.78,153.78,5687821,0.0,1.0,JNJ
2024-11-27,153.4,155.39,153.37,154.17,154.17,4140444,0.0,1.0,JNJ
2024-11-26,153.93,154.02,151.94,153.29,153.29,5683499,1.24,1.0,JNJ
2024-11-25,152.71,154.55,152.68,153.31,153.31,12256242,0.0,1.0,JNJ
2024-11-22,153.43,154.63,151.67,152.71,152.71,8265961,0.0,1.0,JNJ
2024-11-21,151.19,153.59,150.39,153.04,153.04,10141056,0.0,1.0,JNJ
2024-11-20,150.61,150.82,149.41,150.69,150.69,9061274,0.0,1.0,JNJ
2024-11-19,151.51,151.55,149.64,150.58,150.58,8233678,0.0,1.0,JNJ
2024-11-18,150.17,152.87,149.92,152.32,152.32,7514177,0.0,1.0,JNJ
2024-11-15,148.51,151.98,148.51,151.56,151.56,11328515,0.0,1.0,JNJ
2024-11-14,150.75,151.16,148.37,149.47,149.47,7716385,0.0,1.0,JNJ
2024-11-13,150.09,151.08,149.03,150.81,150.81,7162233,0.0,1.0,JNJ
2024-11-12,152.08,152.58,149.96,150.22,150.22,7181408,0.0,1.0,JNJ
2024-11-11,153.16,155.08,152.46,152.58,152.58,7146759,0.0,1.0,JNJ
2024-11-08,154.51,154.59,152.95,153.01,153.01,8926134,0.0,1.0,JNJ
2024-11-07,155.96,156.24,154.03,154.25,154.25,7522812,0.0,1.0,JNJ
2024-11-06,157.37,158.3,154.86,155.38,155.38,8926601,0.0,1.0,JNJ
2024-11-05,155.17,156.08,153.87,155.84,155.84,6547074,0.0,1.0,JNJ
2024-11-04,157.17,157.74,155.57,155.73,155.73,4644011,0.0,1.0,JNJ
2024-11-01,158.04,158.51,157.35,157.59,157.59,5256652,0.0,1.0,JNJ
2024-10-31,157.46,158.32,156.93,157.33,157.33,8613860,0.0,1.0,JNJ
2024-10-30,156.93,158.73,156.51,158.07,158.07,5820530,0.0,1.0,JNJ
2024-10-29,158.9,159.6,157.53,157.56,157.56,5216879,0.0,1.0,JNJ
2024-10-28,158.58,159.41,158.45,159.04,159.04,4842653,0.0,1.0,JNJ
2024-10-25,161.09,161.32,158.07,158.33,158.33,6400449,0.0,1.0,JNJ
2024-10-24,162.39,162.89,160.75,161.08,161.08,5386525,0.0,1.0,JNJ
2024-10-23,160.24,163.37,159.85,163.23,163.23,7442026,0.0,1.0,JNJ
2024-10-22,159.75,161.14,159.34,160.86,160.86,5680612,0.0,1.0,JNJ
2024-10-21,162.49,162.63,159.74,160.25,160.25,6082736,0.0,1.0,JNJ
2024-10-18,162.28,162.67,161.33,162.51,162.51,5908012,0.0,1.0,JNJ
2024-10-17,161.66,162.39,161.04,161.87,161.87,4798238,0.0,1.0,JNJ
2024-10-16,161.4,162.38,160.06,161.68,161.68,5982291,0.0,1.0,JNJ
2024-10-15,157.47,164.11,156.48,161.5,161.5,10547966,0.0,1.0,JNJ
2024-10-14,158.84,159.57,158.35,159.04,159.04,5963961,0.0,1.0,JNJ
2024-10-11,159.61,160.08,158.65,158.9,158.9,5253459,0.0,1.0,JNJ
2024-10-10,158.8,158.83,157.46,157.97,157.97,4793889,0.0,1.0,JNJ
2024-10-09,157.39,158.66,156.98,158.11,158.11,6047269,0.0,1.0,JNJ
2024-10-08,156.96,157.71,156.43,157.16,157.16,4766250,0.0,1.0,JNJ
2024-10-07,157.71,158.31,156.7,157.0,157.0,4265971,0.0,1.0,JNJ
2024-10-04,157.1,157.96,156.26,157.75,157.75,5331694,0.0,1.0,JNJ
2024-10-03,158.23,158.88,157.68,157.96,157.96,4791223,0.0,1.0,JNJ
2024-10-02,158.95,159.55,158.11,158.62,158.62,4684472,0.0,1.0,JNJ
2024-10-01,159.86,160.17,158.63,159.42,159.42,4408019,0.0,1.0,JNJ
2024-09-30,159.01,159.61,158.14,159.49,159.49,6010407,0.0,1.0,JNJ
2024-09-27,159.43,160.84,158.79,158.84,158.84,7553905,0.0,1.0,JNJ
2024-09-26,157.7,158.98,157.49,158.83,158.83,6122231,0.0,1.0,JNJ
2024-09-25,160.42,160.73,157.82,158.06,158.06,5420011,0.0,1.0,JNJ
2024-09-24,160.21,160.9,158.99,160.2,160.2,6041561,0.0,1.0,JNJ
2024-09-23,161.8,161.9,160.14,160.64,160.64,4671645,0.0,1.0,JNJ
2024-09-20,161.7,162.26,160.96,161.56,161.56,11838967,0.0,1.0,JNJ
2024-09-19,163.6,163.74,161.82,162.21,162.21,4956119,0.0,1.0,JNJ
2024-09-18,163.99,165.68,163.12,163.52,163.52,4722765,0.0,1.0,JNJ
2024-09-17,163.61,165.06,163.3,164.42,164.42,5066586,0.0,1.0,JNJ
2024-09-16,163.73,164.6,163.15,164.35,164.35,5187887,0.0,1.0,JNJ
2024-09-13,162.13,163.13,161.23,162.9,162.9,3693548,0.0,1.0,JNJ
2024-09-12,161.6,162.49,160.13,162.03,162.03,4541046,0.0,1.0,JNJ
2024-09-11,164.15,164.15,161.49,162.21,162.21,5920165,0.0,1.0,JNJ
2024-09-10,164.85,165.79,164.1,164.73,164.73,6559734,0.0,1.0,JNJ
2024-09-09,162.23,164.75,161.87,163.97,163.97,7538233,0.0,1.0,JNJ
2024-09-06,162.56,163.31,161.52,161.78,161.78,6016884,0.0,1.0,JNJ
2024-09-05,164.55,164.72,162.22,162.38,162.38,4600392,0.0,1.0,JNJ
2024-09-04,165.15,166.18,163.41,164.71,164.71,6568082,0.0,1.0,JNJ
2024-09-03,162.62,165.15,162.16,164.51,164.51,6956452,0.0,1.0,JNJ
2024-08-30,161.52,163.35,161.22,163.23,163.23,7971017,0.0,1.0,JNJ
2024-08-29,162.02,162.11,160.77,161.63,161.63,7390125,0.0,1.0,JNJ
2024-08-28,160.42,162.39,160.13,161.32,161.32,5187198,0.0,1.0,JNJ
2024-08-27,160.91,161.44,159.59,160.37,160.37,4388728,1.24,1.0,JNJ
2024-08-26,160.35,161.85,159.73,160.78,160.78,6870622,0.0,1.0,JNJ
2024-08-23,158.72,160.4,157.93,160.31,160.31,7093429,0.0,1.0,JNJ
2024-08-22,158.23,158.71,157.05,158.57,158.57,6552142,0.0,1.0,JNJ
2024-08-21,156.67,157.72,156.58,157.67,157.67,5019375,0.0,1.0,JNJ
2024-08-20,156.28,157.19,155.95,156.43,156.43,7275133,0.0,1.0,JNJ
2024-08-19,155.75,156.57,155.43,155.92,155.92,4408517,0.0,1.0,JNJ
2024-08-16,155.44,156.22,154.5,155.68,155.68,5012774,0.0,1.0,JNJ
2024-08-15,154.69,155.78,154.17,155.39,155.39,7237785,0.0,1.0,JNJ
2024-08-14,154.16,155.84,153.74,154.79,154.79,5141249,0.0,1.0,JNJ
2024-08-13,156.54,156.64,152.8,154.7,154.7,9711395,0.0,1.0,JNJ
2024-08-12,157.22,157.94,155.02,156.16,156.16,7605419,0.0,1.0,JNJ
2024-08-09,156.39,157.19,155.63,156.88,156.88,4579186,0.0,1.0,JNJ
2024-08-08,154.88,156.96,154.35,156.49,156.49,5094830,0.0,1.0,JNJ
2024-08-07,155.17,156.88,154.51,155.2,155.2,5993028,0.0,1.0,JNJ
2024-08-06,157.3,157.72,155.24,155.27,155.27,7607144,0.0,1.0,JNJ
2024-08-05,159.98,161.92,156.84,157.5,157.5,12032209,0.0,1.0,JNJ
2024-08-02,158.13,161.01,157.25,160.32,160.32,11280357,0.0,1.0,JNJ
2024-08-01,154.79,157.07,154.04,157.02,157.02,7213419,0.0,1.0,JNJ
2024-07-31,156.13,156.62,154.07,154.18,154.18,8293239,0.0,1.0,JNJ
2024-07-30,154.85,157.79,154.68,157.58,157.58,6545677,0.0,1.0,JNJ
2024-07-29,156.25,156.28,154.37,154.87,154.87,5625204,0.0,1.0,JNJ
2024-07-26,156.03,157.82,155.76,156.9,156.9,8356878,0.0,1.0,JNJ
2024-07-25,152.84,156.84,152.37,155.93,155.93,10019578,0.0,1.0,JNJ
2024-07-24,149.21,152.77,148.79,152.64,152.64,7168217,0.0,1.0,JNJ
2024-07-23,149.74,149.93,148.04,148.81,148.81,6261870,0.0,1.0,JNJ
2024-07-22,151.17,151.5,150.02,150.65,150.65,6840609,0.0,1.0,JNJ
2024-07-19,152.87,152.87,150.53,151.09,151.09,7398036,0.0,1.0,JNJ
2024-07-18,151.98,153.42,151.02,151.8,151.8,10166247,0.0,1.0,JNJ
2024-07-17,148.02,153.83,147.89,152.94,152.94,13801429,0.0,1.0,JNJ
2024-07-16,146.21,147.56,145.69,147.5,147.5,6469582,0.0,1.0,JNJ
2024-07-15,146.59,146.75,145.41,145.77,145.77,6711354,0.0,1.0,JNJ
2024-07-12,146.51,147.37,145.77,146.39,146.39,5336394,0.0,1.0,JNJ
2024-07-11,146.1,147.08,145.18,146.22,146.22,6352109,0.0,1.0,JNJ
2024-07-10,143.83,145.99,143.27,145.95,145.95,6093187,0.0,1.0,JNJ
2024-07-09,142.28,143.71,141.8,143.63,143.63,5892187,0.0,1.0,JNJ
2024-07-08,142.99,143.79,141.87,142.1,142.1,5260229,0.0,1.0,JNJ
2024-07-05,142.38,143.14,141.14,143.07,143.07,4888535,0.0,1.0,JNJ
2024-07-03,142.8,143.24,141.37,142.3,142.3,3246157,0.0,1.0,JNJ
2024-07-02,143.02,143.73,142.35,142.63,142.63,5491962,0.0,1.0,JNJ
2024-07-01,142.67,145.24,142.23,143.03,143.03,5144443,0.0,1.0,JNJ
2024-06-28,142.64,143.65,142.26,142.76,142.76,10495735,0.0,1.0,JNJ
2024-06-27,143.38,143.93,141.47,142.41,142.41,5739246,0.0,1.0,JNJ
2024-06-26,142.8,143.77,142.39,143.4,143.4,5267809,0.0,1.0,JNJ
2024-06-25,145.71,145.73,143.52,143.77,143.77,6620303,0.0,1.0,JNJ
2024-06-24,145.53,146.24,144.72,145.65,145.65,6914671,0.0,1.0,JNJ
2024-06-21,144.45,145.61,143.94,145.29,145.29,15176869,0.0,1.0,JNJ
2024-06-20,141.89,144.63,141.64,144.34,144.34,8749717,0.0,1.0,JNJ
2024-06-18,142.56,142.98,141.89,142.26,142.26,6156572,0.0,1.0,JNJ
2024-06-17,141.65,143.02,141.37,142.55,142.55,6666583,0.0,1.0,JNJ
2024-06-14,141.76,142.57,141.12,142.15,142.15,4075342,0.0,1.0,JNJ
2024-06-13,141.69,142.6,140.53,142.07,142.07,6840374,0.0,1.0,JNJ
2024-06-12,143.64,143.78,141.41,142.03,142.03,6180493,0.0,1.0,JNJ
2024-06-11,143.39,143.74,142.06,143.35,143.35,5661236,0.0,1.0,JNJ
2024-06-10,143.12,144.13,142.21,143.71,143.71,5751309,0.0,1.0,JNJ
2024-06-07,143.27,144.85,142.94,143.66,143.66,5111626,0.0,1.0,JNJ
2024-06-06,142.11,143.58,141.29,143.01,143.01,5016301,0.0,1.0,JNJ
2024-06-05,144.53,144.55,142.46,142.57,142.57,5891299,0.0,1.0,JNJ
2024-06-04,144.05,144.86,142.79,144.36,144.36,8876441,0.0,1.0,JNJ
2024-06-03,143.82,145.44,143.36,144.3,144.3,7329241,0.0,1.0,JNJ
2024-05-31,142.18,144.05,141.81,143.26,143.26,14621203,0.0,1.0,JNJ
2024-05-30,141.26,142.22,140.67,141.9,141.9,8491111,0.0,1.0,JNJ
2024-05-29,140.47,142.03,140.37,141.08,141.08,8263810,0.0,1.0,JNJ
2024-05-28,143.37,143.37,140.8,141.02,141.02,10499829,0.0,1.0,JNJ
2024-05-24,146.05,146.33,143.35,143.55,143.55,9520576,0.0,1.0,JNJ
2024-05-23,149.2,149.28,145.9,146.22,146.22,8000422,0.0,1.0,JNJ
2024-05-22,147.33,150.49,146.82,149.93,149.93,6609788,0.0,1.0,JNJ
2024-05-21,148.25,149.03,147.28,147.72,147.72,5492354,0.0,1.0,JNJ
2024-05-20,149.54,149.82,147.74,147.75,147.75,7742280,1.24,1.0,JNJ
2024-05-17,150.03,150.03,148.92,149.81,149.81,6521794,0.0,1.0,JNJ
2024-05-16,148.23,149.56,147.58,149.47,149.47,7590959,0.0,1.0,JNJ
