date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,thscode
2025-04-29,242.19,245.25,241.69,244.62,244.62,7216788,0.0,1.0,JPM
2025-04-28,244.56,246.84,240.84,243.22,243.22,7394297,0.0,1.0,JPM
2025-04-25,244.65,245.62,241.75,243.55,243.55,8588564,0.0,1.0,JPM
2025-04-24,239.74,245.47,237.58,244.64,244.64,9055197,0.0,1.0,JPM
2025-04-23,240.22,246.79,240.0,240.88,240.88,14126766,0.0,1.0,JPM
2025-04-22,231.98,235.99,231.37,235.59,235.59,10701399,0.0,1.0,JPM
2025-04-21,230.63,231.81,226.34,228.99,228.99,8716177,0.0,1.0,JPM
2025-04-17,230.8,234.34,230.55,231.96,231.96,9557946,0.0,1.0,JPM
2025-04-16,232.0,233.58,227.93,229.61,229.61,9322325,0.0,1.0,JPM
2025-04-15,236.1,238.65,232.82,233.13,233.13,10912883,0.0,1.0,JPM
2025-04-14,237.1,239.78,233.63,234.72,234.72,13017824,0.0,1.0,JPM
2025-04-11,226.31,238.58,225.0,236.2,236.2,20284450,0.0,1.0,JPM
2025-04-10,230.0,230.35,220.1,227.11,227.11,18896440,0.0,1.0,JPM
2025-04-09,212.5,237.48,211.0,234.34,234.34,24022350,0.0,1.0,JPM
2025-04-08,223.52,227.84,213.25,216.87,216.87,19485734,0.0,1.0,JPM
2025-04-07,205.77,222.05,202.16,214.44,214.44,22914370,0.0,1.0,JPM
2025-04-04,215.3,217.7,208.93,210.28,210.28,27170689,1.4,1.0,JPM
2025-04-03,232.72,233.58,225.8,227.18,227.18,17188469,0.0,1.0,JPM
2025-04-02,240.0,245.61,239.86,244.19,244.19,7758750,0.0,1.0,JPM
2025-04-01,241.02,244.07,239.29,242.05,242.05,8054683,0.0,1.0,JPM
2025-03-31,237.83,244.23,235.79,243.68,243.68,13602996,0.0,1.0,JPM
2025-03-28,245.31,247.85,239.52,241.24,241.24,11978417,0.0,1.0,JPM
2025-03-27,247.87,248.98,245.55,246.48,246.48,8022517,0.0,1.0,JPM
2025-03-26,250.93,252.99,248.13,249.37,249.37,12785225,0.0,1.0,JPM
2025-03-25,247.66,250.15,245.99,249.47,249.47,9287694,0.0,1.0,JPM
2025-03-24,243.86,247.05,242.79,246.42,246.42,9422650,0.0,1.0,JPM
2025-03-21,236.24,240.7,234.94,240.03,240.03,19326865,0.0,1.0,JPM
2025-03-20,235.0,240.16,234.64,237.43,237.43,8328513,0.0,1.0,JPM
2025-03-19,234.18,240.73,233.34,237.53,237.53,10120588,0.0,1.0,JPM
2025-03-18,232.77,234.61,231.98,233.42,233.42,10344866,0.0,1.0,JPM
2025-03-17,229.65,234.11,228.93,232.38,232.38,9586025,0.0,1.0,JPM
2025-03-14,226.61,231.6,226.07,230.9,230.9,11962108,0.0,1.0,JPM
2025-03-13,227.78,227.98,222.75,223.7,223.7,16467851,0.0,1.0,JPM
2025-03-12,232.45,232.77,225.76,226.39,226.39,16054015,0.0,1.0,JPM
2025-03-11,230.21,231.78,225.19,227.62,227.62,18142995,0.0,1.0,JPM
2025-03-10,234.65,235.94,227.19,230.68,230.68,18730564,0.0,1.0,JPM
2025-03-07,243.61,245.09,237.84,240.68,240.68,20498734,0.0,1.0,JPM
2025-03-06,246.47,247.71,242.24,244.91,244.91,9983235,0.0,1.0,JPM
2025-03-05,249.59,251.38,246.19,249.87,249.87,7861424,0.0,1.0,JPM
2025-03-04,253.59,255.53,244.32,248.59,248.59,13465630,0.0,1.0,JPM
2025-03-03,262.25,264.56,256.11,258.9,258.9,9058307,0.0,1.0,JPM
2025-02-28,259.01,263.06,256.18,262.9,262.9,10467126,0.0,1.0,JPM
2025-02-27,258.46,261.9,256.15,257.34,257.34,8204447,0.0,1.0,JPM
2025-02-26,255.46,259.19,255.23,257.08,257.08,5943585,0.0,1.0,JPM
2025-02-25,260.5,261.26,251.67,255.7,255.7,9608439,0.0,1.0,JPM
2025-02-24,263.73,265.23,256.9,259.61,259.61,10372751,0.0,1.0,JPM
2025-02-21,266.55,267.42,261.1,262.49,262.49,12835566,0.0,1.0,JPM
2025-02-20,276.83,276.9,263.98,265.04,265.04,13846671,0.0,1.0,JPM
2025-02-19,276.54,278.4,275.39,277.4,277.4,7007248,0.0,1.0,JPM
2025-02-18,274.93,278.12,274.19,278.1,278.1,7919798,0.0,1.0,JPM
2025-02-14,275.54,277.39,274.62,274.76,274.76,5688627,0.0,1.0,JPM
2025-02-13,273.68,275.14,272.0,274.49,274.49,8398667,0.0,1.0,JPM
2025-02-12,272.27,274.62,271.44,273.63,273.63,6683894,0.0,1.0,JPM
2025-02-11,268.47,274.39,267.88,273.17,273.17,7196376,0.0,1.0,JPM
2025-02-10,274.32,274.35,267.81,269.25,269.25,8627352,0.0,1.0,JPM
2025-02-07,275.44,276.71,272.9,273.98,273.98,6857875,0.0,1.0,JPM
2025-02-06,270.65,275.15,269.4,275.07,275.07,7264371,0.0,1.0,JPM
2025-02-05,267.13,268.85,266.56,268.64,268.64,5704431,0.0,1.0,JPM
2025-02-04,268.06,268.06,265.07,266.17,266.17,5625972,0.0,1.0,JPM
2025-02-03,260.1,266.39,259.97,265.05,265.05,8381361,0.0,1.0,JPM
2025-01-31,267.45,269.03,265.19,265.53,265.53,7196268,0.0,1.0,JPM
2025-01-30,266.85,267.92,264.86,266.46,266.46,8753466,0.0,1.0,JPM
2025-01-29,265.44,268.89,263.85,264.82,264.82,7684870,0.0,1.0,JPM
2025-01-28,264.09,265.56,263.08,265.37,265.37,7375391,0.0,1.0,JPM
2025-01-27,262.42,264.21,260.53,264.09,264.09,7522258,0.0,1.0,JPM
2025-01-24,261.95,265.33,261.27,263.09,263.09,7666261,0.0,1.0,JPM
2025-01-23,262.94,265.09,262.07,264.19,264.19,10749681,0.0,1.0,JPM
2025-01-22,261.16,261.64,258.53,261.1,261.1,9021914,0.0,1.0,JPM
2025-01-21,258.35,262.5,257.79,261.29,261.29,13712114,0.0,1.0,JPM
2025-01-17,252.46,258.9,250.47,257.45,257.45,17678101,0.0,1.0,JPM
2025-01-16,252.32,255.34,250.66,252.59,252.59,15292348,0.0,1.0,JPM
2025-01-15,248.74,251.99,242.07,250.68,250.68,18448520,0.0,1.0,JPM
2025-01-14,241.06,246.08,240.59,245.83,245.83,12407386,0.0,1.0,JPM
2025-01-13,238.08,242.92,237.42,242.59,242.59,10005315,0.0,1.0,JPM
2025-01-10,241.48,242.2,237.16,238.28,238.28,10256829,0.0,1.0,JPM
2025-01-08,241.14,242.63,238.91,241.52,241.52,8675284,0.0,1.0,JPM
2025-01-07,240.54,243.64,239.31,241.56,241.56,8753357,0.0,1.0,JPM
2025-01-06,242.08,244.07,238.99,239.26,239.26,9917836,1.25,1.0,JPM
2025-01-03,241.03,242.0,237.44,240.42,240.42,9491053,0.0,1.0,JPM
2025-01-02,238.09,240.42,236.64,237.18,237.18,9220914,0.0,1.0,JPM
2024-12-31,237.23,238.6,236.22,236.9,236.9,4870971,0.0,1.0,JPM
2024-12-30,235.97,238.01,234.33,236.51,236.51,5723765,0.0,1.0,JPM
2024-12-27,239.87,240.53,237.22,238.34,238.34,5730607,0.0,1.0,JPM
2024-12-26,238.59,240.4,237.96,240.28,240.28,4452168,0.0,1.0,JPM
2024-12-24,236.62,239.64,236.26,239.46,239.46,3729092,0.0,1.0,JPM
2024-12-23,233.3,235.82,232.12,235.59,235.59,8611528,0.0,1.0,JPM
2024-12-20,229.2,236.4,228.87,234.81,234.81,32348414,0.0,1.0,JPM
2024-12-19,229.54,233.58,229.54,230.22,230.22,11790773,0.0,1.0,JPM
2024-12-18,236.19,236.26,226.83,227.66,227.66,11322358,0.0,1.0,JPM
2024-12-17,235.85,236.21,233.85,235.56,235.56,8083635,0.0,1.0,JPM
2024-12-16,237.78,237.84,234.73,236.77,236.77,9032044,0.0,1.0,JPM
