date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,thscode
2025-04-29,71.19,72.71,70.28,72.35,72.35,16244057,0.0,1.0,KO
2025-04-28,72.08,72.26,71.31,71.79,71.79,15997495,0.0,1.0,KO
2025-04-25,72.65,72.92,71.12,71.91,71.91,16315984,0.0,1.0,KO
2025-04-24,73.02,73.42,72.3,72.52,72.52,16893861,0.0,1.0,KO
2025-04-23,73.29,73.95,72.38,73.3,73.3,16353927,0.0,1.0,KO
2025-04-22,73.0,74.38,72.92,73.9,73.9,15613518,0.0,1.0,KO
2025-04-21,73.38,73.47,71.82,72.77,72.77,16037190,0.0,1.0,KO
2025-04-17,71.9,73.42,71.72,73.0,73.0,20754495,0.0,1.0,KO
2025-04-16,72.36,72.67,71.39,71.68,71.68,15276216,0.0,1.0,KO
2025-04-15,72.62,72.63,71.72,71.86,71.86,14965492,0.0,1.0,KO
2025-04-14,71.3,72.66,70.93,72.45,72.45,13930207,0.0,1.0,KO
2025-04-11,70.9,71.85,70.54,71.43,71.43,19988203,0.0,1.0,KO
2025-04-10,70.19,71.2,68.98,70.76,70.76,22450163,0.0,1.0,KO
2025-04-09,67.92,70.47,67.28,69.95,69.95,27918675,0.0,1.0,KO
2025-04-08,68.96,69.98,67.76,68.42,68.42,22774425,0.0,1.0,KO
2025-04-07,66.23,69.38,66.05,68.37,68.37,34258363,0.0,1.0,KO
2025-04-04,72.42,73.01,69.79,69.93,69.93,26517289,0.0,1.0,KO
2025-04-03,72.48,73.95,72.32,73.18,73.18,24959593,0.0,1.0,KO
2025-04-02,71.96,72.36,71.05,71.33,71.33,14606519,0.0,1.0,KO
2025-04-01,71.68,71.91,71.18,71.87,71.87,15309146,0.0,1.0,KO
2025-03-31,70.73,71.94,70.49,71.62,71.62,24016866,0.0,1.0,KO
2025-03-28,70.81,71.32,69.53,70.37,70.37,17412915,0.0,1.0,KO
2025-03-27,70.18,70.98,70.07,70.74,70.74,11663365,0.0,1.0,KO
2025-03-26,68.92,70.35,68.9,70.02,70.02,14482764,0.0,1.0,KO
2025-03-25,68.95,69.08,68.6,68.81,68.81,12513897,0.0,1.0,KO
2025-03-24,68.8,69.08,68.33,68.95,68.95,12575412,0.0,1.0,KO
2025-03-21,69.71,69.97,68.18,68.67,68.67,47479473,0.0,1.0,KO
2025-03-20,69.31,69.81,69.09,69.71,69.71,16295263,0.0,1.0,KO
2025-03-19,68.55,69.38,68.54,69.28,69.28,14780007,0.0,1.0,KO
2025-03-18,70.11,70.19,69.3,69.38,69.38,12657615,0.0,1.0,KO
2025-03-17,69.24,70.17,69.08,70.12,70.12,15634808,0.0,1.0,KO
2025-03-14,68.51,69.26,68.38,69.16,69.16,14205091,0.51,1.0,KO
2025-03-13,69.74,69.74,68.77,69.11,69.11,15746568,0.0,1.0,KO
2025-03-12,69.85,70.21,69.23,69.43,69.43,18923301,0.0,1.0,KO
2025-03-11,71.35,71.51,70.09,70.52,70.52,28076440,0.0,1.0,KO
2025-03-10,71.43,72.68,70.8,70.93,70.93,25100223,0.0,1.0,KO
2025-03-07,69.14,71.29,69.14,70.91,70.91,28393261,0.0,1.0,KO
2025-03-06,69.89,70.01,68.94,69.94,69.94,21694031,0.0,1.0,KO
2025-03-05,69.39,70.22,69.33,69.57,69.57,23933629,0.0,1.0,KO
2025-03-04,71.54,72.12,69.37,69.68,69.68,25411858,0.0,1.0,KO
2025-03-03,69.73,71.83,69.22,71.79,71.79,21717603,0.0,1.0,KO
2025-02-28,70.93,71.05,70.04,70.69,70.69,22167379,0.0,1.0,KO
2025-02-27,70.2,71.01,69.9,70.35,70.35,16789476,0.0,1.0,KO
2025-02-26,70.75,70.75,70.01,70.28,70.28,14531175,0.0,1.0,KO
2025-02-25,70.34,71.24,70.21,70.97,70.97,21555588,0.0,1.0,KO
2025-02-24,70.32,71.2,69.82,70.07,70.07,21418442,0.0,1.0,KO
2025-02-21,69.81,71.08,69.62,70.83,70.83,21662252,0.0,1.0,KO
2025-02-20,69.2,69.56,68.91,69.53,69.53,13398010,0.0,1.0,KO
2025-02-19,68.7,69.62,68.66,69.56,69.56,16032270,0.0,1.0,KO
2025-02-18,68.05,68.86,67.92,68.54,68.54,15569122,0.0,1.0,KO
2025-02-14,68.86,69.52,68.26,68.37,68.37,20779090,0.0,1.0,KO
2025-02-13,68.49,69.1,68.26,68.99,68.99,24393148,0.0,1.0,KO
2025-02-12,66.38,68.32,66.38,68.21,68.21,26033764,0.0,1.0,KO
2025-02-11,67.01,67.17,65.92,67.11,67.11,30589148,0.0,1.0,KO
2025-02-10,63.63,64.18,63.19,64.08,64.08,16154300,0.0,1.0,KO
2025-02-07,62.97,63.45,62.81,63.37,63.37,13184674,0.0,1.0,KO
2025-02-06,63.15,63.27,62.45,62.9,62.9,13423408,0.0,1.0,KO
2025-02-05,62.26,62.83,62.13,62.66,62.66,10686754,0.0,1.0,KO
2025-02-04,63.14,63.16,61.89,62.21,62.21,15677998,0.0,1.0,KO
2025-02-03,62.72,63.16,61.97,62.89,62.89,12067883,0.0,1.0,KO
2025-01-31,63.23,63.46,62.93,63.02,63.02,12102060,0.0,1.0,KO
2025-01-30,63.38,63.81,62.77,63.58,63.58,13200977,0.0,1.0,KO
2025-01-29,62.1,62.9,62.09,62.37,62.37,11325635,0.0,1.0,KO
2025-01-28,63.05,63.57,61.82,61.9,61.9,14956031,0.0,1.0,KO
2025-01-27,62.41,63.71,62.02,63.4,63.4,20742915,0.0,1.0,KO
2025-01-24,61.27,61.56,60.99,61.47,61.47,19244604,0.0,1.0,KO
2025-01-23,61.35,61.53,60.92,61.08,61.08,16528423,0.0,1.0,KO
2025-01-22,61.67,61.83,61.21,61.33,61.33,18191886,0.0,1.0,KO
2025-01-21,62.44,62.77,61.84,61.96,61.96,19817068,0.0,1.0,KO
2025-01-17,61.85,62.31,61.71,62.25,62.25,17948868,0.0,1.0,KO
2025-01-16,60.97,61.84,60.87,61.79,61.79,12585528,0.0,1.0,KO
2025-01-15,61.87,62.16,61.23,61.32,61.32,16187203,0.0,1.0,KO
2025-01-14,61.2,61.61,60.85,61.59,61.59,16658287,0.0,1.0,KO
2025-01-13,60.68,61.39,60.27,61.2,61.2,18016173,0.0,1.0,KO
2025-01-10,61.13,61.2,60.29,60.62,60.62,22424951,0.0,1.0,KO
2025-01-08,60.54,61.32,60.48,61.26,61.26,14412397,0.0,1.0,KO
2025-01-07,60.66,61.27,60.17,60.39,60.39,17799629,0.0,1.0,KO
2025-01-06,61.05,61.11,60.22,60.36,60.36,17924237,0.0,1.0,KO
2025-01-03,61.45,61.62,61.17,61.3,61.3,10403204,0.0,1.0,KO
2025-01-02,61.89,62.29,61.17,61.39,61.39,12990975,0.0,1.0,KO
2024-12-31,61.57,61.97,61.35,61.8,61.8,9256664,0.0,1.0,KO
2024-12-30,61.88,61.88,61.23,61.58,61.58,8972212,0.0,1.0,KO
2024-12-27,61.99,62.49,61.75,61.99,61.99,8542773,0.0,1.0,KO
2024-12-26,62.16,62.28,61.94,62.11,62.11,7945641,0.0,1.0,KO
2024-12-24,61.74,62.38,61.56,62.38,62.38,5019131,0.0,1.0,KO
2024-12-23,62.04,62.3,61.08,61.92,61.92,13010758,0.0,1.0,KO
2024-12-20,62.01,62.6,61.82,62.09,62.09,42458096,0.0,1.0,KO
2024-12-19,62.24,62.71,61.94,61.99,61.99,21300647,0.0,1.0,KO
2024-12-18,62.35,63.17,62.33,62.39,62.39,20946087,0.0,1.0,KO
2024-12-17,61.99,63.08,61.86,62.94,62.94,21902382,0.0,1.0,KO
2024-12-16,62.77,63.39,61.89,62.09,62.09,24559738,0.0,1.0,KO
2024-12-13,63.1,63.37,62.65,62.66,62.66,13429033,0.0,1.0,KO
2024-12-12,63.08,63.45,62.76,63.37,63.37,17542091,0.0,1.0,KO
2024-12-11,62.54,63.16,61.94,62.18,62.18,32819011,0.0,1.0,KO
2024-12-10,62.24,62.58,61.34,62.45,62.45,14949415,0.0,1.0,KO
2024-12-09,62.23,62.47,61.45,62.14,62.14,22348331,0.0,1.0,KO
2024-12-06,62.37,62.9,62.05,62.07,62.07,15581148,0.0,1.0,KO
2024-12-05,62.01,62.66,61.65,62.46,62.46,21040359,0.0,1.0,KO
2024-12-04,62.81,62.89,61.45,61.75,61.75,28137660,0.0,1.0,KO
2024-12-03,63.25,63.61,62.56,63.06,63.06,24874490,0.0,1.0,KO
2024-12-02,63.58,63.72,62.88,63.18,63.18,16500095,0.0,1.0,KO
2024-11-29,63.55,63.78,63.3,63.61,63.61,10648354,0.485,1.0,KO
2024-11-27,64.0,64.14,63.3,63.48,63.48,13263403,0.0,1.0,KO
2024-11-26,63.36,63.68,63.11,63.6,63.6,14473271,0.0,1.0,KO
2024-11-25,63.37,63.75,62.9,63.43,63.43,36805252,0.0,1.0,KO
2024-11-22,63.29,63.53,62.71,62.98,62.98,19562231,0.0,1.0,KO
2024-11-21,62.22,62.87,62.02,62.82,62.82,17292300,0.0,1.0,KO
2024-11-20,61.77,62.08,61.1,62.06,62.06,18904909,0.0,1.0,KO
2024-11-19,60.99,61.69,60.72,61.67,61.67,16254832,0.0,1.0,KO
2024-11-18,60.94,61.22,60.65,60.95,60.95,16079364,0.0,1.0,KO
2024-11-15,61.57,61.7,60.48,60.83,60.83,26284331,0.0,1.0,KO
2024-11-14,62.18,62.18,61.51,61.63,61.63,15910820,0.0,1.0,KO
2024-11-13,62.12,62.33,61.57,62.07,62.07,13177637,0.0,1.0,KO
2024-11-12,62.74,62.81,62.19,62.27,62.27,15020975,0.0,1.0,KO
2024-11-11,63.04,63.17,62.32,62.42,62.42,13980873,0.0,1.0,KO
2024-11-08,62.97,63.29,62.8,62.98,62.98,14719308,0.0,1.0,KO
2024-11-07,63.34,63.44,62.66,62.72,62.72,14856051,0.0,1.0,KO
2024-11-06,63.47,63.9,62.25,62.76,62.76,22899263,0.0,1.0,KO
2024-11-05,63.68,64.5,63.68,64.4,64.4,8780220,0.0,1.0,KO
2024-11-04,64.12,64.45,63.7,64.15,64.15,10984502,0.0,1.0,KO
2024-11-01,64.5,64.69,63.93,64.05,64.05,12163094,0.0,1.0,KO
2024-10-31,64.84,65.01,64.29,64.34,64.34,13383717,0.0,1.0,KO
2024-10-30,64.54,65.55,64.35,64.95,64.95,14177766,0.0,1.0,KO
2024-10-29,65.31,65.36,64.55,64.59,64.59,16525917,0.0,1.0,KO
2024-10-28,65.97,66.4,65.62,65.68,65.68,10761416,0.0,1.0,KO
2024-10-25,66.08,66.7,65.8,65.93,65.93,11138127,0.0,1.0,KO
2024-10-24,66.65,67.03,65.96,66.31,66.31,17568831,0.0,1.0,KO
2024-10-23,66.0,67.68,65.6,67.01,67.01,24655203,0.0,1.0,KO
2024-10-22,67.98,68.71,67.67,68.42,68.42,18603251,0.0,1.0,KO
2024-10-21,68.97,69.29,68.28,68.42,68.42,11981163,0.0,1.0,KO
2024-10-18,68.84,69.51,68.58,69.4,69.4,15087519,0.0,1.0,KO
2024-10-17,69.59,69.65,68.55,68.87,68.87,14674631,0.0,1.0,KO
2024-10-16,69.05,69.66,68.94,69.53,69.53,7937347,0.0,1.0,KO
2024-10-15,69.42,70.16,69.12,69.3,69.3,10358734,0.0,1.0,KO
2024-10-14,68.54,69.43,68.44,69.3,69.3,7659318,0.0,1.0,KO
2024-10-11,68.43,68.56,67.98,68.54,68.54,8786318,0.0,1.0,KO
2024-10-10,68.8,68.88,67.97,68.23,68.23,8635150,0.0,1.0,KO
2024-10-09,68.17,68.71,68.05,68.54,68.54,9037735,0.0,1.0,KO
2024-10-08,68.02,68.41,67.84,68.16,68.16,13549702,0.0,1.0,KO
2024-10-07,69.01,69.06,67.85,67.99,67.99,14511962,0.0,1.0,KO
2024-10-04,68.93,69.24,68.69,69.13,69.13,12687289,0.0,1.0,KO
2024-10-03,69.81,69.94,69.16,69.48,69.48,9374794,0.0,1.0,KO
2024-10-02,70.34,70.37,69.37,69.96,69.96,11155480,0.0,1.0,KO
2024-10-01,71.03,71.67,70.57,70.65,70.65,13294498,0.0,1.0,KO
2024-09-30,70.94,71.13,70.63,70.8,70.8,18016013,0.0,1.0,KO
2024-09-27,70.48,71.13,70.4,70.73,70.73,11175706,0.0,1.0,KO
2024-09-26,69.81,70.55,69.79,70.34,70.34,10815219,0.0,1.0,KO
2024-09-25,70.65,70.86,70.25,70.39,70.39,12329127,0.0,1.0,KO
2024-09-24,70.17,70.75,69.56,70.28,70.28,13330638,0.0,1.0,KO
2024-09-23,70.49,71.13,70.13,70.67,70.67,11613022,0.0,1.0,KO
2024-09-20,69.37,70.74,69.34,70.58,70.58,48578480,0.0,1.0,KO
2024-09-19,70.5,70.88,69.56,69.58,69.58,13635646,0.0,1.0,KO
2024-09-18,70.83,71.31,70.22,70.69,70.69,10719713,0.0,1.0,KO
2024-09-17,70.84,71.28,70.67,70.74,70.74,12974382,0.0,1.0,KO
2024-09-16,70.71,71.17,70.56,71.03,71.03,10786531,0.0,1.0,KO
2024-09-13,69.79,70.41,69.44,70.35,70.35,11073849,0.485,1.0,KO
2024-09-12,69.48,69.85,69.14,69.7,69.7,12340779,0.0,1.0,KO
2024-09-11,69.83,69.84,69.06,69.56,69.56,11418234,0.0,1.0,KO
2024-09-10,70.43,70.87,69.99,70.02,70.02,10277585,0.0,1.0,KO
2024-09-09,69.7,70.76,69.46,70.31,70.31,12939256,0.0,1.0,KO
2024-09-06,69.47,70.13,69.37,69.62,69.62,17485707,0.0,1.0,KO
2024-09-05,71.06,71.12,69.46,69.65,69.65,23866125,0.0,1.0,KO
2024-09-04,71.73,71.95,70.37,71.01,71.01,17074395,0.0,1.0,KO
2024-09-03,70.89,71.71,70.7,71.45,71.45,14755752,0.0,1.0,KO
2024-08-30,70.65,71.02,70.24,70.92,70.92,18624227,0.0,1.0,KO
2024-08-29,70.36,70.67,69.7,70.51,70.51,17201677,0.0,1.0,KO
2024-08-28,70.08,70.27,69.77,70.21,70.21,13272584,0.0,1.0,KO
2024-08-27,69.79,70.0,69.53,69.97,69.97,16988408,0.0,1.0,KO
2024-08-26,68.33,69.4,68.24,69.32,69.32,12912248,0.0,1.0,KO
2024-08-23,67.91,68.35,67.46,68.29,68.29,11834745,0.0,1.0,KO
2024-08-22,68.42,68.42,67.32,67.84,67.84,12509202,0.0,1.0,KO
2024-08-21,67.99,68.63,67.85,68.08,68.08,8792397,0.0,1.0,KO
2024-08-20,67.51,67.9,67.29,67.89,67.89,11957372,0.0,1.0,KO
2024-08-19,67.86,67.93,67.37,67.5,67.5,9843861,0.0,1.0,KO
2024-08-16,67.37,67.82,67.17,67.7,67.7,12651230,0.0,1.0,KO
2024-08-15,67.15,67.44,67.03,67.18,67.18,11285120,0.0,1.0,KO
2024-08-14,66.77,67.41,66.67,67.11,67.11,14328033,0.0,1.0,KO
2024-08-13,66.62,67.14,66.55,66.99,66.99,9877569,0.0,1.0,KO
2024-08-12,66.98,67.07,66.38,66.71,66.71,11012318,0.0,1.0,KO
2024-08-09,67.23,67.31,66.78,67.21,67.21,12080420,0.0,1.0,KO
2024-08-08,66.54,67.39,66.4,67.26,67.26,15240914,0.0,1.0,KO
2024-08-07,66.59,67.7,66.38,66.99,66.99,13365270,0.0,1.0,KO
2024-08-06,66.69,67.37,66.32,66.59,66.59,12969099,0.0,1.0,KO
2024-08-05,67.51,68.06,66.28,66.64,66.64,25484273,0.0,1.0,KO
2024-08-02,67.06,68.18,66.24,67.84,67.84,22514775,0.0,1.0,KO
2024-08-01,65.56,66.65,65.27,66.5,66.5,16495907,0.0,1.0,KO
2024-07-31,66.05,66.16,65.18,65.31,65.31,15576846,0.0,1.0,KO
2024-07-30,65.06,66.38,64.94,66.23,66.23,13257960,0.0,1.0,KO
2024-07-29,65.45,65.59,64.97,65.4,65.4,12140153,0.0,1.0,KO
2024-07-26,64.65,65.67,64.6,65.61,65.61,13530071,0.0,1.0,KO
