date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,thscode
2025-04-29,316.06,316.73,313.0,314.5,314.5,3164531,0.0,1.0,MCD
2025-04-28,317.7,318.02,314.25,316.81,316.81,2578256,0.0,1.0,MCD
2025-04-25,316.5,321.78,315.03,316.74,316.74,2283147,0.0,1.0,MCD
2025-04-24,318.43,318.89,313.53,316.22,316.22,2479485,0.0,1.0,MCD
2025-04-23,318.5,319.9,314.79,318.48,318.48,3210134,0.0,1.0,MCD
2025-04-22,311.76,320.0,311.19,319.08,319.08,4200708,0.0,1.0,MCD
2025-04-21,311.0,311.28,305.12,308.72,308.72,2669905,0.0,1.0,MCD
2025-04-17,309.22,312.99,307.13,311.3,311.3,2728460,0.0,1.0,MCD
2025-04-16,313.57,314.29,307.37,309.1,309.1,3099078,0.0,1.0,MCD
2025-04-15,316.13,317.2,311.84,312.48,312.48,2901367,0.0,1.0,MCD
2025-04-14,312.43,318.2,311.13,316.07,316.07,4068713,0.0,1.0,MCD
2025-04-11,306.47,310.89,303.96,309.9,309.9,4440059,0.0,1.0,MCD
2025-04-10,301.34,307.63,296.92,306.78,306.78,6049543,0.0,1.0,MCD
2025-04-09,297.41,311.65,296.71,303.96,303.96,8265701,0.0,1.0,MCD
2025-04-08,303.78,308.25,294.92,299.83,299.83,5562462,0.0,1.0,MCD
2025-04-07,292.6,304.88,290.5,299.89,299.89,7725857,0.0,1.0,MCD
2025-04-04,314.57,314.96,299.3,300.11,300.11,8831090,0.0,1.0,MCD
2025-04-03,311.38,319.72,311.3,318.27,318.27,7023851,0.0,1.0,MCD
2025-04-02,312.71,313.93,309.83,311.58,311.58,2776755,0.0,1.0,MCD
2025-04-01,313.08,314.78,310.95,313.63,313.63,2411454,0.0,1.0,MCD
2025-03-31,305.0,313.2,304.44,312.37,312.37,4418823,0.0,1.0,MCD
2025-03-28,309.0,310.0,305.98,307.09,307.09,3211862,0.0,1.0,MCD
2025-03-27,315.16,316.64,310.68,312.69,312.69,3119455,0.0,1.0,MCD
2025-03-26,307.9,314.06,307.79,313.58,313.58,2624998,0.0,1.0,MCD
2025-03-25,306.93,308.66,304.03,306.92,306.92,2657170,0.0,1.0,MCD
2025-03-24,306.3,307.95,304.53,305.67,305.67,3443511,0.0,1.0,MCD
2025-03-21,306.39,307.0,301.64,305.44,305.44,6016138,0.0,1.0,MCD
2025-03-20,308.03,309.66,305.51,307.0,307.0,2723487,0.0,1.0,MCD
2025-03-19,303.99,308.08,303.63,306.92,306.92,2812212,0.0,1.0,MCD
2025-03-18,304.97,304.97,302.27,303.6,303.6,2435418,0.0,1.0,MCD
2025-03-17,301.3,305.23,300.03,303.97,303.97,2758628,0.0,1.0,MCD
2025-03-14,296.97,300.67,295.71,299.83,299.83,2696979,0.0,1.0,MCD
2025-03-13,300.43,303.46,297.27,297.5,297.5,4178882,0.0,1.0,MCD
2025-03-12,303.69,306.43,296.35,299.4,299.4,4546240,0.0,1.0,MCD
2025-03-11,317.62,317.7,306.31,306.76,306.76,4513135,0.0,1.0,MCD
2025-03-10,320.09,326.32,315.74,317.25,317.25,4698682,0.0,1.0,MCD
2025-03-07,310.82,323.17,310.35,321.29,321.29,7607616,0.0,1.0,MCD
2025-03-06,307.8,311.35,304.38,310.37,310.37,2954920,0.0,1.0,MCD
2025-03-05,304.0,308.46,303.37,307.45,307.45,2327472,0.0,1.0,MCD
2025-03-04,304.59,312.93,304.59,305.77,305.77,3954691,0.0,1.0,MCD
2025-03-03,308.11,309.49,302.43,304.29,304.29,4371634,1.77,1.0,MCD
2025-02-28,305.83,306.74,302.12,306.55,306.55,4972872,0.0,1.0,MCD
2025-02-27,303.43,309.98,302.46,308.16,308.16,3350723,0.0,1.0,MCD
2025-02-26,309.9,312.73,301.92,302.51,302.51,4140908,0.0,1.0,MCD
2025-02-25,307.39,309.91,306.21,308.92,308.92,3891555,0.0,1.0,MCD
2025-02-24,303.24,308.64,302.36,305.79,305.79,3397553,0.0,1.0,MCD
2025-02-21,302.16,304.19,299.85,303.05,303.05,3036654,0.0,1.0,MCD
2025-02-20,299.09,301.38,296.43,301.3,301.3,3020024,0.0,1.0,MCD
2025-02-19,301.57,302.03,297.78,300.19,300.19,2990851,0.0,1.0,MCD
2025-02-18,305.57,305.57,301.78,303.07,303.07,3368090,0.0,1.0,MCD
2025-02-14,308.41,309.2,306.0,306.77,306.77,2674354,0.0,1.0,MCD
2025-02-13,305.72,309.73,303.86,308.23,308.23,3097175,0.0,1.0,MCD
2025-02-12,307.79,308.3,304.0,305.82,305.82,3110228,0.0,1.0,MCD
2025-02-11,305.59,309.79,304.4,308.42,308.42,4180762,0.0,1.0,MCD
2025-02-10,300.52,308.49,299.77,306.64,306.64,8051997,0.0,1.0,MCD
2025-02-07,292.66,295.13,292.12,292.6,292.6,2858016,0.0,1.0,MCD
2025-02-06,289.9,295.43,288.64,292.66,292.66,3589988,0.0,1.0,MCD
2025-02-05,288.32,288.59,284.68,287.16,287.16,2363168,0.0,1.0,MCD
2025-02-04,288.08,288.96,286.7,288.09,288.09,2977102,0.0,1.0,MCD
2025-02-03,285.36,289.22,282.55,288.37,288.37,3049143,0.0,1.0,MCD
2025-01-31,288.15,289.57,285.69,287.03,287.03,2557033,0.0,1.0,MCD
2025-01-30,289.23,290.39,287.69,288.64,288.64,2125150,0.0,1.0,MCD
2025-01-29,289.69,291.44,288.32,288.43,288.43,2358272,0.0,1.0,MCD
2025-01-28,290.71,292.79,288.32,289.47,289.47,3180370,0.0,1.0,MCD
2025-01-27,284.95,291.73,284.16,291.4,291.4,4343019,0.0,1.0,MCD
2025-01-24,282.86,285.19,281.64,283.81,283.81,2523397,0.0,1.0,MCD
2025-01-23,279.13,283.35,279.03,282.79,282.79,2279408,0.0,1.0,MCD
2025-01-22,281.66,281.89,278.78,279.72,279.72,3660600,0.0,1.0,MCD
2025-01-21,279.14,281.26,277.12,280.98,280.98,3858590,0.0,1.0,MCD
2025-01-17,279.36,282.44,278.38,279.33,279.33,3312793,0.0,1.0,MCD
2025-01-16,278.62,279.32,274.93,278.12,278.12,3403681,0.0,1.0,MCD
2025-01-15,282.69,283.0,278.99,280.67,280.67,2867781,0.0,1.0,MCD
2025-01-14,283.37,283.7,277.76,279.95,279.95,2238889,0.0,1.0,MCD
2025-01-13,281.3,282.85,278.73,281.99,281.99,3394291,0.0,1.0,MCD
2025-01-10,285.84,286.11,280.15,280.68,280.68,3946002,0.0,1.0,MCD
2025-01-08,287.3,287.47,284.89,285.24,285.24,2724217,0.0,1.0,MCD
2025-01-07,292.08,293.22,286.61,287.67,287.67,3419450,0.0,1.0,MCD
2025-01-06,291.58,293.89,290.05,290.49,290.49,2838933,0.0,1.0,MCD
2025-01-03,291.14,293.25,289.02,293.08,293.08,2240254,0.0,1.0,MCD
2025-01-02,289.27,294.05,288.57,290.82,290.82,3118262,0.0,1.0,MCD
2024-12-31,288.4,289.56,286.91,288.21,288.21,1915847,0.0,1.0,MCD
2024-12-30,289.78,289.78,287.33,287.93,287.93,1936678,0.0,1.0,MCD
2024-12-27,291.64,294.76,291.05,291.92,291.92,1617399,0.0,1.0,MCD
2024-12-26,291.31,293.73,290.91,293.1,293.1,1434337,0.0,1.0,MCD
2024-12-24,289.6,292.57,289.11,292.29,292.29,1460985,0.0,1.0,MCD
2024-12-23,290.56,291.4,288.05,289.61,289.61,2492226,0.0,1.0,MCD
2024-12-20,287.85,294.39,287.63,290.99,290.99,7677952,0.0,1.0,MCD
2024-12-19,289.2,291.17,287.18,288.55,288.55,3438533,0.0,1.0,MCD
2024-12-18,293.31,297.25,288.99,289.2,289.2,3800945,0.0,1.0,MCD
2024-12-17,295.9,298.27,293.12,294.37,294.37,3295881,0.0,1.0,MCD
2024-12-16,295.46,300.37,295.45,295.99,295.99,3180071,0.0,1.0,MCD
2024-12-13,294.58,297.47,293.72,294.88,294.88,2547703,0.0,1.0,MCD
2024-12-12,294.49,296.82,293.38,294.91,294.91,2040653,0.0,1.0,MCD
2024-12-11,299.6,300.15,294.26,294.39,294.39,3037616,0.0,1.0,MCD
2024-12-10,298.39,301.07,294.13,298.97,298.97,3522974,0.0,1.0,MCD
2024-12-09,295.86,300.87,295.37,299.63,299.63,2391898,0.0,1.0,MCD
2024-12-06,298.82,302.04,296.88,297.25,297.25,4158690,0.0,1.0,MCD
2024-12-05,293.83,298.01,293.23,297.74,297.74,2594816,0.0,1.0,MCD
2024-12-04,290.59,294.33,290.13,293.38,293.38,3742938,0.0,1.0,MCD
2024-12-03,290.63,293.14,288.61,292.8,292.8,3030992,0.0,1.0,MCD
2024-12-02,291.8,292.53,289.26,290.75,290.75,3150151,1.77,1.0,MCD
2024-11-29,290.7,293.56,290.56,292.53,292.53,1655907,0.0,1.0,MCD
2024-11-27,293.51,295.98,291.51,291.61,291.61,2240280,0.0,1.0,MCD
2024-11-26,293.51,293.78,291.36,292.84,292.84,2254326,0.0,1.0,MCD
2024-11-25,288.33,293.12,288.33,292.71,292.71,5021843,0.0,1.0,MCD
2024-11-22,285.08,287.18,284.75,286.87,286.87,2879063,0.0,1.0,MCD
2024-11-21,281.65,285.2,280.13,285.08,285.08,4475662,0.0,1.0,MCD
2024-11-20,287.2,287.89,284.86,287.49,287.49,2525012,0.0,1.0,MCD
2024-11-19,286.59,288.64,284.22,287.31,287.31,2353251,0.0,1.0,MCD
2024-11-18,289.56,291.96,287.37,287.68,287.68,2866132,0.0,1.0,MCD
2024-11-15,294.22,295.97,286.31,289.19,289.19,4039432,0.0,1.0,MCD
2024-11-14,294.49,296.58,293.1,295.05,295.05,1932557,0.0,1.0,MCD
2024-11-13,295.38,295.61,291.74,293.85,293.85,2327101,0.0,1.0,MCD
2024-11-12,296.61,297.86,294.02,295.14,295.14,2453194,0.0,1.0,MCD
2024-11-11,296.95,300.24,296.49,297.98,297.98,2872440,0.0,1.0,MCD
2024-11-08,292.12,298.28,291.78,295.45,295.45,3279284,0.0,1.0,MCD
2024-11-07,291.37,293.05,290.35,291.19,291.19,3357377,0.0,1.0,MCD
2024-11-06,296.75,296.8,289.28,290.54,290.54,4646422,0.0,1.0,MCD
2024-11-05,290.29,293.88,289.12,293.82,293.82,3032122,0.0,1.0,MCD
2024-11-04,291.27,291.49,288.37,289.4,289.4,2583053,0.0,1.0,MCD
2024-11-01,291.05,293.39,289.83,291.74,291.74,4131804,0.0,1.0,MCD
2024-10-31,288.81,290.92,287.74,288.67,288.67,4277428,0.0,1.0,MCD
2024-10-30,291.04,291.9,286.43,288.09,288.09,4924013,0.0,1.0,MCD
2024-10-29,294.1,299.14,291.53,291.53,291.53,9048877,0.0,1.0,MCD
2024-10-28,295.68,296.39,293.05,293.3,293.3,6655971,0.0,1.0,MCD
2024-10-25,297.46,298.05,288.76,289.17,289.17,8863234,0.0,1.0,MCD
2024-10-24,295.6,298.83,294.77,298.03,298.03,5522591,0.0,1.0,MCD
2024-10-23,289.33,298.05,287.41,295.06,295.06,18791952,0.0,1.0,MCD
2024-10-22,310.39,312.03,309.61,310.99,310.99,5889115,0.0,1.0,MCD
2024-10-21,313.4,314.16,310.71,311.19,311.19,2404056,0.0,1.0,MCD
2024-10-18,311.86,313.45,310.53,312.84,312.84,2531197,0.0,1.0,MCD
2024-10-17,310.29,311.34,308.8,311.0,311.0,3095192,0.0,1.0,MCD
2024-10-16,309.63,310.03,306.46,309.24,309.24,1821486,0.0,1.0,MCD
2024-10-15,308.33,311.65,307.35,309.65,309.65,3067090,0.0,1.0,MCD
2024-10-14,301.56,306.77,300.92,306.19,306.19,2376310,0.0,1.0,MCD
2024-10-11,300.84,301.91,299.41,301.45,301.45,1775710,0.0,1.0,MCD
2024-10-10,300.45,302.15,299.37,300.46,300.46,1739458,0.0,1.0,MCD
2024-10-09,299.38,301.42,298.41,300.26,300.26,1854155,0.0,1.0,MCD
2024-10-08,299.08,299.78,296.83,298.35,298.35,2038348,0.0,1.0,MCD
2024-10-07,300.19,301.53,296.47,297.31,297.31,2091776,0.0,1.0,MCD
2024-10-04,299.48,302.29,297.83,300.19,300.19,2432634,0.0,1.0,MCD
2024-10-03,299.93,300.44,297.72,299.88,299.88,1802561,0.0,1.0,MCD
2024-10-02,297.04,300.5,296.06,300.19,300.19,2352436,0.0,1.0,MCD
2024-10-01,300.93,301.64,298.69,299.42,299.42,3036208,0.0,1.0,MCD
2024-09-30,300.18,301.44,298.55,300.93,300.93,2286978,0.0,1.0,MCD
2024-09-27,299.95,303.35,299.95,300.12,300.12,3402999,0.0,1.0,MCD
2024-09-26,297.61,300.71,297.2,300.08,300.08,1971134,0.0,1.0,MCD
2024-09-25,296.8,298.25,294.89,296.94,296.94,1986241,0.0,1.0,MCD
2024-09-24,295.54,297.9,294.2,296.74,296.74,2408175,0.0,1.0,MCD
2024-09-23,295.48,296.69,293.4,295.54,295.54,2312365,0.0,1.0,MCD
2024-09-20,289.49,294.54,289.39,293.34,293.34,5817302,0.0,1.0,MCD
2024-09-19,290.79,291.61,287.48,290.39,290.39,2271388,0.0,1.0,MCD
2024-09-18,290.42,291.63,286.95,288.59,288.59,1788384,0.0,1.0,MCD
2024-09-17,293.51,293.89,288.73,290.29,290.29,2997493,0.0,1.0,MCD
2024-09-16,293.92,296.58,291.57,293.2,293.2,2916205,0.0,1.0,MCD
2024-09-13,291.03,293.25,289.18,293.04,293.04,2205535,0.0,1.0,MCD
2024-09-12,286.76,289.25,284.87,288.91,288.91,2274712,0.0,1.0,MCD
2024-09-11,287.41,288.01,282.47,286.82,286.82,2747627,0.0,1.0,MCD
2024-09-10,289.37,292.75,287.62,287.84,287.84,2497109,0.0,1.0,MCD
2024-09-09,286.62,288.31,284.41,287.86,287.86,3208635,0.0,1.0,MCD
2024-09-06,284.43,288.75,284.19,286.1,286.1,3863559,0.0,1.0,MCD
2024-09-05,285.6,286.14,282.87,284.58,284.58,2412493,0.0,1.0,MCD
2024-09-04,283.18,285.57,282.63,284.64,284.64,2555153,0.0,1.0,MCD
2024-09-03,282.99,284.82,280.37,282.16,282.16,2902782,1.67,1.0,MCD
2024-08-30,282.52,283.82,281.28,283.61,283.61,2528549,0.0,1.0,MCD
2024-08-29,282.74,284.05,279.79,282.82,282.82,1797229,0.0,1.0,MCD
2024-08-28,284.87,285.86,280.26,282.02,282.02,2603793,0.0,1.0,MCD
2024-08-27,284.02,285.22,283.02,284.57,284.57,2897582,0.0,1.0,MCD
