date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,thscode
2025-04-29,137.5,139.22,136.84,138.38,138.38,1917297,0.0,1.0,MMM
2025-04-28,137.32,138.41,136.04,137.93,137.93,2500025,0.0,1.0,MMM
2025-04-25,139.0,139.0,137.1,137.32,137.32,2141381,0.0,1.0,MMM
2025-04-24,135.64,139.76,135.12,138.88,138.88,2921145,0.0,1.0,MMM
2025-04-23,139.38,142.15,135.2,136.06,136.06,4655834,0.0,1.0,MMM
2025-04-22,133.28,137.27,130.36,136.33,136.33,7943810,0.0,1.0,MMM
2025-04-21,129.0,129.84,124.65,126.09,126.09,5971823,0.0,1.0,MMM
2025-04-17,130.34,132.95,130.08,130.21,130.21,4952015,0.0,1.0,MMM
2025-04-16,133.51,134.48,129.87,130.46,130.46,5635829,0.0,1.0,MMM
2025-04-15,136.01,137.47,135.14,135.26,135.26,2541840,0.0,1.0,MMM
2025-04-14,138.11,138.29,134.43,136.01,136.01,3815806,0.0,1.0,MMM
2025-04-11,133.13,136.49,131.66,135.95,135.95,3337840,0.0,1.0,MMM
2025-04-10,135.75,135.78,128.68,132.97,132.97,4757145,0.0,1.0,MMM
2025-04-09,125.0,139.23,123.44,138.32,138.32,6428141,0.0,1.0,MMM
2025-04-08,132.24,133.87,124.82,127.16,127.16,5497234,0.0,1.0,MMM
2025-04-07,124.73,134.37,121.98,128.55,128.55,7174970,0.0,1.0,MMM
2025-04-04,134.19,135.31,126.43,126.91,126.91,9609106,0.0,1.0,MMM
2025-04-03,142.84,144.49,138.85,139.74,139.74,6712325,0.0,1.0,MMM
2025-04-02,145.71,148.17,145.59,147.76,147.76,4411125,0.0,1.0,MMM
2025-04-01,145.7,148.69,144.18,147.67,147.67,3641401,0.0,1.0,MMM
2025-03-31,143.99,147.74,142.18,146.86,146.86,4508634,0.0,1.0,MMM
2025-03-28,147.86,148.85,144.33,144.84,144.84,2581677,0.0,1.0,MMM
2025-03-27,152.67,152.67,148.12,148.44,148.44,2825553,0.0,1.0,MMM
2025-03-26,153.45,154.43,152.06,152.68,152.68,3836902,0.0,1.0,MMM
2025-03-25,153.13,155.0,152.68,153.5,153.5,4118863,0.0,1.0,MMM
2025-03-24,151.7,154.02,150.7,153.15,153.15,3207912,0.0,1.0,MMM
2025-03-21,149.9,150.76,148.07,150.36,150.36,5538606,0.0,1.0,MMM
2025-03-20,151.65,153.65,151.09,151.27,151.27,2579066,0.0,1.0,MMM
2025-03-19,151.19,153.97,150.92,153.21,153.21,2344346,0.0,1.0,MMM
2025-03-18,152.57,153.21,150.5,150.92,150.92,3038475,0.0,1.0,MMM
2025-03-17,150.37,153.98,150.0,153.21,153.21,4562191,0.0,1.0,MMM
2025-03-14,147.92,150.79,147.06,150.41,150.41,4094429,0.0,1.0,MMM
2025-03-13,150.28,151.24,145.91,146.1,146.1,3295006,0.0,1.0,MMM
2025-03-12,148.31,151.24,147.2,150.24,150.24,4196724,0.0,1.0,MMM
2025-03-11,145.73,149.49,145.63,147.54,147.54,5818437,0.0,1.0,MMM
2025-03-10,143.47,149.18,143.12,147.62,147.62,4962646,0.0,1.0,MMM
2025-03-07,144.69,147.22,140.78,146.3,146.3,5891090,0.0,1.0,MMM
2025-03-06,146.39,148.13,145.75,146.94,146.94,4492429,0.0,1.0,MMM
2025-03-05,146.76,149.04,146.0,147.61,147.61,3909783,0.0,1.0,MMM
2025-03-04,150.5,151.04,145.62,145.86,145.86,6787379,0.0,1.0,MMM
2025-03-03,155.5,156.35,151.9,153.42,153.42,5672857,0.0,1.0,MMM
2025-02-28,151.5,155.5,151.0,155.12,155.12,8323108,0.0,1.0,MMM
2025-02-27,148.77,152.56,148.21,150.52,150.52,6576004,0.0,1.0,MMM
2025-02-26,144.38,149.26,141.76,147.43,147.43,5783358,0.0,1.0,MMM
2025-02-25,145.43,147.56,145.34,146.54,146.54,4358789,0.0,1.0,MMM
2025-02-24,144.98,146.4,143.87,145.48,145.48,3447463,0.0,1.0,MMM
2025-02-21,149.08,149.54,144.56,144.98,144.98,4278667,0.0,1.0,MMM
2025-02-20,149.99,150.09,148.04,149.08,149.08,2231527,0.0,1.0,MMM
2025-02-19,148.07,150.36,148.07,150.2,150.2,3216915,0.0,1.0,MMM
2025-02-18,148.18,149.49,148.0,148.99,148.99,2601531,0.0,1.0,MMM
2025-02-14,147.89,149.55,147.74,148.62,148.62,2388382,0.73,1.0,MMM
2025-02-13,148.38,148.99,146.81,147.99,147.99,2047063,0.0,1.0,MMM
2025-02-12,147.97,149.34,147.44,148.14,148.14,2103079,0.0,1.0,MMM
2025-02-11,148.58,149.64,147.84,149.34,149.34,2187764,0.0,1.0,MMM
2025-02-10,149.43,149.86,147.41,148.96,148.96,3531493,0.0,1.0,MMM
2025-02-07,151.75,152.15,148.81,149.14,149.14,3356757,0.0,1.0,MMM
2025-02-06,151.95,152.72,150.83,151.58,151.58,2760375,0.0,1.0,MMM
2025-02-05,151.71,152.87,150.0,151.7,151.7,2841574,0.0,1.0,MMM
2025-02-04,148.73,152.01,148.59,150.94,150.94,3110352,0.0,1.0,MMM
2025-02-03,148.45,150.89,147.43,149.31,149.31,3556258,0.0,1.0,MMM
2025-01-31,154.23,154.24,151.39,151.46,151.46,4164492,0.0,1.0,MMM
2025-01-30,151.26,153.89,151.09,153.65,153.65,3962501,0.0,1.0,MMM
2025-01-29,150.76,152.03,149.9,150.8,150.8,3996082,0.0,1.0,MMM
2025-01-28,150.58,152.21,149.06,150.66,150.66,4286762,0.0,1.0,MMM
2025-01-27,148.27,151.26,148.18,150.78,150.78,4929615,0.0,1.0,MMM
2025-01-24,148.17,149.37,147.68,148.7,148.7,4858639,0.0,1.0,MMM
2025-01-23,148.72,149.72,147.68,148.9,148.9,4439380,0.0,1.0,MMM
2025-01-22,147.16,151.34,146.69,148.39,148.39,7077793,0.0,1.0,MMM
2025-01-21,144.79,149.27,144.29,146.17,146.17,11368492,0.0,1.0,MMM
2025-01-17,138.97,140.97,138.82,140.34,140.34,5724458,0.0,1.0,MMM
2025-01-16,137.35,138.82,135.77,138.5,138.5,4122742,0.0,1.0,MMM
2025-01-15,137.53,138.17,136.45,137.11,137.11,4114327,0.0,1.0,MMM
2025-01-14,133.96,137.03,133.81,136.54,136.54,4629047,0.0,1.0,MMM
2025-01-13,130.09,134.07,128.91,133.94,133.94,4207293,0.0,1.0,MMM
2025-01-10,133.18,133.25,129.99,130.57,130.57,4661931,0.0,1.0,MMM
2025-01-08,131.38,134.02,131.02,133.87,133.87,4675990,0.0,1.0,MMM
2025-01-07,129.45,132.15,129.37,132.12,132.12,3414840,0.0,1.0,MMM
2025-01-06,130.18,130.77,129.25,129.65,129.65,3067149,0.0,1.0,MMM
2025-01-03,129.07,130.22,128.67,129.24,129.24,2273763,0.0,1.0,MMM
2025-01-02,129.65,130.98,128.35,129.07,129.07,3249067,0.0,1.0,MMM
2024-12-31,128.57,129.41,128.03,128.46,128.46,2220414,0.0,1.0,MMM
2024-12-30,128.49,129.28,127.3,128.5,128.5,2153994,0.0,1.0,MMM
2024-12-27,129.28,130.54,128.58,129.54,129.54,1842823,0.0,1.0,MMM
2024-12-26,129.69,130.76,128.6,130.54,130.54,1485103,0.0,1.0,MMM
2024-12-24,128.11,129.72,127.46,129.72,129.72,803216,0.0,1.0,MMM
2024-12-23,127.87,128.56,127.13,128.35,128.35,2067478,0.0,1.0,MMM
2024-12-20,125.75,129.71,125.14,128.65,128.65,8351297,0.0,1.0,MMM
2024-12-19,126.03,127.11,125.1,126.51,126.51,3040663,0.0,1.0,MMM
2024-12-18,127.58,128.74,124.76,124.92,124.92,3748871,0.0,1.0,MMM
2024-12-17,127.78,128.73,127.03,127.42,127.42,2693196,0.0,1.0,MMM
2024-12-16,129.27,129.56,128.23,128.84,128.84,3097874,0.0,1.0,MMM
2024-12-13,129.07,129.53,128.28,129.28,129.28,2382080,0.0,1.0,MMM
2024-12-12,129.02,130.03,128.14,129.12,129.12,2915471,0.0,1.0,MMM
2024-12-11,129.63,130.03,128.63,129.14,129.14,4089900,0.0,1.0,MMM
2024-12-10,129.48,129.96,126.98,129.14,129.14,3225759,0.0,1.0,MMM
2024-12-09,132.45,133.2,130.63,130.85,130.85,3442505,0.0,1.0,MMM
2024-12-06,132.6,133.56,131.55,132.46,132.46,1912419,0.0,1.0,MMM
2024-12-05,130.18,134.92,129.81,132.68,132.68,4171989,0.0,1.0,MMM
2024-12-04,130.29,130.75,128.34,129.81,129.81,2503466,0.0,1.0,MMM
2024-12-03,132.24,132.58,130.1,130.51,130.51,2378362,0.0,1.0,MMM
2024-12-02,132.88,133.12,131.73,132.24,132.24,3002022,0.0,1.0,MMM
2024-11-29,132.21,133.09,131.39,132.88,132.88,1618282,0.0,1.0,MMM
2024-11-27,133.26,134.89,131.71,131.83,131.83,2579605,0.0,1.0,MMM
2024-11-26,129.35,132.58,129.02,132.3,132.3,3080298,0.0,1.0,MMM
2024-11-25,128.58,129.96,126.93,129.68,129.68,5075140,0.0,1.0,MMM
2024-11-22,127.07,127.85,125.75,127.79,127.79,3052490,0.0,1.0,MMM
2024-11-21,127.11,127.95,125.7,126.7,126.7,2544777,0.0,1.0,MMM
2024-11-20,127.37,127.56,126.48,127.22,127.22,1700740,0.0,1.0,MMM
2024-11-19,128.38,128.63,127.37,127.56,127.56,2600637,0.0,1.0,MMM
2024-11-18,129.15,129.75,127.94,129.53,129.53,2433351,0.0,1.0,MMM
2024-11-15,129.47,130.61,129.08,129.16,129.16,1929226,0.7,1.0,MMM
2024-11-14,130.52,131.95,130.42,130.97,130.97,2284136,0.0,1.0,MMM
2024-11-13,130.66,131.71,129.48,130.11,130.11,2675526,0.0,1.0,MMM
2024-11-12,131.44,131.84,127.16,129.02,129.02,3144974,0.0,1.0,MMM
2024-11-11,133.47,133.96,131.42,131.64,131.64,3791282,0.0,1.0,MMM
