date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,thscode
2025-04-29,83.78,85.69,82.75,84.71,84.71,18802899,0.0,1.0,MRK
2025-04-28,83.0,83.68,82.4,83.19,83.19,14240982,0.0,1.0,MRK
2025-04-25,80.17,83.28,78.06,82.74,82.74,28377956,0.0,1.0,MRK
2025-04-24,78.28,79.97,76.03,79.84,79.84,18471542,0.0,1.0,MRK
2025-04-23,78.5,80.2,78.0,78.74,78.74,17935744,0.0,1.0,MRK
2025-04-22,78.03,79.04,77.66,78.97,78.97,12918169,0.0,1.0,MRK
2025-04-21,78.08,78.19,76.99,77.85,77.85,11009959,0.0,1.0,MRK
2025-04-17,76.89,78.75,76.88,78.0,78.0,21416485,0.0,1.0,MRK
2025-04-16,78.47,78.69,75.93,76.46,76.46,16551293,0.0,1.0,MRK
2025-04-15,79.55,79.96,77.72,78.39,78.39,16042488,0.0,1.0,MRK
2025-04-14,80.02,80.02,78.36,79.17,79.17,15796686,0.0,1.0,MRK
2025-04-11,77.87,79.44,76.35,79.18,79.18,16194426,0.0,1.0,MRK
2025-04-10,80.61,81.12,75.96,77.55,77.55,19466863,0.0,1.0,MRK
2025-04-09,76.76,81.99,76.0,81.91,81.91,22928259,0.0,1.0,MRK
2025-04-08,83.21,83.27,77.54,78.95,78.95,20571573,0.0,1.0,MRK
2025-04-07,81.01,83.21,79.3,81.18,81.18,26581980,0.0,1.0,MRK
2025-04-04,86.12,86.27,81.08,81.47,81.47,22965747,0.0,1.0,MRK
2025-04-03,88.73,88.9,86.26,86.39,86.39,12684130,0.0,1.0,MRK
2025-04-02,86.88,87.07,85.32,86.6,86.6,10590843,0.0,1.0,MRK
2025-04-01,89.75,89.75,86.61,87.12,87.12,13922105,0.0,1.0,MRK
2025-03-31,89.25,90.26,88.37,89.76,89.76,15002990,0.0,1.0,MRK
2025-03-28,88.2,90.14,87.67,89.23,89.23,12393480,0.0,1.0,MRK
2025-03-27,88.5,88.56,87.38,87.6,87.6,12931936,0.0,1.0,MRK
2025-03-26,88.24,89.32,87.31,88.11,88.11,13810072,0.0,1.0,MRK
2025-03-25,92.31,92.31,87.08,87.87,87.87,20640186,0.0,1.0,MRK
2025-03-24,92.9,93.11,91.56,92.31,92.31,16950115,0.0,1.0,MRK
2025-03-21,94.58,94.68,93.07,93.11,93.11,68435789,0.0,1.0,MRK
2025-03-20,94.0,95.16,93.68,94.73,94.73,12970165,0.0,1.0,MRK
2025-03-19,95.25,95.43,93.64,94.02,94.02,11355880,0.0,1.0,MRK
2025-03-18,95.22,95.41,93.84,94.72,94.72,8670307,0.0,1.0,MRK
2025-03-17,93.64,95.3,93.08,94.79,94.79,12237906,0.81,1.0,MRK
2025-03-14,93.48,94.07,92.66,93.77,93.77,12681125,0.0,1.0,MRK
2025-03-13,92.61,95.52,92.61,93.91,93.91,16570142,0.0,1.0,MRK
2025-03-12,93.27,93.6,92.07,92.56,92.56,11896007,0.0,1.0,MRK
2025-03-11,94.18,94.57,92.79,93.93,93.93,21734793,0.0,1.0,MRK
2025-03-10,93.89,96.18,93.89,94.42,94.42,20407882,0.0,1.0,MRK
2025-03-07,93.46,96.55,93.05,93.85,93.85,24100865,0.0,1.0,MRK
2025-03-06,92.34,93.25,91.0,93.2,93.2,11300177,0.0,1.0,MRK
2025-03-05,90.31,92.66,89.73,92.4,92.4,13117129,0.0,1.0,MRK
2025-03-04,92.78,94.55,91.54,91.78,91.78,15072992,0.0,1.0,MRK
2025-03-03,91.0,92.42,91.0,92.36,92.36,13636057,0.0,1.0,MRK
2025-02-28,89.94,91.57,89.94,91.47,91.47,15482079,0.0,1.0,MRK
2025-02-27,88.59,90.2,88.49,89.81,89.81,10717472,0.0,1.0,MRK
2025-02-26,90.53,90.6,88.11,88.62,88.62,13534225,0.0,1.0,MRK
2025-02-25,90.97,92.27,89.67,90.66,90.66,18417272,0.0,1.0,MRK
2025-02-24,88.95,91.07,88.18,90.5,90.5,19452296,0.0,1.0,MRK
2025-02-21,87.25,88.77,86.27,88.74,88.74,15678892,0.0,1.0,MRK
2025-02-20,85.17,86.96,85.17,86.94,86.94,14851549,0.0,1.0,MRK
2025-02-19,82.53,84.9,82.15,84.87,84.87,17435060,0.0,1.0,MRK
2025-02-18,80.44,82.88,80.35,82.58,82.58,25897772,0.0,1.0,MRK
2025-02-14,83.7,84.06,81.4,82.31,82.31,26778993,0.0,1.0,MRK
2025-02-13,84.86,84.97,83.6,83.7,83.7,20415058,0.0,1.0,MRK
2025-02-12,85.34,85.94,84.88,84.94,84.94,14785256,0.0,1.0,MRK
2025-02-11,85.33,86.25,85.0,85.81,85.81,20922343,0.0,1.0,MRK
2025-02-10,86.46,87.23,85.54,85.67,85.67,21212053,0.0,1.0,MRK
2025-02-07,86.78,87.85,86.38,86.54,86.54,15814967,0.0,1.0,MRK
2025-02-06,88.65,88.81,87.1,87.3,87.3,19509701,0.0,1.0,MRK
2025-02-05,89.62,89.97,87.25,88.91,88.91,21670599,0.0,1.0,MRK
2025-02-04,88.25,90.46,86.59,89.97,89.97,50837558,0.0,1.0,MRK
2025-02-03,97.3,99.3,97.17,98.94,98.94,13363888,0.0,1.0,MRK
2025-01-31,98.26,99.21,97.74,97.98,97.98,11421621,0.0,1.0,MRK
2025-01-30,98.57,98.57,97.4,98.11,98.11,10164720,0.0,1.0,MRK
2025-01-29,96.59,98.31,96.56,97.45,97.45,10225477,0.0,1.0,MRK
2025-01-28,96.53,98.04,95.77,96.62,96.62,12840948,0.0,1.0,MRK
2025-01-27,95.81,97.78,95.17,97.11,97.11,15093381,0.0,1.0,MRK
2025-01-24,95.97,96.28,94.6,94.74,94.74,12244790,0.0,1.0,MRK
2025-01-23,95.3,96.33,94.41,95.81,95.81,11522811,0.0,1.0,MRK
2025-01-22,95.14,96.18,94.34,94.87,94.87,13070881,0.0,1.0,MRK
2025-01-21,97.25,97.44,94.95,95.42,95.42,17756056,0.0,1.0,MRK
2025-01-17,99.62,99.62,97.09,97.09,97.09,16181960,0.0,1.0,MRK
2025-01-16,99.59,100.04,99.1,99.85,99.85,7749642,0.0,1.0,MRK
2025-01-15,99.25,99.97,98.77,99.24,99.24,9170335,0.0,1.0,MRK
2025-01-14,100.4,100.63,98.17,98.81,98.81,10927440,0.0,1.0,MRK
2025-01-13,98.62,100.3,98.15,100.12,100.12,8168081,0.0,1.0,MRK
2025-01-10,98.37,99.55,97.97,98.41,98.41,11328770,0.0,1.0,MRK
2025-01-08,99.85,99.92,97.22,99.0,99.0,8654722,0.0,1.0,MRK
2025-01-07,99.28,102.1,99.2,100.16,100.16,10890890,0.0,1.0,MRK
2025-01-06,97.93,99.48,97.59,98.88,98.88,10111144,0.0,1.0,MRK
2025-01-03,98.5,98.9,97.85,98.3,98.3,6072551,0.0,1.0,MRK
2025-01-02,99.43,99.5,97.99,98.33,98.33,6153261,0.0,1.0,MRK
2024-12-31,97.67,98.69,97.6,98.64,98.64,6598522,0.0,1.0,MRK
2024-12-30,98.73,98.73,97.44,97.54,97.54,6848715,0.0,1.0,MRK
2024-12-27,98.66,99.5,98.4,98.86,98.86,6173658,0.0,1.0,MRK
2024-12-26,98.25,99.09,98.08,99.02,99.02,4760750,0.0,1.0,MRK
2024-12-24,98.38,98.8,97.96,98.61,98.61,3713479,0.0,1.0,MRK
2024-12-23,98.25,98.75,97.37,98.53,98.53,8460460,0.0,1.0,MRK
2024-12-20,97.99,98.84,97.07,97.22,97.22,29289741,0.0,1.0,MRK
2024-12-19,97.72,99.09,96.99,98.68,98.68,12110776,0.0,1.0,MRK
2024-12-18,99.34,100.64,97.44,97.51,97.51,11993415,0.0,1.0,MRK
2024-12-17,99.05,99.95,98.52,99.21,99.21,13975079,0.0,1.0,MRK
2024-12-16,100.4,101.41,99.2,99.21,99.21,11701064,0.81,1.0,MRK
2024-12-13,99.47,100.88,98.88,100.32,100.32,10118226,0.0,1.0,MRK
2024-12-12,100.02,101.31,98.47,99.59,99.59,9554399,0.0,1.0,MRK
2024-12-11,99.05,99.78,97.63,98.11,98.11,21612980,0.0,1.0,MRK
2024-12-10,102.06,102.06,99.08,99.34,99.34,11359439,0.0,1.0,MRK
2024-12-09,101.17,103.34,100.65,102.08,102.08,19162467,0.0,1.0,MRK
2024-12-06,101.9,102.24,101.0,101.4,101.4,11470665,0.0,1.0,MRK
2024-12-05,99.82,102.43,99.68,101.85,101.85,11062662,0.0,1.0,MRK
2024-12-04,100.35,100.41,99.39,99.7,99.7,11314989,0.0,1.0,MRK
2024-12-03,99.09,100.77,98.97,100.18,100.18,11395586,0.0,1.0,MRK
2024-12-02,100.06,100.18,98.81,98.96,98.96,13703135,0.0,1.0,MRK
2024-11-29,101.19,101.35,99.86,99.97,99.97,6081177,0.0,1.0,MRK
2024-11-27,99.98,101.75,99.97,101.43,101.43,9802172,0.0,1.0,MRK
2024-11-26,99.81,100.13,98.06,99.95,99.95,9324084,0.0,1.0,MRK
2024-11-25,98.44,100.07,97.87,99.5,99.5,34659091,0.0,1.0,MRK
2024-11-22,98.68,100.11,97.3,97.55,97.55,14031186,0.0,1.0,MRK
2024-11-21,96.11,98.83,95.36,98.22,98.22,15670302,0.0,1.0,MRK
2024-11-20,95.39,97.22,95.07,95.84,95.84,12136771,0.0,1.0,MRK
2024-11-19,95.14,95.95,93.69,94.95,94.95,13093069,0.0,1.0,MRK
