date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,thscode
2025-04-29,391.3,395.1,390.38,394.04,394.04,14973976,0.0,1.0,MSFT
2025-04-28,391.96,392.74,386.64,391.16,391.16,16579430,0.0,1.0,MSFT
2025-04-25,387.0,392.16,384.6,391.85,391.85,18973165,0.0,1.0,MSFT
2025-04-24,375.7,388.45,375.19,387.3,387.3,22232289,0.0,1.0,MSFT
2025-04-23,376.06,380.39,373.02,374.39,374.39,20545526,0.0,1.0,MSFT
2025-04-22,363.38,367.77,359.86,366.82,366.82,19484993,0.0,1.0,MSFT
2025-04-21,362.82,364.48,355.67,359.12,359.12,20807279,0.0,1.0,MSFT
2025-04-17,373.74,374.32,366.89,367.78,367.78,21120192,0.0,1.0,MSFT
2025-04-16,380.67,381.61,368.0,371.61,371.61,21967826,0.0,1.0,MSFT
2025-04-15,388.5,391.89,384.16,385.73,385.73,17199890,0.0,1.0,MSFT
2025-04-14,393.22,394.65,384.21,387.81,387.81,19251172,0.0,1.0,MSFT
2025-04-11,380.64,390.05,378.89,388.45,388.45,23839220,0.0,1.0,MSFT
2025-04-10,382.06,383.9,367.8,381.35,381.35,38024368,0.0,1.0,MSFT
2025-04-09,353.54,393.22,353.1,390.49,390.49,50199696,0.0,1.0,MSFT
2025-04-08,368.26,373.65,350.25,354.56,354.56,35868918,0.0,1.0,MSFT
2025-04-07,350.88,371.0,344.79,357.86,357.86,50424998,0.0,1.0,MSFT
2025-04-04,364.12,374.59,359.48,359.84,359.84,49209854,0.0,1.0,MSFT
2025-04-03,374.78,377.48,369.35,373.11,373.11,30197997,0.0,1.0,MSFT
2025-04-02,377.96,385.08,376.62,382.14,382.14,16092555,0.0,1.0,MSFT
2025-04-01,374.65,382.85,373.23,382.19,382.19,19689503,0.0,1.0,MSFT
2025-03-31,372.54,377.07,367.24,375.39,375.39,35184676,0.0,1.0,MSFT
2025-03-28,388.08,389.13,376.93,378.8,378.8,21632016,0.0,1.0,MSFT
2025-03-27,390.13,392.24,387.4,390.58,390.58,13766761,0.0,1.0,MSFT
2025-03-26,395.0,395.31,388.57,389.97,389.97,16132906,0.0,1.0,MSFT
2025-03-25,393.92,396.36,392.64,395.16,395.16,15774968,0.0,1.0,MSFT
2025-03-24,395.4,395.4,389.81,393.08,393.08,21004548,0.0,1.0,MSFT
2025-03-21,383.22,391.74,382.8,391.26,391.26,39675928,0.0,1.0,MSFT
2025-03-20,385.74,391.78,383.28,386.84,386.84,18470542,0.0,1.0,MSFT
2025-03-19,385.52,389.68,384.0,387.82,387.82,19185532,0.0,1.0,MSFT
2025-03-18,387.07,387.37,381.1,383.52,383.52,19486850,0.0,1.0,MSFT
2025-03-17,386.7,392.7,385.57,388.7,388.7,22474272,0.0,1.0,MSFT
2025-03-14,379.78,390.23,379.51,388.56,388.56,19952846,0.0,1.0,MSFT
2025-03-13,383.16,385.32,377.45,378.77,378.77,20473017,0.0,1.0,MSFT
2025-03-12,382.95,385.22,378.95,383.27,383.27,24253567,0.0,1.0,MSFT
2025-03-11,379.0,386.0,376.91,380.45,380.45,30380177,0.0,1.0,MSFT
2025-03-10,385.84,386.4,377.22,380.16,380.16,32569768,0.0,1.0,MSFT
2025-03-07,392.32,394.8,385.54,393.31,393.31,22034087,0.0,1.0,MSFT
2025-03-06,394.28,402.15,392.68,396.89,396.89,23304625,0.0,1.0,MSFT
2025-03-05,389.34,401.67,388.81,401.02,401.02,23433132,0.0,1.0,MSFT
2025-03-04,383.4,392.58,381.0,388.61,388.61,29342923,0.0,1.0,MSFT
2025-03-03,398.82,398.82,386.16,388.49,388.49,23007726,0.0,1.0,MSFT
2025-02-28,392.66,397.63,386.57,396.99,396.99,32845658,0.0,1.0,MSFT
2025-02-27,401.26,405.74,392.17,392.53,392.53,21127406,0.0,1.0,MSFT
2025-02-26,398.01,403.6,394.24,399.73,399.73,19618954,0.0,1.0,MSFT
2025-02-25,401.1,401.92,396.7,397.9,397.9,29387402,0.0,1.0,MSFT
2025-02-24,408.51,409.37,399.32,404.0,404.0,26443656,0.0,1.0,MSFT
2025-02-21,417.34,418.05,407.89,408.21,408.21,27524799,0.0,1.0,MSFT
2025-02-20,415.29,419.31,412.54,416.13,416.13,23508728,0.83,1.0,MSFT
2025-02-19,407.07,414.66,406.84,413.94,413.94,24114197,0.0,1.0,MSFT
2025-02-18,407.19,409.78,405.69,408.82,408.82,21423051,0.0,1.0,MSFT
2025-02-14,406.98,408.1,405.07,407.62,407.62,22758464,0.0,1.0,MSFT
2025-02-13,406.19,410.18,405.55,409.72,409.72,23891731,0.0,1.0,MSFT
2025-02-12,406.4,409.93,403.56,408.23,408.23,19121734,0.0,1.0,MSFT
2025-02-11,408.82,411.67,408.49,410.62,410.62,18140592,0.0,1.0,MSFT
2025-02-10,412.89,414.64,410.1,411.4,411.4,20817919,0.0,1.0,MSFT
2025-02-07,415.65,417.82,407.29,408.93,408.93,22886844,0.0,1.0,MSFT
2025-02-06,413.18,417.37,413.18,414.99,414.99,16309755,0.0,1.0,MSFT
2025-02-05,411.53,413.0,409.58,412.47,412.47,16336188,0.0,1.0,MSFT
2025-02-04,411.86,413.1,408.92,411.55,411.55,20532096,0.0,1.0,MSFT
2025-02-03,410.78,414.58,407.85,410.1,410.1,25679149,0.0,1.0,MSFT
2025-01-31,418.15,419.85,414.08,414.23,414.23,34223388,0.0,1.0,MSFT
2025-01-30,417.94,422.02,412.34,414.16,414.16,54586260,0.0,1.0,MSFT
2025-01-29,445.8,445.99,439.52,441.45,441.45,23581370,0.0,1.0,MSFT
2025-01-28,433.73,447.49,430.52,446.31,446.31,23491703,0.0,1.0,MSFT
2025-01-27,423.17,434.33,422.66,433.69,433.69,35647805,0.0,1.0,MSFT
2025-01-24,444.27,445.76,440.52,443.18,443.18,15549453,0.0,1.0,MSFT
