date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,thscode
2025-04-29,57.0,57.74,56.74,57.54,57.54,12967953,0.0,1.0,NKE
2025-04-28,57.73,58.08,56.8,57.31,57.31,13321243,0.0,1.0,NKE
2025-04-25,58.21,58.25,56.61,57.62,57.62,17156010,0.0,1.0,NKE
2025-04-24,57.81,58.7,57.13,58.48,58.48,14508545,0.0,1.0,NKE
2025-04-23,59.0,59.2,56.7,57.39,57.39,21660323,0.0,1.0,NKE
2025-04-22,56.65,58.09,56.24,57.06,57.06,16852242,0.0,1.0,NKE
2025-04-21,55.23,56.36,53.5,56.12,56.12,17280931,0.0,1.0,NKE
2025-04-17,53.82,56.02,53.65,55.76,55.76,18935084,0.0,1.0,NKE
2025-04-16,54.72,55.15,53.34,53.55,53.55,19094887,0.0,1.0,NKE
2025-04-15,54.68,55.39,54.17,54.83,54.83,15977116,0.0,1.0,NKE
2025-04-14,55.64,56.69,54.67,55.41,55.41,28346563,0.0,1.0,NKE
2025-04-11,54.4,55.03,52.86,54.39,54.39,22617097,0.0,1.0,NKE
2025-04-10,57.22,57.25,52.28,54.4,54.4,53919806,0.0,1.0,NKE
2025-04-09,53.28,59.55,52.48,59.32,59.32,44732546,0.0,1.0,NKE
2025-04-08,58.77,58.77,52.37,53.27,53.27,30404286,0.0,1.0,NKE
2025-04-07,55.4,57.18,53.4,55.61,55.61,45374363,0.0,1.0,NKE
2025-04-04,53.22,59.22,52.5,57.25,57.25,67775713,0.0,1.0,NKE
2025-04-03,56.36,58.68,55.4,55.58,55.58,71499470,0.0,1.0,NKE
2025-04-02,64.3,65.4,64.16,64.96,64.96,11161370,0.0,1.0,NKE
2025-04-01,63.83,65.16,63.3,64.76,64.76,13489490,0.0,1.0,NKE
2025-03-31,62.84,63.99,62.65,63.48,63.48,17400033,0.0,1.0,NKE
2025-03-28,65.86,65.86,63.14,63.29,63.29,19600295,0.0,1.0,NKE
2025-03-27,65.5,67.1,65.29,65.8,65.8,16435817,0.0,1.0,NKE
2025-03-26,66.38,66.59,64.95,65.74,65.74,18715879,0.0,1.0,NKE
2025-03-25,67.56,68.05,66.24,66.54,66.54,17394137,0.0,1.0,NKE
2025-03-24,68.56,68.89,66.68,67.39,67.39,26552536,0.0,1.0,NKE
2025-03-21,66.59,68.73,65.17,67.94,67.94,77286988,0.0,1.0,NKE
2025-03-20,72.92,73.65,71.52,71.86,71.86,25202340,0.0,1.0,NKE
2025-03-19,72.64,73.43,72.29,72.99,72.99,10830529,0.0,1.0,NKE
2025-03-18,73.89,74.16,72.72,73.31,73.31,8972330,0.0,1.0,NKE
2025-03-17,72.14,73.95,72.03,73.7,73.7,15996906,0.0,1.0,NKE
2025-03-14,73.28,73.54,71.32,71.66,71.66,12182970,0.0,1.0,NKE
2025-03-13,73.18,73.94,71.67,72.64,72.64,10195919,0.0,1.0,NKE
2025-03-12,74.36,74.5,73.23,73.58,73.58,12304889,0.0,1.0,NKE
2025-03-11,75.91,76.08,73.62,74.17,74.17,12836967,0.0,1.0,NKE
2025-03-10,77.51,80.19,76.06,76.4,76.4,15739433,0.0,1.0,NKE
2025-03-07,77.48,79.0,76.97,78.59,78.59,9294295,0.0,1.0,NKE
2025-03-06,76.74,78.33,76.74,77.71,77.71,9623722,0.0,1.0,NKE
2025-03-05,77.33,78.31,76.46,77.81,77.81,9853600,0.0,1.0,NKE
2025-03-04,77.7,78.65,76.78,77.32,77.32,10034126,0.0,1.0,NKE
2025-03-03,79.99,80.96,77.89,78.41,78.41,8628754,0.4,1.0,NKE
2025-02-28,78.85,79.61,77.78,79.03,79.03,14113830,0.0,1.0,NKE
2025-02-27,81.08,81.08,79.06,79.61,79.61,11651915,0.0,1.0,NKE
