date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,thscode
2025-05-02,1.41,1.42,1.35,1.39,1.39,2508171,0.0,1.0,SNDL
2025-05-01,1.45,1.45,1.35,1.41,1.41,4074043,0.0,1.0,SNDL
2025-04-30,1.47,1.53,1.44,1.49,1.49,2152661,0.0,1.0,SNDL
2025-04-29,1.47,1.5,1.44,1.48,1.48,911368,0.0,1.0,SNDL
2025-04-28,1.5,1.53,1.43,1.47,1.47,1094076,0.0,1.0,SNDL
2025-04-25,1.49,1.55,1.48,1.49,1.49,1853066,0.0,1.0,SNDL
2025-04-24,1.42,1.5,1.42,1.48,1.48,1738187,0.0,1.0,SNDL
2025-04-23,1.41,1.44,1.39,1.42,1.42,1028051,0.0,1.0,SNDL
2025-04-22,1.36,1.42,1.36,1.39,1.39,1024206,0.0,1.0,SNDL
2025-04-21,1.39,1.4,1.34,1.36,1.36,1281181,0.0,1.0,SNDL
2025-04-17,1.36,1.4,1.34,1.4,1.4,1050204,0.0,1.0,SNDL
2025-04-16,1.32,1.39,1.31,1.35,1.35,1165861,0.0,1.0,SNDL
2025-04-15,1.32,1.35,1.31,1.33,1.33,948576,0.0,1.0,SNDL
2025-04-14,1.36,1.38,1.3,1.33,1.33,1519826,0.0,1.0,SNDL
2025-04-11,1.36,1.41,1.33,1.36,1.36,939645,0.0,1.0,SNDL
2025-04-10,1.39,1.4,1.33,1.37,1.37,905505,0.0,1.0,SNDL
2025-04-09,1.27,1.41,1.27,1.39,1.39,2099196,0.0,1.0,SNDL
2025-04-08,1.35,1.37,1.26,1.27,1.27,2074381,0.0,1.0,SNDL
2025-04-07,1.31,1.38,1.26,1.33,1.33,2176450,0.0,1.0,SNDL
2025-04-04,1.38,1.38,1.32,1.37,1.37,2616066,0.0,1.0,SNDL
2025-04-03,1.4,1.44,1.38,1.42,1.42,1371528,0.0,1.0,SNDL
2025-04-02,1.44,1.45,1.41,1.44,1.44,923385,0.0,1.0,SNDL
2025-04-01,1.41,1.46,1.4,1.44,1.44,906155,0.0,1.0,SNDL
2025-03-31,1.43,1.44,1.37,1.41,1.41,1384394,0.0,1.0,SNDL
2025-03-28,1.49,1.5,1.43,1.45,1.45,1527355,0.0,1.0,SNDL
2025-03-27,1.48,1.51,1.44,1.5,1.5,3371624,0.0,1.0,SNDL
2025-03-26,1.54,1.55,1.48,1.49,1.49,1670234,0.0,1.0,SNDL
