date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,thscode
2025-04-29,262.18,264.52,260.82,264.05,264.05,868887,0.0,1.0,TRV
2025-04-28,260.13,262.06,259.48,261.61,261.61,937787,0.0,1.0,TRV
2025-04-25,260.01,260.31,255.9,259.16,259.16,1087927,0.0,1.0,TRV
2025-04-24,257.88,261.45,255.38,260.4,260.4,1414293,0.0,1.0,TRV
2025-04-23,260.93,263.42,257.64,259.08,259.08,1778986,0.0,1.0,TRV
2025-04-22,253.37,262.7,252.01,261.31,261.31,1723408,0.0,1.0,TRV
2025-04-21,256.12,258.39,247.81,249.59,249.59,1864420,0.0,1.0,TRV
2025-04-17,253.11,257.51,251.79,255.86,255.86,1682185,0.0,1.0,TRV
2025-04-16,255.79,260.39,251.38,252.48,252.48,2258352,0.0,1.0,TRV
2025-04-15,249.94,252.31,249.07,249.66,249.66,1326485,0.0,1.0,TRV
2025-04-14,248.53,252.27,247.56,250.84,250.84,1017874,0.0,1.0,TRV
2025-04-11,245.17,246.61,240.44,245.13,245.13,1367030,0.0,1.0,TRV
2025-04-10,246.65,248.6,239.42,245.17,245.17,1781965,0.0,1.0,TRV
2025-04-09,231.24,248.71,230.47,248.1,248.1,2424682,0.0,1.0,TRV
2025-04-08,241.85,242.86,233.08,236.53,236.53,2109533,0.0,1.0,TRV
2025-04-07,237.55,243.44,230.43,233.83,233.83,2425831,0.0,1.0,TRV
2025-04-04,257.22,258.01,239.84,242.26,242.26,2472218,0.0,1.0,TRV
2025-04-03,262.57,266.22,260.78,263.1,263.1,1519659,0.0,1.0,TRV
2025-04-02,262.83,265.16,260.73,264.49,264.49,1050201,0.0,1.0,TRV
2025-04-01,265.0,265.39,261.09,264.54,264.54,999861,0.0,1.0,TRV
2025-03-31,261.85,265.76,261.26,264.46,264.46,1548279,0.0,1.0,TRV
2025-03-28,265.51,266.31,261.49,261.79,261.79,1185426,0.0,1.0,TRV
2025-03-27,264.29,264.33,260.12,262.68,262.68,910890,0.0,1.0,TRV
2025-03-26,260.63,263.46,259.42,262.26,262.26,1111506,0.0,1.0,TRV
2025-03-25,260.51,261.76,256.42,259.45,259.45,1136420,0.0,1.0,TRV
2025-03-24,258.82,259.98,256.76,259.44,259.44,1240058,0.0,1.0,TRV
2025-03-21,259.01,260.61,256.39,256.7,256.7,3669228,0.0,1.0,TRV
2025-03-20,260.63,263.24,259.11,259.54,259.54,1418142,0.0,1.0,TRV
