date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,thscode
2025-04-29,421.19,421.75,409.1,409.23,409.23,9909076,0.0,1.0,UNH
2025-04-28,419.75,424.12,415.55,420.0,420.0,6614294,0.0,1.0,UNH
2025-04-25,423.56,423.56,412.02,418.64,418.64,9263777,0.0,1.0,UNH
2025-04-24,427.57,429.9,423.65,424.25,424.25,7629125,0.0,1.0,UNH
2025-04-23,427.07,438.85,423.75,427.96,427.96,8345659,0.0,1.0,UNH
2025-04-22,424.64,431.5,417.12,427.18,427.18,10156865,0.0,1.0,UNH
2025-04-21,449.76,453.5,424.81,425.33,425.33,13029860,0.0,1.0,UNH
2025-04-17,481.95,489.79,447.1,454.11,454.11,29120168,0.0,1.0,UNH
2025-04-16,585.32,594.81,582.96,585.04,585.04,4192093,0.0,1.0,UNH
2025-04-15,592.24,592.86,582.01,583.59,583.59,3871279,0.0,1.0,UNH
2025-04-14,595.0,595.63,579.29,587.06,587.06,4839273,0.0,1.0,UNH
2025-04-11,588.92,606.36,586.53,599.47,599.47,6121458,0.0,1.0,UNH
2025-04-10,580.24,601.88,580.0,594.4,594.4,8645986,0.0,1.0,UNH
2025-04-09,560.14,589.4,554.46,578.5,578.5,12691858,0.0,1.0,UNH
2025-04-08,582.17,585.01,547.46,553.08,553.08,11762283,0.0,1.0,UNH
2025-04-07,513.4,529.2,503.59,524.7,524.7,7356702,0.0,1.0,UNH
2025-04-04,540.64,551.74,524.84,525.05,525.05,9918989,0.0,1.0,UNH
2025-04-03,529.99,548.5,529.29,540.44,540.44,6457925,0.0,1.0,UNH
2025-04-02,522.95,525.0,516.8,523.2,523.2,2378909,0.0,1.0,UNH
2025-04-01,525.74,528.17,520.95,523.12,523.12,2962708,0.0,1.0,UNH
2025-03-31,519.18,528.12,518.59,523.75,523.75,5238670,0.0,1.0,UNH
2025-03-28,516.87,520.98,515.05,516.04,516.04,2379100,0.0,1.0,UNH
2025-03-27,516.28,521.08,512.95,515.72,515.72,2822160,0.0,1.0,UNH
2025-03-26,515.2,522.95,512.85,518.2,518.2,3255026,0.0,1.0,UNH
2025-03-25,518.28,519.0,511.53,513.43,513.43,3015143,0.0,1.0,UNH
2025-03-24,515.08,518.24,511.12,516.5,516.5,3841080,0.0,1.0,UNH
2025-03-21,511.68,519.0,505.09,516.85,516.85,10244942,0.0,1.0,UNH
2025-03-20,505.25,514.39,503.51,511.3,511.3,4965390,0.0,1.0,UNH
2025-03-19,505.04,506.35,500.06,503.2,503.2,3317606,0.0,1.0,UNH
2025-03-18,502.24,505.97,497.82,503.8,503.8,3617629,0.0,1.0,UNH
2025-03-17,487.51,500.61,485.94,499.02,499.02,5152316,0.0,1.0,UNH
2025-03-14,481.0,489.45,478.24,488.65,488.65,3915911,0.0,1.0,UNH
2025-03-13,479.45,484.06,475.0,481.52,481.52,2877044,0.0,1.0,UNH
2025-03-12,483.14,487.6,478.82,481.11,481.11,3681016,0.0,1.0,UNH
2025-03-11,482.5,486.76,477.14,486.04,486.04,4101015,0.0,1.0,UNH
2025-03-10,492.28,497.85,477.71,480.22,480.22,4790405,2.1,1.0,UNH
2025-03-07,481.72,497.74,481.26,491.33,491.33,5434096,0.0,1.0,UNH
2025-03-06,473.93,485.99,469.94,485.6,485.6,4963988,0.0,1.0,UNH
2025-03-05,469.02,476.99,468.96,473.91,473.91,3637102,0.0,1.0,UNH
2025-03-04,467.7,477.12,464.43,472.54,472.54,5864135,0.0,1.0,UNH
2025-03-03,472.3,475.2,463.18,465.02,465.02,5700194,0.0,1.0,UNH
2025-02-28,464.97,474.29,462.46,472.89,472.89,6146326,0.0,1.0,UNH
2025-02-27,464.14,473.33,463.0,466.52,466.52,4216771,0.0,1.0,UNH
2025-02-26,462.63,470.99,456.21,461.57,461.57,5108381,0.0,1.0,UNH
2025-02-25,458.76,468.71,448.11,468.33,468.33,9100970,0.0,1.0,UNH
2025-02-24,464.64,465.96,455.01,459.51,459.51,6919337,0.0,1.0,UNH
2025-02-21,437.64,467.65,436.59,464.39,464.39,19864874,0.0,1.0,UNH
2025-02-20,502.99,506.22,498.06,500.23,500.23,4144301,0.0,1.0,UNH
2025-02-19,499.15,509.63,495.98,508.81,508.81,4380314,0.0,1.0,UNH
2025-02-18,508.72,513.75,494.84,498.55,498.55,8759280,0.0,1.0,UNH
2025-02-14,526.7,530.88,520.63,521.23,521.23,3705326,0.0,1.0,UNH
2025-02-13,528.59,532.0,524.81,528.87,528.87,2835051,0.0,1.0,UNH
2025-02-12,537.5,539.99,523.22,525.1,525.1,3859241,0.0,1.0,UNH
2025-02-11,532.67,545.16,525.96,531.6,531.6,2632107,0.0,1.0,UNH
2025-02-10,525.37,531.83,521.1,531.05,531.05,3143143,0.0,1.0,UNH
2025-02-07,526.9,530.07,523.1,524.74,524.74,3349299,0.0,1.0,UNH
2025-02-06,535.55,536.75,522.98,527.73,527.73,3926829,0.0,1.0,UNH
2025-02-05,528.42,538.35,519.64,537.46,537.46,4621558,0.0,1.0,UNH
2025-02-04,542.83,546.42,539.15,543.08,543.08,2869935,0.0,1.0,UNH
2025-02-03,539.64,551.5,538.71,545.79,545.79,4083572,0.0,1.0,UNH
2025-01-31,540.87,546.77,539.05,540.13,540.13,4120661,0.0,1.0,UNH
2025-01-30,537.12,544.73,532.67,543.19,543.19,2924741,0.0,1.0,UNH
2025-01-29,539.37,541.11,531.68,535.76,535.76,2737638,0.0,1.0,UNH
2025-01-28,540.65,544.12,535.49,540.12,540.12,3162659,0.0,1.0,UNH
2025-01-27,537.63,549.5,537.63,541.15,541.15,4262959,0.0,1.0,UNH
2025-01-24,525.81,532.3,522.23,530.19,530.19,3671163,0.0,1.0,UNH
2025-01-23,525.57,529.17,517.06,527.46,527.46,4580802,0.0,1.0,UNH
