date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,thscode
2025-04-29,338.5,342.27,336.46,341.52,341.52,5519533,0.0,1.0,V
2025-04-28,336.78,339.34,335.02,337.51,337.51,5422903,0.0,1.0,V
2025-04-25,334.76,336.36,332.17,335.17,335.17,4452757,0.0,1.0,V
2025-04-24,333.28,336.77,331.25,335.71,335.71,8055174,0.0,1.0,V
2025-04-23,337.24,341.25,333.2,334.37,334.37,8906235,0.0,1.0,V
2025-04-22,323.86,332.56,322.39,331.4,331.4,5435531,0.0,1.0,V
2025-04-21,329.0,329.15,316.65,320.1,320.1,6362425,0.0,1.0,V
2025-04-17,331.07,334.32,328.44,329.61,329.61,5655943,0.0,1.0,V
2025-04-16,335.0,337.22,328.86,331.33,331.33,5850819,0.0,1.0,V
2025-04-15,336.72,339.39,335.0,335.81,335.81,4386214,0.0,1.0,V
2025-04-14,336.41,339.61,333.14,335.18,335.18,5011779,0.0,1.0,V
2025-04-11,324.43,336.98,322.54,333.4,333.4,6804507,0.0,1.0,V
2025-04-10,328.02,330.16,313.27,324.61,324.61,8709762,0.0,1.0,V
2025-04-09,305.64,334.03,305.64,332.43,332.43,11361801,0.0,1.0,V
2025-04-08,322.24,326.28,303.93,308.27,308.27,9569298,0.0,1.0,V
2025-04-07,302.07,322.18,299.0,312.32,312.32,12163443,0.0,1.0,V
2025-04-04,330.0,334.65,312.12,313.13,313.13,13201735,0.0,1.0,V
2025-04-03,333.9,344.74,331.0,339.39,339.39,8792873,0.0,1.0,V
2025-04-02,343.44,348.2,343.05,346.33,346.33,5682521,0.0,1.0,V
2025-04-01,350.44,350.45,342.57,346.35,346.35,7473329,0.0,1.0,V
2025-03-31,339.35,351.86,334.49,350.46,350.46,9950762,0.0,1.0,V
2025-03-28,349.19,351.62,341.6,342.85,342.85,5687616,0.0,1.0,V
2025-03-27,344.0,350.84,343.32,349.86,349.86,7254807,0.0,1.0,V
2025-03-26,345.99,347.38,343.0,344.18,344.18,6187574,0.0,1.0,V
2025-03-25,344.56,345.53,340.67,344.62,344.62,3931161,0.0,1.0,V
2025-03-24,338.65,345.22,337.65,343.87,343.87,5675111,0.0,1.0,V
2025-03-21,337.37,339.43,335.52,335.66,335.66,17279673,0.0,1.0,V
2025-03-20,339.0,342.24,337.66,339.5,339.5,5432675,0.0,1.0,V
2025-03-19,336.8,341.03,334.5,339.87,339.87,5615204,0.0,1.0,V
2025-03-18,335.29,335.8,332.3,334.77,334.77,7778631,0.0,1.0,V
2025-03-17,330.03,336.11,329.76,334.55,334.55,6149652,0.0,1.0,V
2025-03-14,327.21,332.77,326.38,331.8,331.8,7810970,0.0,1.0,V
2025-03-13,330.99,336.2,327.7,328.55,328.55,7915323,0.0,1.0,V
2025-03-12,335.97,336.16,329.11,332.84,332.84,6295394,0.0,1.0,V
2025-03-11,338.41,339.61,329.58,332.14,332.14,9776072,0.0,1.0,V
2025-03-10,339.94,345.01,337.64,341.48,341.48,8190091,0.0,1.0,V
2025-03-07,340.87,346.39,339.14,345.32,345.32,6358901,0.0,1.0,V
2025-03-06,345.96,348.87,340.39,344.16,344.16,8611119,0.0,1.0,V
2025-03-05,350.83,354.11,348.94,352.68,352.68,8244242,0.0,1.0,V
2025-03-04,360.11,360.27,350.4,352.23,352.23,8955804,0.0,1.0,V
2025-03-03,363.0,366.54,359.54,361.82,361.82,9099607,0.0,1.0,V
2025-02-28,354.71,364.0,353.71,362.71,362.71,15857344,0.0,1.0,V
2025-02-27,351.9,360.31,351.68,355.74,355.74,7298114,0.0,1.0,V
2025-02-26,350.0,351.83,348.99,350.63,350.63,5960603,0.0,1.0,V
2025-02-25,351.37,352.59,346.0,352.09,352.09,6191949,0.0,1.0,V
2025-02-24,348.76,350.8,347.36,349.86,349.86,5055927,0.0,1.0,V
2025-02-21,350.49,353.32,347.48,348.53,348.53,6924127,0.0,1.0,V
2025-02-20,355.23,356.13,349.06,350.49,350.49,5697023,0.0,1.0,V
2025-02-19,356.02,357.15,354.18,355.23,355.23,4152269,0.0,1.0,V
2025-02-18,353.69,356.74,352.4,356.73,356.73,5822034,0.0,1.0,V
2025-02-14,354.43,355.43,353.22,353.81,353.81,5720285,0.0,1.0,V
2025-02-13,353.12,356.08,350.73,355.63,355.63,4279581,0.0,1.0,V
2025-02-12,349.16,351.83,347.49,351.49,351.49,6760066,0.0,1.0,V
2025-02-11,348.3,352.12,346.25,350.72,350.72,5154783,0.59,1.0,V
2025-02-10,348.11,351.31,347.12,350.64,350.64,6067002,0.0,1.0,V
2025-02-07,347.42,350.16,346.63,347.44,347.44,4261612,0.0,1.0,V
2025-02-06,349.19,350.06,346.02,346.9,346.9,4294541,0.0,1.0,V
2025-02-05,345.42,348.89,344.67,348.85,348.85,4939090,0.0,1.0,V
2025-02-04,344.02,345.43,341.96,344.57,344.57,5532573,0.0,1.0,V
2025-02-03,339.43,345.42,338.67,345.24,345.24,8004548,0.0,1.0,V
2025-01-31,345.89,350.66,341.14,341.23,341.23,8628071,0.0,1.0,V
2025-01-30,338.94,343.86,338.43,342.47,342.47,8081262,0.0,1.0,V
2025-01-29,333.94,336.54,333.94,335.32,335.32,5087286,0.0,1.0,V
2025-01-28,334.11,337.26,332.33,333.92,333.92,5999623,0.0,1.0,V
2025-01-27,329.45,334.93,327.5,333.98,333.98,6636541,0.0,1.0,V
2025-01-24,327.47,330.53,327.25,329.65,329.65,4327755,0.0,1.0,V
2025-01-23,323.22,327.96,323.03,327.66,327.66,5297085,0.0,1.0,V
2025-01-22,324.22,325.19,321.84,323.02,323.02,5026478,0.0,1.0,V
2025-01-21,319.77,324.03,319.46,323.09,323.09,5653341,0.0,1.0,V
2025-01-17,316.97,320.05,316.18,319.08,319.08,5805810,0.0,1.0,V
2025-01-16,315.22,318.64,315.22,316.72,316.72,4606670,0.0,1.0,V
2025-01-15,313.15,316.65,312.6,315.75,315.75,5222278,0.0,1.0,V
2025-01-14,308.23,309.64,307.0,308.57,308.57,5107901,0.0,1.0,V
2025-01-13,304.49,306.4,303.33,306.4,306.4,9568727,0.0,1.0,V
2025-01-10,310.68,311.33,305.48,307.19,307.19,6660255,0.0,1.0,V
2025-01-08,310.48,313.51,309.69,312.08,312.08,5161601,0.0,1.0,V
2025-01-07,312.36,314.66,310.8,311.15,311.15,4958641,0.0,1.0,V
2025-01-06,314.48,314.86,311.55,312.51,312.51,6567336,0.0,1.0,V
2025-01-03,313.65,315.39,311.49,314.38,314.38,4271845,0.0,1.0,V
