date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,thscode
2025-04-29,42.31,43.01,42.23,42.95,42.95,14712785,0.0,1.0,VZ
2025-04-28,42.0,42.48,41.86,42.39,42.39,16188466,0.0,1.0,VZ
2025-04-25,42.53,42.65,41.34,41.91,41.91,23361868,0.0,1.0,VZ
2025-04-24,42.71,43.13,42.48,42.81,42.81,16597268,0.0,1.0,VZ
2025-04-23,42.55,42.99,42.11,42.7,42.7,29402093,0.0,1.0,VZ
2025-04-22,41.99,43.67,41.54,43.19,43.19,37633814,0.0,1.0,VZ
2025-04-21,44.2,44.29,42.68,42.93,42.93,23802544,0.0,1.0,VZ
2025-04-17,43.76,44.48,43.58,44.04,44.04,16504842,0.0,1.0,VZ
2025-04-16,44.74,44.89,43.52,43.61,43.61,17271623,0.0,1.0,VZ
2025-04-15,44.5,44.68,44.22,44.48,44.48,21795311,0.0,1.0,VZ
2025-04-14,43.9,44.65,43.61,44.3,44.3,24322951,0.0,1.0,VZ
2025-04-11,43.85,43.9,43.1,43.73,43.73,30144342,0.0,1.0,VZ
2025-04-10,42.49,43.24,41.85,42.92,42.92,36501740,0.6775,1.0,VZ
2025-04-09,41.03,42.84,40.24,42.22,42.22,49426024,0.0,1.0,VZ
2025-04-08,42.33,42.54,41.03,41.51,41.51,29790184,0.0,1.0,VZ
2025-04-07,40.88,42.66,40.61,41.92,41.92,38811994,0.0,1.0,VZ
2025-04-04,44.06,45.09,42.14,42.36,42.36,42663375,0.0,1.0,VZ
2025-04-03,44.78,45.47,44.5,44.91,44.91,30474829,0.0,1.0,VZ
2025-04-02,44.66,44.83,43.9,44.04,44.04,21924094,0.0,1.0,VZ
2025-04-01,44.78,44.89,44.42,44.67,44.67,15710799,0.0,1.0,VZ
2025-03-31,44.6,45.09,44.43,44.66,44.66,27786946,0.0,1.0,VZ
2025-03-28,44.42,44.64,44.18,44.23,44.23,19530559,0.0,1.0,VZ
2025-03-27,43.79,44.55,43.63,44.26,44.26,21905160,0.0,1.0,VZ
2025-03-26,43.03,43.64,42.89,43.49,43.49,21698407,0.0,1.0,VZ
2025-03-25,42.82,43.15,42.48,42.81,42.81,21483244,0.0,1.0,VZ
2025-03-24,42.95,43.45,42.85,42.88,42.88,18050016,0.0,1.0,VZ
2025-03-21,43.11,43.55,42.84,43.31,43.31,68445518,0.0,1.0,VZ
2025-03-20,43.28,43.28,42.7,43.07,43.07,18109265,0.0,1.0,VZ
2025-03-19,43.61,43.63,43.04,43.26,43.26,14373277,0.0,1.0,VZ
2025-03-18,43.04,43.74,42.84,43.54,43.54,16254396,0.0,1.0,VZ
2025-03-17,42.91,43.14,42.42,42.97,42.97,15560924,0.0,1.0,VZ
2025-03-14,42.49,43.08,42.34,42.89,42.89,17432087,0.0,1.0,VZ
2025-03-13,42.1,43.13,42.1,43.03,43.03,30708583,0.0,1.0,VZ
2025-03-12,41.45,42.22,40.53,41.93,41.93,49650796,0.0,1.0,VZ
2025-03-11,42.57,43.23,41.98,42.76,42.76,64142308,0.0,1.0,VZ
2025-03-10,45.34,46.62,45.34,45.77,45.77,39767293,0.0,1.0,VZ
2025-03-07,43.61,45.48,43.61,45.34,45.34,44992096,0.0,1.0,VZ
2025-03-06,42.33,43.63,42.19,43.54,43.54,22845898,0.0,1.0,VZ
2025-03-05,42.12,42.67,41.72,42.17,42.17,18038372,0.0,1.0,VZ
2025-03-04,43.32,43.79,42.15,42.2,42.2,32627504,0.0,1.0,VZ
2025-03-03,42.29,43.19,42.26,43.19,43.19,22333981,0.0,1.0,VZ
2025-02-28,42.76,43.08,41.95,42.43,42.43,25197534,0.0,1.0,VZ
2025-02-27,42.41,42.75,42.22,42.6,42.6,19212253,0.0,1.0,VZ
2025-02-26,42.86,42.97,42.1,42.51,42.51,18651414,0.0,1.0,VZ
2025-02-25,42.9,43.29,42.82,43.03,43.03,24356924,0.0,1.0,VZ
2025-02-24,42.09,42.95,41.91,42.65,42.65,27560550,0.0,1.0,VZ
2025-02-21,41.77,42.56,41.51,42.1,42.1,25465139,0.0,1.0,VZ
2025-02-20,41.35,41.87,41.23,41.83,41.83,19771748,0.0,1.0,VZ
2025-02-19,40.71,41.4,40.64,41.36,41.36,21039592,0.0,1.0,VZ
2025-02-18,40.28,40.58,39.98,40.56,40.56,16357712,0.0,1.0,VZ
2025-02-14,40.5,40.65,40.3,40.35,40.35,12438162,0.0,1.0,VZ
2025-02-13,39.98,40.47,39.79,40.4,40.4,17056684,0.0,1.0,VZ
2025-02-12,39.86,39.97,39.53,39.9,39.9,14440250,0.0,1.0,VZ
2025-02-11,39.36,39.89,39.2,39.86,39.86,15182650,0.0,1.0,VZ
2025-02-10,39.4,39.52,39.2,39.33,39.33,16737456,0.0,1.0,VZ
2025-02-07,39.34,39.49,38.96,39.26,39.26,15754822,0.0,1.0,VZ
2025-02-06,39.6,39.66,39.06,39.32,39.32,15370555,0.0,1.0,VZ
2025-02-05,39.51,39.68,39.19,39.51,39.51,16830456,0.0,1.0,VZ
2025-02-04,39.16,39.26,38.98,39.19,39.19,19190176,0.0,1.0,VZ
2025-02-03,38.7,39.5,38.54,39.36,39.36,27967116,0.0,1.0,VZ
2025-01-31,38.96,39.31,38.67,38.78,38.78,45185371,0.0,1.0,VZ
2025-01-30,39.72,39.72,38.55,38.86,38.86,27913473,0.0,1.0,VZ
2025-01-29,40.19,40.24,39.43,39.65,39.65,24238081,0.0,1.0,VZ
2025-01-28,39.97,40.17,39.73,39.77,39.77,21031887,0.0,1.0,VZ
2025-01-27,39.53,40.17,39.43,40.01,40.01,35520268,0.0,1.0,VZ
2025-01-24,39.49,40.05,38.76,38.93,38.93,37123879,0.0,1.0,VZ
2025-01-23,38.63,38.79,38.47,38.57,38.57,25153547,0.0,1.0,VZ
2025-01-22,38.28,38.73,37.99,38.34,38.34,31488927,0.0,1.0,VZ
2025-01-21,38.27,38.96,38.19,38.41,38.41,25717600,0.0,1.0,VZ
2025-01-17,37.82,38.36,37.75,38.18,38.18,24082097,0.0,1.0,VZ
2025-01-16,37.54,37.74,37.35,37.74,37.74,24678306,0.0,1.0,VZ
2025-01-15,37.7,37.99,37.48,37.59,37.59,27817068,0.0,1.0,VZ
2025-01-14,37.73,37.75,37.24,37.69,37.69,15740091,0.0,1.0,VZ
2025-01-13,37.35,37.56,37.15,37.53,37.53,19734037,0.0,1.0,VZ
2025-01-10,37.59,37.64,37.0,37.22,37.22,27338366,0.6775,1.0,VZ
2025-01-08,37.63,37.71,37.17,37.66,37.66,22901604,0.0,1.0,VZ
2025-01-07,38.4,38.67,37.55,37.64,37.64,31517083,0.0,1.0,VZ
2025-01-06,38.97,39.0,38.28,38.31,38.31,27115031,0.0,1.0,VZ
2025-01-03,38.99,39.29,38.79,38.94,38.94,15229858,0.0,1.0,VZ
2025-01-02,38.71,39.23,38.67,38.89,38.89,22470163,0.0,1.0,VZ
2024-12-31,38.34,38.71,38.25,38.68,38.68,13549928,0.0,1.0,VZ
2024-12-30,38.49,38.53,38.1,38.3,38.3,15671981,0.0,1.0,VZ
2024-12-27,38.55,38.84,38.35,38.61,38.61,15168115,0.0,1.0,VZ
2024-12-26,38.52,38.85,38.43,38.65,38.65,12953131,0.0,1.0,VZ
2024-12-24,38.59,38.65,38.17,38.49,38.49,11712157,0.0,1.0,VZ
2024-12-23,38.62,38.81,38.52,38.63,38.63,21292339,0.0,1.0,VZ
2024-12-20,38.62,39.06,38.61,38.62,38.62,47590856,0.0,1.0,VZ
2024-12-19,38.73,39.13,38.62,38.66,38.66,17859081,0.0,1.0,VZ
2024-12-18,39.36,39.7,38.89,38.92,38.92,19199573,0.0,1.0,VZ
2024-12-17,39.32,39.77,39.18,39.44,39.44,15374043,0.0,1.0,VZ
2024-12-16,40.77,40.86,39.47,39.54,39.54,30228310,0.0,1.0,VZ
2024-12-13,40.62,41.01,40.44,40.89,40.89,13360403,0.0,1.0,VZ
2024-12-12,40.68,40.77,40.44,40.7,40.7,11232270,0.0,1.0,VZ
2024-12-11,40.8,41.06,40.51,40.61,40.61,13986063,0.0,1.0,VZ
2024-12-10,40.98,41.24,40.69,40.91,40.91,16337172,0.0,1.0,VZ
2024-12-09,41.07,41.68,40.77,40.97,40.97,15570295,0.0,1.0,VZ
2024-12-06,41.13,41.27,40.63,40.98,40.98,15685870,0.0,1.0,VZ
2024-12-05,41.19,41.46,41.12,41.15,41.15,16176866,0.0,1.0,VZ
2024-12-04,42.29,42.34,41.01,41.12,41.12,21431616,0.0,1.0,VZ
2024-12-03,42.47,42.96,42.26,42.39,42.39,15415896,0.0,1.0,VZ
2024-12-02,42.81,42.86,42.09,42.41,42.41,12783890,0.0,1.0,VZ
2024-11-29,42.92,43.06,42.6,42.88,42.88,9023148,0.0,1.0,VZ
2024-11-27,43.02,43.26,42.91,42.92,42.92,12372354,0.0,1.0,VZ
2024-11-26,42.53,43.04,42.31,42.91,42.91,17247031,0.0,1.0,VZ
2024-11-25,41.92,42.6,41.89,42.53,42.53,28365883,0.0,1.0,VZ
2024-11-22,41.2,41.91,40.94,41.73,41.73,17017421,0.0,1.0,VZ
2024-11-21,40.83,41.34,40.62,41.1,41.1,12534057,0.0,1.0,VZ
2024-11-20,40.62,40.89,40.38,40.83,40.83,14706508,0.0,1.0,VZ
2024-11-19,40.82,40.84,40.43,40.55,40.55,10520611,0.0,1.0,VZ
2024-11-18,40.3,41.18,40.3,40.86,40.86,17409010,0.0,1.0,VZ
2024-11-15,39.46,40.4,39.46,40.28,40.28,21482452,0.0,1.0,VZ
2024-11-14,39.79,39.9,39.52,39.53,39.53,13636571,0.0,1.0,VZ
2024-11-13,39.07,40.04,38.99,39.79,39.79,19953509,0.0,1.0,VZ
2024-11-12,39.17,39.27,38.76,39.07,39.07,16984576,0.0,1.0,VZ
2024-11-11,39.14,39.54,39.08,39.11,39.11,17116413,0.0,1.0,VZ
2024-11-08,39.4,39.51,39.09,39.15,39.15,21305883,0.0,1.0,VZ
2024-11-07,39.73,39.84,39.18,39.24,39.24,24225531,0.0,1.0,VZ
2024-11-06,40.08,40.3,39.58,39.81,39.81,21957071,0.0,1.0,VZ
2024-11-05,39.66,39.91,39.49,39.9,39.9,12322777,0.0,1.0,VZ
2024-11-04,40.28,40.4,39.56,39.71,39.71,14760870,0.0,1.0,VZ
2024-11-01,40.74,40.96,39.94,40.0,40.0,16682363,0.0,1.0,VZ
2024-10-31,39.9,41.25,39.89,40.75,40.75,31077938,0.0,1.0,VZ
2024-10-30,39.97,40.15,39.77,39.92,39.92,16372594,0.0,1.0,VZ
