date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,thscode
2025-04-29,94.84,96.18,94.42,96.04,96.04,12679025,0.0,1.0,WMT
2025-04-28,95.1,96.0,94.34,95.22,95.22,12950000,0.0,1.0,WMT
2025-04-25,95.8,96.47,94.36,95.09,95.09,15317220,0.0,1.0,WMT
2025-04-24,94.71,96.22,93.66,95.84,95.84,13444528,0.0,1.0,WMT
2025-04-23,95.02,96.6,94.16,94.96,94.96,18046886,0.0,1.0,WMT
2025-04-22,92.88,95.29,92.88,94.85,94.85,15407774,0.0,1.0,WMT
2025-04-21,93.02,94.08,91.34,92.41,92.41,18361208,0.0,1.0,WMT
2025-04-17,91.83,93.87,91.62,93.22,93.22,21393917,0.0,1.0,WMT
2025-04-16,94.0,94.3,90.61,91.19,91.19,22229105,0.0,1.0,WMT
2025-04-15,94.82,96.03,93.87,93.97,93.97,21871213,0.0,1.0,WMT
2025-04-14,93.27,95.44,92.9,94.73,94.73,27742915,0.0,1.0,WMT
2025-04-11,90.68,93.35,90.01,92.8,92.8,25508136,0.0,1.0,WMT
2025-04-10,88.73,91.87,88.16,90.61,90.61,34735323,0.0,1.0,WMT
2025-04-09,83.32,90.8,83.02,89.6,89.6,46632755,0.0,1.0,WMT
2025-04-08,85.85,86.96,81.03,81.79,81.79,34351744,0.0,1.0,WMT
2025-04-07,80.24,86.26,79.81,83.83,83.83,36884944,0.0,1.0,WMT
2025-04-04,85.64,87.39,82.65,83.19,83.19,36209015,0.0,1.0,WMT
2025-04-03,86.28,89.88,86.28,87.26,87.26,33012927,0.0,1.0,WMT
2025-04-02,88.2,90.14,88.12,89.76,89.76,19384137,0.0,1.0,WMT
2025-04-01,87.54,89.11,87.37,88.83,88.83,22080252,0.0,1.0,WMT
2025-03-31,84.76,88.2,84.37,87.79,87.79,30269313,0.0,1.0,WMT
2025-03-28,85.43,85.83,84.7,85.15,85.15,14790567,0.0,1.0,WMT
2025-03-27,84.78,86.11,84.78,85.63,85.63,16782807,0.0,1.0,WMT
2025-03-26,85.19,85.56,84.57,85.21,85.21,27241495,0.0,1.0,WMT
2025-03-25,86.76,87.3,84.62,84.76,84.76,27908573,0.0,1.0,WMT
2025-03-24,86.47,87.65,86.35,87.49,87.49,17900732,0.0,1.0,WMT
2025-03-21,85.28,86.23,84.78,85.98,85.98,26797178,0.235,1.0,WMT
2025-03-20,85.58,86.84,85.28,85.58,85.58,18185506,0.0,1.0,WMT
2025-03-19,85.72,86.55,85.39,86.09,86.09,24555857,0.0,1.0,WMT
2025-03-18,87.2,87.44,85.27,85.36,85.36,17850930,0.0,1.0,WMT
2025-03-17,84.9,87.75,84.75,87.22,87.22,26297768,0.0,1.0,WMT
2025-03-14,84.73,85.14,83.83,85.12,85.12,35500647,0.0,1.0,WMT
2025-03-13,84.71,85.22,83.64,84.27,84.27,31507753,0.0,1.0,WMT
2025-03-12,87.64,88.86,84.65,84.97,84.97,33301609,0.0,1.0,WMT
2025-03-11,87.05,89.1,86.9,87.2,87.2,28687586,0.0,1.0,WMT
2025-03-10,89.52,89.98,86.37,87.58,87.58,35029553,0.0,1.0,WMT
2025-03-07,93.68,93.69,90.51,91.47,91.47,35913156,0.0,1.0,WMT
2025-03-06,94.54,95.93,93.93,94.38,94.38,19957804,0.0,1.0,WMT
2025-03-05,94.71,96.13,94.49,95.72,95.72,17638956,0.0,1.0,WMT
2025-03-04,95.5,96.79,94.2,94.71,94.71,25227673,0.0,1.0,WMT
2025-03-03,97.71,99.22,96.56,97.32,97.32,18372193,0.0,1.0,WMT
2025-02-28,97.52,98.59,96.91,98.34,98.34,25451260,0.0,1.0,WMT
2025-02-27,95.64,97.77,95.55,96.53,96.53,16431469,0.0,1.0,WMT
2025-02-26,97.43,98.46,95.81,95.94,95.94,19069721,0.0,1.0,WMT
2025-02-25,94.09,97.64,93.98,97.42,97.42,29331188,0.0,1.0,WMT
2025-02-24,93.92,94.38,91.87,93.41,93.41,29755875,0.0,1.0,WMT
2025-02-21,96.27,96.59,93.86,94.52,94.52,35014806,0.0,1.0,WMT
2025-02-20,98.51,99.85,96.42,96.95,96.95,55450924,0.0,1.0,WMT
2025-02-19,103.57,103.92,102.27,103.72,103.72,18507981,0.0,1.0,WMT
2025-02-18,103.44,103.71,102.23,103.5,103.5,18247314,0.0,1.0,WMT
2025-02-14,105.01,105.01,103.32,103.76,103.76,14109460,0.0,1.0,WMT
2025-02-13,103.72,104.95,103.25,104.76,104.76,12604413,0.0,1.0,WMT
2025-02-12,101.84,103.62,101.76,103.33,103.33,15162125,0.0,1.0,WMT
2025-02-11,102.34,102.57,101.57,102.19,102.19,11953632,0.0,1.0,WMT
2025-02-10,101.67,102.65,100.97,102.64,102.64,15274644,0.0,1.0,WMT
2025-02-07,102.72,102.83,100.83,100.87,100.87,12451072,0.0,1.0,WMT
2025-02-06,102.25,102.74,101.66,102.57,102.57,13088467,0.0,1.0,WMT
2025-02-05,100.38,102.3,100.27,102.18,102.18,15926717,0.0,1.0,WMT
2025-02-04,99.7,100.67,99.42,100.5,100.5,15201194,0.0,1.0,WMT
2025-02-03,96.51,99.52,96.21,99.27,99.27,20484152,0.0,1.0,WMT
2025-01-31,98.73,98.73,97.43,97.89,97.89,16413893,0.0,1.0,WMT
2025-01-30,97.42,98.66,97.15,98.38,98.38,11012220,0.0,1.0,WMT
2025-01-29,97.16,97.9,96.96,97.23,97.23,11261444,0.0,1.0,WMT
2025-01-28,96.96,97.57,96.46,97.02,97.02,14641621,0.0,1.0,WMT
2025-01-27,95.64,97.19,94.56,97.13,97.13,18880614,0.0,1.0,WMT
2025-01-24,93.29,94.75,93.2,94.5,94.5,14973773,0.0,1.0,WMT
2025-01-23,92.71,93.55,92.07,93.55,93.55,14198438,0.0,1.0,WMT
2025-01-22,93.51,93.74,92.27,92.98,92.98,15567057,0.0,1.0,WMT
2025-01-21,92.23,93.98,92.06,92.83,92.83,23247451,0.0,1.0,WMT
2025-01-17,91.82,92.01,90.8,91.69,91.69,15868213,0.0,1.0,WMT
2025-01-16,91.25,91.47,89.87,91.05,91.05,13267723,0.0,1.0,WMT
2025-01-15,90.82,91.47,90.56,91.09,91.09,17348174,0.0,1.0,WMT
2025-01-14,91.61,91.73,90.32,90.54,90.54,13549159,0.0,1.0,WMT
2025-01-13,91.87,92.18,90.85,91.28,91.28,18617077,0.0,1.0,WMT
2025-01-10,92.24,93.32,91.95,92.75,92.75,18140864,0.0,1.0,WMT
2025-01-08,90.86,91.59,90.57,91.55,91.55,13453627,0.0,1.0,WMT
2025-01-07,91.45,91.69,90.2,90.56,90.56,11238044,0.0,1.0,WMT
2025-01-06,90.58,92.22,90.42,91.18,91.18,14519858,0.0,1.0,WMT
2025-01-03,89.9,91.05,89.89,90.53,90.53,10834630,0.0,1.0,WMT
2025-01-02,89.73,90.35,89.28,89.75,89.75,14820438,0.0,1.0,WMT
2024-12-31,90.32,90.69,89.81,90.1,90.1,11267652,0.0,1.0,WMT
2024-12-30,90.48,90.82,89.88,90.32,90.32,9790196,0.0,1.0,WMT
2024-12-27,91.88,92.1,90.78,91.41,91.41,11384359,0.0,1.0,WMT
2024-12-26,92.29,92.62,91.92,92.54,92.54,10997611,0.0,1.0,WMT
2024-12-24,90.12,92.43,90.1,92.43,92.43,8992427,0.0,1.0,WMT
2024-12-23,91.25,91.25,88.67,90.1,90.1,26205379,0.0,1.0,WMT
2024-12-20,92.76,93.49,91.38,91.99,91.99,49350586,0.0,1.0,WMT
2024-12-19,94.22,94.31,93.11,93.15,93.15,16606501,0.0,1.0,WMT
2024-12-18,95.08,95.63,92.88,93.3,93.3,24665600,0.0,1.0,WMT
2024-12-17,94.88,95.23,94.06,95.16,95.16,23560821,0.0,1.0,WMT
2024-12-16,94.16,95.44,93.85,94.61,94.61,16741989,0.0,1.0,WMT
2024-12-13,93.54,94.42,92.79,93.99,93.99,11495854,0.2075,1.0,WMT
2024-12-12,95.21,95.24,93.63,93.63,93.63,14298626,0.0,1.0,WMT
2024-12-11,94.08,95.22,94.04,94.49,94.49,19682085,0.0,1.0,WMT
2024-12-10,93.59,94.77,93.31,94.09,94.09,13164487,0.0,1.0,WMT
2024-12-09,95.19,95.47,93.14,93.37,93.37,20931082,0.0,1.0,WMT
2024-12-06,95.07,95.71,94.86,95.23,95.23,18803499,0.0,1.0,WMT
2024-12-05,94.42,95.13,93.88,94.83,94.83,21932325,0.0,1.0,WMT
2024-12-04,92.99,94.05,92.59,93.99,93.99,17312575,0.0,1.0,WMT
2024-12-03,92.32,93.13,91.81,93.05,93.05,17775226,0.0,1.0,WMT
2024-12-02,92.36,92.53,91.5,92.18,92.18,17172953,0.0,1.0,WMT
2024-11-29,91.81,92.18,91.37,92.05,92.05,11041178,0.0,1.0,WMT
2024-11-27,91.55,91.8,90.86,91.43,91.43,14358861,0.0,1.0,WMT
2024-11-26,89.45,91.43,89.4,90.86,90.86,16657022,0.0,1.0,WMT
2024-11-25,90.06,90.5,88.62,89.06,89.06,25078633,0.0,1.0,WMT
2024-11-22,88.97,90.46,88.49,90.0,90.0,23990645,0.0,1.0,WMT
2024-11-21,87.02,88.2,86.5,87.96,87.96,18729222,0.0,1.0,WMT
2024-11-20,86.17,86.77,85.49,86.75,86.75,18183193,0.0,1.0,WMT
2024-11-19,85.81,87.86,85.49,86.17,86.17,36340856,0.0,1.0,WMT
2024-11-18,84.4,84.43,83.25,83.67,83.67,25278121,0.0,1.0,WMT
2024-11-15,84.11,84.36,83.53,83.84,83.84,17370602,0.0,1.0,WMT
2024-11-14,84.61,85.34,83.93,84.05,84.05,15740732,0.0,1.0,WMT
2024-11-13,84.57,85.37,84.35,85.08,85.08,12802622,0.0,1.0,WMT
2024-11-12,84.08,85.11,84.08,84.57,84.57,12860194,0.0,1.0,WMT
2024-11-11,84.53,84.99,83.71,83.8,83.8,10433166,0.0,1.0,WMT
2024-11-08,83.87,85.0,83.82,84.41,84.41,14396543,0.0,1.0,WMT
2024-11-07,83.31,83.98,83.01,83.44,83.44,12665777,0.0,1.0,WMT
2024-11-06,84.72,85.12,81.66,83.03,83.03,19974038,0.0,1.0,WMT
2024-11-05,82.27,83.36,82.1,83.27,83.27,10612489,0.0,1.0,WMT
2024-11-04,81.8,82.5,81.6,82.04,82.04,11731043,0.0,1.0,WMT
2024-11-01,82.12,82.12,81.14,81.79,81.79,12181833,0.0,1.0,WMT
2024-10-31,80.89,82.03,80.82,81.55,81.55,15538968,0.0,1.0,WMT
2024-10-30,81.2,81.43,80.9,80.99,80.99,9268824,0.0,1.0,WMT
2024-10-29,82.26,82.45,81.26,81.3,81.3,9682403,0.0,1.0,WMT
2024-10-28,82.34,82.67,82.06,82.34,82.34,7990186,0.0,1.0,WMT
2024-10-25,82.79,82.89,82.03,82.1,82.1,8959412,0.0,1.0,WMT
2024-10-24,82.55,82.91,82.17,82.63,82.63,11645856,0.0,1.0,WMT
2024-10-23,81.49,82.93,81.4,82.86,82.86,13058244,0.0,1.0,WMT
2024-10-22,80.71,81.82,80.43,81.62,81.62,12240149,0.0,1.0,WMT
2024-10-21,80.83,81.15,80.32,80.41,80.41,9750376,0.0,1.0,WMT
2024-10-18,80.47,81.29,80.26,80.91,80.91,12324148,0.0,1.0,WMT
2024-10-17,80.87,81.1,80.25,80.49,80.49,9424705,0.0,1.0,WMT
2024-10-16,81.13,81.26,80.22,80.82,80.82,11123254,0.0,1.0,WMT
2024-10-15,80.27,81.42,80.11,81.25,81.25,13276221,0.0,1.0,WMT
2024-10-14,79.66,80.11,79.37,79.9,79.9,9914477,0.0,1.0,WMT
2024-10-11,79.31,79.74,78.98,79.71,79.71,9570734,0.0,1.0,WMT
2024-10-10,79.92,79.93,79.07,79.22,79.22,10812700,0.0,1.0,WMT
2024-10-09,79.43,80.1,79.36,80.0,80.0,12413030,0.0,1.0,WMT
2024-10-08,79.23,79.43,78.68,79.32,79.32,15269963,0.0,1.0,WMT
2024-10-07,80.29,80.54,78.59,78.71,78.71,16791646,0.0,1.0,WMT
2024-10-04,79.66,80.72,79.46,80.54,80.54,11591388,0.0,1.0,WMT
2024-10-03,79.91,80.18,79.46,80.03,80.03,11640421,0.0,1.0,WMT
2024-10-02,80.59,80.59,79.73,80.03,80.03,16618272,0.0,1.0,WMT
2024-10-01,80.28,81.13,80.04,80.87,80.87,16054249,0.0,1.0,WMT
2024-09-30,79.5,80.54,79.47,80.35,80.35,19008187,0.0,1.0,WMT
2024-09-27,79.51,79.89,79.21,79.39,79.39,11899050,0.0,1.0,WMT
2024-09-26,80.64,80.8,78.87,79.53,79.53,17061133,0.0,1.0,WMT
2024-09-25,80.49,81.2,80.28,81.0,81.0,14163785,0.0,1.0,WMT
2024-09-24,80.08,80.51,79.85,80.27,80.27,14651133,0.0,1.0,WMT
2024-09-23,78.68,80.04,78.68,79.94,79.94,12147264,0.0,1.0,WMT
2024-09-20,77.85,79.22,77.73,78.67,78.67,39534251,0.0,1.0,WMT
2024-09-19,78.66,78.7,77.11,77.66,77.66,21525685,0.0,1.0,WMT
2024-09-18,78.25,79.02,77.9,78.64,78.64,15684878,0.0,1.0,WMT
2024-09-17,79.37,79.87,77.88,78.21,78.21,21065938,0.0,1.0,WMT
2024-09-16,80.44,80.62,79.75,80.16,80.16,15346367,0.0,1.0,WMT
2024-09-13,79.43,80.29,79.3,80.2,80.2,12994100,0.0,1.0,WMT
2024-09-12,78.6,79.51,78.24,79.27,79.27,14884852,0.0,1.0,WMT
2024-09-11,77.99,78.53,77.18,78.45,78.45,19518761,0.0,1.0,WMT
2024-09-10,76.97,78.51,76.9,78.42,78.42,17686284,0.0,1.0,WMT
2024-09-09,76.47,77.09,76.11,76.96,76.96,22260226,0.0,1.0,WMT
2024-09-06,76.52,76.94,75.92,76.26,76.26,14548588,0.0,1.0,WMT
2024-09-05,76.87,77.07,76.01,76.58,76.58,13082893,0.0,1.0,WMT
2024-09-04,76.95,77.1,76.35,76.86,76.86,17989964,0.0,1.0,WMT
2024-09-03,76.95,77.43,76.42,76.79,76.79,22666144,0.0,1.0,WMT
2024-08-30,76.06,77.09,75.85,76.85,76.85,23229975,0.0,1.0,WMT
2024-08-29,75.62,76.09,75.3,76.04,76.04,11856787,0.0,1.0,WMT
2024-08-28,75.9,76.05,75.43,75.71,75.71,9814264,0.0,1.0,WMT
2024-08-27,76.07,76.07,75.4,75.76,75.76,11557762,0.0,1.0,WMT
2024-08-26,75.53,75.83,75.2,75.66,75.66,9508215,0.0,1.0,WMT
2024-08-23,75.23,75.44,74.64,75.33,75.33,12299093,0.0,1.0,WMT
2024-08-22,75.0,75.85,74.78,75.21,75.21,16511139,0.0,1.0,WMT
2024-08-21,74.93,75.21,74.22,74.87,74.87,14831992,0.0,1.0,WMT
